date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,288.0,313.7,281.4,313.7,9.99,454178,139779013.3
2026-02-11,287.1,291.8,284.0,285.2,-0.66,41569,11849921.4
2026-02-10,284.2,290.0,284.2,287.1,-0.66,41634,11994358.6
2026-02-09,290.0,290.0,284.2,289.0,0.35,50980,14577715.8
2026-02-08,290.0,294.9,285.9,288.0,-0.96,38694,11242343.0
2026-02-05,279.3,291.0,279.3,290.8,2.07,41729,12047524.3
2026-02-04,281.4,287.0,281.4,284.9,0.07,24969,7074351.8
2026-02-03,288.0,289.0,282.1,284.7,-1.15,46568,13231243.5
2026-02-02,288.0,291.0,288.0,288.0,-1.2,30377,8784897.5
2026-02-01,290.1,294.9,290.0,291.5,-1.29,23561,6862785.2
2026-01-29,290.0,299.1,288.1,295.3,1.83,108034,31903615.5
2026-01-28,287.0,294.0,283.4,290.0,1.05,50865,14778880.4
2026-01-27,285.0,295.7,284.5,287.0,-0.35,100388,29153914.4
2026-01-26,297.2,298.0,282.0,288.0,-2.37,315635,90833940.9
2026-01-25,297.8,303.0,286.1,295.0,1.03,200395,59155112.4
2026-01-22,296.8,296.8,289.0,292.0,0.34,15692,4565275.4
2026-01-21,290.0,294.0,289.1,291.0,-1.02,26174,7626978.6
2026-01-20,290.0,297.5,288.3,294.0,1.73,81264,23821266.6
2026-01-18,281.2,292.7,281.2,289.0,1.4,34923,10037001.1
2026-01-14,281.8,288.0,281.8,285.0,0.0,29789,8506550.6
2026-01-13,280.0,286.4,280.0,285.0,1.5,32228,9136099.8
2026-01-12,278.8,282.0,278.8,280.8,-0.14,19646,5509315.3
2026-01-08,273.3,284.0,273.3,281.2,1.11,20181,5669805.8
2026-01-07,287.0,287.0,277.1,278.1,-1.21,29160,8141925.3
2026-01-06,287.6,287.6,276.4,281.5,-0.18,31305,8799844.0
2026-01-05,276.2,283.0,271.7,282.0,0.36,55962,15538454.8
2026-01-04,283.0,285.0,280.1,281.0,-0.71,7595,2138164.1
2026-01-01,281.0,284.0,280.0,283.0,-0.35,15075,4255943.0
2025-12-31,280.3,286.0,280.3,284.0,-0.04,13048,3701736.1
2025-12-29,281.0,286.0,281.0,284.1,-0.66,17273,4904423.9
2025-12-28,280.1,286.2,280.1,286.0,2.03,21761,6181699.8
2025-12-24,280.1,281.0,279.1,280.3,0.07,25039,7006978.7
2025-12-23,280.0,280.9,278.1,280.1,0.04,9653,2696891.4
2025-12-22,280.0,283.0,278.8,280.0,-0.14,23728,6637102.1
2025-12-21,276.4,285.0,276.4,280.4,-0.57,17090,4793361.6
2025-12-18,278.0,285.0,278.0,282.0,-0.35,11784,3321718.9
2025-12-17,284.0,285.0,282.0,283.0,-0.63,14870,4210296.3
2025-12-16,279.0,284.8,279.0,284.8,1.35,12381,3485513.9
2025-12-15,279.0,282.5,279.0,281.0,0.18,10648,2987696.8
2025-12-14,282.0,285.0,280.5,280.5,-0.53,14331,4027176.3
2025-12-11,281.4,286.0,281.4,282.0,-0.7,12696,3592762.3
2025-12-10,288.6,288.6,281.5,284.0,0.35,20732,5879367.7
2025-12-09,282.7,287.9,281.5,283.0,-1.05,24778,7005807.3
2025-12-08,284.1,290.6,281.4,286.0,-0.28,25564,7332645.9
2025-12-07,289.0,289.0,284.6,286.8,-1.88,15255,4363011.0
2025-12-03,291.0,296.1,287.0,292.3,-0.17,27633,8040156.2
2025-12-02,288.6,295.4,280.2,292.8,3.46,42588,12366209.4
2025-12-01,284.0,287.1,281.0,283.0,0.0,13970,3956841.8
2025-11-30,282.0,287.5,282.0,283.0,-0.42,24196,6875621.5
2025-11-27,291.9,291.9,283.1,284.2,-0.98,26544,7543252.2
2025-11-26,286.0,291.0,285.0,287.0,0.35,39274,11307361.0
2025-11-25,288.6,288.6,282.9,286.0,1.06,28126,8034657.6
2025-11-24,276.4,287.8,276.4,283.0,0.35,31176,8868919.0
2025-11-23,277.4,284.0,277.4,282.0,0.82,11134,3138662.1
2025-11-20,287.0,287.0,278.2,279.7,-0.82,13799,3881775.0
2025-11-19,280.0,285.0,280.0,282.0,0.0,14456,4069184.6
2025-11-18,282.0,286.0,280.9,282.0,0.0,18360,5201697.0
2025-11-17,280.5,283.5,280.3,282.0,-0.35,7261,2044681.9
2025-11-16,278.0,283.0,278.0,283.0,2.13,20169,5674671.8
2025-11-13,272.8,280.0,272.8,277.1,-0.43,19011,5273667.6
2025-11-12,287.1,287.1,278.3,278.3,-1.14,15987,4470363.5
2025-11-11,275.2,281.5,275.2,281.5,1.99,20381,5684660.2
2025-11-10,274.0,279.0,274.0,276.0,0.36,18249,5031994.8
2025-11-09,283.5,283.5,273.0,275.0,-1.08,18698,5138324.6
2025-11-06,276.1,281.9,272.0,278.0,-0.36,46265,12711830.3
2025-11-05,285.6,285.6,275.4,279.0,-0.36,16347,4550915.2
2025-11-04,280.0,287.0,278.0,280.0,-1.75,18547,5224357.2
2025-11-03,290.0,290.0,280.0,285.0,0.18,18438,5219152.3
2025-11-02,290.0,290.0,278.7,284.5,-0.25,14043,4023143.6
2025-10-30,274.0,290.0,274.0,285.2,2.3,19393,5519239.3
2025-10-29,286.6,286.6,275.0,278.8,-0.78,16533,4655858.5
2025-10-28,277.4,282.0,270.3,281.0,3.31,10413,2893813.0
2025-10-26,273.0,283.0,270.0,272.0,-1.98,10252,2784042.5
2025-10-19,270.0,278.0,270.0,277.5,2.66,7081,1938941.0
2025-10-16,274.0,279.0,270.0,270.3,-2.7,12261,3337478.4
2025-10-15,284.0,284.0,275.0,277.8,-0.25,12026,3319767.4
