date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,10.2,10.2,9.91,10.09,-0.1,17400,175482.0
2026-02-11,9.95,10.12,9.95,10.1,0.3,48000,484356.0
2026-02-10,9.98,10.1,9.98,10.07,-0.2,38600,389237.0
2026-02-09,10.0,10.21,10.0,10.09,-0.1,43400,438355.0
2026-02-08,9.96,10.1,9.96,10.1,0.9,24800,247546.0
2026-02-05,10.2,10.24,9.9,10.01,-0.6,5100,51258.0
2026-02-04,10.2,10.2,10.0,10.07,0.5,17349,174966.93
2026-02-03,10.01,10.2,9.99,10.02,-0.3,92700,929105.0
2026-02-02,10.1,10.1,10.05,10.05,0.4,18900,190364.0
2026-02-01,10.0,10.2,10.0,10.01,-0.2,19750,198329.5
2026-01-29,10.1,10.19,10.0,10.03,-1.38,30550,307716.0
2026-01-28,9.82,10.17,9.82,10.17,1.7,18660,186733.9
2026-01-27,9.9,10.1,9.9,10.0,0.91,17600,176504.0
2026-01-26,10.0,10.05,9.81,9.91,0.0,1936245,19368576.0
2026-01-25,9.73,10.0,9.65,9.91,1.85,1004350,10042624.05
2026-01-22,9.91,9.91,9.68,9.73,0.1,24700,244468.0
2026-01-21,9.55,9.82,9.55,9.72,0.93,5750,56247.0
2026-01-20,9.52,9.87,9.52,9.63,-0.52,21022,205834.09
2026-01-18,9.46,9.68,9.46,9.68,0.31,4175,39837.25
2026-01-14,9.7,9.8,9.62,9.65,-1.23,3250,31390.5
2026-01-13,9.6,9.77,9.6,9.77,0.0,4550,43861.5
2026-01-12,9.58,9.77,9.58,9.77,1.98,7500,72364.0
2026-01-08,9.45,9.71,9.45,9.58,-0.62,4200,40268.0
2026-01-07,9.63,9.79,9.63,9.64,0.21,7545,72919.2
2026-01-06,9.58,9.75,9.58,9.62,0.52,4000,38653.0
2026-01-05,9.59,9.59,9.5,9.57,-0.31,23500,225116.0
2026-01-04,9.54,9.71,9.54,9.6,0.63,16000,153697.5
2026-01-01,9.51,9.68,9.51,9.54,0.42,67643,652424.81
2025-12-31,9.38,9.57,9.38,9.5,-0.31,4300,40876.0
2025-12-29,9.36,9.53,9.36,9.53,0.42,5550,52434.5
2025-12-28,9.33,9.49,9.31,9.49,1.71,63550,598728.5
2025-12-24,9.31,9.35,9.31,9.33,0.21,3500,32633.0
2025-12-23,9.25,9.35,9.25,9.31,-0.43,5050,47015.5
2025-12-22,9.2,9.35,9.11,9.35,0.86,7000,64846.0
2025-12-21,9.26,9.44,9.13,9.27,-1.38,111700,1037996.0
2025-12-18,9.31,9.48,9.3,9.4,-0.21,6200,58256.0
2025-12-17,9.25,9.62,9.25,9.42,1.84,20000,189874.17
2025-12-16,9.23,9.3,9.23,9.25,0.54,4900,45286.0
2025-12-15,9.25,9.52,9.19,9.2,-0.54,7550,71218.5
2025-12-14,9.18,9.3,9.18,9.25,0.87,18600,172083.0
2025-12-11,9.09,9.2,9.09,9.17,0.88,7800,71620.0
2025-12-10,9.05,9.1,9.05,9.09,-1.41,1500,13615.0
2025-12-09,9.15,9.33,9.15,9.22,-0.65,12400,114643.0
2025-12-08,9.0,9.3,9.0,9.28,1.98,32450,298348.0
2025-12-07,8.92,9.18,8.92,9.1,0.0,15233,137578.4
2025-12-03,8.9,9.23,8.9,9.1,0.55,15577,141369.2
2025-12-02,8.86,9.13,8.86,9.05,1.0,6160,55778.0
2025-12-01,8.93,9.1,8.93,8.96,-1.54,3750,33651.5
2025-11-30,8.85,9.2,8.85,9.1,0.78,92050,840838.5
2025-11-27,9.0,9.17,8.86,9.03,-1.31,3900,35147.0
2025-11-26,8.8,9.15,8.75,9.15,3.27,5100,45614.0
2025-11-25,8.85,8.88,8.85,8.86,-1.56,2800,24810.0
2025-11-24,8.82,9.03,8.82,9.0,1.69,2700,24016.0
2025-11-23,8.8,9.14,8.8,8.85,-0.45,22000,194955.0
2025-11-20,8.8,8.97,8.8,8.89,0.57,5500,49072.0
2025-11-19,8.83,9.0,8.83,8.84,-1.78,17300,155428.0
2025-11-18,8.9,9.0,8.75,9.0,1.12,14950,133266.0
2025-11-17,9.0,9.0,8.9,8.9,-3.05,700,6270.0
2025-11-16,8.9,9.18,8.83,9.18,2.11,8350,75753.0
2025-11-13,8.9,9.15,8.9,8.99,2.51,6600,60125.0
2025-11-12,8.74,8.9,8.74,8.77,-1.46,2150,18828.5
2025-11-11,8.73,8.9,8.73,8.9,0.0,1400,12312.0
2025-11-10,8.75,8.97,8.75,8.9,0.0,1300,11467.0
2025-11-09,9.0,9.0,8.9,8.9,-3.05,2600,23340.0
2025-11-06,8.89,9.18,8.89,9.18,1.55,6300,56783.0
2025-11-05,8.83,9.04,8.83,9.04,1.92,700,6249.0
2025-11-04,8.79,8.87,8.79,8.87,-1.0,700,6174.0
2025-11-03,9.0,9.0,8.95,8.96,-0.44,850,7625.0
2025-11-02,9.02,9.2,9.0,9.0,-2.17,10200,92220.0
2025-10-30,9.02,9.2,8.85,9.2,3.95,7310,65901.0
