date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,429.5,437.0,428.3,428.3,-1.99,10436,4493547.5
2026-02-11,434.2,440.0,430.0,437.0,-0.91,3883,1675468.3
2026-02-10,447.0,447.0,429.4,441.0,0.46,6029,2613572.5
2026-02-09,436.1,442.0,434.0,439.0,-1.33,5525,2403225.5
2026-02-08,462.0,462.0,431.2,444.9,-1.79,12522,5577066.6
2026-02-05,450.0,455.0,446.0,453.0,0.42,9819,4427416.5
2026-02-04,432.0,454.9,428.1,451.1,4.42,19283,8579321.2
2026-02-03,431.0,439.0,426.9,432.0,0.21,6369,2758026.9
2026-02-02,448.0,448.0,431.1,431.1,-1.91,4618,2006380.1
2026-02-01,455.0,455.0,438.2,439.5,-2.12,6336,2791982.0
2026-01-29,448.0,465.0,440.0,449.0,1.7,21123,9524033.1
2026-01-28,431.0,448.0,423.2,441.5,2.44,25270,11008350.6
2026-01-27,449.0,449.9,429.1,431.0,-2.49,13046,5670333.5
2026-01-26,443.0,449.0,437.0,442.0,-1.73,10668,4707325.1
2026-01-25,426.0,450.0,420.7,449.8,6.59,30530,13438053.9
2026-01-22,420.1,428.4,420.1,422.0,-1.36,10322,4370294.5
2026-01-21,430.0,431.0,419.4,427.8,0.52,8780,3741985.1
2026-01-20,431.0,431.0,416.5,425.6,-0.33,13399,5718934.3
2026-01-18,428.0,431.0,419.0,427.0,0.71,8720,3692262.9
2026-01-14,434.0,434.0,416.0,424.0,-0.47,13365,5645003.5
2026-01-13,422.0,426.0,413.0,426.0,2.16,9347,3922663.7
2026-01-12,417.1,426.0,415.0,417.0,-1.63,4610,1926553.3
2026-01-08,423.0,429.8,418.1,423.9,0.43,1814,765005.8
2026-01-07,430.0,437.9,421.0,422.1,-1.84,4187,1790190.0
2026-01-06,427.3,436.0,412.5,430.0,2.63,14713,6320038.2
2026-01-05,425.0,433.0,416.1,419.0,-1.41,8148,3432505.4
2026-01-04,440.1,440.1,416.7,425.0,-1.51,5855,2475381.5
2026-01-01,428.0,439.0,424.0,431.5,0.09,8513,3672673.2
2025-12-31,440.0,442.0,426.0,431.1,-3.56,25570,11060643.6
2025-12-29,449.8,455.0,447.0,447.0,-2.59,4722,2122697.9
2025-12-28,450.0,463.0,450.0,458.9,0.61,4830,2194925.7
2025-12-24,450.0,472.0,450.0,456.1,0.46,4585,2098864.7
2025-12-23,456.1,456.1,428.6,454.0,-0.46,4887,2166359.8
2025-12-22,462.0,464.0,456.0,456.1,-3.16,5743,2635958.9
2025-12-21,475.0,475.0,463.0,471.0,-1.46,3998,1875386.1
2025-12-18,475.3,487.0,475.3,478.0,-1.42,2828,1350565.6
2025-12-17,470.4,494.0,470.4,484.9,1.02,1458,697756.6
2025-12-16,475.5,480.0,475.0,480.0,0.82,2478,1181280.6
2025-12-15,475.0,481.9,475.0,476.1,-0.81,1664,792672.8
2025-12-14,481.0,497.6,480.0,480.0,-2.04,3095,1502391.0
