date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,445.0,459.0,445.0,453.1,0.02,19184,8716427.3
2026-02-11,461.0,461.0,448.0,453.0,-0.4,10408,4716434.9
2026-02-10,458.9,458.9,442.0,454.8,0.62,19490,8805578.8
2026-02-09,458.9,459.0,442.0,452.0,0.27,22560,10088239.0
2026-02-08,458.0,460.0,450.0,450.8,0.18,21642,9842572.1
2026-02-05,443.0,462.0,440.2,450.0,0.9,22016,10002520.4
2026-02-04,438.2,451.4,438.2,446.0,0.27,19374,8642520.0
2026-02-03,440.2,451.8,440.1,444.8,-0.27,16834,7472702.5
2026-02-02,445.0,456.8,445.0,446.0,-0.87,17282,7749601.8
2026-02-01,461.9,464.5,445.0,449.9,-0.9,30411,13694049.3
2026-01-29,475.0,479.9,449.0,454.0,-3.67,47239,22023941.4
2026-01-28,431.0,478.0,431.0,471.3,7.24,91698,42152542.9
2026-01-27,445.1,458.0,436.2,439.5,-3.19,51847,23244059.9
2026-01-26,455.0,457.0,442.0,454.0,-0.22,50209,22590333.8
2026-01-25,441.0,460.0,441.0,455.0,1.34,41698,19006368.6
2026-01-22,440.1,449.0,436.2,449.0,2.05,25395,11246288.9
2026-01-21,443.0,448.8,435.0,440.0,-0.23,35630,15721726.0
2026-01-20,430.1,446.2,430.0,441.0,2.82,69504,30578761.3
2026-01-18,423.0,434.8,423.0,428.9,0.68,23194,9929143.9
2026-01-14,425.0,432.9,416.5,426.0,-1.37,58105,24503968.0
2026-01-13,420.0,434.8,420.0,431.9,2.06,17131,7394025.2
2026-01-12,421.2,432.0,421.2,423.2,-1.12,18960,8057028.7
2026-01-08,422.0,431.0,422.0,428.0,-0.47,17523,7504250.6
2026-01-07,430.0,435.0,427.2,430.0,-0.92,12016,5182834.9
2026-01-06,445.0,447.7,433.0,434.0,-1.79,14140,6230260.1
2026-01-05,430.9,443.8,422.6,441.9,4.47,30027,13017915.3
2026-01-04,427.8,431.9,419.3,423.0,-0.94,19732,8412497.9
2026-01-01,426.2,437.8,424.0,427.0,-0.93,17738,7589023.9
2025-12-31,435.0,450.0,428.0,431.0,0.68,36017,15535844.3
2025-12-29,434.0,440.0,428.0,428.1,-0.97,17542,7579538.6
2025-12-28,420.0,440.0,420.0,432.3,1.72,18640,8079138.3
2025-12-24,438.0,438.0,424.1,425.0,-1.16,19844,8450824.7
2025-12-23,422.1,436.0,422.1,430.0,0.0,23716,10183942.3
2025-12-22,440.0,440.0,425.2,430.0,-2.05,34160,14639545.8
2025-12-21,449.9,451.1,426.5,439.0,-4.36,45801,20105213.6
2025-12-18,460.1,464.0,450.1,459.0,-1.27,36588,16722501.3
2025-12-17,451.8,479.0,443.0,464.9,0.85,104882,49532209.8
2025-12-16,445.0,466.0,445.0,461.0,1.54,14598,6727293.8
2025-12-15,474.8,474.8,452.2,454.0,-2.58,10603,4897623.6
2025-12-14,470.1,481.9,465.0,466.0,-1.69,11036,5199132.8
2025-12-11,465.0,476.0,460.0,474.0,1.61,31947,15013255.7
