date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,289.1,300.0,289.1,291.0,-1.36,46294,13653143.3
2026-02-11,293.0,297.4,290.0,295.0,-0.67,31583,9254739.3
2026-02-10,298.0,300.0,290.4,297.0,-0.3,32240,9508557.5
2026-02-09,290.1,300.5,287.5,297.9,1.64,67910,19922632.3
2026-02-08,309.6,328.0,292.1,293.1,-3.46,131002,40329189.2
2026-02-05,279.0,303.6,276.3,303.6,10.0,173689,51409587.8
2026-02-04,275.0,281.9,271.6,276.0,-1.04,14908,4108286.6
2026-02-03,274.6,282.0,272.0,278.9,-0.36,22412,6169441.8
2026-02-02,280.0,285.0,277.0,279.9,-0.74,15297,4268068.5
2026-02-01,290.7,290.7,278.1,282.0,-1.05,21471,6019616.8
2026-01-29,278.4,293.7,278.2,285.0,0.71,52996,15296716.2
2026-01-28,280.0,303.9,272.3,283.0,0.75,39934,11276010.7
2026-01-27,285.0,294.7,278.0,280.9,-3.14,38162,10790914.8
2026-01-26,293.9,305.0,282.6,290.0,0.17,47589,13701481.5
2026-01-25,275.0,300.0,275.0,289.5,3.36,42523,12232014.6
2026-01-22,274.0,283.0,274.0,280.1,0.43,37359,10404981.9
2026-01-21,274.4,279.9,272.0,278.9,1.6,25748,7114835.8
2026-01-20,270.0,278.3,269.0,274.5,2.62,35641,9767860.7
2026-01-18,265.1,271.0,265.1,267.5,0.19,13063,3500711.9
2026-01-14,265.0,272.0,265.0,267.0,-0.3,13827,3715125.8
2026-01-13,270.9,270.9,265.0,267.8,0.83,13952,3721977.4
2026-01-12,263.4,272.8,263.4,265.6,-1.15,9498,2550013.3
2026-01-08,273.9,273.9,266.0,268.7,-0.11,9631,2586346.4
2026-01-07,269.8,272.9,267.0,269.0,-1.47,16095,4342597.9
2026-01-06,267.8,279.9,267.8,273.0,2.52,37029,10181941.3
2026-01-05,265.0,269.5,263.2,266.3,0.49,15811,4219022.1
2026-01-04,265.2,270.0,264.0,265.0,-0.93,8432,2237564.6
2026-01-01,268.0,270.0,266.0,267.5,-0.85,17464,4666972.1
2025-12-31,265.0,279.4,265.0,269.8,-0.04,15671,4243681.5
2025-12-29,267.0,275.9,267.0,269.9,-0.77,14072,3809252.6
2025-12-28,264.1,272.0,264.1,272.0,2.64,16062,4327127.0
2025-12-24,262.1,267.3,262.1,265.0,-0.38,8983,2372393.3
2025-12-23,260.1,268.9,260.0,266.0,0.76,17721,4643176.1
2025-12-22,265.0,267.0,261.1,264.0,-0.38,17209,4529707.4
2025-12-21,271.5,275.0,255.0,265.0,-1.89,52774,13993928.7
2025-12-18,275.0,279.7,270.0,270.1,-3.02,59513,16287879.1
2025-12-17,280.0,282.0,275.5,278.5,-0.89,22171,6161993.3
2025-12-16,272.6,293.0,272.6,281.0,1.04,48498,13742846.0
2025-12-15,279.5,284.0,276.4,278.1,-0.32,10043,2801385.5
2025-12-14,279.0,286.0,278.0,279.0,-1.41,9912,2776851.4
2025-12-11,281.7,289.0,280.0,283.0,-0.28,31424,8899590.5
2025-12-10,284.2,290.0,281.5,283.8,-1.11,13122,3741655.9
2025-12-09,290.0,291.7,285.0,287.0,0.35,9836,2829017.0
2025-12-08,283.4,300.0,283.0,286.0,-1.04,66718,19054089.9
2025-12-07,294.0,294.0,283.5,289.0,-0.14,24614,7031367.5
2025-12-03,290.2,299.0,287.0,289.4,-2.23,21799,6325543.4
2025-12-02,296.8,302.0,281.1,296.0,1.72,32914,9748394.3
2025-12-01,297.7,297.7,283.0,291.0,-0.31,16180,4691233.5
2025-11-30,293.0,299.9,288.6,291.9,-1.39,26942,7866084.7
2025-11-27,299.0,300.0,292.0,296.0,-0.54,16582,4874953.2
2025-11-26,297.0,302.9,291.1,297.6,0.92,45299,13420799.7
2025-11-25,301.9,301.9,290.1,294.9,-0.37,13120,3836223.1
2025-11-24,297.0,301.5,291.2,296.0,-1.3,67575,19950907.8
2025-11-23,307.8,327.0,295.0,299.9,-4.49,126923,38617815.5
2025-11-20,304.0,324.3,292.2,314.0,3.29,149132,45896762.6
2025-11-19,280.1,304.0,276.2,304.0,6.37,106190,31254053.4
2025-11-18,280.0,288.7,280.0,285.8,0.32,14639,4163853.4
2025-11-17,276.0,286.6,276.0,284.9,1.75,16977,4774902.2
2025-11-16,282.0,287.0,272.1,280.0,1.08,24727,6910857.9
2025-11-13,274.2,283.0,274.2,277.0,-0.4,17485,4888665.3
2025-11-12,269.9,283.5,269.9,278.1,0.98,48521,13551339.3
2025-11-11,266.2,277.0,264.0,275.4,3.46,32756,8929923.5
2025-11-10,265.1,274.9,259.8,266.2,-1.59,12878,3456940.7
2025-11-09,270.0,275.0,268.3,270.5,0.74,28691,7829205.4
2025-11-06,272.5,279.8,268.5,268.5,-3.07,25259,6872320.1
2025-11-05,272.0,277.0,271.0,277.0,0.29,11864,3232605.0
2025-11-04,281.0,284.9,275.4,276.2,-1.71,6309,1751186.7
2025-11-03,283.0,288.6,278.0,281.0,-2.06,12291,3460498.1
2025-11-02,274.1,287.0,274.1,286.9,3.61,28457,8022700.8
2025-10-30,279.9,280.0,271.5,276.9,0.14,8247,2282517.4
2025-10-29,273.4,283.0,270.0,276.5,-0.79,37187,10237136.3
2025-10-28,266.9,279.0,265.5,278.7,2.35,21948,6062382.7
2025-10-26,268.3,272.3,260.0,272.3,-0.51,6513,1724296.8
2025-10-19,265.0,273.7,263.0,273.7,1.75,8478,2256954.5
2025-10-16,279.9,280.0,262.0,269.0,-2.39,15813,4236212.8
2025-10-15,275.0,275.6,270.0,275.6,-1.5,12759,3465504.3
2025-10-14,277.0,280.0,272.6,279.8,-0.78,5397,1488808.9
2025-10-13,276.4,282.0,268.0,282.0,0.0,15569,4310847.0
2025-10-12,284.2,284.3,273.3,282.0,-2.73,14904,4148711.2
2025-10-09,289.0,305.0,283.3,289.9,2.08,18259,5265563.3
2025-10-08,287.0,287.0,276.0,284.0,-1.35,13471,3766093.8
2025-10-07,300.0,303.0,286.0,287.9,-3.39,8967,2585644.5
2025-09-28,299.8,304.0,288.5,298.0,1.36,8391,2480087.5
2025-09-25,285.3,306.0,285.3,294.0,1.03,11124,3244249.2
2025-09-24,290.1,294.0,288.1,291.0,-1.66,4646,1345727.0
2025-09-23,290.0,296.0,287.0,295.9,2.39,14951,4374957.7
2025-09-21,275.0,296.5,269.5,289.0,3.02,20304,5749845.5
2025-09-08,280.0,286.0,280.0,280.54,-1.2,13930,3920517.4
2025-09-07,286.0,288.1,282.5,283.96,-1.64,11756,3352692.5
2025-09-04,290.0,290.1,286.1,288.69,-0.67,18636,5376941.3
2025-09-03,290.1,296.4,290.1,290.65,-1.22,14170,4127205.0
2025-09-02,292.0,298.9,292.0,294.24,-0.86,16268,4786140.3
2025-09-01,300.0,300.0,294.0,296.8,-0.29,17249,5108205.2
2025-08-31,295.8,300.0,295.79,297.65,-0.39,13538,4014770.51
2025-08-28,302.1,308.9,298.0,298.83,-2.08,35379,10655224.9
2025-08-27,298.0,306.0,298.0,305.18,1.05,14370,4374398.6
2025-08-26,297.0,303.0,296.0,302.02,0.68,12670,3803412.2
2025-08-25,295.0,301.0,295.0,299.99,0.88,16714,4981558.9
2025-08-24,304.8,304.8,295.0,297.38,-0.5,11878,3532143.6
2025-08-21,302.0,304.9,298.0,298.87,-1.11,23290,6980605.8
2025-08-20,301.6,307.0,301.5,302.23,-1.13,17044,5155036.4
2025-08-19,301.0,308.0,301.0,305.68,0.29,29715,9083011.4
2025-08-18,300.1,307.0,300.1,304.79,1.0,15025,4569526.9
2025-08-17,302.0,309.0,300.2,301.77,-0.58,25211,7656027.1
2025-08-14,302.0,305.2,300.0,303.53,0.29,17141,5206312.1
2025-08-13,303.0,307.0,301.1,302.64,-0.55,14972,4550234.3
2025-08-12,307.0,307.0,303.4,304.31,-0.67,17548,5349434.9
2025-08-11,310.6,312.5,306.0,306.35,-1.83,18526,5707142.7
2025-08-07,306.5,314.0,306.0,312.07,1.89,23148,7210405.0
2025-08-06,307.0,309.0,305.1,306.28,-0.26,39895,12248468.5
2025-08-05,308.0,313.7,306.0,307.09,-0.47,37029,11451822.8
2025-08-04,310.0,320.0,305.9,308.53,-0.3,55240,17108366.5
2025-08-03,315.1,318.0,309.0,309.47,-1.78,35871,11221044.9
2025-07-31,316.1,323.1,313.1,315.07,-1.09,51900,16459209.6
2025-07-30,324.1,325.2,317.1,318.55,-2.52,43175,13884105.1
2025-07-29,328.0,334.0,325.1,326.78,-0.25,46053,15127712.8
2025-07-28,336.5,336.5,321.0,327.59,-0.71,64826,21096348.9
2025-07-27,333.0,341.0,328.5,329.94,-0.14,129445,43364706.5
2025-07-24,326.0,334.0,322.4,330.39,1.05,71486,23601013.1
2025-07-23,325.0,334.0,322.3,326.97,0.49,52763,17392593.0
2025-07-22,326.8,328.0,321.0,325.36,1.54,45054,14628795.9
2025-07-21,319.0,325.0,316.7,320.44,-0.21,31828,10214074.6
2025-07-20,329.0,330.0,317.7,321.1,-0.93,88204,28659212.6
2025-07-17,318.9,329.0,316.0,324.1,3.18,49133,15871278.6
2025-07-16,314.0,318.9,308.1,314.1,0.33,24737,7784388.7
2025-07-15,317.0,317.0,310.0,313.06,0.63,27880,8704648.6
2025-07-14,312.0,315.8,308.2,311.1,-0.51,20838,6487191.0
2025-07-13,317.2,319.0,309.3,312.71,0.54,25117,7859424.5
2025-07-10,313.0,317.9,309.9,311.02,-1.19,34968,10937251.7
2025-07-09,313.0,317.9,308.8,314.75,0.89,13918,4377095.6
2025-07-08,315.5,315.5,307.0,311.97,0.84,16358,5079715.5
2025-07-07,307.2,316.9,307.2,309.37,-1.28,31844,9905714.0
