date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,752.7,752.7,724.0,727.0,-1.49,8894,6483090.9
2026-02-11,740.0,740.0,728.0,738.0,0.08,6438,4707049.4
2026-02-10,751.0,751.0,730.0,737.4,0.05,7538,5540938.2
2026-02-09,738.0,748.0,735.0,737.0,-0.14,8335,6175096.2
2026-02-08,741.4,764.8,738.0,738.0,-1.59,15341,11420985.0
2026-02-05,752.0,752.0,740.0,749.9,1.65,8382,6234402.2
2026-02-04,726.2,768.9,726.2,737.7,-0.45,4679,3477656.6
2026-02-03,757.0,757.0,740.0,741.0,-0.27,8282,6138980.8
2026-02-02,750.0,755.8,741.5,743.0,0.26,5861,4370098.6
2026-02-01,760.0,760.0,740.0,741.1,-1.23,10250,7609895.9
2026-01-29,781.9,781.9,745.0,750.3,-2.18,16878,12767721.6
2026-01-28,759.4,768.0,745.0,767.0,-1.01,8391,6378456.0
2026-01-27,781.0,795.0,759.7,774.8,-2.54,15099,11767596.5
2026-01-26,821.1,821.1,780.0,795.0,-1.24,11820,9314573.2
2026-01-25,786.0,805.0,764.0,805.0,3.87,24669,19383779.2
2026-01-22,752.0,804.0,752.0,775.0,1.84,14711,11256657.0
2026-01-21,756.0,764.8,755.2,761.0,-1.17,4787,3632518.5
2026-01-20,761.0,775.0,753.7,770.0,2.67,21676,16605892.0
2026-01-18,742.0,756.0,733.0,750.0,2.6,12034,8979157.6
2026-01-14,750.0,750.0,728.0,731.0,-1.48,5759,4220307.0
2026-01-13,736.0,742.0,721.0,742.0,1.92,7790,5664047.1
2026-01-12,735.1,748.7,726.0,728.0,-1.62,8370,6147914.9
2026-01-08,727.0,740.0,727.0,740.0,1.36,5440,4003205.4
2026-01-07,701.2,734.5,701.2,730.1,2.53,12908,9325972.6
2026-01-06,707.1,720.0,706.0,712.1,-0.38,12982,9236783.9
2026-01-05,718.8,718.8,707.0,714.8,0.53,3224,2302697.4
2026-01-04,726.0,726.0,706.0,711.0,-0.11,8548,6073834.0
2026-01-01,760.0,760.0,735.0,745.6,-0.59,9292,6855159.0
2025-12-31,744.9,750.0,730.0,750.0,1.76,9838,7293826.8
2025-12-29,754.8,754.8,732.1,737.0,-0.41,8268,6144417.0
2025-12-28,730.0,745.0,730.0,740.0,1.31,5180,3841570.0
2025-12-24,731.0,735.0,730.0,730.4,-1.3,2951,2156989.1
2025-12-23,731.1,744.0,731.1,740.0,-0.47,6206,4557956.3
2025-12-22,730.0,757.8,730.0,743.5,1.85,37146,27384614.4
2025-12-21,729.0,750.0,729.0,730.0,-1.75,15161,11143559.4
2025-12-18,742.7,748.0,740.4,743.0,-1.07,1808,1344960.2
2025-12-17,759.9,759.9,742.0,751.0,0.67,4752,3548438.0
2025-12-16,730.2,749.0,730.2,746.0,1.08,5375,4001317.2
2025-12-15,754.8,754.8,735.5,738.0,-0.27,3954,2928192.4
2025-12-14,738.0,745.2,738.0,740.0,-0.7,10261,7608804.3
2025-12-11,736.0,755.0,736.0,745.2,0.09,884,660041.0
2025-12-10,735.7,752.0,735.0,744.5,-0.08,4260,3166432.5
