date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,399.7,407.7,390.2,390.3,-0.43,13919,5486479.1
2026-02-11,395.0,400.0,390.0,392.0,-1.26,13277,5211601.4
2026-02-10,402.0,403.9,392.1,397.0,-1.24,16748,6681562.3
2026-02-09,400.0,402.0,392.0,402.0,1.13,20282,8081755.3
2026-02-08,395.5,406.0,395.5,397.5,-0.13,37143,14925823.7
2026-02-05,398.0,398.0,390.1,398.0,2.0,9691,3813034.2
2026-02-04,387.0,397.0,387.0,390.2,0.31,12716,4985320.5
2026-02-03,390.0,395.9,388.7,389.0,-0.97,12513,4889132.1
2026-02-02,392.0,400.0,390.0,392.8,0.08,15414,6062797.3
2026-02-01,398.0,404.0,392.2,392.5,-1.88,5782,2294309.8
2026-01-29,400.0,412.0,399.9,400.0,0.13,42010,17050712.4
2026-01-28,388.0,402.5,387.5,399.5,1.16,16135,6373721.5
2026-01-27,392.0,404.9,389.0,394.9,-1.0,16833,6670546.8
2026-01-26,406.0,406.0,394.1,398.9,-0.77,33189,13229837.1
2026-01-25,390.0,404.0,390.0,402.0,3.08,33908,13513589.6
2026-01-22,377.6,390.0,377.6,390.0,1.38,11097,4273730.5
2026-01-21,375.5,389.0,375.5,384.7,0.71,22644,8634011.7
2026-01-20,385.0,394.9,379.8,382.0,0.58,21454,8207276.4
2026-01-18,378.5,382.0,375.0,379.8,-0.03,8693,3276237.3
2026-01-14,375.0,382.9,375.0,379.9,0.5,7706,2904237.7
2026-01-13,389.0,389.0,373.0,378.0,-1.28,10507,3949295.8
2026-01-12,384.4,384.9,378.0,382.9,-0.39,8964,3410522.1
2026-01-08,384.0,388.9,384.0,384.4,-1.41,4470,1723219.1
2026-01-07,384.1,397.5,384.1,389.9,-0.28,3754,1463440.7
2026-01-06,391.9,400.7,380.0,391.0,1.51,7014,2716600.3
2026-01-05,385.0,393.0,378.5,385.2,-0.21,11546,4411621.5
2026-01-04,382.0,399.0,377.0,386.0,-0.77,13014,4966115.6
2026-01-01,384.0,396.9,383.8,389.0,-0.26,9675,3724516.7
2025-12-31,382.1,395.7,382.1,390.0,0.52,12269,4761694.2
2025-12-29,388.2,395.0,388.0,388.0,-1.25,5104,1987397.7
2025-12-28,382.0,392.9,382.0,392.9,2.85,6687,2599559.0
2025-12-24,391.0,391.0,379.0,382.0,-0.52,5675,2163364.7
2025-12-23,380.9,388.0,380.9,384.0,-1.16,1815,695843.0
2025-12-22,393.0,402.9,385.0,388.5,0.13,2785,1083840.9
2025-12-21,392.1,398.0,388.0,388.0,-1.52,10482,4107809.5
2025-12-18,398.0,405.9,393.0,394.0,-1.25,7178,2854276.1
2025-12-17,400.1,407.0,398.0,399.0,-1.97,8659,3474510.0
2025-12-16,400.0,419.0,395.0,407.0,0.99,2924,1193422.1
2025-12-15,401.0,406.0,399.0,403.0,-0.79,4186,1677872.0
2025-12-14,426.0,426.0,403.0,406.2,-2.75,19662,8157912.3
2025-12-11,394.2,418.0,394.2,417.7,3.91,29668,12278607.8
2025-12-10,410.0,413.4,402.0,402.0,-1.59,13147,5360527.7
2025-12-09,388.0,409.9,388.0,408.5,3.92,17704,7145666.2
2025-12-08,397.5,399.0,392.1,393.1,-1.11,2911,1146898.7
2025-12-07,392.0,399.8,392.0,397.5,0.63,10242,4064895.0
2025-12-03,404.0,404.0,390.0,395.0,-1.03,9707,3838177.1
2025-12-02,400.0,403.8,395.0,399.1,-0.72,5110,2043370.5
2025-12-01,405.0,410.0,395.0,402.0,-0.96,13452,5382635.9
