date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,291.0,295.0,284.3,287.0,-1.03,77823,22609942.9
2026-02-11,281.1,291.0,278.3,290.0,3.57,99584,28613780.6
2026-02-10,277.4,289.9,269.0,280.0,2.94,78221,21956824.9
2026-02-09,272.0,279.0,268.0,272.0,-1.81,24024,6544142.8
2026-02-08,279.8,285.0,274.4,277.0,0.0,27315,7586530.4
2026-02-05,270.0,286.8,266.6,277.0,3.09,54806,15140183.4
2026-02-04,273.3,278.0,263.2,268.7,0.26,41517,11133737.7
2026-02-03,277.9,278.0,263.2,268.0,-1.69,36163,9734988.9
2026-02-02,271.0,281.5,265.1,272.6,-1.23,22766,6272401.8
2026-02-01,277.0,283.0,269.4,276.0,1.1,59646,16537175.2
2026-01-29,286.0,295.7,265.1,273.0,-4.55,119793,34489137.7
2026-01-28,274.4,288.7,274.3,286.0,2.14,83587,23642621.4
2026-01-27,301.8,307.0,272.0,280.0,-5.37,141038,41638419.0
2026-01-26,267.1,295.9,260.1,295.9,10.0,198740,56059157.4
2026-01-25,266.1,269.0,264.0,269.0,0.04,35548,9483907.1
2026-01-22,253.0,269.9,250.0,268.9,6.5,70480,18237862.9
2026-01-21,252.6,254.9,248.0,252.5,0.6,31787,7987003.7
2026-01-20,242.0,251.0,242.0,251.0,2.03,22062,5501916.1
2026-01-18,242.9,246.0,240.1,246.0,2.93,15237,3695394.4
2026-01-14,244.8,247.0,239.0,239.0,-0.42,10180,2453940.8
2026-01-13,239.9,243.9,238.0,240.0,-0.83,5882,1416912.1
2026-01-12,240.0,244.4,232.0,242.0,-0.82,26053,6214850.5
2026-01-08,240.0,244.0,239.1,244.0,0.54,10487,2534227.1
2026-01-07,245.9,245.9,240.0,242.7,-0.86,9383,2259939.9
2026-01-06,244.0,246.6,240.4,244.8,0.2,8918,2166066.8
2026-01-05,247.6,247.6,239.3,244.3,0.53,22893,5529562.5
2026-01-04,238.1,244.0,238.1,243.0,0.79,5945,1437713.6
2026-01-01,250.0,250.0,240.1,241.1,-2.39,11425,2763149.3
2025-12-31,246.0,248.0,243.5,247.0,0.45,18161,4443309.5
2025-12-29,246.0,247.9,244.3,245.9,0.37,5420,1331075.8
2025-12-28,239.5,250.0,239.5,245.0,1.41,15096,3698822.6
2025-12-24,242.3,243.0,241.5,241.6,-1.35,6887,1666640.0
2025-12-23,241.0,244.9,241.0,244.9,0.82,2635,639953.7
2025-12-22,241.0,243.9,240.0,242.9,-1.14,9646,2332872.9
2025-12-21,250.0,250.0,242.0,245.7,-0.41,14235,3462804.3
2025-12-18,248.0,248.9,245.0,246.7,-1.63,5413,1331715.4
2025-12-17,259.0,259.0,246.0,250.8,-1.26,17217,4281942.1
2025-12-16,252.9,260.0,247.8,254.0,1.64,20529,5178059.2
2025-12-15,244.6,250.0,242.5,249.9,0.2,7769,1918890.0
2025-12-14,250.9,261.0,243.1,249.4,1.38,17830,4412000.7
2025-12-11,242.6,247.0,242.6,246.0,-0.2,9919,2423782.0
2025-12-10,243.0,249.6,242.9,246.5,0.2,13555,3315947.1
2025-12-09,242.1,248.0,240.7,246.0,0.41,5224,1278915.5
2025-12-08,240.2,247.0,240.2,245.0,0.04,9634,2354811.4
2025-12-07,244.3,246.0,242.1,244.9,-0.45,2642,642699.8
2025-12-03,258.0,258.0,245.6,246.0,-2.77,13142,3261452.2
2025-12-02,249.2,255.5,248.1,253.0,0.2,10119,2538764.6
2025-12-01,252.7,252.7,250.0,252.5,-0.12,5309,1331880.5
2025-11-30,246.3,261.3,246.3,252.8,0.6,17847,4507781.6
2025-11-27,250.5,258.0,250.5,251.3,-1.06,24169,6161650.5
