date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,329.0,329.0,319.1,323.0,-0.06,76237,24566653.1
2026-02-11,330.0,343.3,322.0,323.2,-2.06,64613,21121070.2
2026-02-10,337.0,346.8,324.5,330.0,-0.33,92194,31029748.4
2026-02-09,343.0,349.6,317.0,331.1,-5.4,378030,124199445.9
2026-02-08,340.0,364.8,334.0,350.0,4.29,56569,19842095.6
2026-02-05,348.0,351.0,335.6,335.6,-3.78,53777,18307157.8
2026-02-04,340.0,349.9,339.0,348.8,1.4,33545,11539372.6
2026-02-03,355.0,358.9,340.0,344.0,-2.55,28394,9716056.9
2026-02-02,359.0,359.0,340.0,353.0,0.28,33775,11654394.6
2026-02-01,370.0,370.0,345.0,352.0,-3.3,35692,12542652.2
2026-01-29,379.0,381.5,357.8,364.0,-2.39,40862,15130222.4
2026-01-28,376.0,380.0,368.0,372.9,-0.82,33876,12645843.9
2026-01-27,347.0,381.0,341.1,376.0,8.36,68232,24621775.2
2026-01-26,357.0,357.0,340.1,347.0,-0.86,21202,7373233.0
2026-01-25,350.0,350.0,343.5,350.0,1.77,38547,13407318.4
2026-01-22,342.0,343.9,335.0,343.9,1.99,18063,6139732.4
2026-01-21,350.9,352.4,337.1,337.2,-2.82,32046,10934237.2
2026-01-20,353.0,353.0,342.1,347.0,0.0,23910,8261974.5
2026-01-18,352.0,352.8,336.0,347.0,0.32,23157,7924860.8
2026-01-14,338.0,345.9,335.0,345.9,1.74,9968,3391533.1
2026-01-13,337.2,340.0,332.2,340.0,0.89,20807,6981092.0
2026-01-12,350.0,354.0,337.0,337.0,-3.71,9781,3353734.3
2026-01-08,348.0,350.0,340.0,350.0,0.06,11133,3843447.5
2026-01-07,348.0,352.0,342.2,349.8,-1.19,15907,5510736.9
2026-01-06,354.0,360.0,349.2,354.0,-0.28,12753,4490907.1
2026-01-05,356.5,356.5,344.0,355.0,1.43,18311,6393981.6
