date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1246.0,1246.0,1246.0,1246.0,-0.72,24,29904.0
2026-02-02,1255.0,1255.0,1255.0,1255.0,0.4,60,75300.0
2026-01-27,1294.9,1294.9,1250.0,1250.0,-3.47,15,18845.5
2026-01-26,1294.9,1294.9,1294.9,1294.9,-0.01,50,64745.0
2026-01-25,1337.0,1337.0,1295.0,1295.0,-3.14,36,46725.0
2026-01-13,1337.0,1337.0,1337.0,1337.0,-0.01,50,66850.0
2026-01-12,1337.2,1337.2,1337.2,1337.2,2.0,100,133720.0
2026-01-01,1311.0,1311.0,1311.0,1311.0,-1.89,50,65550.0
2025-12-29,1310.0,1342.0,1310.0,1336.2,3.24,529,706101.2
2025-12-24,1294.3,1294.3,1294.3,1294.3,1.99,900,1164870.0
2025-12-22,1320.0,1320.0,1320.0,1269.0,-3.86,2,2563.0
2025-12-17,1320.0,1320.0,1320.0,1320.0,-0.23,100,132000.0
2025-12-03,1323.1,1323.1,1323.1,1323.1,-1.99,25,33077.5
2025-11-30,1300.1,1350.0,1300.1,1350.0,3.84,357,477082.1
2025-11-25,1325.0,1325.0,1300.1,1300.1,0.01,755,985749.1
2025-11-24,1300.0,1300.0,1300.0,1300.0,-1.81,83,107900.0
2025-11-23,1298.0,1334.0,1298.0,1323.9,2.0,858,1140239.1
2025-11-19,1298.0,1298.0,1298.0,1298.0,1.97,304,394592.0
2025-11-17,1272.9,1272.9,1272.9,1272.9,0.0,25,31822.5
2025-11-16,1272.9,1272.9,1272.9,1272.9,2.0,25,31822.5
2025-11-04,1250.0,1250.0,1225.0,1248.0,-0.16,50,61925.0
2025-10-19,1250.0,1250.0,1250.0,1250.0,0.0,30,37575.0
2025-10-16,1226.1,1250.0,1226.1,1250.0,0.16,95,118152.5
2025-10-15,1248.0,1248.0,1248.0,1248.0,1.96,25,31200.0
2025-10-14,1224.0,1224.0,1224.0,1224.0,2.0,304,372096.0
2025-08-25,1200.0,1200.0,1200.0,1200.0,-1.64,76,91200.0
2025-08-24,1220.0,1220.0,1220.0,1220.0,1.96,25,30500.0
2025-08-17,1196.5,1196.5,1196.5,1196.5,-0.33,30,35895.0
2025-07-24,1225.0,1225.0,1200.5,1200.5,-3.96,110,132300.0
2025-06-23,1206.0,1250.0,1206.0,1250.0,3.65,200,249097.9
2025-06-18,1206.0,1206.0,1206.0,1206.0,-1.95,25,30150.0
2025-06-16,1230.0,1230.0,1230.0,1230.0,1.15,25,30750.0
2025-06-11,1216.0,1216.0,1216.0,1216.0,-1.94,25,30400.0
2025-06-09,1240.1,1240.1,1240.1,1240.1,2.0,110,136411.0
2025-06-08,1192.0,1215.8,1192.0,1215.8,-0.02,74,88803.0
2025-06-05,1216.0,1216.0,1216.0,1216.0,-1.22,100,121600.0
2025-06-02,1231.0,1231.0,1231.0,1231.0,-0.81,10,12310.0
2025-05-26,1241.0,1241.0,1241.0,1241.0,1.64,25,31025.0
2025-05-18,1221.0,1221.0,1221.0,1221.0,-1.61,25,30525.0
2025-04-28,1206.0,1241.0,1206.0,1241.0,2.9,29,35978.1
2025-04-23,1218.0,1218.0,1218.0,1206.0,-0.99,4,4824.0
2025-04-21,1218.0,1218.0,1218.0,1218.0,-1.85,24,29232.0
2025-04-20,1205.0,1241.0,1205.0,1241.0,2.99,138,171246.1
2025-04-16,1205.0,1205.0,1205.0,1205.0,-1.97,26,31330.0
2025-04-13,1182.1,1229.7,1182.1,1229.18,3.98,136,164609.2
2025-04-09,1159.0,1159.0,1159.0,1182.1,1.47,27,31339.2
2025-04-08,1165.0,1165.0,1165.0,1165.0,-1.27,25,29125.0
2025-04-02,1180.0,1180.0,1180.0,1180.0,1.01,25,29500.0
2025-04-01,1166.9,1166.9,1166.9,1168.2,0.11,3,3504.6
2025-03-26,1166.2,1166.2,1166.2,1166.9,0.06,1,1166.9
2025-03-24,1190.0,1190.0,1190.0,1166.2,-2.0,1,1166.2
