date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1450.0,1450.0,1417.9,1420.0,-2.73,1224,1747002.0
2026-02-11,1461.6,1461.6,1423.0,1459.9,1.88,1410,2023723.1
2026-02-10,1455.1,1465.0,1430.0,1433.0,-1.61,659,949666.0
2026-02-09,1498.0,1507.5,1450.6,1456.5,-3.38,2116,3149283.3
2026-02-08,1460.0,1507.5,1445.0,1507.5,2.0,1912,2810428.0
2026-02-05,1483.0,1512.0,1455.0,1478.0,1.64,355,521312.0
2026-02-04,1454.3,1480.0,1454.2,1454.2,-1.01,460,673966.0
2026-02-03,1479.0,1499.4,1449.5,1469.0,0.14,4025,5971080.1
2026-02-02,1426.2,1469.0,1426.2,1467.0,1.17,777,1130416.4
2026-02-01,1435.0,1508.0,1435.0,1450.0,0.0,1871,2747445.5
2026-01-29,1460.0,1468.0,1426.1,1450.0,0.69,3914,5640113.3
2026-01-28,1450.0,1460.0,1430.0,1440.0,-0.76,1128,1628585.0
2026-01-27,1488.0,1489.0,1423.1,1451.0,-0.62,1854,2690085.5
2026-01-26,1475.0,1500.0,1460.0,1460.0,-0.68,1936,2861304.0
2026-01-25,1465.0,1509.0,1450.0,1470.0,1.38,4501,6672162.2
2026-01-22,1430.1,1465.8,1430.0,1450.0,-0.34,2568,3721427.5
2026-01-21,1435.3,1460.0,1434.8,1455.0,-0.61,1900,2734240.7
2026-01-20,1465.0,1470.0,1442.0,1464.0,1.88,1450,2103615.4
2026-01-18,1438.0,1495.0,1437.0,1437.0,1.91,1786,2584873.6
2026-01-14,1440.0,1445.0,1410.0,1410.0,-1.4,1161,1646685.8
2026-01-13,1416.0,1447.0,1416.0,1430.0,-0.97,1976,2814358.0
2026-01-12,1427.0,1444.0,1422.0,1444.0,-0.48,1149,1640616.1
2026-01-08,1425.0,1476.9,1425.0,1451.0,0.21,573,826956.0
2026-01-07,1450.0,1470.9,1435.0,1448.0,-0.14,426,616503.0
2026-01-06,1441.0,1467.0,1430.0,1450.0,-1.28,1535,2213263.6
2026-01-05,1477.0,1477.0,1424.0,1468.8,1.3,718,1035295.0
2026-01-04,1422.1,1458.0,1410.0,1450.0,0.0,1350,1931876.3
2026-01-01,1437.0,1450.0,1425.0,1450.0,-0.61,1243,1782249.7
2025-12-31,1450.0,1472.0,1431.1,1458.9,1.31,1251,1810819.0
2025-12-29,1468.0,1484.9,1440.0,1440.0,-3.23,805,1170027.0
2025-12-28,1456.0,1497.0,1439.0,1488.0,0.2,2487,3618748.3
2025-12-24,1437.0,1523.0,1437.0,1485.0,1.28,297,436649.0
2025-12-23,1469.1,1589.0,1445.0,1466.3,-2.18,4993,7342398.7
2025-12-22,1576.9,1576.9,1456.0,1499.0,-6.84,3019,4480302.4
2025-12-21,1470.0,1609.0,1470.0,1609.0,8.14,759,1144189.0
2025-12-18,1463.0,1492.0,1462.0,1487.9,1.07,955,1397867.0
2025-12-17,1490.0,1500.0,1471.0,1472.2,-1.46,202,298020.4
2025-12-16,1500.0,1509.9,1490.0,1494.0,0.27,576,860328.9
2025-12-15,1472.6,1490.0,1472.6,1490.0,-0.6,83,123024.0
2025-12-14,1476.5,1499.0,1461.0,1499.0,0.87,290,427953.0
2025-12-11,1481.2,1498.0,1475.1,1486.1,-0.26,644,955676.7
2025-12-10,1519.0,1519.0,1488.9,1490.0,0.0,310,463519.0
2025-12-09,1489.0,1512.0,1487.0,1490.0,-1.26,802,1198624.0
2025-12-08,1500.0,1509.0,1482.2,1509.0,0.47,474,707850.0
2025-12-07,1501.0,1518.0,1501.0,1502.0,-1.17,626,941571.0
2025-12-03,1500.0,1519.8,1490.0,1519.8,1.57,120,181640.0
2025-12-02,1520.0,1520.0,1496.0,1496.3,-1.81,425,637270.5
2025-12-01,1520.0,1523.9,1495.0,1523.9,0.26,215,323020.0
2025-11-30,1550.4,1550.4,1493.0,1520.0,0.0,1020,1541106.0
2025-11-27,1501.0,1520.0,1498.0,1520.0,1.4,765,1156209.5
2025-11-26,1491.0,1519.9,1491.0,1499.0,-1.32,636,955049.8
2025-11-25,1480.2,1525.0,1480.2,1519.0,1.61,532,805786.0
2025-11-24,1534.5,1534.5,1495.0,1495.0,-1.64,620,935372.5
2025-11-23,1486.0,1521.0,1486.0,1520.0,1.4,774,1168866.0
2025-11-20,1480.2,1540.0,1480.2,1499.0,-0.73,857,1275856.0
2025-11-19,1510.0,1541.0,1500.0,1510.0,-1.24,1088,1639025.0
2025-11-18,1505.4,1545.0,1505.4,1529.0,-0.46,1040,1588107.0
2025-11-17,1530.0,1540.0,1470.0,1536.0,0.92,690,1033863.0
2025-11-16,1500.0,1525.0,1500.0,1522.0,-0.45,1360,2043760.0
