date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1899.0,1900.0,1861.2,1880.0,-1.0,1037,1943005.0
2026-02-11,1890.0,1900.0,1875.5,1899.0,0.48,578,1087902.7
2026-02-10,1900.0,1900.0,1889.0,1890.0,-0.42,1313,2481369.6
2026-02-09,1929.0,1929.0,1880.0,1898.0,-1.61,1531,2892248.0
2026-02-08,1940.0,1940.0,1900.0,1929.0,-0.05,577,1103255.0
2026-02-05,1898.0,1935.9,1898.0,1930.0,-0.21,836,1597283.4
2026-02-04,1922.0,1939.0,1887.0,1934.0,0.58,515,982497.6
2026-02-03,1896.0,1926.9,1885.5,1922.9,1.74,998,1910454.8
2026-02-02,1885.0,1925.0,1880.0,1890.0,-0.47,1073,2049381.7
2026-02-01,1916.0,1938.0,1890.0,1899.0,-0.89,2109,4000419.0
2026-01-29,1934.0,1949.0,1916.0,1916.0,-2.15,2883,5550290.7
2026-01-28,1942.0,1970.0,1931.1,1958.0,-0.66,596,1157184.9
2026-01-27,1964.1,1995.0,1935.3,1971.0,-1.28,1584,3114091.7
2026-01-26,1978.1,2016.9,1960.0,1996.6,0.94,1780,3525180.6
2026-01-25,1998.0,2020.0,1960.1,1978.1,0.97,2652,5286694.0
2026-01-22,1953.9,1960.0,1926.0,1959.0,0.21,1540,2991767.9
2026-01-21,1921.0,1954.9,1901.0,1954.9,1.76,601,1159908.5
2026-01-20,1930.0,1967.5,1915.0,1921.0,-0.56,694,1341281.5
2026-01-18,1900.0,1937.9,1900.0,1931.9,1.68,330,632821.0
2026-01-14,1900.0,1900.0,1876.0,1900.0,0.8,1147,2168380.3
2026-01-13,1900.0,1900.0,1870.0,1885.0,-0.79,843,1591436.2
2026-01-12,1901.0,1920.0,1895.0,1900.0,-1.55,2390,4550976.7
2026-01-08,1945.0,1947.1,1908.2,1930.0,-0.77,2262,4334646.3
2026-01-07,1905.0,1960.0,1900.2,1945.0,1.14,1638,3178665.4
2026-01-06,1930.0,1968.0,1923.0,1923.0,-1.33,1049,2027276.0
2026-01-05,1931.0,1949.0,1910.5,1949.0,0.93,998,1923515.5
2026-01-04,1950.0,1950.0,1930.0,1931.0,-1.23,898,1741186.9
2026-01-01,1935.0,1980.0,1929.7,1955.0,-0.71,491,950026.4
2025-12-31,1945.0,1969.0,1927.1,1969.0,1.49,966,1865066.0
2025-12-29,1941.0,1941.0,1940.0,1940.0,-0.72,172,333710.0
2025-12-28,1959.4,1959.4,1922.0,1954.0,1.72,693,1340393.8
2025-12-24,1910.0,1958.0,1900.1,1921.0,-0.52,742,1435386.1
2025-12-23,1930.0,1950.1,1922.2,1931.1,-0.77,363,701410.6
2025-12-22,1989.0,1989.0,1940.0,1946.0,-1.27,319,621134.8
2025-12-21,2015.0,2015.0,1950.0,1971.0,-0.9,708,1382682.5
