date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.05,9.2,8.81,9.08,1.79,50545,453187.65
2026-02-11,9.18,9.23,8.72,8.92,-1.44,16830,150945.0
2026-02-10,9.09,9.1,8.99,9.05,1.46,19570,176988.5
2026-02-09,8.78,9.25,8.78,8.92,-0.34,7100,64458.0
2026-02-08,9.0,9.14,8.95,8.95,-0.56,12830,115719.85
2026-02-05,9.42,9.42,8.82,9.0,-6.25,9710,88953.0
2026-02-04,9.5,9.69,9.5,9.6,-0.83,334351,3223133.1
2026-02-03,9.33,9.68,8.8,9.68,5.79,345512,3222998.54
2026-02-02,8.83,9.18,8.83,9.15,1.67,97325,882459.0
2026-02-01,8.8,9.14,8.8,9.0,1.58,228710,2060058.2
2026-01-29,8.67,9.04,8.67,8.86,0.68,133100,1186597.0
2026-01-28,8.73,9.0,8.73,8.8,0.8,117444,1043403.22
2026-01-27,8.67,8.96,8.67,8.73,-0.57,184228,1641193.24
2026-01-26,8.75,8.8,8.58,8.78,0.92,50850,444987.0
2026-01-25,8.54,8.81,8.54,8.7,-0.11,29196,252734.69
2026-01-22,8.58,8.75,8.58,8.71,-0.46,7830,68294.3
2026-01-21,9.0,9.0,8.61,8.75,-0.91,8924,78526.88
2026-01-20,8.43,8.88,8.43,8.83,2.67,82900,725285.0
2026-01-18,8.75,8.85,8.58,8.6,-1.71,19399,167105.0
2026-01-14,8.5,8.77,8.46,8.75,1.74,7711,66763.25
2026-01-13,8.55,8.72,8.39,8.6,-1.38,17000,145540.5
2026-01-12,8.45,8.77,8.45,8.72,1.75,14200,123569.0
2026-01-08,8.6,8.8,8.57,8.57,-1.49,25960,225995.8
2026-01-07,8.82,8.82,8.51,8.7,-0.46,23841,207200.9
2026-01-06,8.7,8.8,8.61,8.74,0.46,74735,655480.4
2026-01-05,8.88,8.88,8.55,8.7,-0.11,10850,94131.5
2026-01-04,8.5,8.71,8.45,8.71,1.28,41600,357251.0
2026-01-01,8.72,8.72,8.55,8.6,-1.38,14297,123159.84
2025-12-31,8.84,8.84,8.52,8.72,-0.34,16903,144860.66
2025-12-29,8.85,8.85,8.51,8.75,0.57,9550,82712.24
2025-12-28,8.46,8.84,8.46,8.7,2.84,47391,406919.7
2025-12-24,8.38,8.63,8.31,8.46,-1.05,8795,74600.75
2025-12-23,8.67,8.67,8.39,8.55,-1.27,7800,66447.0
2025-12-22,8.5,8.66,8.5,8.66,0.23,22783,195362.5
2025-12-21,8.42,8.64,8.42,8.64,1.89,6750,57677.0
2025-12-18,8.4,8.7,8.4,8.48,-0.82,19400,166092.5
2025-12-17,8.87,8.87,8.53,8.55,-1.84,8005,69438.1
2025-12-16,8.5,8.8,8.36,8.71,3.44,18750,158785.5
2025-12-15,8.35,8.6,8.35,8.42,-0.94,7618,64558.9
2025-12-14,8.37,8.6,8.37,8.5,0.47,13650,116078.5
2025-12-11,8.84,8.84,8.46,8.46,-2.87,4600,39576.0
2025-12-10,8.35,8.71,8.35,8.71,2.96,10550,88583.5
2025-12-09,8.37,8.7,8.37,8.46,-0.59,17556,149798.01
2025-12-08,8.4,8.6,8.4,8.51,0.35,3490,29715.0
2025-12-07,8.34,8.77,8.34,8.48,0.0,32130,277194.0
2025-12-03,8.5,8.79,8.38,8.48,-2.19,5400,46233.0
2025-12-02,8.8,8.8,8.33,8.67,-0.34,29687,250715.85
2025-12-01,8.5,8.7,8.42,8.7,2.47,23349,198974.35
2025-11-30,8.67,8.67,8.49,8.49,-0.12,6856,58474.65
2025-11-27,8.63,8.8,8.49,8.5,0.35,76631,671086.65
2025-11-26,8.45,8.62,8.45,8.47,-0.35,33503,284079.45
2025-11-25,8.93,8.93,8.44,8.5,-3.08,3050,26057.5
2025-11-24,8.68,8.77,8.35,8.77,3.06,7650,65574.5
2025-11-23,8.84,8.84,8.33,8.51,-2.74,24100,206541.56
2025-11-20,8.36,8.75,8.27,8.75,2.82,29652,251889.3
2025-11-19,8.82,8.82,8.49,8.51,-1.73,4257,36475.64
2025-11-18,8.79,8.8,8.63,8.66,-0.69,26261,228873.72
2025-11-17,8.81,8.81,8.58,8.72,0.23,3298,28649.38
2025-11-16,8.55,8.75,8.45,8.7,1.16,19915,172433.35
2025-11-13,8.3,8.65,8.3,8.6,2.38,17310,148735.4
2025-11-12,8.36,8.45,8.36,8.4,-0.36,14570,122080.7
2025-11-11,8.44,8.64,8.3,8.43,-1.98,87350,739008.2
2025-11-10,8.53,8.6,8.39,8.6,-1.15,30897,260337.8
2025-11-09,8.75,8.89,8.49,8.7,-2.47,6402,55033.1
2025-11-06,9.0,9.0,8.76,8.92,0.22,2243,19988.83
2025-11-05,8.91,8.91,8.57,8.9,1.71,5302,46005.81
2025-11-04,8.74,8.9,8.57,8.75,0.11,13551,120172.0
2025-11-03,8.9,8.9,8.55,8.74,-0.57,43301,372647.88
2025-11-02,9.01,9.01,8.66,8.79,-0.57,4796,42179.68
2025-10-30,8.88,9.05,8.56,8.84,1.38,17305,152104.34
