date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,360.8,366.0,360.0,364.8,0.97,50073,18177632.1
2026-02-11,367.7,370.0,360.6,361.3,0.22,40706,14776103.2
2026-02-10,367.0,367.0,360.0,360.5,-1.45,42278,15313174.1
2026-02-09,364.1,386.0,364.0,365.8,-1.53,77716,28494435.2
2026-02-08,370.9,376.0,370.0,371.5,0.65,55374,20655005.5
2026-02-05,361.0,370.0,360.0,369.1,1.6,58013,21278236.8
2026-02-04,361.0,366.8,359.0,363.3,0.28,51887,18798358.5
2026-02-03,365.9,368.0,361.6,362.3,-0.69,50652,18457906.2
2026-02-02,364.0,365.1,360.1,364.8,0.27,36582,13256135.2
2026-02-01,362.0,365.0,358.5,363.8,0.47,57012,20565490.3
2026-01-29,365.1,369.4,362.1,362.1,-0.52,82065,29992043.5
2026-01-28,365.0,369.8,360.2,364.0,-0.27,49437,18066095.3
2026-01-27,380.0,380.0,363.1,365.0,-3.05,109414,40436566.2
2026-01-26,388.0,388.0,372.8,376.5,-2.61,131865,49909911.9
2026-01-25,390.5,390.5,377.0,386.6,-0.36,112505,43264144.2
2026-01-22,367.0,395.0,366.0,388.0,4.33,88444,32743014.6
2026-01-21,377.9,379.9,368.0,371.9,-0.56,84566,31519017.2
2026-01-20,368.9,380.0,362.0,374.0,1.91,172840,64321512.4
2026-01-18,347.0,367.0,346.6,367.0,5.16,126744,45295417.4
2026-01-14,353.9,354.8,347.1,349.0,-0.06,62805,21985797.7
2026-01-13,352.0,354.0,348.0,349.2,-0.51,39171,13708006.9
2026-01-12,350.0,354.0,349.3,351.0,0.29,32646,11468621.8
2026-01-08,352.0,352.0,348.5,350.0,-0.57,21943,7672809.7
2026-01-07,354.9,355.0,350.0,352.0,-0.51,29813,10493424.0
2026-01-06,353.9,355.7,350.0,353.8,0.8,47759,16885197.9
2026-01-05,347.0,353.9,345.0,351.0,1.45,47306,16533435.2
2026-01-04,350.0,353.0,346.0,346.0,-1.7,38670,13443964.8
2026-01-01,355.0,355.0,350.2,352.0,-0.82,28968,10190234.3
2025-12-31,348.8,357.9,348.0,354.9,0.37,30485,10787390.7
2025-12-29,350.0,359.9,347.2,353.6,1.03,101469,35945026.5
2025-12-28,346.0,352.0,343.1,350.0,2.16,50133,17438424.1
2025-12-24,340.1,345.0,340.1,342.6,-0.29,40508,13898375.7
2025-12-23,347.5,347.5,342.5,343.6,-0.12,17441,6019962.3
2025-12-22,347.0,348.4,344.0,344.0,-0.86,18902,6533051.8
2025-12-21,349.0,350.0,346.0,347.0,-0.57,12801,4445248.1
2025-12-18,353.8,353.8,348.0,349.0,-0.57,21513,7516240.7
2025-12-17,351.9,354.9,348.2,351.0,-0.17,32222,11300988.6
2025-12-16,346.5,351.7,345.0,351.6,1.94,28205,9836707.4
2025-12-15,343.5,345.7,342.1,344.9,0.7,33298,11451913.9
2025-12-14,346.9,346.9,342.5,342.5,-0.44,18350,6301681.9
2025-12-11,347.0,349.1,343.0,344.0,0.29,29195,10040562.4
2025-12-10,342.0,345.0,342.0,343.0,0.0,28584,9803350.6
2025-12-09,345.0,345.0,341.4,343.0,0.23,17815,6106389.8
2025-12-08,347.9,347.9,341.3,342.2,-0.81,40530,13915580.6
2025-12-07,347.5,351.3,344.0,345.0,-0.83,48961,16911547.2
2025-12-03,354.0,354.0,345.4,347.9,-0.88,47587,16590206.5
2025-12-02,355.8,355.8,350.5,351.0,-0.62,12546,4413480.0
2025-12-01,354.0,355.0,351.9,353.2,-0.08,21246,7503166.4
2025-11-30,359.0,359.0,353.5,353.5,-0.92,24193,8622624.7
