date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,810.4,846.0,810.4,815.2,0.02,1508,1248643.6
2026-02-11,827.0,836.0,811.0,815.0,0.49,4997,4097623.3
2026-02-10,815.0,820.0,811.0,811.0,-1.1,995,808575.0
2026-02-09,821.1,822.0,810.0,820.0,0.0,2190,1786532.0
2026-02-08,810.7,826.0,810.7,820.0,-0.36,654,535971.0
2026-02-05,806.0,829.0,806.0,823.0,0.37,975,800791.4
2026-02-04,810.0,825.9,810.0,820.0,-0.13,1697,1398459.7
2026-02-03,820.1,827.0,805.0,821.1,-0.35,2398,1952252.4
2026-02-02,818.0,830.0,818.0,824.0,-0.72,560,461040.0
2026-02-01,830.0,846.0,821.0,830.0,0.0,5185,4323298.6
2026-01-29,820.0,877.0,820.0,830.0,0.12,3154,2648131.5
2026-01-28,815.0,829.0,815.0,829.0,0.61,1110,909938.0
2026-01-27,826.0,836.0,823.0,824.0,-1.08,2130,1763533.0
2026-01-26,840.0,840.0,825.0,833.0,-0.83,1295,1074022.0
2026-01-25,825.0,850.0,821.0,840.0,1.82,2880,2415776.1
2026-01-22,820.0,830.0,815.0,825.0,0.72,3682,3031057.8
2026-01-21,820.0,836.0,815.0,819.1,-0.11,2805,2306502.0
2026-01-20,820.0,833.0,820.0,820.0,-1.2,4814,3959603.0
2026-01-18,815.0,843.5,815.0,830.0,0.0,436,361366.2
2026-01-14,825.0,830.0,815.1,830.0,-0.24,1244,1023383.8
2026-01-13,815.0,832.0,813.0,832.0,0.48,1923,1583452.0
2026-01-12,815.0,828.0,814.0,828.0,-0.24,2005,1635615.0
2026-01-08,814.1,830.0,807.0,830.0,1.69,856,701572.0
2026-01-07,817.0,841.0,815.0,816.2,-1.07,1123,926222.0
2026-01-06,825.0,825.0,817.1,825.0,0.12,1600,1311926.4
2026-01-05,830.0,830.0,815.0,824.0,-0.72,1215,995047.0
2026-01-04,840.0,863.0,830.0,830.0,-1.19,1970,1653566.0
2026-01-01,835.1,840.0,830.0,840.0,-0.67,2141,1790640.8
2025-12-31,864.0,865.0,845.2,845.7,-0.97,922,784789.0
2025-12-29,875.0,875.0,835.0,854.0,-2.29,7945,6756275.5
2025-12-28,800.1,878.0,800.1,874.0,9.49,6407,5367099.4
2025-12-24,911.0,920.0,908.1,918.0,1.34,2958,2702289.5
2025-12-23,897.0,909.0,895.5,905.9,1.08,2225,2014022.0
2025-12-22,912.0,912.0,896.2,896.2,-1.29,1625,1461845.9
2025-12-21,897.0,914.0,896.1,907.9,0.21,830,751723.0
2025-12-18,890.2,906.0,890.2,906.0,0.67,1051,948857.5
2025-12-17,892.0,905.0,892.0,900.0,-1.1,767,690517.0
2025-12-16,900.2,918.0,900.2,910.0,-0.43,1415,1288891.5
