date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1547.5,1695.0,1547.5,1600.0,1.33,130568,212368752.5
2026-02-11,1621.9,1704.0,1551.0,1579.0,-4.59,33355,53017037.0
2026-02-10,1642.5,1708.6,1640.0,1655.0,-1.25,21688,35941502.7
2026-02-09,1655.3,1835.0,1622.2,1676.0,-0.77,126035,216300069.3
2026-02-08,1754.2,1754.2,1611.0,1689.0,-5.64,34743,57812531.1
2026-02-05,1679.4,1800.0,1613.1,1789.9,4.45,63044,106713710.4
2026-02-04,1804.3,1804.3,1632.7,1713.6,-3.13,52532,88417436.9
2026-02-03,1665.1,1834.0,1568.0,1769.0,4.12,128700,218211233.2
2026-02-02,1572.0,1734.0,1550.0,1699.0,5.92,57110,91984407.7
2026-02-01,1548.4,1669.0,1519.1,1604.0,1.52,50240,80190938.7
2026-01-29,1645.5,1725.0,1519.0,1580.0,-5.9,94079,152390347.1
2026-01-28,1724.8,1724.8,1625.0,1679.0,-4.6,45495,75834830.3
2026-01-27,1666.0,1765.0,1530.0,1760.0,3.53,49878,81917757.9
2026-01-26,1587.6,1700.0,1494.4,1700.0,4.94,103412,166465909.5
2026-01-25,1497.5,1628.0,1467.6,1620.0,6.02,65085,99009903.5
2026-01-22,1507.3,1528.0,1393.0,1528.0,-0.65,63480,93721906.4
2026-01-21,1380.9,1544.2,1380.9,1538.0,9.16,75544,108559861.4
2026-01-20,1384.5,1519.8,1384.0,1409.0,-0.26,49182,69676106.5
2026-01-18,1319.5,1468.0,1319.5,1412.7,4.92,49300,67408885.5
2026-01-14,1315.2,1395.0,1290.0,1346.4,0.33,85970,115380207.3
2026-01-13,1376.4,1403.0,1340.0,1342.0,-4.44,30989,42204249.4
2026-01-12,1374.0,1470.0,1352.0,1404.4,0.17,63663,88939164.5
2026-01-08,1367.1,1419.0,1339.8,1402.0,0.5,31451,43388173.8
2026-01-07,1288.7,1395.0,1255.2,1395.0,6.08,50251,66564107.5
2026-01-06,1233.9,1350.0,1233.9,1315.0,4.45,27822,35592785.7
2026-01-05,1136.9,1269.9,1136.9,1259.0,8.53,24999,30599844.9
2026-01-04,1156.4,1191.0,1156.4,1160.1,-1.69,49489,57911638.9
2026-01-01,1175.0,1182.0,1128.5,1180.0,2.43,38117,44150575.6
2025-12-31,1138.0,1182.0,1130.0,1152.0,1.3,24802,28697676.1
2025-12-29,1175.0,1186.9,1137.2,1137.2,-1.28,31999,37199097.5
2025-12-28,1123.0,1193.4,1123.0,1152.0,0.61,11461,13340458.0
2025-12-24,1137.8,1183.0,1137.0,1145.0,-1.38,32078,37270048.8
2025-12-23,1149.8,1218.0,1149.8,1161.0,-1.04,12975,15305130.0
2025-12-22,1127.1,1230.0,1127.1,1173.2,2.01,27819,32877532.2
2025-12-21,1219.2,1219.2,1124.8,1150.1,-7.55,14786,17291433.7
2025-12-18,1193.7,1275.0,1190.1,1244.0,2.13,34680,42759064.1
2025-12-17,1097.5,1225.0,1033.5,1218.0,8.77,66327,75410630.1
2025-12-16,1010.3,1119.8,1010.3,1119.8,9.99,35937,38454606.4
2025-12-15,1014.3,1043.8,1003.3,1018.1,-1.63,51580,52755725.3
2025-12-14,1004.5,1060.0,1004.5,1035.0,0.98,40264,41371177.0
2025-12-11,1011.3,1058.0,1011.3,1025.0,-0.67,16572,17100770.5
2025-12-10,1000.6,1059.0,1000.6,1031.9,1.07,18003,18376201.9
2025-12-09,1020.0,1058.0,1018.0,1021.0,-1.64,45044,46293795.7
2025-12-08,998.7,1100.0,998.7,1038.0,1.86,55446,57863876.2
2025-12-07,1053.5,1058.0,1000.0,1019.0,-5.21,10703,10854266.4
2025-12-03,1070.0,1100.0,1058.0,1075.0,-1.29,37283,40233541.4
2025-12-02,1009.6,1130.0,977.0,1089.0,5.71,84482,89095928.4
2025-12-01,946.6,1030.2,940.0,1030.2,6.66,111752,107322233.3
2025-11-30,926.1,979.0,890.0,965.9,2.21,43130,39918344.3
2025-11-27,892.8,957.0,892.8,945.0,3.73,42295,38600955.9
2025-11-26,883.6,918.0,883.6,911.0,1.04,18089,16415861.6
2025-11-25,883.3,906.9,865.8,901.6,2.07,47353,42073468.5
2025-11-24,847.0,883.3,846.1,883.3,2.83,36976,31933888.1
2025-11-23,834.9,860.9,818.3,859.0,0.83,22866,19433684.1
2025-11-20,820.1,853.0,820.1,851.9,1.8,63130,53107627.0
2025-11-19,854.0,854.0,818.0,836.8,-0.38,43674,35990181.0
2025-11-18,810.0,846.0,810.0,840.0,5.58,30555,25230858.5
2025-11-17,760.0,838.1,760.0,795.6,2.66,23482,18695059.4
2025-11-16,790.0,795.0,775.0,775.0,-1.9,5260,4144611.0
2025-11-13,798.9,798.9,775.7,790.0,0.64,40460,31883985.0
2025-11-12,809.0,809.0,779.0,785.0,-1.13,16171,12769517.9
2025-11-11,769.3,810.0,769.3,794.0,1.15,27189,21534282.4
2025-11-10,775.0,800.0,760.0,785.0,-0.01,9601,7494559.1
2025-11-09,791.0,798.8,785.1,785.1,-1.99,24904,19728656.0
2025-11-06,765.4,844.5,765.4,801.0,2.56,51395,41592055.5
2025-11-05,777.2,807.0,776.0,781.0,-1.51,7145,5609072.1
2025-11-04,788.9,822.0,788.9,793.0,-1.49,9837,7911754.1
2025-11-03,799.7,894.0,765.0,805.0,-1.35,51441,44243903.1
2025-11-02,739.9,825.0,739.9,816.0,8.08,53163,41839135.8
2025-10-30,740.0,760.0,735.1,755.0,2.03,14895,11109989.0
2025-10-29,734.1,757.0,725.2,740.0,-1.2,21953,16094455.2
2025-10-28,740.0,749.0,724.0,749.0,2.6,14924,10971277.9
2025-10-26,720.3,779.0,662.0,730.0,-0.68,94455,68246441.0
2025-10-19,705.6,769.0,666.0,735.0,2.08,43980,31528326.5
2025-10-16,692.9,775.0,692.9,720.0,1.84,119254,87188888.1
2025-10-15,719.4,777.0,705.3,707.0,-3.68,53390,39322117.0
2025-10-14,715.5,785.0,715.0,734.0,0.53,19896,15185947.6
2025-10-13,709.6,790.0,700.1,730.1,0.84,92723,68662360.5
2025-10-12,720.3,792.5,688.0,724.0,-1.5,81675,60381909.0
2025-10-09,739.0,810.0,725.0,735.0,-2.52,82309,62038914.0
2025-10-08,738.0,783.0,726.0,754.0,0.13,40429,30564647.6
2025-10-07,768.4,799.0,725.0,753.0,-3.95,58839,44663183.9
2025-09-28,756.6,785.2,756.6,784.0,1.55,14486,11087302.0
2025-09-25,805.0,805.0,761.0,772.0,-5.85,28158,22176983.2
2025-09-24,796.5,847.0,796.5,820.0,0.9,47682,38952976.5
2025-09-23,724.1,812.7,724.0,812.7,9.99,79334,62140049.1
