date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,495.0,498.7,492.5,495.0,-0.2,83293,41246451.3
2026-02-11,500.0,500.0,495.0,496.0,-0.08,42061,20905981.1
2026-02-10,496.0,499.8,492.1,496.4,0.1,63267,31386145.5
2026-02-09,499.0,499.0,494.0,495.9,-0.52,68038,33764079.0
2026-02-08,497.3,500.9,497.0,498.5,-0.16,75640,37753491.4
2026-02-05,499.9,501.0,496.5,499.3,0.65,98644,49234318.5
2026-02-04,489.0,502.0,489.0,496.1,-0.38,49627,24731834.8
2026-02-03,500.0,500.0,496.0,498.0,-0.16,78804,39301639.4
2026-02-02,488.2,500.0,488.2,498.8,0.14,61083,30416105.6
2026-02-01,500.0,506.0,497.0,498.1,0.22,84076,41889487.5
2026-01-29,500.0,508.0,493.0,497.0,1.02,132087,65706865.4
2026-01-28,492.1,495.0,490.1,492.0,-0.59,48841,24022794.9
2026-01-27,497.0,500.0,492.1,494.9,-0.42,72291,35899477.5
2026-01-26,501.0,504.0,496.0,497.0,-0.04,109372,54595184.2
2026-01-25,496.9,499.0,492.0,497.2,0.83,104063,51522824.2
2026-01-22,498.0,498.0,492.3,493.1,-0.6,63230,31254327.7
2026-01-21,502.0,504.0,493.0,496.1,-0.08,44079,21895053.7
2026-01-20,490.8,500.0,490.8,496.5,1.16,72522,36046488.1
2026-01-18,488.0,492.0,487.7,490.8,0.68,71435,34993592.4
2026-01-14,490.0,490.0,487.0,487.5,-0.12,44542,21754316.3
2026-01-13,496.0,496.0,485.0,488.1,0.23,60812,29667983.9
2026-01-12,490.0,495.0,487.0,487.0,-0.41,40413,19756468.0
2026-01-08,492.0,492.0,486.5,489.0,0.0,35678,17440255.3
2026-01-07,493.0,493.9,489.0,489.0,-0.1,38590,18897060.9
2026-01-06,490.0,492.0,489.0,489.5,0.0,47593,23337901.1
2026-01-05,492.0,492.0,488.1,489.5,-0.16,57630,28212967.3
2026-01-04,491.5,495.0,488.1,490.3,-0.35,44294,21764273.6
2026-01-01,495.0,496.0,490.0,492.0,-0.95,35796,17621654.7
2025-12-31,500.0,502.0,494.7,496.7,-1.93,65111,32322187.3
2025-12-29,508.0,508.9,500.0,506.5,0.62,78664,39714119.5
2025-12-28,499.0,504.0,496.0,503.4,0.96,61455,30743662.3
2025-12-24,498.5,500.0,496.1,498.6,0.28,40096,19950202.3
2025-12-23,499.0,502.0,496.5,497.2,0.02,33607,16728796.7
2025-12-22,500.0,500.0,492.0,497.1,0.02,36711,18260463.0
2025-12-21,500.0,504.4,493.0,497.0,-0.4,24230,12035693.7
2025-12-18,500.0,504.0,495.1,499.0,-0.18,39506,19630075.1
2025-12-17,503.0,505.0,497.0,499.9,0.18,44903,22470657.4
2025-12-16,494.0,500.0,494.0,499.0,1.01,30522,15190235.7
2025-12-15,492.0,495.0,489.0,494.0,0.41,36245,17841282.7
2025-12-14,500.0,500.0,490.0,492.0,-0.61,78979,38805203.6
2025-12-11,492.2,497.5,492.0,495.0,0.06,37306,18444209.7
2025-12-10,500.0,500.0,493.0,494.7,-0.26,29665,14662013.9
2025-12-09,500.0,500.0,491.1,496.0,0.2,55413,27362965.0
2025-12-08,503.0,503.0,495.0,495.0,-1.59,81912,40826003.0
2025-12-07,502.0,510.0,502.0,503.0,-1.41,88964,44873341.0
2025-12-03,515.0,515.0,510.0,510.2,-0.45,25319,12928141.9
2025-12-02,512.0,516.8,510.0,512.5,0.1,39306,20173367.4
2025-12-01,519.4,519.4,510.5,512.0,-0.23,21944,11231680.4
2025-11-30,518.0,522.0,513.0,513.2,-0.33,40956,21135249.6
2025-11-27,511.0,517.0,509.0,514.9,0.76,50106,25732377.4
2025-11-26,510.0,513.0,507.0,511.0,0.1,35156,17950129.5
2025-11-25,518.0,518.0,508.5,510.5,-0.49,29221,14914041.2
2025-11-24,508.0,513.9,507.0,513.0,0.69,22139,11338962.7
2025-11-23,505.0,510.5,505.0,509.5,0.69,48408,24607528.2
2025-11-20,508.0,508.0,503.0,506.0,-0.2,27947,14102498.5
2025-11-19,511.0,511.0,505.0,507.0,-0.02,18121,9178167.3
2025-11-18,508.0,510.0,505.6,507.1,-0.18,24383,12391665.5
2025-11-17,504.0,509.9,504.0,508.0,0.89,24130,12232442.7
2025-11-16,503.0,506.9,501.0,503.5,0.1,31462,15877157.7
2025-11-13,505.1,505.1,502.0,503.0,-0.2,32775,16502822.2
2025-11-12,508.0,508.9,504.0,504.0,-0.77,29577,14939381.3
2025-11-11,510.0,510.0,505.3,507.9,-0.22,21898,11118916.7
2025-11-10,509.0,510.0,506.0,509.0,0.1,49391,25118841.2
2025-11-09,510.0,514.9,507.0,508.5,0.24,39600,20165989.7
2025-11-06,515.0,517.0,506.7,507.3,-1.13,46224,23608561.1
2025-11-05,513.0,516.9,508.0,513.1,0.39,27044,13853498.0
2025-11-04,515.0,517.9,511.1,511.1,-0.39,27560,14170430.6
2025-11-03,515.0,517.0,510.1,513.1,0.39,32079,16515996.3
2025-11-02,516.1,516.1,508.0,511.1,1.01,33330,17040192.6
2025-10-30,503.1,512.0,503.1,506.0,-0.2,37178,18886889.1
2025-10-29,509.0,516.3,507.0,507.0,-0.39,51578,26340988.3
2025-10-28,505.3,510.0,505.0,509.0,0.73,49884,25341556.5
2025-10-26,508.0,508.0,503.0,505.3,-0.51,32708,16536001.6
2025-10-19,512.0,512.0,506.0,507.9,-0.22,38379,19552540.9
2025-10-16,517.9,517.9,506.0,509.0,0.06,37341,18987148.5
2025-10-15,518.0,518.0,507.0,508.7,-0.25,38107,19392773.3
2025-10-14,518.5,518.5,510.0,510.0,0.0,31168,15920085.6
2025-10-13,519.9,520.0,506.0,510.0,-0.1,53374,27268268.7
2025-10-12,530.2,530.2,505.0,510.5,-1.81,65413,33410328.4
2025-10-09,523.9,544.0,514.0,519.9,1.15,43284,22572450.2
2025-10-08,523.0,523.0,505.0,514.0,-1.34,78401,39999289.5
2025-10-07,530.0,530.0,512.6,521.0,-1.14,48977,25450439.7
2025-09-28,524.0,528.0,521.0,527.0,1.04,30997,16269472.5
2025-09-25,523.0,524.9,516.0,521.6,-0.08,28626,14946270.3
2025-09-24,525.0,528.0,515.0,522.0,-0.29,59254,30932259.0
2025-09-23,516.9,525.0,513.0,523.5,2.61,55373,28777561.9
2025-09-21,474.0,514.0,474.0,510.18,5.63,122490,61735387.9
2025-09-18,502.9,502.9,471.0,483.0,-5.88,16660,8052975.0
2025-09-08,515.0,515.0,510.0,513.15,-0.33,42962,21964392.8
2025-09-07,507.3,517.8,507.3,514.87,-0.52,25831,13310474.8
2025-09-04,528.0,528.0,515.0,517.58,-0.44,40199,20749919.0
2025-09-03,520.0,529.0,519.0,519.88,-0.74,34096,17740832.0
2025-09-02,538.2,538.2,523.3,523.75,-0.74,34983,18405010.2
2025-09-01,531.2,531.2,518.0,527.66,1.31,42334,22222760.8
2025-08-31,535.0,536.9,520.0,520.84,-1.52,66938,35271776.5
2025-08-28,532.0,538.9,527.0,528.86,-0.94,83641,44571924.6
2025-08-27,539.9,539.9,526.5,533.87,0.85,64476,34175100.6
