date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1060.0,1061.3,1060.0,1061.3,0.08,150,159130.0
2026-02-11,1060.2,1060.4,1060.2,1060.4,0.04,51,54075.2
2026-02-05,1060.0,1060.0,1060.0,1060.0,0.28,425,450500.0
2026-02-04,1055.8,1057.0,1055.8,1057.0,0.4,125,132029.0
2026-02-03,1052.8,1052.8,1052.8,1052.8,-0.33,100,105280.0
2026-02-02,1056.3,1056.3,1056.3,1056.3,1.08,50,52815.0
2026-02-01,1051.0,1052.0,1045.0,1045.0,-1.42,175,183352.5
2026-01-28,1055.4,1060.1,1055.4,1060.0,0.44,77,81554.0
2026-01-27,1055.4,1055.4,1055.4,1055.4,0.27,25,26385.0
2026-01-25,1052.1,1052.6,1052.1,1052.6,-0.81,50,52617.5
2026-01-21,1061.2,1061.2,1061.2,1061.2,0.48,25,26530.0
2026-01-20,1053.1,1056.1,1053.1,1056.1,-1.58,50,52730.0
2026-01-18,1073.0,1073.0,1073.0,1073.0,-0.01,25,26825.0
2026-01-14,1073.1,1073.1,1073.1,1073.1,-2.0,25,26827.5
2026-01-13,1072.0,1095.0,1072.0,1095.0,1.01,500,545934.0
2026-01-12,1082.0,1084.0,1082.0,1084.0,0.37,50,54150.0
2026-01-08,1081.0,1081.0,1080.0,1080.0,0.37,105,113475.0
2026-01-07,1077.0,1077.0,1076.0,1076.0,-1.91,30,32290.0
2026-01-06,1081.0,1097.0,1081.0,1097.0,1.11,525,575525.0
2026-01-05,1078.0,1085.0,1078.0,1085.0,0.37,50,54075.0
2026-01-01,1081.0,1081.0,1081.0,1081.0,-1.01,100,108100.0
2025-12-31,1080.0,1092.0,1080.0,1092.0,0.18,250,272700.0
2025-12-29,1087.1,1090.0,1087.1,1090.0,0.27,105,114350.0
2025-12-28,1090.0,1090.0,1087.1,1087.1,-0.72,300,326630.0
2025-12-24,1082.0,1095.0,1082.0,1095.0,-0.82,300,326555.0
2025-12-21,1074.0,1104.0,1074.0,1104.0,2.32,975,1074217.5
2025-12-17,1073.0,1079.0,1073.0,1079.0,1.12,75,80625.0
2025-12-15,1067.0,1067.0,1067.0,1067.0,-1.3,50,53350.0
2025-12-14,1081.0,1081.0,1081.0,1081.0,-1.99,100,108100.0
2025-12-11,1100.0,1125.0,1100.0,1103.0,0.73,2254,2534205.0
2025-12-10,1110.0,1114.0,1095.0,1095.0,-1.35,170,188545.0
2025-12-09,1120.0,1125.0,1102.0,1110.0,0.29,720,803650.0
2025-12-08,1085.1,1106.8,1085.1,1106.8,2.01,2169,2388415.1
2025-12-03,1080.8,1085.0,1080.8,1085.0,0.78,120,129780.0
2025-12-02,1076.6,1076.6,1076.6,1076.6,0.24,30,32298.0
2025-12-01,1087.0,1087.0,1074.0,1074.0,-2.31,325,352950.0
2025-11-30,1087.0,1099.4,1078.0,1099.4,1.8,1084,1178944.2
2025-11-27,1069.1,1080.0,1069.1,1080.0,1.12,358,385684.2
2025-11-26,1068.0,1068.0,1068.0,1068.0,0.56,15,16020.0
2025-11-25,1070.0,1070.0,1062.1,1062.1,0.1,330,352463.0
2025-11-24,1071.2,1071.2,1061.0,1061.0,-2.35,176,188266.1
2025-11-23,1066.0,1086.5,1050.0,1086.5,2.11,1989,2152354.5
2025-11-20,1067.0,1067.0,1063.0,1064.0,0.18,200,212925.0
2025-11-19,1057.0,1065.0,1056.1,1062.1,-0.55,234,248130.9
2025-11-18,1065.0,1068.0,1064.1,1068.0,-0.04,1350,1438912.5
2025-11-17,1070.0,1070.0,1059.3,1068.4,-0.06,175,186540.0
2025-11-16,1000.0,1082.4,1000.0,1069.0,6.9,224,237952.1
2026-02-17,1060.0,1066.1,1060.0,1066.1,0.1,520,554172.5
2026-02-16,1080.0,1080.0,1065.0,1065.0,0.35,58,62070.0
2026-02-25,1066.1,1066.1,1066.1,1080.0,1.3,2,2160.0
2026-03-01,1058.4,1058.4,1058.4,1058.4,-2.0,30,31752.0
2026-03-10,1058.4,1058.4,1053.1,1053.1,-0.5,25,26355.1
2026-03-11,1055.0,1055.0,1055.0,1055.0,0.18,30,31650.0
2026-03-12,1058.1,1058.1,1058.1,1058.0,0.28,25,26452.4
2026-03-15,1058.2,1058.2,1058.2,1058.2,0.02,50,52910.0
2026-03-17,1058.2,1078.1,1058.2,1078.1,1.88,100,106793.9
2026-03-19,1056.7,1077.8,1056.7,1077.8,-0.03,75,80307.5
2026-03-23,1070.0,1070.0,1070.0,1070.0,-0.72,25,26750.0
2026-03-24,1050.0,1050.0,1050.0,1050.0,-1.87,25,26250.0
2026-03-25,1050.0,1050.0,1050.0,1050.0,0.0,25,26250.0
2026-03-26,1070.0,1071.0,1049.6,1070.5,1.95,140,149365.0
2026-03-30,1051.0,1051.0,1051.0,1051.0,-0.01,200,210200.0
2026-03-29,1049.1,1060.0,1049.1,1051.1,-1.81,80,84250.5
2026-04-06,1061.0,1061.0,1061.0,1061.0,0.95,50,53050.0
2026-04-05,1053.0,1053.0,1051.0,1051.0,0.0,80,84140.0
2026-04-07,1060.0,1080.0,1050.0,1080.0,1.79,575,619056.7
2026-04-08,1058.6,1058.6,1058.6,1058.6,-1.98,70,74102.0
2026-04-10,1050.2,1060.0,1050.2,1060.0,0.13,100,105300.0
2026-04-15,1049.0,1049.0,1049.0,1049.0,-1.04,25,26225.0
2026-04-17,1060.0,1061.0,1050.3,1061.0,1.14,125,132332.5
2026-04-21,1061.0,1061.0,1061.0,1061.0,0.87,25,26525.0
2026-04-20,1060.0,1060.0,1051.9,1051.9,-0.86,50,52797.5
