date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.96,9.97,9.61,9.65,-1.23,26825,265070.0
2026-02-11,9.41,9.77,9.39,9.77,1.98,90149,876805.73
2026-02-10,9.4,9.58,9.22,9.58,1.91,51940,493462.18
2026-02-09,9.4,9.5,9.32,9.4,-0.74,12200,114716.0
2026-02-08,9.44,9.6,9.44,9.47,-1.56,41320,391921.6
2026-02-05,9.38,9.62,9.38,9.62,0.52,28299,267750.48
2026-02-04,9.36,9.59,9.36,9.57,0.21,23449,223075.91
2026-02-03,9.46,9.64,9.28,9.55,0.95,26905,255967.55
2026-02-02,9.38,9.56,9.31,9.46,-1.05,23540,221415.4
2026-02-01,9.41,9.78,9.41,9.56,-0.42,17790,169322.6
2026-01-29,9.6,9.73,9.42,9.6,0.63,81640,785466.4
2026-01-28,9.88,9.88,9.5,9.54,-1.55,13310,127842.3
2026-01-27,9.69,9.87,9.37,9.69,2.0,106990,1049726.2
2026-01-26,9.52,9.67,9.33,9.5,1.71,231520,2209191.2
2026-01-25,9.18,9.45,9.18,9.34,0.11,54560,508276.0
2026-01-22,9.2,9.33,9.1,9.33,1.41,128888,1200081.93
2026-01-21,9.1,9.4,9.1,9.2,-0.22,9870,90633.0
2026-01-20,9.3,9.32,9.1,9.22,-0.86,31455,291012.74
2026-01-18,9.18,9.3,9.02,9.3,1.31,48129,441231.62
2026-01-14,8.94,9.18,8.94,9.18,0.77,9300,84295.0
2026-01-13,9.25,9.25,9.07,9.11,0.11,30068,274714.3
2026-01-12,8.94,9.27,8.94,9.1,-0.11,10430,95131.0
2026-01-08,9.02,9.2,9.02,9.11,-0.98,8207,74805.8
2026-01-07,9.05,9.2,9.05,9.2,0.88,55350,506811.0
2026-01-06,9.01,9.2,9.01,9.12,0.22,11590,106206.2
2026-01-05,9.1,9.2,9.01,9.1,0.0,19845,181948.8
2026-01-04,9.11,9.23,9.06,9.1,-0.11,32157,294732.52
2026-01-01,9.03,9.2,9.03,9.11,0.11,24800,227645.0
2025-12-31,8.96,9.2,8.96,9.1,-0.22,12000,109416.0
2025-12-29,9.09,9.13,9.0,9.12,0.33,5000,45430.0
2025-12-28,9.3,9.3,9.06,9.09,-0.44,43287,397566.24
2025-12-24,8.96,9.14,8.96,9.13,-0.11,15740,142337.6
2025-12-23,9.11,9.14,9.03,9.14,0.33,21638,196579.72
2025-12-22,8.93,9.12,8.93,9.11,0.55,13300,120400.41
2025-12-21,8.91,9.08,8.91,9.06,-0.22,43800,396225.0
2025-12-18,8.97,9.17,8.97,9.08,-0.22,63900,583570.0
2025-12-17,8.97,9.1,8.97,9.1,0.33,23900,217087.0
2025-12-16,9.0,9.17,9.0,9.07,-0.33,73300,671041.0
2025-12-15,8.89,9.1,8.89,9.1,0.33,5580,50373.63
2025-12-14,8.96,9.1,8.96,9.07,-0.11,87138,786879.76
2025-12-11,9.0,9.18,9.0,9.08,-0.66,32500,296221.25
2025-12-10,9.2,9.36,9.0,9.14,-0.44,99330,905340.76
2025-12-09,8.84,9.18,8.84,9.18,1.77,15400,139065.0
2025-12-08,9.0,9.02,9.0,9.02,-0.33,17450,157199.5
2025-12-07,9.0,9.1,9.0,9.05,-0.66,30310,274087.1
2025-12-03,8.86,9.18,8.86,9.11,0.89,17900,163546.0
2025-12-02,8.9,9.17,8.9,9.03,0.33,8960,81504.0
2025-12-01,9.2,9.2,8.94,9.0,-0.66,19670,178115.0
2025-11-30,8.82,9.16,8.82,9.06,0.67,27542,248820.58
2025-11-27,9.2,9.2,9.0,9.0,-1.32,95213,871130.55
2025-11-26,8.8,9.13,8.8,9.12,1.79,27700,251923.0
2025-11-25,8.88,9.14,8.88,8.96,-0.11,3768,34023.52
2025-11-24,8.92,9.12,8.92,8.97,-1.43,20350,183643.0
2025-11-23,8.8,9.29,8.77,9.1,1.79,33958,307879.83
2025-11-20,8.87,8.94,8.77,8.94,1.48,24500,217210.0
2025-11-19,8.7,8.98,8.7,8.81,-0.68,3300,29068.0
2025-11-18,8.8,9.0,8.8,8.87,-0.45,20677,184054.29
2025-11-17,9.05,9.05,8.88,8.91,0.11,28350,253318.0
2025-11-16,9.01,9.01,8.87,8.9,-1.22,54370,485063.0
2025-11-13,9.02,9.15,8.97,9.01,-0.11,44745,404494.05
2025-11-12,9.05,9.17,8.35,9.02,-0.88,181922,1568435.02
