date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,244.0,244.6,241.9,243.9,0.37,60629,14744756.5
2026-02-11,244.9,246.0,242.0,243.0,-0.21,29200,7111097.9
2026-02-10,242.0,243.5,240.3,243.5,0.62,46718,11273539.9
2026-02-09,249.0,249.0,240.2,242.0,-1.14,56266,13583157.3
2026-02-08,243.0,247.0,243.0,244.8,0.74,51241,12504672.1
2026-02-05,242.0,243.5,240.0,243.0,0.83,54000,13054500.9
2026-02-04,239.0,246.8,239.0,241.0,-1.15,41587,10056323.0
2026-02-03,241.1,248.0,241.1,243.8,-0.89,70856,17263216.3
2026-02-02,241.1,249.8,241.1,246.0,0.0,26541,6516964.3
2026-02-01,240.6,247.5,240.6,246.0,0.2,53349,13073413.7
2026-01-29,241.9,250.8,241.9,245.5,-0.53,102913,25342220.1
2026-01-28,247.8,250.0,243.0,246.8,-0.4,77834,19116790.0
2026-01-27,252.5,255.0,244.2,247.8,-1.86,70598,17432858.0
2026-01-26,246.9,255.0,246.9,252.5,0.24,77835,19542485.2
2026-01-25,246.0,253.8,246.0,251.9,2.03,94796,23685588.8
2026-01-22,250.0,250.0,245.1,246.9,-0.84,48404,11919409.5
2026-01-21,252.2,252.2,245.2,249.0,0.69,81152,20099131.0
2026-01-20,245.0,248.9,243.4,247.3,1.35,122022,30119224.6
2026-01-18,240.9,245.6,239.0,244.0,1.24,105664,25598512.0
2026-01-14,241.5,241.7,238.2,241.0,0.0,34952,8364761.0
2026-01-13,240.6,242.1,239.5,241.0,-0.54,33165,7990387.2
2026-01-12,241.7,242.9,241.0,242.3,0.54,52644,12741520.5
2026-01-08,240.2,241.0,239.1,241.0,0.58,35293,8477887.4
2026-01-07,238.3,242.8,238.3,239.6,-0.42,46008,11017188.8
2026-01-06,239.9,241.2,239.0,240.6,0.5,64710,15549020.5
2026-01-05,236.0,239.9,235.7,239.4,0.59,45014,10715532.2
2026-01-04,238.0,240.0,236.0,238.0,0.0,50999,12126250.2
2026-01-01,238.0,241.6,237.0,238.0,-0.38,72740,17285763.2
2025-12-31,244.0,244.0,237.0,238.9,-0.42,34356,8192904.7
2025-12-29,241.0,244.0,238.5,239.9,-0.42,35683,8541426.8
2025-12-28,241.0,241.0,237.0,240.9,1.65,53885,12909508.0
2025-12-24,236.1,238.0,235.1,237.0,0.34,32280,7624570.7
2025-12-23,242.7,242.7,235.0,236.2,-0.76,29635,6999923.8
2025-12-22,238.9,241.0,236.2,238.0,-0.42,23096,5474541.3
2025-12-21,238.0,239.0,236.2,239.0,-0.21,54753,12983824.2
2025-12-18,240.0,241.0,238.2,239.5,-0.21,23479,5614287.5
2025-12-17,241.0,241.0,237.3,240.0,-0.41,45009,10795006.8
2025-12-16,238.2,241.0,238.0,241.0,-0.37,14885,3574473.1
2025-12-15,240.0,241.9,237.4,241.9,0.37,35714,8552191.7
2025-12-14,244.0,244.0,235.1,241.0,0.42,133976,31914058.1
2025-12-11,239.0,241.0,238.5,240.0,0.0,60461,14457461.3
2025-12-10,244.0,244.0,239.3,240.0,0.0,35180,8440291.8
2025-12-09,240.0,243.0,238.1,240.0,-0.74,66171,15891134.2
2025-12-08,246.8,246.8,240.1,241.8,-0.08,46014,11127944.7
2025-12-07,240.3,242.0,238.0,242.0,0.71,24549,5901700.7
2025-12-03,246.9,246.9,240.2,240.3,-1.11,37450,9067699.0
2025-12-02,242.0,248.5,242.0,243.0,-0.82,22108,5399337.3
2025-12-01,250.0,250.0,242.1,245.0,-1.01,16670,4069562.3
2025-11-30,248.0,250.0,243.5,247.5,-0.24,46518,11447040.4
2025-11-27,246.0,249.5,244.1,248.1,0.89,52080,12851257.1
2025-11-26,247.8,249.0,243.0,245.9,0.37,35427,8715236.3
2025-11-25,249.9,249.9,242.2,245.0,0.0,31719,7771827.9
2025-11-24,240.0,245.0,238.9,245.0,2.08,85331,20636164.6
2025-11-23,240.0,243.0,238.0,240.0,1.87,29210,7001628.5
2025-11-20,235.1,237.0,235.1,235.6,-0.59,24693,5832464.8
2025-11-19,240.0,240.0,236.1,237.0,-0.42,25934,6144684.0
2025-11-18,240.8,240.9,236.0,238.0,0.8,40600,9673676.9
2025-11-17,235.2,240.0,235.2,236.1,-1.01,33513,7947500.1
2025-11-16,242.9,242.9,237.6,238.5,-0.17,25095,5986942.2
2025-11-13,240.0,240.0,235.6,238.9,0.38,33024,7820025.8
2025-11-12,243.9,243.9,236.3,238.0,-1.2,108356,25779896.9
