date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1097.0,1097.0,1097.0,1097.0,-1.68,25,27425.0
2026-02-08,1094.0,1117.0,1094.0,1115.8,1.99,506,565124.0
2026-02-04,1094.0,1094.0,1094.0,1094.0,0.27,25,27350.0
2026-02-02,1102.0,1102.0,1090.5,1091.0,-1.0,105,115092.5
2026-02-01,1101.0,1102.0,1101.0,1102.0,1.85,50,55075.0
2026-01-28,1082.0,1082.0,1082.0,1082.0,0.37,50,54100.0
2026-01-25,1078.0,1078.0,1078.0,1078.0,0.19,25,26950.0
2026-01-21,1072.1,1076.0,1072.1,1076.0,-1.3,75,80505.0
2026-01-13,1090.2,1090.2,1090.2,1090.2,-1.96,25,27255.0
2026-01-12,1112.0,1112.0,1112.0,1112.0,-1.68,25,27800.0
2026-01-06,1131.0,1131.0,1131.0,1131.0,0.0,25,28275.0
2026-01-05,1131.0,1131.0,1131.0,1131.0,0.8,25,28275.0
2026-01-04,1122.5,1122.5,1122.0,1122.0,-1.41,55,61720.0
2025-12-29,1138.0,1138.0,1138.0,1138.0,0.89,25,28450.0
2025-12-28,1128.0,1128.0,1128.0,1128.0,-1.91,25,28200.0
2025-12-21,1145.0,1150.0,1145.0,1150.0,1.32,470,540375.0
2025-12-16,1125.0,1135.0,1125.0,1135.0,0.89,75,84625.0
2025-12-14,1125.0,1125.0,1125.0,1125.0,0.54,20,22500.0
2025-12-11,1120.0,1120.0,1104.2,1119.0,-0.09,75,83580.0
2025-12-09,1120.0,1120.0,1120.0,1120.0,0.0,30,33600.0
2025-12-08,1120.0,1120.0,1120.0,1120.0,1.7,100,112000.0
2025-12-07,1101.3,1101.3,1101.3,1101.3,-1.15,25,27532.5
2025-12-03,1114.1,1114.1,1114.1,1114.1,-1.42,25,27852.5
2025-12-02,1130.1,1130.1,1130.1,1130.1,-1.73,25,28252.5
2025-12-01,1150.0,1150.0,1150.0,1150.0,1.76,250,287500.0
2025-11-30,1146.0,1146.0,1130.1,1130.1,0.01,538,616309.5
2025-11-27,1120.0,1130.0,1120.0,1130.0,0.71,200,224750.0
2025-11-26,1100.0,1122.0,1100.0,1122.0,0.0,100,111550.0
2025-11-24,1122.0,1122.0,1122.0,1122.0,2.0,35,39270.0
2025-11-20,1088.1,1100.0,1088.1,1100.0,1.28,175,190955.0
2025-11-18,1086.1,1086.1,1086.1,1086.1,-1.35,30,32583.0
2025-11-17,1101.0,1101.0,1101.0,1101.0,-1.96,25,27525.0
2025-11-13,1101.0,1123.0,1101.0,1123.0,2.18,130,145440.0
2025-11-11,1099.0,1099.0,1099.0,1099.0,-1.88,25,27475.0
2025-11-09,1120.0,1120.0,1120.0,1120.0,0.0,25,28000.0
2025-11-06,1120.0,1120.0,1120.0,1120.0,0.0,28,31360.0
2025-11-04,1118.0,1120.0,1118.0,1120.0,-1.75,50,55950.0
2025-11-03,1091.1,1140.0,1091.1,1140.0,4.48,177,201746.0
2025-11-02,1099.0,1099.0,1091.1,1091.1,0.37,50,54752.5
2025-10-30,1087.1,1087.1,1087.1,1087.1,-1.62,25,27177.5
2025-10-29,1105.0,1105.0,1105.0,1105.0,-1.52,25,27625.0
2025-10-28,1122.0,1122.0,1122.0,1122.0,2.0,25,28050.0
2025-10-26,1100.0,1100.0,1100.0,1100.0,0.82,25,27500.0
2025-10-12,1091.0,1091.0,1091.0,1091.0,-1.87,25,27275.0
2025-09-25,1111.5,1133.0,1111.5,1111.8,2.0,1573,1770058.4
2025-09-21,1090.0,1090.0,1090.0,1090.0,0.0,25,27250.0
2025-09-08,1090.0,1090.0,1090.0,1090.0,-0.59,50,54500.0
2025-09-07,1052.5,1096.5,1052.5,1096.5,3.56,267,290970.3
2025-09-01,1058.8,1058.8,1058.8,1058.8,1.99,25,26470.0
2025-08-28,1038.1,1038.1,1038.1,1038.1,0.22,50,51905.0
2025-08-26,1035.8,1035.8,1035.8,1035.8,2.0,25,25895.0
2025-08-24,1015.5,1015.5,1015.5,1015.5,-1.41,25,25387.5
2025-08-13,1030.0,1030.0,1030.0,1030.0,0.39,50,51500.0
2025-08-11,1026.0,1026.0,1026.0,1026.0,-1.35,25,25650.0
2025-08-06,1045.0,1045.1,1031.0,1040.0,-0.49,325,337577.5
2025-08-05,1035.0,1045.1,1035.0,1045.1,0.59,50,52002.5
2025-08-04,1038.0,1040.0,1035.1,1039.01,-0.1,225,233777.5
2025-08-03,1041.0,1041.0,1040.0,1040.0,0.0,50,52025.0
2025-07-31,1040.0,1040.0,1040.0,1040.0,0.0,25,26000.0
2025-07-30,1045.0,1045.0,1040.0,1040.0,-0.19,100,104250.0
2025-07-29,1042.0,1042.0,1042.0,1042.0,0.19,25,26050.0
2025-07-28,1040.0,1040.0,1040.0,1040.0,0.0,50,52000.0
2025-07-27,1032.0,1042.0,1032.0,1040.0,-0.19,105,109075.0
2025-07-24,1035.0,1042.0,1035.0,1042.0,-0.76,75,77975.0
2025-07-22,1049.0,1050.0,1049.0,1050.0,1.84,225,236050.0
2025-07-21,1031.0,1031.0,1031.0,1031.0,0.0,50,51550.0
2025-07-20,1031.0,1031.0,1031.0,1031.0,0.0,25,25775.0
2025-07-17,1052.0,1052.0,1031.0,1031.0,-2.04,125,130975.0
2025-07-16,1052.5,1052.5,1052.5,1052.5,-1.28,50,52625.0
2025-07-15,1066.2,1066.2,1066.2,1066.2,2.0,134,142870.8
2025-07-14,1050.0,1060.0,1045.2,1045.3,-0.46,225,236030.0
2025-07-09,1060.0,1060.0,1050.1,1050.1,0.01,50,52752.5
2025-07-07,1050.0,1050.0,1050.0,1050.0,0.93,25,26250.0
2025-07-02,1040.3,1040.3,1040.3,1040.3,-1.72,30,31209.0
2025-07-01,1058.5,1058.5,1058.5,1058.52,1.97,27,28580.1
2025-06-30,1038.1,1038.1,1038.1,1038.1,-0.64,25,25952.5
2025-06-26,1046.0,1046.0,1044.8,1044.8,-1.99,50,52270.0
2025-06-23,1066.0,1066.0,1066.0,1066.0,0.28,50,53300.0
2025-06-22,1063.0,1063.0,1063.0,1063.0,2.0,25,26575.0
2025-06-19,1042.2,1042.2,1042.2,1042.2,-0.46,25,26055.0
2025-06-18,1046.1,1058.0,1046.1,1047.0,0.81,75,78777.5
2025-06-16,1038.6,1038.6,1038.6,1038.6,-1.55,25,25965.0
2025-06-15,1055.0,1055.0,1055.0,1055.0,0.0,25,26375.0
2025-06-11,1055.0,1055.0,1055.0,1055.0,-1.03,25,26375.0
2025-06-09,1066.0,1066.0,1066.0,1066.0,0.08,75,79950.0
2025-06-05,1065.1,1065.1,1065.1,1065.1,0.29,25,26627.5
2025-06-04,1062.0,1062.0,1062.0,1062.0,-1.95,50,53100.0
2025-05-27,1061.2,1083.3,1061.2,1083.08,2.18,291,310034.5
2025-05-26,1066.0,1066.0,1059.0,1060.0,-0.93,100,106275.0
2025-05-21,1070.0,1070.0,1070.0,1070.0,-0.93,25,26750.0
2025-05-20,1060.18,1080.0,1060.18,1080.0,0.47,70,74659.5
2025-05-19,1066.0,1075.0,1066.0,1075.0,0.92,165,176115.0
2025-05-18,1060.0,1065.2,1060.0,1065.2,-0.46,50,53130.0
2025-05-15,1070.1,1070.1,1070.1,1070.1,0.46,25,26752.5
2025-05-14,1065.2,1065.2,1065.2,1065.2,0.5,25,26630.0
2025-05-13,1070.0,1070.0,1059.4,1059.9,-0.95,52,55354.8
2025-05-11,1070.1,1070.1,1070.1,1070.1,0.01,50,53505.0
2025-05-08,1070.0,1070.0,1070.0,1070.0,0.75,25,26750.0
2025-05-06,1060.3,1062.0,1060.3,1062.0,0.16,25,26550.0
2025-05-05,1062.0,1062.0,1058.1,1060.3,-0.16,102,107974.6
2025-04-27,1061.0,1082.2,1061.0,1062.0,0.28,215,230313.0
2025-04-22,1059.0,1059.0,1059.0,1059.0,-0.29,25,26475.0
2025-04-21,1062.1,1062.1,1062.1,1062.1,-1.2,27,28676.7
2025-04-20,1066.0,1076.1,1066.0,1075.0,1.9,624,667250.5
2025-04-17,1055.0,1055.0,1055.0,1055.0,-0.12,25,26375.0
2025-04-16,1048.0,1056.3,1048.0,1056.3,0.79,250,263548.6
2025-04-15,1048.0,1055.0,1048.0,1048.0,0.09,125,131350.0
2025-04-13,1055.0,1055.0,1047.0,1047.08,0.78,78,81868.5
2025-04-07,1039.0,1039.0,1039.0,1039.0,0.0,25,25975.0
2025-04-03,1036.0,1036.0,1036.0,1039.0,0.29,3,3117.0
2025-04-02,1036.0,1036.0,1036.0,1036.0,0.48,55,56980.0
2025-04-01,1026.1,1031.0,1026.1,1031.0,-0.21,50,51427.5
2025-03-27,1033.2,1033.2,1033.2,1033.2,1.99,25,25830.0
2025-03-24,1011.1,1013.4,1010.1,1013.0,-0.87,1505,1522852.5
2025-03-19,1021.9,1021.9,1021.9,1021.9,0.09,1,1021.9
2025-03-17,1021.0,1021.0,1021.0,1021.0,-0.05,1,1021.0
2025-03-16,1025.0,1032.0,1021.5,1021.5,-0.05,210,215857.5
2025-03-12,1025.0,1025.0,1022.0,1022.0,-0.29,225,230325.0
2025-03-11,1025.0,1025.0,1025.0,1025.0,-0.1,30,30750.0
2025-03-10,1026.0,1026.0,1026.0,1026.0,0.1,25,25650.0
2025-03-09,1025.0,1025.0,1025.0,1025.0,-0.49,25,25625.0
2025-03-06,1030.0,1030.1,1030.0,1030.0,-0.06,5030,5180902.5
2025-03-05,1020.0,1030.6,1020.0,1030.6,0.0,118,121055.0
2025-03-04,1030.0,1030.6,1030.0,1030.6,0.06,80,82418.0
2025-03-03,1030.0,1030.0,1030.0,1030.0,0.0,30,30900.0
2025-03-02,1030.0,1030.0,1030.0,1030.0,0.0,25,25750.0
2025-02-27,1030.0,1030.0,1030.0,1030.0,-1.9,25,25750.0
2025-02-25,1025.1,1050.0,1025.1,1050.0,0.94,283,296042.7
2025-02-24,1040.0,1040.2,1040.0,1040.2,0.02,125,130017.5
2025-02-23,1040.0,1040.0,1040.0,1040.0,-0.57,695,722800.0
2025-02-18,1050.0,1050.7,1045.0,1046.0,1.54,225,235542.5
2025-02-16,1030.1,1030.1,1030.1,1030.1,0.0,25,25752.5
2025-02-13,1031.1,1031.1,1030.1,1030.1,-1.43,100,103057.5
2025-02-12,1035.1,1045.0,1035.1,1045.0,1.95,120,125152.5
2025-02-11,1033.9,1033.9,1025.0,1025.0,-2.84,125,128347.5
2025-02-10,1045.0,1055.0,1045.0,1055.0,2.43,382,400685.0
2025-02-09,1035.0,1035.0,1030.0,1030.0,-0.11,256,264280.0
2025-02-05,1031.1,1031.1,1031.1,1031.1,-0.86,25,25777.5
2025-02-04,1040.0,1041.0,1040.0,1040.0,0.29,351,365111.0
2025-02-03,1035.0,1037.0,1035.0,1037.0,0.88,50,51800.0
2025-02-02,1040.0,1040.0,1040.0,1040.0,1.27,127,132056.0
2025-01-28,1025.0,1027.0,1025.0,1027.0,-1.25,55,56425.0
2025-01-27,1021.0,1040.0,1021.0,1040.0,1.96,75,77129.8
2025-01-26,1020.0,1020.0,1020.0,1020.0,-0.2,25,25500.0
2025-01-23,1022.0,1022.0,1022.0,1022.0,0.0,45,45990.0
2025-01-22,1022.0,1022.0,1022.0,1022.0,0.0,100,102200.0
2025-01-21,1022.0,1022.0,1022.0,1022.0,-1.73,25,25550.0
2025-01-20,1040.0,1040.0,1040.0,1040.0,1.96,75,78000.0
2025-01-19,1040.0,1040.0,1019.2,1020.0,-3.33,532,552134.0
2025-01-15,1055.1,1060.0,1055.1,1055.1,-0.09,125,132010.0
2025-01-13,1056.0,1056.0,1056.0,1056.0,-0.19,25,26400.0
2025-01-12,1060.0,1064.0,1058.0,1058.0,0.28,150,159100.0
2025-01-09,1055.0,1055.0,1055.0,1055.0,0.0,25,26375.0
2025-01-08,1055.0,1055.0,1055.0,1055.0,-0.57,50,52750.0
2025-01-06,1065.0,1065.0,1061.0,1061.0,-0.84,725,771325.0
2025-01-05,1065.0,1070.0,1065.0,1070.0,0.74,273,291985.0
2025-01-01,1062.8,1062.8,1042.1,1062.1,1.93,100,105727.5
2024-12-31,1050.0,1050.0,1042.0,1042.0,-2.07,50,52300.0
2024-12-29,1064.0,1064.0,1064.0,1064.0,-1.94,23,24472.0
2024-12-26,1085.0,1085.0,1085.0,1085.0,1.12,2,2170.0
2024-12-23,1054.0,1073.0,1054.0,1073.0,3.77,1134,1214407.0
2024-12-22,1034.1,1034.1,1034.0,1034.0,0.29,50,51702.5
2024-12-19,1037.0,1037.0,1031.0,1031.0,-2.51,50,51700.0
2024-12-18,1050.0,1057.5,1050.0,1057.5,1.98,100,105562.5
2024-12-17,1034.1,1054.7,1034.1,1037.0,0.29,100,104020.0
2024-12-12,1034.0,1034.0,1034.0,1034.0,0.39,25,25850.0
2024-12-11,1045.0,1050.0,1030.0,1030.0,-1.44,100,104375.0
2024-12-09,1045.0,1045.0,1045.0,1045.0,0.48,500,522500.0
2024-12-08,1053.6,1053.6,1033.0,1040.0,0.68,125,130330.0
2024-12-05,1033.0,1033.0,1033.0,1033.0,-0.67,25,25825.0
2024-12-01,1040.0,1040.0,1040.0,1040.0,0.0,25,26000.0
2024-11-26,1040.0,1040.0,1040.0,1040.0,0.76,50,52000.0
2024-11-25,1032.0,1032.2,1032.0,1032.2,-0.75,125,129020.0
2024-11-24,1040.0,1040.0,1040.0,1040.0,0.78,100,104000.0
2024-11-21,1032.0,1032.0,1032.0,1032.0,0.0,100,103200.0
2024-11-20,1032.0,1032.0,1032.0,1032.0,-0.29,25,25800.0
2024-11-19,1031.0,1035.0,1031.0,1035.0,-0.48,234,241390.0
2024-11-17,1030.0,1048.0,1030.0,1040.0,0.0,150,156325.0
2024-11-14,1040.0,1040.0,1040.0,1040.0,0.0,50,52000.0
