date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1500.0,1520.0,1500.0,1519.0,-0.59,647,975723.8
2026-02-11,1550.0,1550.0,1500.4,1528.0,0.33,2698,4085217.8
2026-02-10,1524.0,1547.3,1513.0,1523.0,-0.07,3744,5677517.3
2026-02-09,1530.0,1539.0,1513.0,1524.0,-0.19,1742,2644417.3
2026-02-08,1559.0,1559.0,1475.0,1526.9,-0.2,2236,3365630.7
2026-02-05,1529.9,1539.0,1500.0,1529.9,0.92,2112,3196424.0
2026-02-04,1533.0,1533.0,1490.0,1516.0,0.0,1061,1598692.9
2026-02-03,1548.9,1549.0,1494.5,1516.0,-0.59,645,976360.1
2026-02-02,1501.0,1525.0,1475.0,1525.0,1.33,1967,2923206.1
2026-02-01,1509.0,1536.0,1500.0,1505.0,-2.21,2068,3120092.9
2026-01-29,1535.0,1550.0,1520.0,1539.0,-1.6,2363,3609620.7
2026-01-28,1540.0,1564.0,1540.0,1564.0,-0.26,503,780076.2
2026-01-27,1580.0,1580.0,1548.0,1568.0,-0.76,2685,4176541.2
2026-01-26,1625.0,1625.0,1568.0,1580.0,-1.25,2053,3240191.8
2026-01-25,1594.0,1600.0,1540.1,1600.0,1.91,2757,4363153.3
2026-01-22,1591.0,1591.0,1550.0,1570.0,0.32,2672,4228645.0
2026-01-21,1585.5,1585.5,1526.8,1565.0,0.46,872,1358140.0
2026-01-20,1558.0,1558.0,1530.0,1557.9,1.51,8058,12417720.8
2026-01-18,1520.0,1537.0,1505.0,1534.8,1.84,4442,6771914.4
2026-01-14,1481.3,1507.0,1481.3,1507.0,0.47,1025,1526790.7
2026-01-13,1482.0,1504.0,1476.0,1500.0,1.21,3299,4941313.2
2026-01-12,1485.0,1492.0,1480.1,1482.0,-1.19,541,803009.7
2026-01-08,1490.0,1500.0,1481.0,1499.9,-0.67,737,1096190.5
2026-01-07,1547.0,1547.0,1493.3,1510.0,-0.59,800,1204427.3
2026-01-06,1483.0,1519.0,1483.0,1519.0,1.33,1132,1698729.8
2026-01-05,1480.1,1499.0,1480.0,1499.0,0.28,951,1416591.9
