date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,635.1,640.0,630.4,632.0,-0.47,21794,13830813.4
2026-02-11,650.7,650.7,632.0,635.0,-0.47,14342,9113855.3
2026-02-10,630.0,650.0,630.0,638.0,-0.31,18788,12037353.0
2026-02-09,655.5,660.5,638.0,640.0,-3.03,30761,19832891.7
2026-02-08,659.0,672.0,654.0,660.0,0.15,40594,26921459.8
2026-02-05,675.0,676.0,656.6,659.0,-1.05,20889,13855067.1
2026-02-04,633.1,682.0,633.1,666.0,3.27,116042,77196038.9
2026-02-03,640.0,652.1,635.0,644.9,-0.46,25976,16701050.0
2026-02-02,641.0,657.9,641.0,647.9,0.14,13336,8639704.8
2026-02-01,645.5,658.0,645.4,647.0,-0.99,14489,9405941.8
2026-01-29,673.0,673.0,653.0,653.5,-1.88,37124,24589443.5
2026-01-28,643.9,679.2,643.9,666.0,1.37,50784,33591349.5
2026-01-27,662.5,688.5,655.0,657.0,-2.81,42506,28296723.7
2026-01-26,693.0,693.0,661.5,676.0,-0.63,44522,29981428.4
2026-01-25,662.3,696.0,662.3,680.3,0.67,53434,36762298.3
2026-01-22,647.0,683.0,647.0,675.8,2.41,66136,44527424.8
2026-01-21,667.0,678.0,655.0,659.9,-1.06,32446,21471920.4
2026-01-20,661.0,682.0,660.0,667.0,1.35,66994,44933010.1
2026-01-18,636.0,666.3,635.0,658.1,4.46,81414,53443992.5
2026-01-14,625.1,639.9,623.3,630.0,0.72,30244,19100653.7
2026-01-13,628.0,628.0,620.1,625.5,-0.4,17189,10718855.7
2026-01-12,642.0,642.4,623.1,628.0,-0.32,21925,13839461.9
2026-01-08,626.8,642.0,626.8,630.0,-0.96,23575,15005361.5
2026-01-07,632.1,650.0,632.1,636.1,-0.45,32523,20921608.0
2026-01-06,640.4,644.0,633.2,639.0,1.11,33362,21315952.9
2026-01-05,618.0,632.0,618.0,632.0,2.27,24366,15224679.0
2026-01-04,612.0,626.9,610.2,618.0,0.0,16896,10458858.4
2026-01-01,619.5,630.0,618.0,618.0,-0.24,8455,5260963.1
2025-12-31,632.0,638.8,619.5,619.5,-1.38,32471,20403704.1
2025-12-29,636.0,647.0,626.2,628.2,0.67,21522,13674895.1
2025-12-28,623.9,632.0,616.0,624.0,1.91,11812,7375095.3
2025-12-24,618.0,622.0,612.2,612.3,-0.91,6913,4255735.3
2025-12-23,614.0,622.5,610.3,617.9,0.64,6312,3882106.9
2025-12-22,617.0,625.0,612.9,614.0,-1.52,13704,8441385.4
2025-12-21,630.0,630.6,618.0,623.5,-1.19,10794,6713357.6
2025-12-18,644.8,644.8,631.0,631.0,-0.33,9768,6201612.9
2025-12-17,631.5,639.0,624.1,633.1,1.62,14965,9469446.1
2025-12-16,621.1,629.9,621.1,623.0,-0.16,8584,5368938.2
2025-12-15,620.0,629.7,615.0,624.0,0.16,13617,8486520.3
2025-12-14,625.0,632.0,616.0,623.0,-0.78,14180,8798989.8
2025-12-11,630.0,640.0,625.0,627.9,-1.12,11882,7460856.0
2025-12-10,642.0,642.0,630.1,635.0,0.47,10058,6375880.6
2025-12-09,632.0,642.0,631.0,632.0,0.16,8671,5511376.9
2025-12-08,633.0,644.0,630.0,631.0,-1.17,13332,8456600.0
2025-12-07,643.0,645.0,638.0,638.5,-0.59,6097,3911135.5
2025-12-03,640.9,662.0,640.9,642.3,0.36,24623,16069245.4
2025-12-02,648.0,651.9,639.0,640.0,0.11,15285,9850104.5
2025-12-01,633.6,650.0,633.6,639.3,0.16,16165,10398648.0
2025-11-30,650.0,653.0,638.0,638.3,-1.5,16859,10834973.4
2025-11-27,646.3,654.9,644.0,648.0,-0.31,13033,8458222.8
2025-11-26,650.0,659.9,649.0,650.0,0.0,14397,9403830.5
2025-11-25,665.0,665.0,650.0,650.0,-0.46,14704,9579370.4
2025-11-24,655.0,657.3,648.1,653.0,1.32,16028,10461894.7
2025-11-23,652.0,660.0,640.0,644.5,0.7,25648,16576308.8
2025-11-20,646.8,659.0,638.0,640.0,-3.02,35419,22810127.6
2025-11-19,671.0,677.0,648.0,659.9,-1.57,23389,15296477.9
2025-11-18,669.0,677.0,658.0,670.4,0.96,37683,25012110.0
2025-11-17,652.0,666.0,638.0,664.0,3.75,33133,21781142.8
2025-11-16,650.0,675.0,640.0,640.0,-0.47,23019,14983612.1
2025-11-13,629.1,653.9,629.1,643.0,0.17,24419,15637957.0
2025-11-12,644.5,668.0,636.0,641.9,-0.4,19196,12497446.6
2025-11-11,662.8,662.8,641.0,644.5,-0.85,18402,11858899.2
2025-11-10,669.0,669.0,640.0,650.0,-1.81,35104,22802762.3
2025-11-09,695.8,707.0,660.0,662.0,-6.76,80662,54277027.2
2025-11-06,709.0,725.0,699.0,710.0,1.72,88804,63504562.0
2025-11-05,651.0,698.0,637.0,698.0,9.23,88917,60022792.5
2025-11-04,645.0,669.0,639.0,639.0,-1.99,19137,12449942.5
2025-11-03,662.0,670.0,650.0,652.0,-0.84,11026,7287654.7
2025-11-02,640.0,665.0,640.0,657.5,3.04,29790,19457651.1
2025-10-30,640.0,652.0,625.3,638.1,1.45,16907,10801445.6
2025-10-29,641.0,655.0,621.0,629.0,-0.36,15435,9879149.8
2025-10-28,616.7,640.5,616.7,631.3,3.66,11692,7362259.5
2025-10-26,605.0,610.0,600.3,609.0,-0.16,3793,2294575.1
2025-10-19,619.9,619.9,605.0,610.0,0.16,6990,4268794.7
2025-10-16,614.9,614.9,606.0,609.0,0.16,12968,7877526.1
2025-10-15,611.1,619.0,605.2,608.0,-0.98,10755,6556602.4
2025-10-14,623.0,629.0,614.0,614.0,-1.92,7685,4761072.9
2025-10-13,608.0,627.4,608.0,626.0,1.77,13552,8405298.7
2025-10-12,621.0,624.0,608.0,615.1,-2.83,25616,15797280.1
2025-10-09,638.5,660.9,631.5,633.0,1.12,19500,12593126.6
2025-10-08,631.1,636.0,605.9,626.0,-2.03,22957,14230954.5
2025-10-07,660.0,660.0,628.1,639.0,-1.3,11647,7409882.9
2025-09-28,646.2,660.0,646.2,647.4,0.22,7844,5107201.9
2025-09-25,650.0,662.4,637.0,646.0,-1.37,13732,8887813.1
2025-09-24,666.0,672.9,650.0,655.0,-2.38,7686,5084132.5
2025-09-23,655.0,683.0,650.0,671.0,1.67,21574,14498630.6
2025-09-21,605.0,664.9,600.0,660.01,9.09,32534,20465566.2
2025-09-18,633.0,633.0,603.0,605.0,-4.41,515,318078.5
2025-09-08,632.4,645.0,631.0,632.92,-1.59,14762,9396681.3
2025-09-07,635.0,647.7,622.0,643.13,0.53,12558,8009140.9
2025-09-04,650.0,660.0,638.0,639.71,-2.27,21551,13889297.7
2025-09-03,665.0,670.0,653.0,654.57,-1.17,9069,5981387.1
2025-09-02,657.0,670.0,657.0,662.3,-0.43,12071,8007890.4
2025-09-01,680.0,680.0,663.0,665.16,-0.33,14157,9438210.5
2025-08-31,679.0,686.7,666.0,667.38,-2.11,17023,11439035.5
2025-08-28,700.0,701.0,680.0,681.75,-1.89,23492,16174848.3
2025-08-27,686.0,703.0,679.0,694.91,2.96,24771,17175674.1
2025-08-26,668.0,693.0,668.0,674.95,-0.82,10253,6937870.7
2025-08-25,700.0,700.0,673.1,680.53,-0.91,22304,15214704.9
2025-08-24,707.8,714.5,685.0,686.81,-2.82,38769,26897452.7
2025-08-21,724.0,724.0,703.1,706.77,-1.32,30367,21596397.6
2025-08-20,719.0,727.9,715.1,716.25,-0.31,22578,16226535.7
2025-08-19,737.7,737.7,715.0,718.48,-0.7,18973,13737651.5
2025-08-18,725.0,744.6,723.0,723.52,0.45,32239,23633016.5
2025-08-17,720.0,731.8,718.0,720.25,-0.6,28707,20786596.0
2025-08-14,745.0,745.0,721.0,724.62,-0.88,26840,19540550.6
2025-08-13,718.0,763.9,718.0,731.03,1.52,43683,32269275.0
2025-08-12,735.9,735.9,718.0,720.08,-0.2,26904,19447562.9
2025-08-11,735.0,749.0,717.5,721.53,-2.18,50160,36746621.3
2025-08-07,745.0,745.3,731.4,737.61,0.94,39494,29152561.3
2025-08-06,759.0,759.0,729.3,730.71,-1.82,30284,22348621.6
2025-08-05,774.9,774.9,743.3,744.29,-2.74,33949,25512278.3
2025-08-04,795.0,800.0,758.0,765.29,-3.48,119695,92562793.9
2025-08-03,803.9,851.0,789.0,792.9,0.6,225063,183648873.2
2025-07-31,718.0,788.2,715.5,788.19,9.99,242942,187217740.5
2025-07-30,731.0,740.0,715.0,716.58,-1.74,47021,33886670.4
2025-07-29,747.0,747.0,727.6,729.27,-0.48,29839,21896543.9
2025-07-28,726.0,742.0,711.8,732.8,0.9,43191,31372457.2
2025-07-27,761.0,761.0,721.0,726.24,-2.71,55441,40758469.3
2025-07-24,769.9,769.9,741.0,746.45,-1.11,41367,31032900.6
2025-07-23,744.8,764.0,725.2,754.84,3.36,87938,65783082.9
2025-07-22,738.8,738.8,710.5,730.29,0.82,55342,40352838.9
2025-07-21,746.0,747.0,710.0,724.33,-1.13,57341,41516344.0
2025-07-20,768.0,768.0,725.3,732.64,-2.73,73718,54981420.0
2025-07-17,754.0,758.0,744.0,753.17,1.59,53341,40147235.5
2025-07-16,745.0,753.5,740.0,741.37,0.77,34643,25803959.1
2025-07-15,722.0,746.0,722.0,735.73,0.87,39042,28919360.6
2025-07-14,750.0,750.0,725.1,729.4,-2.49,24547,18027844.4
2025-07-13,748.7,778.0,741.2,748.0,1.9,58532,43884623.8
2025-07-10,730.1,758.0,721.8,734.02,0.62,47796,35092061.0
2025-07-09,735.0,745.0,722.0,729.5,-0.58,38322,27973026.0
2025-07-08,722.0,740.5,707.6,733.72,1.57,67045,48892103.5
2025-07-07,778.8,790.0,700.1,722.41,-5.39,205841,153305720.9
2025-07-06,708.0,763.6,708.0,763.6,10.0,156869,117460758.8
2025-07-03,640.0,694.2,625.0,694.2,9.98,147307,100125588.5
2025-07-02,617.0,634.9,610.2,631.18,2.82,43499,27270286.9
2025-07-01,618.0,618.0,610.0,613.89,0.68,14038,8601937.7
2025-06-30,607.0,620.0,607.0,609.77,0.64,16946,10387782.4
2025-06-29,615.0,615.0,600.0,605.91,0.13,21997,13293131.6
2025-06-26,603.0,624.0,603.0,605.1,-0.04,24934,15251497.9
2025-06-25,608.0,617.9,602.0,605.34,-0.47,16227,9844136.5
2025-06-24,616.0,620.9,608.0,608.17,-0.7,11842,7231259.0
2025-06-23,610.0,619.0,608.0,612.47,0.09,17819,10893049.1
2025-06-22,614.2,619.0,611.0,611.94,-0.48,15687,9618119.1
2025-06-19,618.0,626.0,613.1,614.92,-0.97,21688,13396906.0
2025-06-18,627.0,635.0,620.0,620.96,-0.97,16416,10252252.1
2025-06-17,644.9,644.9,622.0,627.02,-0.96,16509,10378043.7
2025-06-16,640.0,645.0,626.0,633.08,-1.85,25985,16493514.1
2025-06-15,661.0,661.0,644.0,645.03,-0.48,24540,15990854.3
2025-06-12,627.0,675.0,618.0,648.11,4.97,80010,52203669.6
2025-06-11,640.0,643.0,615.0,617.4,-2.09,28302,17734956.4
2025-06-10,612.0,635.0,610.0,630.55,4.19,47781,29943870.6
2025-06-09,612.0,614.0,605.0,605.21,-0.24,13496,8217523.4
2025-06-08,622.0,624.0,605.0,606.67,-0.85,15950,9717265.0
2025-06-05,624.0,628.9,610.0,611.87,-0.06,13293,8175986.2
2025-06-04,631.9,631.9,608.9,612.22,-1.41,14490,8915316.2
2025-06-03,628.5,635.0,618.0,620.97,-0.36,16177,10097110.5
2025-06-02,634.8,641.0,621.4,623.21,0.14,12827,8056587.6
2025-05-28,620.0,626.0,613.5,622.36,0.4,12897,7986188.2
2025-05-27,618.0,625.0,617.0,619.9,0.01,9604,5951289.7
2025-05-26,636.8,651.0,617.4,619.84,-0.72,28004,17670220.3
2025-05-25,640.4,640.4,623.3,624.35,-0.56,13357,8406463.4
2025-05-22,630.0,642.0,625.0,627.87,-0.77,21139,13397212.6
2025-05-21,641.9,679.0,630.0,632.76,0.53,46613,30075294.0
2025-05-20,610.0,635.8,602.2,629.41,3.52,27174,16879094.3
2025-05-19,614.0,620.0,604.0,608.01,0.91,15738,9600229.6
2025-05-18,619.8,619.8,602.0,602.52,-1.11,21796,13267286.6
2025-05-15,625.9,625.9,605.0,609.29,-0.97,20970,12790772.4
2025-05-14,634.1,634.1,614.0,615.24,-1.06,19365,12030338.5
2025-05-13,640.0,648.0,615.0,621.8,-2.49,25390,15922426.9
2025-05-11,657.0,669.9,635.0,637.69,-2.96,31827,20547956.8
2025-05-08,640.0,681.0,625.0,657.12,3.04,62391,40814291.6
2025-05-07,590.0,644.0,576.0,637.71,7.91,50556,30621302.2
2025-05-06,608.0,610.8,590.0,590.98,-2.71,40934,24360822.8
2025-05-05,629.0,629.0,605.0,607.43,-2.84,34272,20929015.7
2025-05-04,654.0,654.0,624.0,625.17,-2.73,27866,17671651.6
2025-04-30,654.0,660.0,636.5,642.74,-1.96,28346,18260651.1
2025-04-29,674.0,675.0,655.0,655.6,-1.5,16659,11009923.2
2025-04-28,660.0,675.0,657.0,665.56,1.25,32548,21714401.4
2025-04-27,658.0,678.0,655.0,657.36,-1.27,29907,19741520.1
2025-04-24,670.0,683.0,663.5,665.8,-0.01,17296,11547242.2
2025-04-23,686.9,686.9,663.0,665.88,-1.13,19147,12823266.4
2025-04-22,688.0,690.0,672.2,673.47,-0.67,18828,12747772.1
2025-04-21,688.0,690.0,672.0,678.01,-1.19,26676,18136839.9
2025-04-20,699.0,699.0,681.0,686.21,-1.4,14728,10140673.6
2025-04-17,690.0,701.0,687.0,695.98,1.49,31686,22035771.8
2025-04-16,704.0,704.0,685.0,685.74,-0.97,17222,11850608.7
2025-04-15,690.0,702.0,690.0,692.49,1.38,13883,9630627.4
2025-04-13,688.0,699.5,680.4,683.04,-0.68,13196,9052927.5
2025-04-10,705.0,705.0,685.0,687.75,-0.53,15727,10828912.6
2025-04-09,698.0,707.0,690.0,691.4,-0.32,12323,8559627.6
2025-04-08,690.0,697.8,680.3,693.64,0.5,14052,9672562.1
2025-04-07,712.0,714.8,689.0,690.2,-2.55,29788,20683079.5
2025-04-03,723.0,730.0,705.1,708.24,-2.04,17436,12464145.2
2025-04-02,699.0,739.0,692.0,722.96,3.34,49235,35337749.6
2025-04-01,712.0,718.9,695.0,699.56,-1.5,18892,13246914.6
2025-03-30,690.0,719.9,685.0,710.21,2.83,32521,23045875.9
2025-03-27,698.0,698.0,687.1,690.65,0.7,21941,15159394.5
2025-03-26,691.9,699.9,680.0,685.88,0.97,12453,8556303.1
2025-03-25,704.0,707.0,677.0,679.26,-3.51,25254,17341840.3
2025-03-24,684.0,706.0,665.0,703.95,3.45,43880,30396558.5
2025-03-23,710.0,715.0,675.0,680.47,-3.24,49925,34261984.7
2025-03-20,728.9,728.9,701.0,703.26,-1.92,30580,21614835.3
2025-03-19,717.0,731.3,710.0,717.0,-0.83,23634,17001903.0
2025-03-18,738.0,738.0,720.0,723.0,-0.14,17315,12563285.0
2025-03-17,725.0,742.0,720.3,724.0,-0.07,20937,15297049.3
2025-03-16,735.0,745.0,720.2,724.5,-1.42,31019,22519601.6
2025-03-12,735.3,744.5,730.0,734.9,0.12,30046,22109959.4
2025-03-11,745.0,760.0,726.0,734.0,-1.46,45841,33934414.1
2025-03-10,775.0,775.0,744.9,744.9,-2.12,45612,34458745.4
2025-03-09,782.0,789.8,760.0,761.0,-2.56,49414,38143337.4
2025-03-06,786.0,796.0,779.0,781.0,-0.53,45858,35931458.6
2025-03-05,805.0,805.0,783.0,785.2,-1.51,36685,28949319.5
2025-03-04,823.3,829.9,795.0,797.2,-2.3,65550,53004284.8
2025-03-03,830.0,859.6,816.0,816.0,0.0,84989,70572768.2
2025-03-02,795.6,820.0,793.0,816.0,4.62,69552,56418031.7
2025-02-27,795.7,805.0,777.0,780.0,-0.01,40045,31492065.7
2025-02-25,800.0,803.0,775.0,780.1,-1.13,38969,30721261.1
2025-02-24,810.0,816.0,786.0,789.0,-0.79,51878,41430610.3
2025-02-23,790.9,823.0,777.0,795.3,-1.45,60813,48790731.0
2025-02-20,800.0,830.0,787.8,807.0,0.4,75169,60659030.2
2025-02-18,854.0,854.6,790.2,803.8,-4.08,103656,84832007.5
