date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,645.0,655.0,639.0,650.0,0.73,23323,14955829.1
2026-02-11,665.0,665.0,645.3,645.3,-1.48,13090,8507537.2
2026-02-10,656.0,668.9,648.0,655.0,-0.61,26743,17441870.6
2026-02-09,664.0,664.0,659.0,659.0,-1.49,8752,5784580.4
2026-02-08,664.0,683.6,657.6,669.0,-0.3,24215,16093442.6
2026-02-05,660.2,671.0,651.0,671.0,1.67,12397,8173014.7
2026-02-04,673.0,673.0,650.1,660.0,-0.02,9369,6162231.9
2026-02-03,662.2,669.0,660.0,660.1,-0.29,5215,3454619.0
2026-02-02,682.0,682.0,655.0,662.0,-1.05,17849,11785618.7
2026-02-01,661.0,679.0,661.0,669.0,-0.31,8566,5722968.0
2026-01-29,671.2,689.0,670.0,671.1,-0.01,21273,14403302.1
2026-01-28,679.3,679.3,668.0,671.2,0.78,11623,7804100.3
2026-01-27,681.0,689.0,665.0,666.0,-1.77,22556,15189658.25
2026-01-26,698.0,705.9,678.0,678.0,-2.16,20807,14243081.1
2026-01-25,694.0,704.9,687.0,693.0,-0.29,19932,13858456.9
2026-01-22,681.0,695.0,678.1,695.0,0.87,9663,6648039.3
2026-01-21,698.0,700.0,685.0,689.0,0.58,33402,23013276.0
2026-01-20,675.0,688.0,667.2,685.0,3.16,16236,11039173.0
2026-01-18,660.2,672.0,658.6,664.0,0.61,15192,10074003.1
2026-01-14,673.0,673.9,660.0,660.0,-0.44,23012,15252192.8
2026-01-13,661.0,663.0,650.2,662.9,-0.02,16607,10912875.5
2026-01-12,676.0,679.0,658.0,663.0,-0.45,29098,19351099.1
2026-01-08,694.0,694.0,666.0,666.0,-2.35,21018,14117339.0
2026-01-07,710.0,712.0,668.0,682.0,-2.57,90636,62264895.6
2026-01-06,692.0,733.0,692.0,700.0,-0.71,38196,26890557.2
2026-01-05,695.8,766.0,695.8,705.0,-0.7,65309,46281561.1
2026-01-04,727.2,727.2,695.0,710.0,-4.31,44051,31045009.3
2026-01-01,723.7,780.0,710.0,742.0,0.54,31787,23442146.2
2025-12-31,717.3,796.0,681.1,738.0,0.83,166252,118822579.7
2025-12-29,695.0,739.8,695.0,731.9,5.01,98469,69378304.5
2025-12-28,690.0,730.0,671.5,697.0,2.5,12391,8521931.4
2025-12-24,669.5,708.0,662.4,680.0,1.49,9153,6194959.0
2025-12-23,660.6,684.0,623.0,670.0,-0.59,6145,4137661.4
2025-12-22,683.0,688.0,662.0,674.0,0.65,11833,7949278.9
2025-12-21,730.0,773.0,727.0,729.9,-1.83,35697,26432053.8
2025-12-18,715.3,749.0,715.3,743.5,1.88,26157,19284007.2
2025-12-17,705.6,732.0,705.6,729.8,1.36,22975,16650954.2
2025-12-16,704.9,734.9,704.9,720.0,2.14,17582,12549035.4
2025-12-15,680.0,706.8,680.0,704.9,2.01,9834,6905078.4
2025-12-14,686.5,700.7,686.5,691.0,0.0,15262,10494516.5
2025-12-11,686.0,699.0,686.0,691.0,-1.14,7477,5205572.0
2025-12-10,691.0,700.0,691.0,699.0,1.16,1071,748236.3
2025-12-09,690.1,700.7,690.1,691.0,0.58,2403,1676990.0
2025-12-08,690.3,696.7,683.1,687.0,-0.48,2884,1977936.0
2025-12-07,700.0,712.0,690.0,690.3,-1.16,2669,1852191.0
2025-12-03,695.5,702.0,695.0,698.4,0.34,4154,2902802.0
2025-12-02,696.1,705.0,688.3,696.0,-0.01,1328,930833.7
2025-12-01,709.8,709.9,695.0,696.1,-1.96,1211,844346.9
2025-11-30,701.0,718.0,700.7,710.0,-0.7,3086,2174114.8
2025-11-27,686.0,715.0,686.0,715.0,2.14,9675,6831563.2
2025-11-26,689.5,705.0,689.5,700.0,1.45,4793,3348464.9
2025-11-25,695.0,697.0,675.1,690.0,-1.15,3214,2205919.4
2025-11-24,695.0,698.0,687.0,698.0,0.42,5724,3972545.2
