date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1086.0,1086.0,1086.0,1086.0,-1.93,25,27150.0
2026-01-27,1107.4,1107.4,1107.4,1107.4,-2.0,70,77518.0
2025-12-02,1130.0,1130.0,1130.0,1130.0,0.27,15,16950.0
2025-11-27,1105.0,1127.0,1105.0,1127.0,1.94,321,359880.5
2025-11-24,1104.5,1105.5,1104.5,1105.5,1.98,40,44205.0
2025-11-18,1064.0,1084.0,1063.6,1084.0,-0.09,50,53696.0
2025-11-17,1085.0,1085.0,1085.0,1085.0,0.35,25,27125.0
2025-11-16,1081.2,1081.2,1081.2,1081.2,2.0,30,32436.0
2025-11-13,1046.3,1060.1,1046.3,1060.0,-0.12,75,79160.0
2025-11-06,1061.3,1061.3,1061.3,1061.3,-0.35,25,26532.5
2025-11-05,1065.0,1065.0,1065.0,1065.0,0.0,25,26625.0
2025-11-02,1065.0,1065.0,1065.0,1065.0,0.95,25,26625.0
2025-10-29,1055.0,1055.0,1055.0,1055.0,-0.48,25,26375.0
2025-10-26,1060.1,1060.1,1060.1,1060.1,0.01,25,26502.5
2025-10-19,1060.0,1060.0,1060.0,1060.0,0.86,15,15900.0
2025-10-16,1051.0,1051.0,1051.0,1051.0,-1.87,25,26275.0
2025-09-21,1045.2,1071.0,1045.2,1071.0,2.47,245,261225.0
2025-09-04,1045.1,1045.2,1045.1,1045.2,0.02,50,52257.5
2025-09-01,1045.0,1045.0,1045.0,1045.0,0.28,50,52250.0
2025-08-31,1042.1,1042.1,1042.1,1042.1,0.2,25,26052.5
2025-08-27,1040.0,1040.0,1040.0,1040.0,0.68,25,26000.0
2025-08-25,1035.0,1035.0,1033.0,1033.0,0.0,60,62080.0
2025-08-24,1039.9,1039.9,1033.0,1033.0,-0.66,75,77647.5
2025-08-21,1040.0,1040.0,1039.9,1039.9,0.24,50,51997.5
2025-08-20,1039.5,1039.5,1039.0,1037.4,-1.99,25,25972.0
2025-08-13,1058.5,1058.5,1058.5,1058.5,1.78,15,15877.5
2025-08-12,1030.5,1040.0,1030.5,1040.0,0.97,124,128257.0
2025-08-11,1017.8,1030.0,1017.8,1030.0,1.2,26,26780.0
2025-08-07,1017.9,1017.9,1017.8,1017.8,-0.66,90,91608.5
2025-08-04,1013.7,1035.0,1013.7,1024.6,-0.15,75,76845.0
2025-08-03,1026.1,1026.1,1026.1,1026.1,0.6,50,51305.0
2025-07-31,1020.0,1020.0,1020.0,1020.0,-0.49,25,25500.0
2025-07-30,1025.0,1025.0,1025.0,1025.0,-0.97,25,25625.0
2025-07-29,1035.0,1035.0,1035.0,1035.0,1.17,25,25875.0
2025-07-28,1013.1,1023.0,1013.1,1023.0,0.1,180,182964.0
2025-07-27,1022.0,1022.0,1022.0,1022.0,-0.78,25,25550.0
2025-07-24,1030.0,1030.0,1030.0,1030.0,-0.96,25,25750.0
2025-07-23,1040.0,1040.0,1040.0,1040.0,1.42,25,26000.0
2025-07-22,1025.4,1025.4,1025.4,1025.4,-0.01,25,25635.0
2025-07-21,1030.0,1030.0,1025.5,1025.5,-0.02,46,47240.5
2025-07-20,1026.1,1026.1,1025.7,1025.7,-1.85,175,179545.0
2025-07-17,1045.0,1045.0,1045.0,1045.0,0.29,100,104500.0
2025-07-16,1042.0,1042.0,1042.0,1042.0,0.0,25,26050.0
2025-07-15,1042.0,1042.0,1042.0,1042.0,-1.23,25,26050.0
2025-07-09,1055.0,1055.0,1055.0,1055.0,0.48,50,52750.0
2025-07-06,1035.4,1050.0,1035.4,1050.0,-0.01,70,72885.0
2025-07-03,1035.1,1050.1,1035.1,1050.1,1.64,55,57288.5
2025-07-02,1033.2,1033.2,1033.2,1033.2,-1.13,25,25830.0
2025-07-01,1045.0,1045.0,1045.0,1045.0,0.0,3,3135.0
2025-06-29,1045.0,1045.0,1045.0,1045.0,-0.95,25,26125.0
2025-06-25,1055.0,1055.0,1055.0,1055.0,-1.77,300,316500.0
2025-06-24,1074.0,1074.0,1074.0,1074.0,0.19,30,32220.0
2025-06-23,1060.0,1063.0,1055.0,1072.0,2.49,77,81714.0
2025-06-22,1046.0,1046.0,1046.0,1046.0,-0.48,50,52300.0
2025-06-19,1055.0,1055.0,1051.0,1051.0,0.47,50,52650.0
2025-06-18,1046.1,1046.1,1046.1,1046.1,-0.05,25,26152.5
2025-06-16,1046.6,1046.6,1046.6,1046.6,0.01,26,27211.6
2025-06-15,1046.5,1046.5,1046.5,1046.5,-0.61,13,13604.5
2025-06-12,1032.5,1038.1,1032.5,1052.9,1.14,51,52817.9
2025-06-10,1050.0,1050.0,1050.0,1041.0,-0.86,25,26187.0
2025-06-08,1047.0,1050.0,1047.0,1050.0,0.48,50,52425.0
2025-06-04,1045.0,1045.0,1045.0,1045.0,0.87,10,10450.0
2025-05-28,1051.0,1051.0,1051.0,1036.0,-1.43,2,2072.0
2025-05-26,1051.0,1051.0,1051.0,1051.0,0.0,50,52550.0
2025-05-22,1055.0,1055.0,1051.0,1051.0,0.84,85,89623.0
2025-05-21,1042.2,1042.2,1042.2,1042.2,0.02,25,26055.0
2025-05-20,1042.0,1042.0,1042.0,1042.0,-1.96,25,26050.0
2025-05-15,1062.8,1062.8,1062.8,1062.8,2.0,32,34009.6
2025-05-14,1045.0,1045.0,1042.0,1042.0,-0.38,50,52175.0
2025-05-13,1045.0,1045.0,1045.0,1046.0,-0.38,28,29263.0
2025-05-08,1050.0,1050.0,1050.0,1050.0,-1.5,25,26250.0
2025-04-30,1066.0,1066.0,1066.0,1066.0,0.0,4,4264.0
2025-04-28,1053.0,1066.0,1053.0,1066.0,1.9,75,79625.0
2025-04-27,1046.1,1046.1,1046.1,1046.1,-0.89,50,52305.0
2025-04-24,1077.0,1077.0,1055.5,1055.5,-0.13,33,35326.0
2025-04-21,1036.1,1056.9,1036.1,1056.9,2.0,103,108310.9
2025-04-16,1045.5,1046.0,1036.2,1036.2,-0.89,100,104097.4
2025-04-10,1045.4,1045.5,1045.4,1045.5,2.0,50,52272.5
2025-04-07,1025.0,1025.0,1024.1,1025.0,-0.19,100,102477.5
2025-04-03,1022.1,1022.1,1022.1,1027.0,0.48,2,2054.0
2025-04-02,1025.0,1025.0,1022.1,1022.1,-1.25,50,51177.5
2025-03-30,1030.0,1035.0,1030.0,1035.0,-0.48,75,77375.0
2025-03-25,1048.7,1048.7,1040.0,1040.0,1.15,125,130870.0
2025-03-17,1028.2,1028.2,1028.2,1028.2,0.11,1,1028.2
2025-03-11,1027.5,1027.5,1027.1,1027.1,-0.1,225,231167.5
2025-03-09,1028.1,1028.1,1028.1,1028.1,0.0,25,25702.5
2025-03-05,1025.0,1036.2,1025.0,1028.1,-1.14,227,234127.4
2025-03-03,1040.0,1040.0,1040.0,1040.0,1.76,25,26000.0
2025-03-02,1023.0,1024.0,1022.0,1022.0,0.06,325,332340.0
2025-02-24,1021.4,1021.4,1021.4,1021.4,-1.28,25,25535.0
2025-02-23,1034.6,1034.6,1034.6,1034.6,-2.0,25,25865.0
2025-02-12,1048.7,1055.7,1048.7,1055.7,2.0,324,341366.0
2025-02-10,1035.0,1035.0,1035.0,1035.0,0.49,25,25875.0
2025-02-06,1030.0,1030.0,1030.0,1030.0,0.0,50,51500.0
2025-02-05,1030.1,1030.1,1030.0,1030.0,0.0,100,103002.5
2025-02-03,1030.0,1030.0,1030.0,1030.0,0.0,50,51500.0
2025-02-02,1030.0,1030.0,1030.0,1030.0,0.68,75,77250.0
2025-01-28,1023.2,1023.2,1023.0,1023.0,-0.68,50,51155.0
2025-01-27,1018.0,1030.0,1018.0,1030.0,-0.48,121,124269.9
2025-01-22,1028.5,1035.0,1028.5,1035.0,0.63,285,293187.5
2025-01-20,1027.7,1028.5,1027.7,1028.5,-1.92,40,41128.0
2025-01-19,1048.6,1048.6,1048.6,1048.6,-2.0,1,1048.6
2025-01-13,1070.0,1070.0,1070.0,1070.0,0.0,100,107000.0
2025-01-09,1070.0,1070.0,1070.0,1070.0,-0.09,65,69550.0
2025-01-06,1050.0,1071.0,1050.0,1071.0,2.0,500,534372.5
2025-01-02,1050.0,1050.0,1050.0,1050.0,0.66,25,26250.0
2025-01-01,1043.0,1043.1,1043.0,1043.1,0.0,50,52152.5
2024-12-29,1033.0,1043.2,1033.0,1043.1,0.3,100,104010.0
2024-12-24,1040.0,1040.0,1040.0,1040.0,0.0,50,52000.0
2024-12-22,1040.0,1040.0,1040.0,1040.0,1.16,40,41600.0
2024-12-18,1028.1,1028.1,1028.1,1028.1,-0.18,25,25702.5
2024-12-11,1030.0,1030.0,1030.0,1030.0,-1.9,25,25750.0
2024-12-10,1050.0,1050.0,1050.0,1050.0,0.0,50,52500.0
2024-12-09,1045.0,1050.0,1045.0,1050.0,0.41,275,288125.0
2024-12-08,1045.7,1045.7,1045.7,1045.7,-2.0,50,52285.0
2024-12-05,1045.0,1067.0,1045.0,1067.0,1.96,115,121525.0
2024-12-04,1046.1,1046.5,1046.1,1046.5,2.0,60,62770.0
2024-12-02,1023.1,1026.0,1023.1,1026.0,0.1,60,61472.5
2024-11-28,1025.0,1025.0,1025.0,1025.0,-0.58,50,51250.0
2024-11-26,1031.0,1031.0,1031.0,1031.0,0.1,25,25775.0
2024-11-25,1026.0,1030.0,1026.0,1030.0,0.28,50,51400.0
2024-11-21,1027.0,1027.1,1027.0,1027.1,0.11,75,77027.5
2024-11-20,1035.0,1035.0,1023.0,1026.0,0.59,275,282527.5
2024-11-19,1020.0,1020.0,1020.0,1020.0,-0.49,25,25500.0
2024-11-17,1025.1,1025.1,1025.0,1025.0,-1.44,50,51252.5
2024-11-14,1040.0,1045.5,1040.0,1040.0,1.46,300,312962.5
2024-11-13,1044.0,1045.0,1025.0,1025.0,-2.38,250,260725.0
2024-11-12,1020.7,1050.0,1020.7,1050.0,0.96,175,182337.5
2024-11-11,1021.0,1040.0,1021.0,1040.0,1.85,50,51525.0
2024-11-10,1021.1,1021.1,1021.1,1021.1,-1.82,25,25527.5
2024-11-06,1040.0,1040.0,1040.0,1040.0,0.0,25,26000.0
2024-11-05,1040.0,1040.0,1040.0,1040.0,0.87,25,26000.0
2024-10-30,1031.0,1031.0,1031.0,1031.0,0.0,25,25775.0
2024-10-29,1031.0,1031.0,1031.0,1031.0,0.0,50,51550.0
2024-10-28,1031.0,1031.0,1031.0,1031.0,0.1,25,25775.0
2024-10-23,1029.0,1030.0,1029.0,1030.0,-1.9,55,56630.0
2024-10-22,1050.0,1050.0,1050.0,1050.0,0.48,60,63000.0
2024-10-21,1045.0,1045.0,1045.0,1045.0,0.0,25,26125.0
2024-10-20,1027.0,1045.0,1027.0,1045.0,0.0,70,72700.0
2024-10-17,1045.1,1045.1,1045.0,1045.0,0.0,50,52252.5
2024-10-16,1027.0,1045.0,1027.0,1045.0,0.0,155,161100.0
2024-10-15,1040.0,1045.0,1035.0,1045.0,-0.29,200,208250.0
