date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.7,9.7,9.51,9.52,-2.86,3050,29349.0
2026-02-11,10.21,11.03,9.8,9.8,-4.02,50800,534812.0
2026-02-10,9.63,10.21,9.4,10.21,3.97,12680,125731.8
2026-02-09,9.44,9.82,9.31,9.82,1.97,4177,40238.23
2026-02-08,9.46,9.64,8.74,9.63,-0.21,47800,437456.0
2026-02-05,9.1,9.65,9.1,9.65,4.89,173805,1635910.75
2026-02-04,9.02,9.66,9.02,9.2,0.88,12500,117728.0
2026-02-03,9.12,9.3,9.12,9.12,-1.94,3950,36129.0
2026-02-02,9.46,9.46,9.28,9.3,-3.63,59000,556894.0
2026-02-01,8.94,9.65,8.94,9.65,6.51,238210,2243452.84
2026-01-29,9.2,9.2,9.03,9.06,-2.05,18480,167647.4
2026-01-28,9.15,9.44,9.0,9.25,-0.11,105572,977510.8
2026-01-27,9.0,9.26,8.91,9.26,2.77,113500,1038548.2
2026-01-26,8.9,9.1,8.9,9.01,0.67,10460,94356.8
2026-01-25,9.06,9.06,8.91,8.95,0.56,3300,29470.0
2026-01-22,8.98,9.07,8.76,8.9,1.02,17000,151779.0
2026-01-21,8.88,9.05,8.81,8.81,-2.76,2100,18650.0
2026-01-20,8.89,9.06,8.88,9.06,-0.11,3790,34185.0
2026-01-18,8.83,9.07,8.83,9.07,0.67,1700,15279.0
2026-01-14,8.82,9.01,8.67,9.01,0.56,4890,43357.9
2026-01-13,9.05,9.07,8.95,8.96,0.67,13900,125680.0
2026-01-12,8.97,9.0,8.9,8.9,-0.78,2500,22346.0
2026-01-08,8.88,9.05,8.88,8.97,-0.55,1425,12866.85
2026-01-07,8.8,9.2,8.8,9.02,1.23,118805,1088244.0
2026-01-06,8.97,9.1,8.91,8.91,1.25,34965,313869.6
2026-01-05,8.86,8.86,8.8,8.8,1.27,2430,21504.0
2026-01-04,8.8,8.84,8.69,8.69,-1.7,2500,22077.0
2026-01-01,8.82,8.99,8.82,8.84,-1.78,10270,91609.8
2025-12-31,8.53,9.04,8.41,9.0,3.45,55275,493453.0
2025-12-29,8.7,8.7,8.53,8.7,1.87,1200,10383.0
2025-12-28,8.68,8.68,8.51,8.54,0.35,4340,37370.2
2025-12-24,8.5,8.51,8.33,8.51,0.12,10700,89737.0
2025-12-23,8.4,8.65,8.4,8.5,-0.58,6400,55274.0
2025-12-22,8.5,8.68,8.5,8.55,-0.58,1600,13728.0
2025-12-21,8.51,8.75,8.5,8.6,0.0,13560,117797.05
2025-12-18,8.6,8.64,8.6,8.6,-0.58,800,6884.0
2025-12-17,8.54,8.76,8.54,8.65,-0.69,9900,85928.0
2025-12-16,8.5,8.72,8.5,8.71,1.28,14710,127984.0
2025-12-15,8.5,8.6,8.5,8.6,0.0,5450,46825.0
2025-12-14,8.6,8.65,8.6,8.6,-1.04,12500,107570.0
2025-12-11,8.69,8.69,8.69,8.69,0.0,100,869.0
2025-12-10,8.36,8.7,8.36,8.69,1.88,10400,90149.0
2025-12-09,8.39,8.53,8.39,8.53,1.79,2200,18524.0
2025-12-08,8.38,8.38,8.38,8.38,-1.41,1400,11732.0
2025-12-07,8.4,8.52,8.4,8.5,-0.7,31240,263626.0
2025-12-03,8.25,8.56,8.25,8.56,1.9,900,7600.0
2025-12-02,8.35,8.5,8.35,8.4,-0.24,1800,15207.0
2025-12-01,8.32,8.56,8.32,8.42,0.24,1400,11858.0
2025-11-30,8.31,8.47,8.31,8.4,-0.83,2000,16771.0
2025-11-27,8.34,8.47,8.3,8.47,-0.47,3500,29357.0
2025-11-26,8.33,8.51,8.33,8.51,1.92,2500,21255.0
2025-11-25,8.32,8.46,8.32,8.35,0.6,9610,80264.2
2025-11-24,8.27,8.3,8.27,8.3,-0.12,200,1657.0
2025-11-23,8.3,8.46,8.3,8.31,-0.24,15650,131085.2
2025-11-20,8.39,8.5,8.33,8.33,-2.57,3100,25973.15
2025-11-19,8.62,8.62,8.55,8.55,1.06,800,6854.0
2025-11-18,8.35,8.47,8.31,8.46,-0.24,800,6721.0
2025-11-17,8.47,8.64,8.47,8.48,0.24,2500,21358.0
2025-11-16,8.35,8.62,8.35,8.46,0.0,400,3394.0
2025-11-13,8.62,8.63,8.46,8.46,-1.97,3450,29736.0
2025-11-12,8.33,8.63,8.33,8.63,1.77,1240,10508.6
2025-11-11,8.77,8.77,8.32,8.48,-1.4,850,7215.0
2025-11-09,8.66,8.66,8.6,8.6,-2.6,400,3446.0
2025-11-06,8.87,8.87,8.7,8.83,1.49,720,6322.6
2025-11-05,8.65,8.72,8.55,8.7,0.23,1800,15584.3
2025-11-04,8.42,8.68,8.42,8.68,2.0,1700,14635.0
2025-11-03,8.5,8.51,8.5,8.51,-0.23,1500,12761.0
2025-11-02,8.44,8.53,8.33,8.53,1.07,25684,218719.96
2025-10-30,8.43,8.44,8.43,8.44,-0.12,600,5060.0
2025-10-29,8.5,8.58,8.42,8.45,-1.74,1400,11895.0
2025-10-28,8.72,8.72,8.57,8.6,-1.38,600,5168.0
2025-10-19,8.65,8.72,8.65,8.72,1.99,2200,19176.0
2025-10-16,8.44,8.55,8.43,8.55,-0.58,2400,20258.0
2025-10-15,8.51,8.6,8.5,8.6,-0.81,2600,22120.0
2025-10-14,8.35,8.67,8.35,8.67,2.24,2260,19190.0
2025-10-13,8.48,8.48,8.48,8.48,-1.85,250,2120.0
2025-10-12,8.5,8.64,8.49,8.64,-0.23,8200,70463.0
2025-10-09,8.6,8.8,8.6,8.66,-0.46,3750,32502.0
2025-10-08,8.65,8.74,8.65,8.7,-1.02,2200,19140.84
2025-10-07,8.81,8.81,8.7,8.79,-0.11,31300,274494.0
2025-09-28,8.57,8.8,8.57,8.8,2.8,8300,72415.6
2025-09-25,8.5,8.67,8.5,8.56,-0.47,5650,48642.0
2025-09-24,8.77,8.77,8.32,8.6,-3.8,30400,256481.0
2025-09-23,8.44,8.94,8.44,8.94,3.83,11272,96766.0
2025-09-21,8.51,8.76,8.4,8.61,-0.35,19500,167311.0
2025-09-08,9.7,9.72,9.64,9.64,-1.53,23600,228898.0
2025-09-07,9.58,10.0,9.58,9.79,4.15,141560,1389413.2
2025-09-04,9.28,9.4,9.28,9.4,-0.63,1300,12140.0
2025-09-03,9.21,9.57,9.21,9.46,0.75,23450,223233.0
2025-09-02,9.3,9.39,9.3,9.39,0.75,4750,44571.5
2025-09-01,9.3,9.33,9.3,9.32,-0.11,2500,23264.0
2025-08-31,9.18,9.54,9.18,9.33,0.32,19100,179636.0
2025-08-28,9.3,9.4,9.3,9.3,0.54,1800,16750.0
2025-08-27,9.25,9.25,9.25,9.25,-1.07,500,4625.0
2025-08-26,9.25,9.42,9.25,9.35,1.08,2400,22400.6
