date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.37,9.37,9.2,9.2,0.11,892,8273.04
2026-02-11,9.12,9.2,9.12,9.19,-1.18,7300,67040.0
2026-02-10,9.3,9.3,9.3,9.3,-0.21,7200,66960.0
2026-02-09,9.32,9.32,9.32,9.32,-1.89,2100,19572.0
2026-02-08,9.33,9.51,9.33,9.5,0.0,15700,149084.0
2026-02-05,9.5,9.62,9.5,9.5,0.53,4700,45168.0
2026-02-04,9.43,9.45,9.43,9.45,-1.66,600,5660.0
2026-02-03,9.8,10.93,9.61,9.61,-3.32,34757,369629.61
2026-02-02,9.75,9.94,9.73,9.94,0.51,22749,225002.56
2026-01-29,9.65,9.89,8.92,9.89,0.51,22100,197410.0
2026-01-28,9.45,9.84,9.45,9.84,2.5,9500,92211.65
2026-01-27,9.3,9.6,9.25,9.6,1.91,47768,450082.3
2026-01-26,8.91,9.42,8.91,9.42,4.09,17705,164085.35
2026-01-25,9.0,9.05,9.0,9.05,-0.88,2300,20705.0
2026-01-22,8.96,9.13,8.96,9.13,0.55,9000,81320.0
2026-01-21,9.25,9.3,9.08,9.08,-1.84,15100,137323.0
2026-01-20,9.58,9.61,9.25,9.25,-2.01,16485,156242.15
2026-01-18,9.1,9.44,9.1,9.44,1.72,1100,10130.0
2026-01-14,9.29,9.29,9.27,9.28,1.87,10400,96558.0
2026-01-13,9.2,9.2,9.1,9.11,1.0,15700,143296.0
2026-01-08,9.07,9.2,9.02,9.02,1.35,3500,31850.0
2026-01-07,8.9,8.9,8.9,8.9,-0.56,200,1780.0
2026-01-06,8.99,9.18,8.95,8.95,-0.56,9675,88429.75
2026-01-05,9.07,9.07,9.0,9.0,1.12,2600,23575.0
2026-01-04,9.07,9.07,8.9,8.9,0.0,4600,41365.0
2026-01-01,8.86,8.9,8.86,8.9,-1.33,300,2662.0
2025-12-29,9.2,9.2,9.02,9.02,-1.85,580,5246.0
2025-12-23,9.27,9.27,9.19,9.19,0.99,3800,35162.0
2025-12-22,9.1,9.1,9.1,9.1,0.0,3150,28665.0
2025-12-21,9.1,9.1,9.1,9.1,-0.98,9250,84175.0
2025-12-17,9.01,9.19,9.01,9.19,0.0,1500,13596.5
2025-12-16,9.0,9.19,9.0,9.19,0.11,22265,204199.2
2025-12-15,9.03,9.18,9.03,9.18,3.61,14185,128118.3
2025-12-14,8.85,8.86,8.85,8.86,-1.56,2950,26136.0
2025-12-11,9.0,9.0,9.0,9.0,0.22,50000,450000.0
2025-12-09,8.98,8.98,8.98,8.98,1.81,118775,1066599.5
2025-12-08,8.56,8.82,8.56,8.82,1.97,1400,12255.0
2025-12-07,8.6,8.65,8.6,8.65,-0.57,1067,9190.2
2025-12-03,8.89,8.89,8.7,8.7,-0.23,1700,15018.0
2025-12-02,8.8,8.8,8.72,8.72,-0.91,4200,36952.0
2025-12-01,8.8,8.8,8.8,8.8,-0.45,550,4840.0
2025-11-27,8.7,8.84,8.7,8.84,1.96,600,5234.0
2025-11-26,8.69,8.69,8.67,8.67,-1.14,1000,8677.0
2025-11-25,8.51,8.77,8.5,8.77,1.98,2344,20256.91
2025-11-23,8.61,8.61,8.6,8.6,-1.94,2600,22371.0
2025-11-20,8.6,8.77,8.6,8.77,0.11,6500,56897.0
2025-11-19,8.7,8.76,8.64,8.76,-0.57,5100,44376.0
2025-11-18,8.55,8.81,8.55,8.81,1.97,4000,34460.0
2025-11-17,8.81,8.81,8.64,8.64,0.0,700,6150.0
2025-11-16,8.48,8.64,8.48,8.64,1.29,700,5955.0
2025-11-11,8.56,8.56,8.52,8.53,-1.84,5400,46132.0
2025-11-10,8.71,8.71,8.69,8.69,-1.59,16000,139110.0
2025-11-06,8.85,9.0,8.83,8.83,-1.89,10100,89617.0
2025-11-05,9.0,9.0,9.0,9.0,0.0,900,8100.0
2025-11-03,9.01,9.01,9.0,9.0,1.81,5000,45010.0
2025-11-02,9.0,9.1,8.84,8.84,-1.78,15100,134648.88
2025-10-30,9.0,9.0,9.0,9.0,0.11,10000,90000.0
2025-10-29,8.82,8.99,8.82,8.99,-0.11,4000,35943.0
2025-10-28,9.0,9.0,9.0,9.0,-1.21,1750,15750.0
2025-10-26,9.11,9.11,9.11,9.11,0.0,200,1822.0
2025-10-19,9.11,9.11,9.11,9.11,0.0,100,911.0
2025-10-16,9.11,9.11,9.11,9.11,0.66,1076,9802.36
2025-10-15,8.75,9.05,8.75,9.05,5.23,7215,63455.75
2025-10-14,8.6,8.6,8.6,8.6,0.0,200,1720.0
2025-10-13,8.72,8.72,8.6,8.6,0.58,31500,272706.0
2025-10-12,8.71,8.71,8.55,8.55,-3.72,600,5146.0
2025-10-09,8.85,9.02,8.85,8.88,0.34,1100,9830.0
2025-10-08,9.2,9.2,8.85,8.85,-3.8,12355,112864.9
2025-10-07,9.2,9.2,9.2,9.2,1.1,553,5087.6
2025-09-24,9.0,9.1,9.0,9.1,1.11,25600,231945.0
2025-09-23,8.94,9.0,8.94,9.0,-1.32,8200,73326.0
2025-09-08,9.12,9.12,9.12,9.12,0.0,5000,45600.0
2025-09-07,9.12,9.12,9.12,9.12,0.22,100,912.0
2025-09-04,9.12,9.12,8.94,9.1,-2.15,4625,42049.1
2025-09-03,9.2,9.3,9.2,9.3,3.1,840,7802.0
2025-09-01,8.77,9.03,8.75,9.02,1.81,10558,93563.74
2025-08-31,8.85,9.09,8.85,8.86,-0.67,4600,41356.0
2025-08-28,8.92,8.94,8.91,8.92,-1.87,6126,54683.96
2025-08-27,8.99,9.09,8.99,9.09,1.91,33300,302220.0
2025-08-26,8.83,9.0,8.83,8.92,-0.89,9320,83015.35
2025-08-25,8.83,9.0,8.83,9.0,0.0,3500,31415.0
2025-08-24,9.0,9.0,9.0,9.0,-1.1,12100,108900.0
2025-08-21,8.97,9.1,8.97,9.1,-0.33,8700,79105.0
2025-08-20,9.2,9.5,9.13,9.13,1.22,58051,538139.5
2025-08-19,8.98,9.52,8.98,9.02,-1.53,16700,151388.0
2025-08-18,9.22,9.22,9.14,9.16,-1.72,25500,234676.0
2025-08-17,9.7,9.7,9.14,9.32,-3.92,21200,203266.0
2025-08-14,10.19,10.19,9.7,9.7,-6.64,135250,1342397.0
2025-08-13,10.47,10.47,10.17,10.39,0.39,101850,1039407.98
2025-08-12,10.1,10.35,10.1,10.35,1.57,18338,187836.5
2025-08-11,10.25,10.34,10.12,10.19,-0.97,12915,132141.45
2025-08-07,10.1,10.38,10.0,10.29,2.39,408000,4151274.7
2025-08-06,10.2,10.29,10.0,10.05,0.3,70130,716243.2
2025-08-05,10.2,10.39,10.01,10.02,-1.76,59740,600456.37
2025-08-04,10.38,10.38,10.18,10.2,0.2,135800,1382816.0
2025-08-03,10.15,10.2,10.01,10.18,2.21,314950,3201210.5
2025-07-31,10.15,10.3,9.96,9.96,-1.87,4900,49315.0
2025-07-30,10.2,10.45,10.15,10.15,-1.07,2400,24550.0
2025-07-29,9.95,10.6,9.92,10.26,1.58,125567,1312586.3
2025-07-28,10.26,10.26,9.87,10.1,0.4,29950,302401.5
2025-07-27,10.24,10.24,10.03,10.06,-3.64,14450,145381.0
2025-07-24,9.71,10.44,9.71,10.44,5.99,16300,161749.0
2025-07-23,10.23,10.23,9.85,9.85,-1.89,665,6656.95
2025-07-22,9.86,10.24,9.86,10.04,-0.1,3700,36562.0
2025-07-21,10.15,10.2,10.0,10.05,0.5,13800,139629.25
2025-07-20,9.94,10.03,9.83,10.0,1.52,21900,216220.0
