date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.0,9.28,9.0,9.16,0.0,3600,32769.5
2026-02-11,9.0,9.17,9.0,9.16,0.11,4200,38297.0
2026-02-10,9.1,9.2,9.1,9.15,-0.11,5500,50275.0
2026-02-09,9.1,9.17,9.1,9.16,-0.33,2300,21039.0
2026-02-08,9.0,9.48,9.0,9.19,0.33,2700,24821.0
2026-02-05,9.0,9.28,9.0,9.16,0.11,40800,373359.0
2026-02-04,9.0,9.2,9.0,9.15,0.55,9400,86173.0
2026-02-03,8.97,9.1,8.97,9.1,-0.11,2000,18108.0
2026-02-02,8.96,9.18,8.96,9.11,0.11,4500,40810.0
2026-02-01,9.01,9.1,9.01,9.1,-0.55,2950,26662.5
2026-01-29,9.01,9.2,9.01,9.15,0.22,3100,28114.0
2026-01-28,9.0,9.2,9.0,9.13,-0.11,3650,33293.0
2026-01-27,9.1,9.14,8.96,9.14,0.44,6287,57248.7
2026-01-26,9.21,9.21,9.04,9.1,0.78,3000,27260.0
2026-01-25,9.0,9.45,8.98,9.03,-0.77,2900,26331.0
2026-01-22,9.09,9.28,9.09,9.1,-1.83,7100,65330.0
2026-01-21,9.2,9.28,9.2,9.27,1.87,179710,1662521.5
2026-01-20,8.88,9.12,8.78,9.1,2.48,12400,112746.0
2026-01-18,8.71,9.02,8.71,8.88,0.34,3600,31873.0
2026-01-14,8.73,9.02,8.67,8.85,-0.56,3150,27758.5
2026-01-13,8.7,8.9,8.7,8.9,0.91,8695,76658.9
2026-01-12,8.76,8.82,8.76,8.82,0.68,7800,68446.0
2026-01-08,8.74,8.76,8.74,8.76,-1.68,400,3500.0
2026-01-07,9.02,9.02,8.85,8.91,-3.15,17700,159469.0
2026-01-06,8.8,9.2,8.8,9.2,3.95,14700,134404.0
2026-01-05,8.67,8.85,8.67,8.85,0.11,7300,64431.0
2026-01-04,8.92,9.0,8.81,8.84,-0.9,1050,9339.0
2026-01-01,8.89,8.93,8.89,8.92,0.11,1100,9807.0
2025-12-31,8.8,8.91,8.8,8.91,0.45,1025,9088.75
2025-12-29,8.8,9.1,8.8,8.87,-1.11,1800,16028.0
2025-12-28,8.78,8.97,8.78,8.97,2.16,25475,227772.25
