date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,8.97,9.32,8.97,9.19,0.99,3180,28997.6
2026-02-11,9.27,9.31,9.1,9.1,-3.7,130600,1213860.0
2026-02-10,9.25,9.45,9.11,9.45,1.94,40610,382250.6
2026-02-09,9.22,9.35,9.22,9.27,-0.86,2700,24965.0
2026-02-08,9.3,9.48,9.16,9.35,0.54,9450,87775.0
2026-02-05,9.3,9.3,9.12,9.3,-1.9,3500,32378.0
2026-02-04,9.13,9.48,9.13,9.48,1.94,35750,338418.0
2026-02-03,9.16,9.46,9.16,9.3,0.43,49320,465849.0
2026-02-02,9.25,9.26,9.25,9.26,-1.8,1200,11102.0
2026-02-01,9.13,9.43,9.13,9.43,1.73,40300,379215.0
2026-01-29,9.15,9.38,9.15,9.27,1.09,40700,380002.0
2026-01-28,9.06,9.2,9.06,9.17,-0.11,2450,22292.0
2026-01-27,9.15,9.18,9.15,9.18,-1.61,9300,85274.0
2026-01-26,9.15,9.34,9.13,9.33,1.97,84473,787284.09
2026-01-25,9.15,9.15,9.04,9.15,0.77,4300,39045.0
2026-01-22,9.05,9.23,9.05,9.08,-0.77,800,7261.0
2026-01-21,8.94,9.2,8.94,9.15,1.55,19195,175271.15
2026-01-20,8.84,9.19,8.84,9.01,0.0,6400,58157.0
2026-01-18,8.96,9.13,8.96,9.01,-0.99,5420,48883.2
2026-01-14,8.91,9.1,8.91,9.1,0.55,1000,8984.0
2026-01-13,8.81,9.05,8.81,9.05,1.91,9250,82879.0
2026-01-12,8.8,9.0,8.8,8.88,-0.78,2800,24879.0
2026-01-08,9.11,9.12,8.95,8.95,-1.76,1000,9004.0
2026-01-07,9.05,9.19,9.05,9.11,-0.87,18200,164889.0
2026-01-06,9.0,9.19,9.0,9.19,0.99,19020,174245.9
2026-01-05,9.0,9.17,9.0,9.1,1.11,6910,62405.0
2026-01-04,8.91,9.0,8.91,9.0,0.0,2500,22448.0
2026-01-01,8.8,9.1,8.8,9.0,0.9,4500,40651.0
2025-12-31,9.17,9.25,8.91,8.92,-1.65,200900,1857289.0
2025-12-29,9.36,9.36,9.07,9.07,-1.2,5400,50144.0
2025-12-28,8.82,9.18,8.82,9.18,2.0,18300,165369.0
2025-12-24,8.88,9.0,8.75,9.0,-0.66,12600,112304.0
2025-12-23,8.85,9.06,8.34,9.06,0.33,6700,57451.0
2025-12-22,8.81,9.03,8.81,9.03,0.78,3000,26742.0
2025-12-21,8.76,9.0,8.76,8.96,2.28,5286,47150.0
2025-12-18,8.72,8.76,8.72,8.76,-0.11,1200,10497.0
2025-12-17,8.62,8.77,8.62,8.77,1.15,2000,17437.0
2025-12-16,8.56,8.67,8.56,8.67,-0.57,3150,27066.5
2025-12-15,8.67,8.72,8.67,8.72,-0.91,1600,13939.0
2025-12-14,8.79,8.8,8.79,8.8,0.11,2200,19359.0
2025-12-11,8.75,8.79,8.75,8.79,0.46,1600,14044.0
2025-12-10,8.84,9.0,8.74,8.75,-1.02,2727,24407.0
2025-12-09,8.75,8.97,8.75,8.84,1.03,34150,304344.0
2025-12-08,8.65,8.8,8.65,8.75,0.0,2200,19181.0
2025-12-07,8.59,8.88,8.59,8.75,0.0,8130,71485.8
2025-12-03,8.8,8.85,8.63,8.75,-0.34,24000,211952.0
2025-12-02,8.61,8.78,8.61,8.78,1.39,700,6078.0
2025-12-01,8.61,8.75,8.61,8.66,0.35,1650,14280.5
2025-11-30,8.55,8.63,8.55,8.63,-0.58,2750,23704.0
2025-11-27,8.65,8.8,8.65,8.68,0.7,4700,40852.0
2025-11-26,8.6,8.62,8.6,8.62,0.23,1800,15497.0
2025-11-25,8.53,8.6,8.53,8.6,-1.15,2600,22333.0
2025-11-24,8.51,8.7,8.51,8.7,1.75,10700,91589.0
2025-11-23,8.48,8.64,8.48,8.55,1.06,9960,85331.5
2025-11-20,8.6,8.61,8.45,8.46,-1.63,6910,58620.6
2025-11-19,8.68,8.7,8.6,8.6,-1.15,1600,13842.0
2025-11-18,8.6,8.71,8.6,8.7,-0.8,1600,13873.0
2025-11-17,8.6,8.77,8.6,8.77,0.0,2200,19203.0
2025-11-16,8.61,8.77,8.47,8.77,-0.11,1200,10307.0
2025-11-13,8.51,8.78,8.51,8.78,1.97,1700,14611.0
2025-11-12,8.6,8.69,8.6,8.61,-1.03,1010,8698.1
2025-11-11,8.5,8.86,8.5,8.7,2.11,2100,18317.0
2025-11-10,8.5,8.74,8.45,8.52,-1.05,1500,12837.0
2025-11-09,8.73,8.73,8.61,8.61,-3.26,2900,25209.0
2025-11-06,8.73,8.9,8.39,8.9,0.0,67300,580489.0
2025-11-05,8.8,9.1,8.8,8.9,-0.78,6400,58012.0
2025-11-04,8.69,8.97,8.69,8.97,1.93,31800,284734.0
2025-11-03,8.8,8.95,8.65,8.8,0.0,1900,16771.0
2025-11-02,8.8,8.87,8.75,8.8,1.15,21600,191138.0
2025-10-30,8.45,8.7,8.45,8.7,1.52,2600,22333.5
2025-10-29,8.74,8.74,8.57,8.57,0.0,200,1731.0
2025-10-28,8.72,8.73,8.56,8.57,0.23,4000,34486.0
2025-10-26,8.55,8.7,8.55,8.55,-1.84,1300,11130.0
2025-10-19,8.53,8.85,8.53,8.71,2.35,1850,16079.5
2025-10-16,8.5,8.67,8.5,8.51,-1.28,1620,13896.2
2025-10-15,8.45,8.62,8.45,8.62,1.65,650,5541.0
2025-10-14,8.5,8.5,8.36,8.48,-2.19,11000,93468.0
2025-10-13,8.33,8.67,8.33,8.67,2.0,1950,16484.5
2025-10-12,8.41,8.55,8.41,8.5,-0.47,1100,9351.0
2025-10-09,8.62,8.87,8.54,8.54,-0.93,11050,95519.0
2025-10-08,8.62,8.63,8.62,8.62,-1.82,1100,9487.0
2025-10-07,8.44,8.78,8.44,8.78,1.97,9200,78872.0
2025-09-28,8.7,8.7,8.61,8.61,-1.03,3100,26961.0
2025-09-25,8.5,8.71,8.5,8.7,0.35,2920,25077.7
2025-09-24,8.65,8.67,8.65,8.67,-1.7,2100,18190.0
2025-09-23,8.84,9.04,8.82,8.82,1.73,3226,28875.04
2025-09-21,8.7,8.7,8.55,8.67,-0.34,2920,25197.0
2025-09-08,8.66,8.99,8.66,8.7,-1.36,63550,553925.0
2025-09-07,8.83,9.0,8.8,8.82,-2.0,800,7105.0
2025-09-04,8.8,9.0,8.8,9.0,3.81,7830,70098.0
2025-09-03,8.62,8.7,8.61,8.67,0.0,13500,116396.0
