date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,500.0,500.0,491.1,496.0,0.2,13107,6481808.6
2026-02-11,501.0,508.9,486.0,495.0,-0.8,46327,22778243.8
2026-02-10,508.0,508.0,489.1,499.0,0.0,43828,21665746.6
2026-02-09,510.0,510.0,499.0,499.0,-2.16,27146,13632148.3
2026-02-08,515.0,517.9,507.0,510.0,-0.37,16255,8303724.1
2026-02-05,504.7,513.0,502.0,511.9,1.43,17758,9035977.4
2026-02-04,503.0,512.5,500.2,504.7,-0.06,13186,6648683.9
2026-02-03,515.0,515.0,504.1,505.0,-0.61,16740,8471327.0
2026-02-02,519.0,519.0,508.1,508.1,-0.78,8091,4127130.4
2026-02-01,514.0,514.0,509.4,512.1,0.2,11554,5913617.5
2026-01-29,505.0,518.0,505.0,511.1,-0.41,14820,7602911.2
2026-01-28,506.0,515.0,506.0,513.2,-0.27,10149,5202213.2
2026-01-27,525.0,532.0,514.6,514.6,-2.37,24988,13010179.3
2026-01-26,538.0,538.8,525.0,527.1,-0.73,24446,12989064.0
2026-01-25,520.0,540.5,513.2,531.0,3.51,30490,16050609.2
2026-01-22,521.0,521.0,510.1,513.0,-0.19,10800,5538676.5
2026-01-21,518.0,520.0,514.0,514.0,-0.19,17452,9026870.7
2026-01-20,512.9,517.0,510.0,515.0,1.78,18705,9626863.7
2026-01-18,518.0,518.0,504.0,506.0,-0.59,12058,6135181.9
2026-01-14,503.0,509.0,498.1,509.0,2.19,18294,9182194.5
2026-01-13,500.0,506.9,497.0,498.1,-0.6,22834,11412962.3
2026-01-12,500.0,503.0,499.0,501.1,-0.18,12775,6399881.8
2026-01-08,504.0,507.0,500.0,502.0,-0.4,7528,3788213.2
2026-01-07,505.0,507.8,500.0,504.0,-0.06,12794,6444098.6
2026-01-06,505.9,510.0,502.0,504.3,0.86,20276,10271176.7
2026-01-05,500.0,501.0,493.0,500.0,0.22,23959,11953348.8
2026-01-04,507.7,507.7,496.0,498.9,-0.26,8376,4169217.8
2026-01-01,508.0,508.0,500.0,500.2,-1.15,6941,3488262.2
2025-12-31,508.0,510.9,504.5,506.0,0.9,9047,4597808.9
2025-12-29,517.0,517.0,499.9,501.5,-1.67,21896,11033800.4
2025-12-28,505.0,513.8,505.0,510.0,1.01,14349,7283665.9
2025-12-24,501.0,506.0,500.1,504.9,0.64,8774,4397023.5
2025-12-23,502.0,502.5,496.2,501.7,-0.06,11889,5939684.4
2025-12-22,510.9,510.9,500.2,502.0,-0.59,5647,2836534.6
2025-12-21,514.0,514.0,505.0,505.0,-1.92,7336,3723659.8
2025-12-18,530.0,530.0,509.0,514.9,-0.92,21501,11009254.1
2025-12-17,527.3,536.0,510.0,519.7,0.52,10477,5403172.6
2025-12-16,526.3,526.3,506.0,517.0,0.19,3913,2019572.4
2025-12-15,511.0,518.0,510.1,516.0,0.6,6852,3516910.9
2025-12-14,516.2,519.0,511.0,512.9,-0.64,11681,5998547.9
2025-12-11,515.2,519.9,515.2,516.2,0.04,3302,1703350.7
2025-12-10,515.3,520.0,515.2,516.0,-0.77,4398,2272195.2
2025-12-09,518.0,526.5,513.5,520.0,0.39,17729,9259970.7
2025-12-08,514.0,520.1,513.0,518.0,0.19,5211,2690846.1
2025-12-07,525.0,525.0,514.0,517.0,-1.13,10781,5565059.6
2025-12-03,529.0,529.0,518.0,522.9,-0.59,23452,12226737.9
2025-12-02,522.0,529.7,518.0,526.0,0.82,9926,5202648.6
2025-12-01,521.4,531.6,515.1,521.7,-0.63,15357,8029651.3
2025-11-30,520.2,537.0,516.0,525.0,-0.19,22540,11906714.2
2025-11-27,524.0,530.4,520.0,526.0,-0.75,19053,10026783.0
2025-11-26,525.0,539.0,525.0,530.0,-0.67,11711,6209194.2
2025-11-25,530.0,534.0,526.0,533.6,-0.26,16207,8589842.2
2025-11-24,518.8,538.5,512.0,535.0,3.68,45855,24112061.1
2025-11-23,502.0,516.0,501.1,516.0,2.79,21718,11055610.0
2025-11-20,507.8,507.8,501.0,502.0,-0.4,8369,4200954.6
2025-11-19,500.3,510.2,500.3,504.0,-0.49,20641,10402858.2
2025-11-18,505.0,510.0,501.4,506.5,0.2,22984,11666002.2
2025-11-17,505.0,509.9,500.0,505.5,0.68,13254,6682382.2
2025-11-16,500.5,507.0,500.5,502.1,-1.06,10941,5507747.1
2025-11-13,510.0,514.0,503.0,507.5,-0.53,8867,4489335.9
2025-11-12,509.1,518.0,509.0,510.2,-0.51,18898,9670796.5
2025-11-11,520.0,521.2,510.0,512.8,0.35,10531,5408383.7
2025-11-10,510.1,517.8,508.6,511.0,-0.58,23003,11777009.0
2025-11-09,520.0,528.0,510.0,514.0,-2.1,12575,6461094.0
2025-11-06,526.0,535.0,519.0,525.0,-1.92,23849,12548072.5
2025-11-05,540.0,540.0,525.0,535.3,-1.6,8990,4771276.1
2025-11-04,553.0,553.0,534.5,544.0,0.0,5085,2753214.0
2025-11-03,540.0,571.2,520.0,544.0,2.64,13236,7209749.9
2025-11-02,528.0,534.0,518.0,530.0,1.92,10233,5383806.3
2025-10-30,505.3,522.0,505.3,520.0,1.17,14076,7284294.8
2025-10-29,522.0,523.0,507.0,514.0,-0.19,6881,3522657.2
2025-10-28,510.0,519.0,504.0,515.0,2.39,4852,2476264.0
2025-10-26,501.0,506.5,494.0,503.0,0.62,3961,1972843.6
2025-10-19,498.0,500.0,491.0,499.9,0.28,4966,2468495.3
2025-10-16,496.1,498.5,490.1,498.5,-0.3,5081,2520101.1
2025-10-15,510.0,510.0,495.0,500.0,-1.96,10294,5109515.3
2025-10-14,506.0,510.0,505.2,510.0,-0.18,7855,3986416.4
2025-10-13,505.0,511.6,497.1,510.9,1.17,4212,2125409.1
2025-10-12,511.0,526.0,489.1,505.0,-2.7,17551,8761952.9
2025-10-09,529.3,561.0,510.0,519.0,0.0,10847,5739585.7
2025-10-08,525.0,526.5,511.0,519.0,-2.08,13640,7085726.3
2025-10-07,540.2,546.0,529.1,530.0,-3.46,10086,5397378.9
2025-09-28,545.0,549.0,534.2,549.0,0.72,7982,4312509.5
2025-09-25,541.0,549.0,532.2,545.1,-0.89,5810,3161390.4
2025-09-24,570.0,570.0,550.0,550.0,-1.96,3606,2001532.5
2025-09-23,523.0,565.0,523.0,561.0,5.42,17080,9216128.5
2025-09-21,539.0,545.0,494.9,532.18,-3.06,49348,25552466.2
2025-09-18,578.0,578.0,549.0,549.0,-5.87,80,45516.0
2025-09-08,584.3,596.5,575.0,583.23,-0.8,8637,4991848.1
2025-09-07,595.0,599.0,585.0,587.93,-2.06,9643,5701355.3
2025-09-04,598.5,603.0,598.0,600.29,0.04,4716,2830659.8
2025-09-03,603.82,607.0,600.0,600.02,-0.63,4221,2541743.4
2025-09-02,600.0,608.0,595.1,603.82,0.44,2313,1397196.6
2025-09-01,600.0,615.0,600.0,601.18,0.15,6074,3653667.6
2025-08-31,611.1,614.7,600.0,600.29,-1.57,6767,4101608.9
2025-08-28,620.1,620.2,606.0,609.88,-1.27,12171,7468494.2
2025-08-27,601.0,620.0,601.0,617.7,1.52,12802,7869016.9
2025-08-26,605.0,615.0,604.0,608.46,-0.46,3682,2240088.0
2025-08-25,600.0,613.5,600.0,611.25,1.61,7592,4613816.7
2025-08-24,606.0,610.0,600.0,601.55,-0.64,10968,6596841.0
2025-08-21,604.0,606.9,602.0,605.4,0.22,5445,3286221.8
2025-08-20,601.0,610.0,601.0,604.07,0.04,3663,2214271.5
2025-08-19,601.2,613.9,601.2,603.82,-0.03,10214,6191685.8
2025-08-18,602.0,610.0,601.0,604.03,0.11,5583,3368681.0
2025-08-17,604.0,610.0,603.0,603.38,0.39,4744,2864885.5
2025-08-14,610.0,613.0,599.0,601.01,0.0,10670,6425354.7
2025-08-13,600.0,613.0,600.0,601.02,-0.92,16909,10198801.0
2025-08-12,624.0,624.0,600.0,606.62,-0.85,17421,10609044.5
2025-08-11,625.0,634.0,610.0,611.79,-1.84,14778,9133998.8
2025-08-07,633.0,633.0,612.8,623.25,0.41,9837,6121116.0
2025-08-06,620.0,625.0,619.0,620.73,-0.96,12463,7750630.2
2025-08-05,647.7,651.6,625.1,626.76,-1.89,15347,9681811.0
2025-08-04,643.03,650.0,625.1,638.83,-0.65,26326,16742652.5
2025-08-03,671.0,671.0,637.0,643.03,-2.41,12648,8171326.0
2025-07-31,664.08,664.08,651.2,658.91,-0.78,19157,12652979.1
2025-07-30,670.1,674.9,664.0,664.08,-1.15,26382,17551691.1
2025-07-29,671.1,680.7,666.1,671.82,0.65,36009,24305674.7
2025-07-28,672.0,675.0,662.0,667.46,-1.73,28954,19336616.5
