date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,8.67,9.1,8.67,8.92,1.13,6200,55473.0
2026-02-11,8.8,8.91,8.76,8.82,-1.01,4000,35149.0
2026-02-10,8.86,9.06,8.86,8.91,0.22,18600,167128.0
2026-02-09,8.96,8.96,8.86,8.89,-0.78,1900,16908.0
2026-02-08,9.05,9.12,8.95,8.96,-2.93,1300,11724.0
2026-02-05,8.84,9.23,8.84,9.23,2.56,16000,145440.0
2026-02-04,8.85,9.09,8.85,9.0,0.0,3328,29778.0
2026-02-03,9.0,9.01,8.95,9.0,-1.96,900,8100.0
2026-02-02,8.95,9.18,8.95,9.18,2.0,248993,2241527.38
2026-02-01,9.1,9.18,8.95,9.0,-2.7,4675,42209.75
2026-01-29,9.5,9.64,9.25,9.25,-2.22,101351,970466.09
2026-01-28,8.95,9.46,8.95,9.46,3.96,50350,466792.0
2026-01-27,8.95,9.14,8.78,9.1,1.45,104195,949166.5
2026-01-26,8.73,8.99,8.56,8.97,0.79,98770,884053.3
2026-01-25,8.65,8.9,8.63,8.9,1.14,22002,193624.22
2026-01-22,8.8,8.8,8.7,8.8,0.0,22120,194348.2
2026-01-21,8.7,8.85,8.66,8.8,-0.34,7200,62880.0
2026-01-20,8.61,8.83,8.61,8.83,1.96,125150,1100113.0
2026-01-18,8.6,8.67,8.6,8.66,-0.69,3000,25960.0
2026-01-14,8.55,8.73,8.55,8.72,0.81,10340,90093.2
2026-01-13,8.54,8.73,8.54,8.65,0.35,21500,186963.25
2026-01-12,8.53,8.7,8.53,8.62,-0.92,22100,192057.0
2026-01-08,8.65,8.75,8.65,8.7,0.58,25563,222405.1
2026-01-07,8.65,8.84,8.65,8.65,0.0,47720,414879.0
2026-01-06,8.8,8.87,8.53,8.65,-0.57,18600,162122.0
2026-01-05,8.74,8.74,8.58,8.7,1.52,4320,37487.0
2026-01-04,8.65,8.8,8.54,8.57,-2.61,4000,34654.0
2026-01-01,8.64,8.8,8.64,8.8,0.0,17275,150330.75
2025-12-31,8.65,8.82,8.53,8.8,1.15,7050,61226.5
2025-12-29,8.65,8.94,8.5,8.7,-1.14,19631,173352.5
2025-12-28,8.65,8.8,8.51,8.8,0.0,7625,65456.0
2025-12-24,8.65,8.8,8.47,8.8,3.17,1900,16332.0
2025-12-23,8.5,8.53,8.26,8.53,0.35,2300,19512.0
