date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,192.0,192.0,188.7,190.0,-0.52,118627,22541037.6
2026-02-11,191.0,194.1,190.0,191.0,0.32,111534,21310434.7
2026-02-10,190.0,191.9,189.0,190.4,0.21,98284,18646485.3
2026-02-09,193.0,193.0,189.8,190.0,-0.16,111173,21139584.8
2026-02-08,194.0,194.0,190.1,190.3,-1.04,172367,32932287.3
2026-02-05,192.0,192.9,191.6,192.3,0.42,92817,17831921.6
2026-02-04,190.0,200.0,190.0,191.5,-0.78,186001,36149451.7
2026-02-03,191.4,193.8,191.1,193.0,0.26,93989,18064691.7
2026-02-02,189.5,194.0,189.5,192.5,0.26,121725,23424445.5
2026-02-01,198.8,198.8,191.5,192.0,-1.54,111437,21497098.3
2026-01-29,195.8,195.9,190.5,195.0,1.04,249119,48069637.4
2026-01-28,191.6,195.4,191.4,193.0,-1.28,138773,26726105.3
2026-01-27,202.0,202.0,195.0,195.5,-1.76,133110,26240406.8
2026-01-26,204.0,204.8,198.0,199.0,-0.95,163831,32825457.5
2026-01-25,196.7,201.0,195.1,200.9,2.5,213039,42270891.0
2026-01-22,198.0,198.0,192.2,196.0,0.51,65476,12688771.3
2026-01-21,196.0,197.0,193.0,195.0,-0.41,87940,17120032.9
2026-01-20,198.0,198.0,194.1,195.8,0.67,134396,26366649.6
2026-01-18,193.0,194.5,191.0,194.5,1.89,92372,17827358.1
2026-01-14,190.8,193.5,190.8,190.9,-0.57,52883,10130238.7
2026-01-13,188.2,211.0,188.2,192.0,0.0,82637,15886000.7
2026-01-12,192.0,193.0,190.6,192.0,0.0,52278,10040281.9
2026-01-08,191.0,193.8,190.0,192.0,0.0,63496,12126408.0
2026-01-07,193.5,195.0,191.4,192.0,-0.52,62613,12022614.1
2026-01-06,193.6,197.4,192.3,193.0,0.31,108737,21167261.3
2026-01-05,192.0,193.9,191.5,192.4,0.31,72599,13999474.3
2026-01-04,193.0,193.5,190.3,191.8,0.16,68376,13126235.8
2026-01-01,193.0,194.9,191.1,191.5,-0.78,191570,37069906.5
2025-12-31,192.0,195.5,191.0,193.0,0.52,90433,17531694.9
2025-12-29,196.0,196.0,192.0,192.0,-0.52,75621,14603747.7
2025-12-28,189.0,193.0,188.6,193.0,2.71,133425,25410211.6
2025-12-24,187.9,189.0,187.0,187.9,-0.05,79471,14919956.6
2025-12-23,192.9,192.9,188.0,188.0,-0.9,80175,15096675.3
2025-12-22,194.0,194.0,188.0,189.7,-0.26,90967,17216503.8
2025-12-21,191.1,193.9,190.0,190.2,-0.83,57982,11080933.5
2025-12-18,194.9,194.9,191.2,191.8,-0.62,41181,7895486.0
2025-12-17,194.9,194.9,191.6,193.0,0.0,47578,9155874.4
2025-12-16,194.0,194.0,191.7,193.0,0.05,50559,9737850.0
2025-12-15,190.0,193.0,190.0,192.9,1.1,67565,12956606.2
2025-12-14,194.0,194.0,190.5,190.8,-0.21,43702,8349068.6
2025-12-11,190.5,192.9,190.0,191.2,0.1,54778,10471460.2
2025-12-10,194.9,194.9,190.3,191.0,-0.1,56588,10822865.1
2025-12-09,194.0,194.0,190.3,191.2,0.05,50204,9622330.1
2025-12-08,195.0,195.0,191.0,191.1,-0.93,109707,21047167.4
2025-12-07,197.0,197.0,189.7,192.9,-1.08,117825,22593069.3
2025-12-03,200.9,200.9,193.0,195.0,-1.02,127505,24775966.6
