date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,235.0,235.0,233.0,234.0,0.3,22160,5177121.0
2026-02-11,237.0,237.0,233.0,233.3,-0.3,16034,3751119.2
2026-02-10,232.5,236.0,232.5,234.0,0.56,33042,7726921.5
2026-02-09,234.4,234.4,232.2,232.7,-0.68,39501,9216046.6
2026-02-08,236.0,242.0,234.2,234.3,0.09,27583,6502066.2
2026-02-05,233.1,235.8,233.0,234.1,0.47,74262,17406225.4
2026-02-04,231.2,239.0,231.2,233.0,-1.23,69194,16190713.2
2026-02-03,237.5,240.0,235.9,235.9,-0.88,39727,9434138.3
2026-02-02,240.0,240.0,236.1,238.0,0.34,27764,6580587.5
2026-02-01,237.0,240.0,237.0,237.2,-0.96,32424,7715937.0
2026-01-29,240.0,241.9,239.2,239.5,-0.25,53461,12824266.6
2026-01-28,240.0,244.0,240.0,240.1,0.0,46367,11169575.7
2026-01-27,242.2,245.0,240.0,240.1,-1.6,62320,15083198.9
2026-01-26,246.4,247.9,242.7,244.0,-0.97,45281,11093505.4
2026-01-25,242.0,246.7,240.0,246.4,2.03,56349,13701367.3
2026-01-22,241.8,243.0,240.0,241.5,-0.41,31063,7482045.6
2026-01-21,238.0,242.5,238.0,242.5,0.83,65927,15910667.3
2026-01-20,237.2,244.0,237.2,240.5,0.71,67016,16131921.0
2026-01-18,238.0,240.9,237.0,238.8,-0.08,51713,12313325.4
2026-01-14,239.0,240.0,237.2,239.0,0.0,21475,5131967.9
2026-01-13,239.9,240.0,237.0,239.0,-0.38,35305,8421264.0
2026-01-12,243.7,243.7,239.0,239.9,0.38,31489,7542354.1
2026-01-08,237.0,239.6,237.0,239.0,0.76,36916,8799140.6
2026-01-07,239.0,241.0,235.6,237.2,-1.17,28233,6715851.4
2026-01-06,235.3,240.6,235.3,240.0,1.65,61193,14668473.5
2026-01-05,235.0,238.9,235.0,236.1,0.43,34799,8239372.9
2026-01-04,242.0,242.0,235.0,235.1,-1.55,44500,10533516.4
2026-01-01,242.9,242.9,237.1,238.8,0.25,28358,6742556.2
2025-12-31,240.0,243.9,238.2,238.2,0.51,47350,11377339.7
2025-12-29,243.0,243.8,236.0,237.0,-1.25,57270,13684182.0
2025-12-28,239.0,240.0,233.0,240.0,2.08,85741,20342834.3
2025-12-24,239.0,239.0,233.5,235.1,-3.16,63953,15020041.5
2025-12-23,256.0,256.0,253.0,254.9,0.51,128592,32670952.0
2025-12-22,260.0,260.0,253.5,253.6,-0.59,77228,19644289.5
2025-12-21,257.29,257.29,254.0,255.1,-0.2,68744,17516884.0
2025-12-18,255.0,257.1,254.5,255.6,-0.2,110162,28181680.4
2025-12-17,253.9,256.5,252.2,256.1,1.59,66790,17007529.5
2025-12-16,250.0,254.9,248.0,252.1,1.65,65886,16572304.7
2025-12-15,249.0,250.0,245.5,248.0,0.4,63396,15693951.5
2025-12-14,247.0,248.0,244.8,247.0,0.45,37716,9267521.7
2025-12-11,245.0,247.0,245.0,245.9,-0.45,26472,6509686.3
