date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,10.46,10.46,10.25,10.25,-0.1,1990,20437.9
2026-02-11,10.3,10.3,10.13,10.26,-2.38,52700,541534.0
2026-02-10,10.28,10.51,10.25,10.51,1.94,4208,43943.4
2026-02-09,10.5,10.5,10.31,10.31,-1.81,6800,71381.0
2026-02-08,10.31,10.51,10.31,10.5,0.38,600,6227.0
2026-02-05,10.26,10.46,10.26,10.46,1.55,500,5210.0
2026-02-04,10.3,10.3,10.3,10.3,-0.96,973,10021.9
2026-02-03,10.61,10.61,10.4,10.4,-0.38,5920,62593.0
2026-02-02,10.49,10.5,10.4,10.44,0.0,4790,49939.4
2026-02-01,10.24,10.44,10.24,10.44,0.1,1300,13552.0
2026-01-29,10.42,10.43,10.42,10.43,-0.95,10200,106345.0
2026-01-28,10.53,10.53,10.53,10.53,1.74,5000,52650.0
2026-01-27,10.35,10.35,10.35,10.35,-1.33,1100,11385.0
2026-01-26,10.19,10.49,10.19,10.49,1.84,1787,18485.63
2026-01-25,10.21,10.3,10.21,10.3,0.39,4400,45143.0
2026-01-22,10.35,10.35,10.26,10.26,-0.48,600,6201.0
2026-01-21,10.57,10.57,10.31,10.31,-4.36,12520,129711.2
2026-01-20,10.78,10.78,10.78,10.78,1.89,5737,61844.86
2026-01-18,10.27,10.66,10.23,10.58,1.05,7880,83205.0
2026-01-14,10.47,10.47,10.47,10.47,1.75,5000,52350.0
2026-01-13,10.5,10.5,10.29,10.29,-2.0,300,3108.0
2026-01-12,10.31,10.5,10.31,10.5,1.84,12420,128069.2
2026-01-08,10.35,10.35,10.31,10.31,0.0,4900,50559.0
2026-01-07,10.55,10.55,10.31,10.31,-1.72,34700,359889.65
2026-01-06,10.49,10.49,10.3,10.49,0.0,13300,139498.0
2026-01-05,10.18,10.49,10.18,10.49,3.05,45120,468582.8
2026-01-04,10.18,10.18,10.18,10.18,-1.64,1500,15270.0
2026-01-01,10.3,10.35,10.3,10.35,-1.43,13100,135185.0
2025-12-31,10.35,10.5,10.35,10.5,3.45,89700,935415.6
2025-12-29,10.3,10.3,10.15,10.15,-1.46,11200,115230.0
2025-12-28,10.2,10.3,10.03,10.3,2.39,30000,307023.0
2025-12-24,10.17,10.17,10.06,10.06,-2.8,76130,772569.5
2025-12-23,10.31,10.35,10.2,10.35,1.47,60160,618198.0
2025-12-22,10.4,10.4,10.2,10.2,0.0,2110,21904.0
2025-12-21,10.2,10.2,10.2,10.2,0.39,10400,106080.0
2025-12-18,10.3,10.3,10.16,10.16,-3.05,36325,373401.0
2025-12-17,10.08,10.48,10.08,10.48,1.95,70580,737520.5
2025-12-16,10.1,10.28,10.1,10.28,-0.19,10060,102812.8
2025-12-15,10.49,10.49,10.1,10.3,0.1,2400,24649.0
2025-12-14,10.5,10.5,10.29,10.29,-0.19,4700,48630.0
2025-12-11,10.11,10.31,10.11,10.31,0.1,2600,26786.0
2025-12-10,10.3,10.3,10.3,10.3,1.98,1000,10300.0
2025-12-09,10.1,10.1,10.1,10.1,-0.49,500,5050.0
2025-12-08,10.1,10.15,10.1,10.15,-0.39,1100,11160.0
2025-12-07,10.16,10.19,10.15,10.19,-1.07,8700,88460.0
2025-12-02,10.3,10.3,10.3,10.3,1.98,200,2060.0
2025-12-01,10.07,10.1,9.95,10.1,0.3,2350,23484.0
2025-11-30,10.25,10.25,10.07,10.07,0.2,18250,184011.5
2025-11-27,10.15,10.25,10.0,10.05,-1.95,25100,253965.0
2025-11-26,10.2,10.25,10.2,10.25,0.49,500,5110.0
2025-11-25,10.07,10.2,10.07,10.2,3.24,2469,25053.8
2025-11-24,9.91,9.91,9.88,9.88,0.2,3000,29696.0
2025-11-20,9.83,10.0,9.83,9.86,-0.4,15101,150579.0
2025-11-19,9.95,10.0,9.9,9.9,-0.5,142590,1413691.9
2025-11-18,10.15,10.15,9.95,9.95,-1.87,49959,502464.35
2025-11-17,10.14,10.34,10.14,10.14,1.91,700,7118.0
2025-11-16,9.95,9.95,9.95,9.95,-1.58,100,995.0
2025-11-12,10.4,10.4,10.1,10.11,-0.88,26950,275783.0
2025-11-11,10.4,10.4,10.2,10.2,-1.92,41450,426645.0
2025-11-09,10.1,10.4,10.1,10.4,1.76,11600,117340.0
2025-11-06,10.3,10.3,10.22,10.22,1.19,9690,99751.8
2025-11-05,10.1,10.1,10.1,10.1,-0.2,3050,30805.0
2025-11-03,10.2,10.2,10.12,10.12,-1.75,6200,62752.0
2025-11-02,10.54,10.54,10.14,10.3,-0.48,23469,241388.7
2025-10-30,10.35,10.35,10.35,10.35,1.97,29500,305325.0
2025-10-29,10.15,10.35,10.15,10.15,-1.74,44100,451615.0
