date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,670.9,670.9,656.0,658.9,-0.62,6897,4563322.5
2026-02-11,677.0,677.0,663.0,663.0,-0.3,4060,2697338.0
2026-02-10,665.0,674.8,663.0,665.0,0.0,2175,1447265.4
2026-02-09,670.3,675.0,665.0,665.0,-0.64,5717,3822142.9
2026-02-08,677.1,682.0,668.1,669.3,-1.14,8331,5602796.7
2026-02-05,685.0,690.0,677.0,677.0,-0.01,7471,5075042.9
2026-02-04,683.0,685.0,675.6,677.1,0.28,1770,1203727.5
2026-02-03,681.4,683.8,675.2,675.2,-0.91,4091,2780728.7
2026-02-02,684.0,689.8,681.0,681.4,-0.38,2281,1559258.9
2026-02-01,695.0,695.0,680.0,684.0,0.35,5280,3618422.3
2026-01-29,695.0,697.0,681.6,681.6,-0.8,5095,3515160.3
2026-01-28,699.0,699.0,683.1,687.1,0.22,1689,1161337.8
2026-01-27,705.0,705.9,684.1,685.6,-0.94,11879,8239246.3
2026-01-26,718.0,718.0,691.0,692.1,-1.69,7023,4928244.8
2026-01-25,697.0,714.0,688.0,704.0,2.91,8696,6071145.5
2026-01-22,690.0,699.9,680.0,684.1,-1.71,7053,4862337.7
2026-01-21,719.7,719.7,696.0,696.0,-1.44,2095,1462898.4
2026-01-20,710.0,714.5,701.0,706.2,-0.39,5952,4207686.3
2026-01-18,745.6,745.6,690.6,709.0,-3.01,21075,14713487.4
2026-01-14,688.0,731.0,675.5,731.0,7.34,4384,3002004.5
2026-01-13,673.7,687.0,673.7,681.0,-0.42,1510,1033244.2
2026-01-12,698.7,698.7,680.0,683.9,-0.16,3394,2313518.3
2026-01-08,680.0,691.9,680.0,685.0,0.15,3035,2067122.3
2026-01-07,700.0,702.7,684.0,684.0,-0.73,2608,1787902.7
2026-01-06,705.8,715.0,686.7,689.0,-0.43,1132,781828.3
2026-01-05,676.2,730.0,671.0,692.0,0.3,12640,8866574.2
2026-01-04,680.3,690.0,680.3,689.9,-0.59,1317,901216.0
2026-01-01,711.0,711.0,680.0,694.0,-0.52,3074,2104728.8
2025-12-31,707.6,707.6,685.0,697.6,-1.41,4031,2797256.4
2025-12-29,715.0,721.1,693.0,707.6,0.08,10678,7508372.2
2025-12-28,685.1,741.5,675.1,707.0,2.76,7916,5552888.4
2025-12-24,704.0,719.1,678.0,688.0,-0.55,1235,847819.1
2025-12-23,686.0,693.0,678.3,691.8,0.99,945,649415.5
2025-12-22,676.5,685.0,676.4,685.0,-0.44,1387,941575.0
2025-12-21,676.2,692.0,675.3,688.0,-0.15,2654,1805388.3
2025-12-18,690.5,690.5,685.3,689.0,-0.86,2582,1774304.2
2025-12-17,695.0,714.0,693.1,695.0,-1.28,6287,4419761.0
2025-12-16,696.0,709.8,696.0,704.0,-0.42,4246,2976911.8
2025-12-15,735.0,735.0,678.0,707.0,-5.73,9821,6948164.0
2025-12-14,698.8,750.0,692.0,750.0,5.19,8142,5707087.8
2025-12-11,695.8,737.0,695.8,713.0,0.42,11228,7896154.0
2025-12-10,695.8,723.0,695.8,710.0,0.01,8722,6165993.3
2025-12-09,690.3,712.0,690.3,709.9,1.7,6187,4359754.9
2025-12-08,678.6,747.0,678.6,698.0,1.01,5711,4000614.8
2025-12-07,690.1,704.1,686.0,691.0,-1.85,7435,5186024.9
2025-12-03,710.0,717.0,695.0,704.0,0.14,3713,2618673.2
2025-12-02,710.0,720.0,686.9,703.0,0.3,3220,2247815.6
2025-12-01,698.0,724.0,674.2,700.9,2.32,10989,7754206.3
2025-11-30,691.0,702.0,679.1,685.0,-0.57,3917,2692131.8
2025-11-27,680.0,692.0,678.4,688.9,1.31,981,669634.1
2025-11-26,699.0,699.0,674.0,680.0,-1.02,2990,2038621.0
2025-11-25,706.0,720.0,686.0,687.0,-0.79,1131,783353.0
2025-11-24,692.0,708.0,692.0,692.5,1.09,4335,3028623.0
2025-11-23,675.0,687.1,675.0,685.0,1.78,4671,3196877.8
2025-11-20,662.0,677.9,654.5,673.0,3.06,3336,2220363.9
2025-11-19,654.0,656.8,644.0,653.0,-2.1,540,351895.1
2025-11-18,669.0,669.0,657.0,667.0,0.91,362,240742.8
2025-11-17,663.0,669.0,655.7,661.0,0.93,922,613324.5
2025-11-16,648.2,660.0,643.1,654.9,0.14,3394,2203489.6
2025-11-13,662.0,662.0,642.0,654.0,-0.23,2333,1514007.8
2025-11-12,663.0,663.0,655.0,655.5,-1.13,1041,682214.3
2025-11-11,651.0,663.0,646.0,663.0,-0.15,530,349452.0
2025-11-10,651.0,664.0,651.0,664.0,0.61,73,48173.0
2025-11-09,655.2,667.0,653.7,660.0,-0.75,1259,824369.4
2025-11-06,658.0,665.0,658.0,665.0,-0.75,82,54386.0
2025-11-05,656.1,670.0,650.0,670.0,1.48,2525,1652307.7
2025-11-04,670.1,670.1,660.0,660.2,-1.52,919,606913.0
2025-11-03,674.1,678.0,665.0,670.4,-2.42,1683,1126817.2
2025-11-02,690.0,691.9,681.1,687.0,-0.58,5630,3862954.9
2025-10-30,655.0,691.0,652.0,691.0,6.64,2053,1364660.6
2025-10-29,668.0,668.0,647.0,648.0,-1.8,2590,1685490.0
2025-10-28,634.9,673.0,626.1,659.9,5.26,4696,3045821.5
2025-10-26,608.0,626.9,596.0,626.9,1.11,2509,1506839.3
2025-10-19,614.0,620.0,605.0,620.0,0.47,2161,1316137.7
2025-10-16,626.0,635.0,613.6,617.1,-2.08,6097,3776698.5
2025-10-15,636.1,640.0,630.0,630.2,-2.75,2278,1447669.0
2025-10-14,645.0,648.0,635.3,648.0,-0.61,2029,1300958.7
2025-10-13,655.0,660.0,640.1,652.0,0.31,1971,1282448.3
2025-10-12,658.1,659.0,637.0,650.0,-2.99,12533,8121758.8
2025-10-09,683.4,709.9,670.0,670.0,0.0,1697,1155221.3
2025-10-08,674.1,675.0,657.1,670.0,-1.47,3220,2153879.5
2025-10-07,681.1,681.3,675.0,680.0,-2.02,1248,849135.8
2025-09-28,682.0,694.0,677.1,694.0,0.97,2143,1465560.8
2025-09-25,690.0,694.0,686.0,687.3,-0.82,794,547625.0
2025-09-24,693.0,696.2,691.3,693.0,-1.14,826,574198.0
2025-09-23,703.0,719.9,700.0,701.0,1.09,2550,1796224.1
2025-09-21,677.0,712.0,664.0,693.45,4.47,3549,2414113.0
2025-09-18,663.8,663.8,663.8,663.8,-1.99,10,6638.0
2025-09-08,678.51,685.0,675.1,677.29,-0.18,826,558697.0
2025-09-07,685.0,685.0,671.3,678.51,0.43,1088,737162.4
2025-09-04,685.0,685.0,674.3,675.6,-0.82,3261,2205717.5
2025-09-03,694.0,694.0,680.0,681.18,-1.51,6687,4575073.5
2025-09-02,692.2,705.0,690.1,691.6,-1.44,2620,1816548.7
2025-09-01,700.0,704.4,699.0,701.7,1.11,1247,874283.0
2025-08-31,692.0,705.0,692.0,694.0,-1.12,1628,1129782.6
2025-08-28,702.0,715.0,700.0,701.85,-1.7,4003,2822587.8
2025-08-27,715.9,719.0,705.0,714.0,1.07,3181,2262854.7
2025-08-26,715.0,715.0,701.0,706.41,-1.56,4442,3148170.1
2025-08-25,719.7,733.0,706.6,717.61,1.69,5885,4222823.8
2025-08-24,702.1,713.0,702.1,705.65,-1.0,3451,2437424.1
2025-08-21,726.0,726.0,711.1,712.81,-0.66,2858,2041619.0
2025-08-20,727.0,727.0,713.6,717.51,-0.35,1490,1070872.8
2025-08-19,717.0,725.0,716.5,720.0,0.2,6363,4587857.5
2025-08-18,720.0,725.0,715.0,718.55,-0.22,2784,2010832.1
2025-08-17,736.0,736.0,720.0,720.11,-1.73,3426,2471563.4
2025-08-14,738.0,738.0,725.0,732.76,0.84,3376,2471091.8
2025-08-13,727.5,740.0,722.1,726.68,-0.89,5313,3863952.8
2025-08-12,740.0,745.0,726.2,733.24,-0.73,5351,3931350.0
2025-08-11,761.0,787.9,737.0,738.63,-2.82,9706,7282548.6
2025-08-07,767.0,780.0,758.0,760.08,-0.54,10991,8400025.4
2025-08-06,762.5,780.0,749.0,764.24,1.1,17190,13221061.0
2025-08-05,765.0,773.0,741.1,755.92,0.33,6476,4897696.3
2025-08-04,757.6,772.7,732.0,753.42,1.44,10047,7520407.4
2025-08-03,758.0,785.0,740.7,742.76,-3.95,14594,10978475.9
2025-07-31,790.0,797.0,772.0,773.31,-0.41,14391,11246939.1
2025-07-30,800.0,815.0,773.0,776.52,-4.39,17345,13750564.1
2025-07-29,805.0,826.0,804.9,812.2,2.27,39338,32104885.7
2025-07-28,788.5,797.0,772.9,794.19,0.72,14716,11491253.7
2025-07-27,786.0,817.9,775.0,788.51,0.36,36382,29127292.8
2025-07-24,792.0,795.0,775.0,785.7,-0.85,16960,13336127.6
2025-07-23,822.0,822.0,790.0,792.42,-1.91,13315,10622005.2
2025-07-22,804.2,835.0,800.0,807.84,2.46,44483,36421493.5
2025-07-21,760.0,795.0,751.3,788.48,3.4,38666,30125626.1
2025-07-20,779.0,780.0,760.0,762.58,-0.39,20821,16052174.4
2025-07-17,750.0,783.4,743.0,765.53,2.74,16277,12452857.9
2025-07-16,755.0,755.0,742.1,745.13,0.62,8562,6387060.1
2025-07-15,730.0,745.0,730.0,740.57,1.24,7917,5833836.3
2025-07-14,748.0,749.0,730.0,731.51,-1.54,4776,3508456.0
2025-07-13,739.0,755.0,736.0,742.93,2.49,19891,14863445.9
2025-07-10,712.0,728.9,701.0,724.89,3.06,15194,10926076.9
2025-07-09,709.0,709.0,698.3,703.38,0.24,1948,1371781.7
2025-07-08,708.0,708.0,694.0,701.7,1.08,2205,1541099.3
2025-07-07,714.0,718.8,694.0,694.18,-1.54,3481,2431999.1
2025-07-06,711.0,715.0,696.0,705.06,-0.66,4792,3369380.5
2025-07-03,694.5,714.0,694.5,709.78,0.59,3498,2459553.8
2025-07-02,709.0,719.0,705.0,705.61,-0.09,5084,3610020.4
2025-07-01,689.0,712.0,686.0,706.24,3.09,11964,8423685.9
2025-06-30,677.0,693.0,675.0,685.09,1.09,6314,4324343.0
2025-06-29,672.0,680.0,665.0,677.73,2.37,2517,1696742.4
2025-06-26,671.9,671.9,660.0,662.07,-0.53,5255,3494442.8
2025-06-25,666.6,679.0,665.0,665.61,-0.95,4358,2911480.0
2025-06-24,685.0,685.0,672.0,672.01,-0.13,2880,1951597.0
2025-06-23,681.8,682.0,668.4,672.89,0.6,2647,1782960.9
2025-06-22,680.1,680.1,667.1,668.86,-2.23,5659,3807834.2
2025-06-19,686.1,689.9,681.4,684.13,-0.92,4350,2976876.0
2025-06-18,708.0,710.0,690.0,690.48,-1.75,8268,5742839.0
2025-06-17,693.0,717.0,692.0,702.76,1.53,8292,5849331.4
2025-06-16,681.0,698.9,681.0,692.2,1.37,4725,3263064.3
2025-06-15,680.1,696.0,680.1,682.83,-0.24,7651,5230780.8
2025-06-12,699.0,699.0,678.2,684.45,-1.1,5882,4022780.0
2025-06-11,695.0,700.0,686.1,692.03,1.0,2395,1663546.5
2025-06-10,693.9,695.0,680.0,685.2,0.01,8121,5593299.2
2025-06-09,680.0,689.5,680.0,685.14,0.12,2210,1508188.0
2025-06-08,686.0,692.0,684.0,684.29,-2.15,3334,2289875.3
2025-06-05,690.0,702.9,690.0,699.3,0.01,1920,1330600.8
2025-06-04,700.0,706.0,693.0,699.21,-1.87,5761,4010585.5
2025-06-03,707.7,713.0,703.0,712.56,0.19,1318,928433.5
2025-06-02,728.0,728.0,710.0,711.2,-0.58,3052,2177798.3
2025-05-28,713.1,726.0,713.0,715.36,-0.64,3364,2415111.2
2025-05-27,720.0,729.0,711.0,720.0,-1.32,5187,3710995.0
2025-05-26,754.0,754.0,716.1,729.65,-1.31,6337,4627029.6
2025-05-25,742.0,750.0,720.0,739.34,1.3,16811,12418764.0
2025-05-22,707.4,734.9,698.0,729.83,5.23,17968,12989920.8
2025-05-21,716.7,716.7,690.2,693.53,-1.3,5451,3841511.6
2025-05-20,709.0,710.0,696.2,702.65,-0.39,1858,1300354.1
2025-05-19,708.0,709.0,690.1,705.37,0.4,1190,832845.0
2025-05-18,686.8,720.0,678.2,702.53,2.29,6728,4721447.0
2025-05-15,690.1,699.8,679.0,686.8,-0.46,898,619458.0
2025-05-14,705.0,705.0,681.0,690.0,-0.64,507,346984.0
2025-05-13,685.0,696.0,678.0,694.47,1.11,3015,2053356.6
2025-05-11,704.1,714.0,681.2,686.82,-2.44,1905,1319137.8
2025-05-08,724.0,724.0,697.0,704.0,-1.34,4110,2901941.4
2025-05-07,686.0,715.0,675.0,713.57,5.49,7128,4959525.3
2025-05-06,670.5,682.9,670.5,676.46,-0.54,4437,2987139.5
2025-05-05,691.0,704.0,667.0,680.12,-0.26,6718,4522080.0
2025-05-04,695.0,707.8,680.0,681.86,-0.4,3567,2451117.1
2025-04-30,703.8,703.8,684.1,684.61,-1.75,2093,1435483.8
2025-04-29,699.9,700.0,687.0,696.82,1.55,1784,1236995.1
2025-04-28,687.0,705.0,683.0,686.18,-1.42,6860,4730054.0
2025-04-27,698.2,713.9,694.7,696.03,-2.0,10826,7568036.9
2025-04-24,700.0,730.0,694.0,710.26,0.34,3116,2199566.6
2025-04-23,720.0,737.0,707.0,707.82,-1.76,4834,3445479.3
2025-04-22,743.9,743.9,719.1,720.47,-1.64,2595,1878674.8
2025-04-21,716.0,770.0,716.0,732.5,1.6,4144,2999942.7
2025-04-20,722.5,756.9,716.0,721.0,-1.8,2022,1467349.4
2025-04-17,719.6,770.0,719.6,734.24,0.01,3164,2332837.8
2025-04-16,757.2,757.2,712.8,734.2,-1.1,3212,2344942.9
2025-04-15,755.3,755.3,690.0,742.36,0.25,4664,3429047.0
2025-04-13,731.3,770.0,703.0,740.5,3.28,3417,2498762.9
2025-04-10,734.0,736.1,711.0,716.98,-0.66,3500,2523664.0
2025-04-09,737.0,737.0,720.0,721.73,-0.35,1319,951974.0
2025-04-08,716.0,735.0,712.2,724.25,-0.24,5350,3834424.5
2025-04-07,721.0,744.9,721.0,726.01,-0.82,2019,1486118.7
2025-04-03,750.0,750.0,721.0,732.01,-0.45,9122,6656106.7
2025-04-02,727.2,755.9,671.0,735.3,-0.9,3796,2801899.0
2025-04-01,763.7,763.7,727.1,742.01,-0.9,4514,3328593.1
2025-03-30,743.0,770.0,743.0,748.75,-1.24,8924,6704613.7
2025-03-27,738.8,760.0,709.7,758.14,4.66,7676,5740902.9
2025-03-26,710.0,734.8,702.1,724.35,3.23,4930,3542434.3
2025-03-25,705.1,719.2,692.8,701.71,-2.43,5950,4183654.0
2025-03-24,717.0,725.0,717.0,719.17,0.72,1564,1127591.7
2025-03-23,744.9,744.9,701.0,714.0,-2.29,5188,3695743.1
2025-03-20,726.1,739.0,726.1,730.77,-1.18,2117,1551553.6
2025-03-19,743.0,745.0,711.0,739.5,-0.74,4198,3052859.3
2025-03-18,716.7,780.0,716.7,745.0,1.87,2284,1695962.5
2025-03-17,711.8,770.0,711.8,731.3,0.69,2758,2028221.0
2025-03-16,732.2,776.0,725.3,726.3,-2.78,4713,3487652.9
2025-03-12,740.1,799.0,740.1,747.1,-0.92,2194,1670854.5
2025-03-11,778.0,778.0,746.0,754.0,-1.17,2117,1609599.7
2025-03-10,759.7,773.0,757.1,762.9,-0.77,2854,2179349.6
2025-03-09,760.5,775.1,760.5,768.8,-0.83,7053,5404961.6
2025-03-06,780.0,793.9,775.0,775.2,-0.49,6130,4784857.6
2025-03-05,769.4,815.0,769.4,779.0,-0.76,4203,3280247.0
2025-03-04,801.0,816.0,772.0,785.0,-2.31,15578,12226126.2
2025-03-03,826.0,826.3,803.6,803.6,-0.81,6447,5257833.2
2025-03-02,826.0,826.0,810.2,810.2,0.01,12921,10533592.0
2025-02-27,827.0,842.0,810.0,810.1,-0.11,8372,6852469.5
2025-02-25,801.0,829.0,795.0,811.0,0.75,8547,6924083.8
2025-02-24,840.0,840.0,797.0,805.0,-3.59,12392,10103149.3
2025-02-23,831.0,840.0,814.0,835.0,0.6,17155,14235968.8
2025-02-20,838.5,844.0,818.3,830.0,-0.24,13327,11044269.4
2025-02-18,870.0,870.9,830.2,832.0,-3.8,20300,17129519.3
2025-02-17,820.0,876.0,816.1,864.9,5.48,46911,40161150.1
2025-02-16,799.8,820.0,775.0,820.0,4.46,25533,20496647.6
2025-02-13,806.0,806.0,780.0,785.0,-0.76,11172,8856642.3
2025-02-12,776.0,801.9,775.1,791.0,2.06,23181,18394927.6
2025-02-11,762.0,784.0,762.0,775.0,0.39,5365,4171426.3
2025-02-10,770.0,780.0,760.0,772.0,2.25,12933,9934027.9
2025-02-09,780.0,795.6,755.0,755.0,-1.28,14698,11373960.8
2025-02-06,770.0,784.9,741.1,764.8,-0.95,19417,14712920.4
2025-02-05,778.9,790.0,769.9,772.1,1.05,17314,13456898.9
2025-02-04,780.0,785.0,760.0,764.1,-1.79,8291,6376768.8
2025-02-03,785.0,800.0,760.0,778.0,0.89,22523,17709223.1
2025-02-02,709.0,771.1,709.0,771.1,10.0,33968,25728357.3
2025-01-28,700.0,708.3,691.1,701.0,0.94,8437,5907710.1
2025-01-27,719.8,719.8,694.5,694.5,-1.77,5024,3525310.9
2025-01-26,701.3,719.0,695.3,707.0,0.71,10749,7639884.1
2025-01-23,685.0,702.0,685.0,702.0,1.01,2047,1419929.2
2025-01-22,680.0,698.0,671.4,695.0,2.21,4204,2892455.0
2025-01-21,675.0,687.9,668.0,680.0,0.0,2764,1862119.2
2025-01-20,677.5,690.0,667.0,680.0,-1.0,2150,1449564.0
2025-01-19,672.5,687.0,667.1,686.9,1.01,3897,2627310.3
2025-01-16,682.0,690.0,668.9,680.0,-2.28,4914,3318063.2
2025-01-15,700.0,700.0,678.0,695.9,0.56,2690,1837560.9
2025-01-13,700.0,700.0,688.1,692.0,-2.67,2680,1853720.5
2025-01-12,700.0,714.0,687.1,711.0,-0.42,1538,1073919.5
2025-01-09,733.0,733.0,700.7,714.0,-0.68,2541,1786733.4
2025-01-08,713.9,726.9,710.3,718.9,2.7,6850,4940155.7
2025-01-07,695.0,723.0,686.0,700.0,0.72,2906,2050280.0
2025-01-06,697.0,703.0,690.1,695.0,0.72,4301,2996511.3
2025-01-05,685.0,695.0,681.2,690.0,-0.58,2078,1427185.0
2025-01-02,686.0,696.0,685.0,694.0,-0.29,383,263880.3
2025-01-01,695.9,696.0,695.9,696.0,0.01,69,47980.2
2024-12-31,701.0,701.0,682.2,695.9,-1.78,1637,1129159.3
2024-12-29,686.6,734.4,680.0,708.5,3.19,4585,3292324.6
2024-12-26,694.0,700.0,686.6,686.6,-3.0,395,274121.3
2024-12-24,708.3,763.0,681.0,707.8,1.92,3446,2409836.5
2024-12-23,700.0,700.0,686.0,694.5,-0.79,1151,796133.0
2024-12-22,712.9,712.9,672.0,700.0,0.04,1307,900166.4
2024-12-19,722.0,722.0,686.0,699.7,-1.16,1414,980506.7
2024-12-18,721.1,735.5,698.0,707.9,0.13,1032,724806.0
2024-12-17,718.0,718.0,695.0,707.0,0.28,2007,1408906.9
2024-12-16,700.0,705.0,697.1,705.0,-0.42,1225,858923.7
2024-12-12,735.8,735.8,702.2,708.0,-1.94,1887,1339808.7
2024-12-11,731.9,731.9,706.0,722.0,0.43,104,74039.0
2024-12-10,714.0,770.0,700.0,718.9,2.7,7334,5210705.8
2024-12-09,722.1,736.0,692.9,700.0,-1.13,1880,1317022.0
2024-12-08,736.4,748.0,694.0,708.0,-1.94,6564,4598962.9
2024-12-05,719.0,730.0,719.0,722.0,-1.1,2852,2068924.4
2024-12-04,730.0,740.0,722.0,730.0,-0.48,6512,4733365.1
2024-12-03,743.5,773.0,733.0,733.5,0.62,4353,3218062.3
2024-12-02,740.0,740.0,728.8,729.0,-0.41,8818,6468882.2
2024-12-01,755.0,755.0,728.0,732.0,-2.01,2689,1968584.7
2024-11-28,747.0,762.0,746.2,747.0,-1.71,5532,4155420.0
2024-11-27,754.0,761.9,745.0,760.0,0.66,9158,6928529.3
2024-11-26,761.0,761.0,740.0,755.0,1.08,2964,2219935.3
2024-11-25,740.0,753.0,736.0,746.9,0.93,1831,1362855.7
2024-11-24,740.1,769.9,726.1,740.0,-1.33,2392,1767922.8
2024-11-21,759.1,788.0,740.0,750.0,-3.1,24170,18247691.9
2024-11-20,750.0,774.0,749.0,774.0,2.49,7056,5299803.0
2024-11-19,770.0,811.0,755.2,755.2,-1.27,14326,11030519.3
2024-11-17,765.8,799.9,760.0,764.9,1.31,13830,10706344.9
2024-11-14,745.0,760.0,739.0,755.0,0.13,5677,4270984.9
2024-11-13,760.0,760.0,745.0,754.0,-0.26,3367,2535440.4
2024-11-12,767.0,777.0,756.0,756.0,0.53,15024,11529672.0
2024-11-11,740.0,779.9,733.0,752.0,3.16,15456,11641059.7
2024-11-10,726.0,730.0,714.0,729.0,2.39,5564,4021852.4
2024-11-06,713.0,724.0,712.0,712.0,-0.41,1510,1083664.2
2024-11-05,710.0,714.9,707.1,714.9,0.69,370,262498.7
