date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,627.9,627.9,616.0,622.0,0.48,11686,7237292.2
2026-02-11,624.0,625.0,619.0,619.0,0.65,8041,4989989.8
2026-02-10,622.0,626.9,615.0,615.0,-1.44,13488,8367868.1
2026-02-09,630.0,632.0,624.0,624.0,-1.22,12614,7906429.1
2026-02-08,630.1,643.0,627.5,631.7,0.27,20181,12741891.1
2026-02-05,630.1,635.0,628.2,630.0,-0.32,17083,10775067.3
2026-02-04,640.0,640.0,629.1,632.0,-0.39,3864,2439604.2
2026-02-03,644.9,644.9,631.0,634.5,-0.86,5502,3482683.7
2026-02-02,626.2,640.0,626.2,640.0,0.47,6340,4037822.0
2026-02-01,646.0,646.1,636.0,637.0,-3.12,13647,8736686.5
2026-01-29,645.0,665.0,645.0,657.5,0.54,18386,12059320.6
2026-01-28,646.0,669.9,646.0,654.0,-0.74,5322,3472074.0
2026-01-27,653.0,674.0,653.0,658.9,-0.92,12929,8522460.6
2026-01-26,677.0,677.0,665.0,665.0,-1.48,18273,12211003.3
2026-01-25,683.0,683.0,660.0,675.0,0.76,20071,13506209.8
2026-01-22,636.0,669.9,636.0,669.9,3.38,65392,42571185.6
2026-01-21,632.1,653.0,632.1,648.0,0.62,10963,7105840.4
2026-01-20,628.0,651.5,628.0,644.0,0.63,14557,9403473.2
2026-01-18,622.2,640.0,622.2,640.0,1.67,4811,3061838.2
2026-01-14,623.1,632.0,620.0,629.5,0.56,8667,5411790.6
2026-01-13,645.0,645.0,622.1,626.0,-1.26,7645,4785321.8
2026-01-12,640.0,640.0,630.0,634.0,-0.03,9231,5830912.2
2026-01-08,652.6,652.6,628.1,634.2,-0.91,4372,2783921.2
2026-01-07,630.5,659.0,630.5,640.0,0.02,5578,3616025.7
2026-01-06,640.0,645.0,635.1,639.9,1.07,6888,4394328.4
2026-01-05,636.0,647.1,633.0,633.1,-0.46,3417,2176349.2
2026-01-04,649.0,649.0,628.1,636.0,-0.59,1359,859722.9
2026-01-01,649.0,649.0,632.1,639.8,-0.5,5171,3281004.9
2025-12-31,647.0,650.0,634.5,643.0,0.8,7062,4509963.2
2025-12-29,655.4,655.4,633.1,637.9,-0.78,5431,3463742.6
2025-12-28,633.3,642.9,633.0,642.9,1.89,7885,5026616.7
2025-12-24,632.1,643.4,630.8,631.0,-1.41,6710,4240627.6
2025-12-23,646.9,650.0,632.0,640.0,-0.31,5279,3396118.7
2025-12-22,640.0,642.0,629.0,642.0,-0.47,6401,4057926.2
2025-12-21,643.0,665.0,633.0,645.0,-1.62,6365,4085010.3
2025-12-18,648.0,660.0,646.0,655.6,-0.36,4299,2785008.5
2025-12-17,660.0,664.5,652.0,658.0,0.49,1083,710318.0
2025-12-16,650.0,654.9,645.0,654.8,0.74,8767,5700799.8
2025-12-15,645.0,654.9,645.0,650.0,0.62,2477,1607530.4
2025-12-14,647.0,655.0,645.0,646.0,-0.92,5979,3869858.1
2025-12-11,665.0,668.4,652.0,652.0,-1.66,5110,3348949.6
2025-12-10,650.0,663.9,650.0,663.0,0.45,1805,1187402.6
2025-12-09,660.0,663.8,656.3,660.0,-0.02,4012,2639944.7
2025-12-08,652.5,665.2,652.0,660.1,-0.86,5611,3702644.3
2025-12-07,666.4,683.3,653.1,665.8,-2.09,14872,9954552.0
2025-12-03,697.6,697.6,677.0,680.0,-0.58,40093,27392344.3
2025-12-02,656.9,684.0,656.9,684.0,2.1,26458,17822126.2
2025-12-01,652.5,673.2,652.5,669.9,2.9,32453,21623430.6
2025-11-30,675.0,675.0,651.0,651.0,-2.84,11327,7480779.5
2025-11-27,654.1,677.0,654.1,670.0,0.6,27865,18637814.7
2025-11-26,661.0,668.0,661.0,666.0,-0.45,25536,17024080.0
2025-11-25,667.0,671.0,655.0,669.0,0.15,9669,6408789.3
2025-11-24,650.0,672.0,650.0,668.0,3.26,40720,27153584.0
2025-11-23,642.5,652.0,634.2,646.9,2.68,32114,20817794.5
2025-11-20,639.5,639.5,622.0,630.0,0.46,4772,3001868.0
2025-11-19,641.9,641.9,626.2,627.1,-0.65,3526,2216956.0
2025-11-18,637.0,637.0,630.0,631.2,0.99,4476,2829579.0
2025-11-17,639.9,639.9,621.0,625.0,-0.48,7595,4754557.0
2025-11-16,640.0,640.0,626.3,628.0,0.0,2807,1782681.8
2025-11-13,627.0,635.0,627.0,628.0,-0.63,1891,1188088.6
2025-11-12,645.9,645.9,625.6,632.0,-0.32,14899,9537968.4
2025-11-11,641.4,641.4,624.0,634.0,0.81,18935,12050699.6
2025-11-10,638.0,638.0,624.0,628.9,0.54,11649,7292649.7
2025-11-09,630.0,631.0,614.0,625.5,-1.01,7540,4698205.1
2025-11-06,652.8,665.0,631.0,631.9,-1.27,3589,2290210.0
2025-11-05,628.0,652.0,628.0,640.0,0.0,3802,2419447.5
2025-11-04,641.0,663.0,640.0,640.0,-2.14,14015,9028254.5
2025-11-03,662.0,668.5,651.0,654.0,0.15,17519,11522155.3
2025-11-02,640.0,665.0,638.0,653.0,2.03,18742,12237937.8
2025-10-30,620.0,644.0,612.6,640.0,2.42,24018,15145220.7
2025-10-29,630.0,636.5,615.0,624.9,-0.33,4089,2554187.5
2025-10-28,621.0,632.5,618.4,627.0,2.77,7568,4754992.9
2025-10-26,604.0,618.0,603.1,610.1,0.02,2439,1488837.7
2025-10-19,615.5,625.0,602.0,610.0,1.08,1318,801678.0
2025-10-16,605.0,608.0,600.0,603.5,-0.25,4983,3005072.8
2025-10-15,614.1,621.9,605.0,605.0,-2.26,5817,3556387.2
2025-10-14,620.0,623.8,613.0,619.0,-0.31,2575,1590132.6
2025-10-13,612.0,622.9,612.0,620.9,1.45,6145,3795006.2
2025-10-12,623.0,629.9,610.6,612.0,-3.62,9965,6186504.5
2025-10-09,635.0,677.0,626.0,635.0,1.93,10084,6451658.7
2025-10-08,633.1,633.9,612.0,623.0,-3.41,15952,9881773.1
2025-10-07,666.0,666.0,634.1,645.0,-1.38,2646,1697874.2
2025-09-28,655.0,669.1,645.0,654.0,0.77,1391,909041.2
2025-09-25,650.0,650.0,644.1,649.0,-1.37,2795,1806427.9
2025-09-24,667.0,667.0,643.0,658.0,0.61,1838,1196512.6
2025-09-23,648.0,657.0,635.1,654.0,2.39,9515,6211960.6
2025-09-21,602.0,642.4,602.0,638.72,4.08,11015,6950431.0
2025-09-18,626.2,626.2,613.7,613.7,-3.95,80,49846.0
2025-09-08,647.0,653.0,637.0,638.92,-2.13,10594,6797078.1
2025-09-07,644.0,665.0,644.0,652.83,-0.44,2518,1650277.6
2025-09-04,650.2,656.0,648.0,655.69,0.16,8195,5347920.2
2025-09-03,647.6,660.0,647.6,654.61,-0.06,6034,3955346.2
2025-09-02,655.2,667.0,652.0,655.0,-0.56,7439,4880625.0
2025-09-01,664.0,671.9,651.0,658.69,-0.01,7097,4690481.3
2025-08-31,671.0,678.0,656.6,658.74,-2.92,18384,12180240.4
2025-08-28,695.0,704.0,676.0,678.52,-2.44,9875,6763457.7
2025-08-27,700.0,700.0,687.3,695.49,0.8,10254,7089940.5
2025-08-26,705.1,705.1,683.5,689.99,-1.05,15982,11026768.3
2025-08-25,704.7,718.0,683.0,697.29,0.92,20410,14167269.0
2025-08-24,697.0,710.0,680.1,690.91,0.97,26157,18206932.8
2025-08-21,703.8,712.0,676.3,684.3,-0.83,7162,4906529.6
2025-08-20,676.0,698.0,676.0,690.04,0.69,10035,6899802.1
2025-08-19,698.0,698.0,685.0,685.28,0.04,8208,5638634.1
2025-08-18,701.7,701.7,682.0,685.03,-0.54,9475,6518153.4
2025-08-17,715.0,715.0,685.1,688.76,-2.12,7106,4924487.7
2025-08-14,706.9,725.0,703.0,703.67,0.99,26013,18515867.4
2025-08-13,699.0,708.0,692.1,696.74,0.34,6680,4680036.4
2025-08-12,700.0,714.0,690.1,694.41,-2.01,25324,17679318.7
2025-08-11,740.0,740.0,707.0,708.67,-4.5,48197,34619538.8
2025-08-07,732.1,760.0,732.1,742.03,-0.54,20773,15466966.5
2025-08-06,728.1,752.0,728.1,746.03,2.13,32937,24562201.6
2025-08-05,720.0,754.8,720.0,730.46,0.42,38464,28356627.8
2025-08-04,737.5,737.5,710.0,727.43,0.58,22739,16320257.3
2025-08-03,747.0,747.0,722.3,723.27,-3.27,28998,21205618.8
2025-07-31,771.6,771.6,740.0,747.72,-1.17,37164,28156468.1
2025-07-30,800.0,800.0,754.0,756.56,-4.92,56290,43441195.1
2025-07-29,785.0,807.0,771.0,795.72,3.29,79718,63342015.6
2025-07-28,763.1,775.0,748.0,770.4,0.96,45685,34728373.8
2025-07-27,764.0,794.0,750.0,763.05,1.37,114464,88483113.6
2025-07-24,765.0,765.0,740.1,752.71,-1.59,46965,35351915.7
2025-07-23,774.1,782.7,747.1,764.9,-1.18,49306,37461891.9
2025-07-22,730.0,795.0,730.0,774.0,6.51,91605,70795656.3
2025-07-21,700.0,730.0,692.0,726.66,3.07,58414,41902783.8
2025-07-20,707.0,729.9,701.2,705.0,-1.68,54291,38555449.7
2025-07-17,713.0,722.0,700.0,717.03,2.38,32399,23031606.7
