date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1288.2,1288.2,1246.0,1252.0,-0.87,41236,51776481.3
2026-02-11,1291.3,1291.3,1251.0,1263.0,-0.24,46895,59045447.4
2026-02-10,1265.2,1296.8,1263.0,1266.0,-0.71,31673,40431452.9
2026-02-09,1323.0,1324.9,1262.0,1275.0,-3.4,74048,94985138.1
2026-02-08,1310.0,1341.0,1291.0,1319.9,2.72,196139,259333698.1
2026-02-05,1249.0,1310.0,1225.0,1285.0,3.71,169369,215480123.0
2026-02-04,1225.0,1260.0,1200.6,1239.0,-0.88,80030,98697399.5
2026-02-03,1235.9,1280.0,1235.9,1250.0,-0.87,75855,94580449.9
2026-02-02,1245.0,1290.0,1245.0,1261.0,-0.71,71490,90560652.7
2026-02-01,1277.0,1290.0,1259.0,1270.0,-0.55,36248,45859378.4
2026-01-29,1309.9,1309.9,1275.0,1277.0,-1.01,50699,64967783.1
2026-01-28,1286.1,1308.0,1271.1,1290.0,0.7,54427,70257490.4
2026-01-27,1313.2,1320.0,1280.1,1281.0,-2.36,87770,114140000.8
2026-01-26,1348.0,1348.0,1305.0,1312.0,-1.28,62396,82440323.7
2026-01-25,1314.0,1346.0,1303.0,1329.0,1.14,76666,101757301.0
2026-01-22,1315.0,1322.0,1305.0,1314.0,0.08,42882,56148073.9
2026-01-21,1325.0,1331.5,1305.0,1313.0,-0.02,70734,93221753.5
2026-01-20,1327.0,1345.0,1300.0,1313.2,0.63,119056,157469340.4
2026-01-18,1320.0,1324.0,1295.0,1305.0,-0.46,64519,84428280.0
2026-01-14,1312.0,1336.0,1299.0,1311.0,-0.08,45213,59548061.1
2026-01-13,1290.0,1315.0,1272.0,1312.0,2.58,97787,126772793.8
2026-01-12,1284.0,1304.8,1275.0,1279.0,-0.54,42004,54124868.4
2026-01-08,1300.0,1300.0,1281.0,1286.0,-0.62,31889,41079572.9
2026-01-07,1285.0,1310.0,1280.1,1294.0,-0.24,53005,68659397.5
2026-01-06,1280.0,1312.0,1277.0,1297.1,1.82,98406,127477680.5
2026-01-05,1265.9,1288.0,1255.0,1273.9,1.67,71747,91215877.5
2026-01-04,1269.9,1277.9,1247.0,1253.0,-0.71,53180,66806224.24
2026-01-01,1270.0,1270.0,1245.6,1262.0,0.24,39349,49211432.2
2025-12-31,1275.0,1286.0,1256.0,1259.0,-0.2,49295,62574439.0
2025-12-29,1280.0,1290.0,1255.9,1261.5,-1.41,25923,32891080.9
2025-12-28,1255.0,1285.0,1237.0,1279.5,3.94,64414,81912603.5
2025-12-24,1249.0,1249.0,1227.0,1231.0,-0.28,18419,22677463.7
2025-12-23,1220.0,1246.0,1219.0,1234.4,0.77,19030,23413310.4
2025-12-22,1230.0,1244.9,1223.0,1225.0,-1.16,18545,22800086.0
2025-12-21,1242.1,1251.9,1230.2,1239.4,-0.21,34538,42833631.3
2025-12-18,1285.0,1285.0,1211.0,1242.0,-1.42,36314,45488107.9
2025-12-17,1280.0,1280.0,1250.0,1259.9,-0.4,32846,41506749.5
