date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,430.4,430.4,420.0,425.0,0.71,38154,16136769.6
2026-02-11,428.0,430.3,422.0,422.0,-1.29,30195,12839226.9
2026-02-10,426.0,434.0,424.3,427.5,0.35,25804,11035758.0
2026-02-09,431.0,439.6,426.0,426.0,-1.62,38522,16546064.4
2026-02-08,431.0,447.7,431.0,433.0,-1.37,29994,13129706.5
2026-02-05,427.0,452.0,426.0,439.0,2.81,36807,16148403.6
2026-02-04,435.0,438.0,425.5,427.0,-0.93,26929,11581705.3
2026-02-03,435.0,440.0,427.0,431.0,-0.92,38839,16780765.0
2026-02-02,431.2,446.6,431.2,435.0,-1.14,25596,11203126.0
2026-02-01,445.0,448.9,440.0,440.0,-0.5,25460,11255239.2
2026-01-29,443.0,460.0,441.7,442.2,-0.9,57756,26023981.3
2026-01-28,440.0,452.0,438.0,446.2,0.5,36375,16161026.0
2026-01-27,443.9,458.9,438.0,444.0,-1.97,63421,28421305.6
2026-01-26,461.0,463.0,444.0,452.9,-1.11,65749,29729954.9
2026-01-25,436.5,462.7,436.5,458.0,2.92,74678,33969859.6
2026-01-22,438.0,451.2,438.0,445.0,0.66,57377,25558438.6
2026-01-21,447.8,462.0,442.1,442.1,-3.24,48402,21744517.0
2026-01-20,448.0,460.0,447.0,456.9,1.99,54557,24835915.5
2026-01-18,445.0,452.0,440.0,448.0,2.17,42209,18854956.0
2026-01-14,448.0,453.0,434.0,438.5,-2.1,36805,16162089.2
2026-01-13,424.4,453.9,424.4,447.9,3.44,76294,33894261.0
2026-01-12,440.1,448.4,431.0,433.0,-3.11,76062,33368948.3
2026-01-08,438.0,448.0,438.0,446.9,1.57,22579,10039825.2
2026-01-07,450.0,460.0,437.0,440.0,-3.93,52182,23257678.1
2026-01-06,443.5,469.0,430.0,458.0,5.29,167235,76430914.1
2026-01-05,413.1,440.0,413.1,435.0,4.57,85320,36644786.1
2026-01-04,412.0,419.0,412.0,416.0,0.29,15508,6438069.5
2026-01-01,417.0,425.0,414.1,414.8,-0.6,18564,7727294.5
2025-12-31,416.0,425.0,412.1,417.3,-0.41,16397,6892116.7
2025-12-29,430.0,430.0,417.1,419.0,-0.95,11533,4850400.1
2025-12-28,419.0,425.9,419.0,423.0,1.44,22964,9700415.6
2025-12-24,418.0,421.0,415.6,417.0,-1.63,22502,9425282.7
2025-12-23,414.5,425.0,413.0,423.9,1.85,24890,10423054.6
2025-12-22,418.0,425.0,415.1,416.2,-1.12,8545,3579224.1
2025-12-21,415.5,431.0,415.5,420.9,-0.26,20610,8753092.2
2025-12-18,428.0,430.0,421.0,422.0,-1.4,26838,11386406.4
2025-12-17,438.6,440.0,426.0,428.0,-1.15,38989,16874384.1
2025-12-16,417.0,434.9,410.7,433.0,5.15,58625,24826521.2
2025-12-15,411.5,415.0,410.1,411.8,0.19,15262,6302005.5
2025-12-14,410.1,416.0,410.1,411.0,-0.94,15738,6485769.2
2025-12-11,412.0,419.9,412.0,414.9,0.22,13340,5535606.1
2025-12-10,420.0,421.0,413.1,414.0,-1.9,28946,12059630.5
2025-12-09,412.6,425.0,412.6,422.0,0.24,15483,6500746.9
2025-12-08,409.0,429.0,409.0,421.0,0.89,20631,8641159.8
2025-12-07,427.0,427.0,415.2,417.3,-1.11,18529,7756057.6
2025-12-03,423.0,430.9,420.1,422.0,0.38,19115,8126183.4
2025-12-02,421.0,431.0,420.0,420.4,-0.14,20968,8900323.5
2025-12-01,425.9,428.0,418.1,421.0,-0.68,15243,6444445.3
2025-11-30,437.0,437.4,419.0,423.9,-2.1,32532,13846707.1
2025-11-27,433.0,435.0,429.2,433.0,0.0,24881,10726703.8
2025-11-26,430.0,438.5,428.0,433.0,-0.62,19332,8361065.9
2025-11-25,447.7,447.7,431.5,435.7,-0.75,27174,11824178.8
2025-11-24,434.9,439.6,427.2,439.0,2.14,44208,19156957.8
2025-11-23,422.0,433.5,417.0,429.8,2.58,27003,11559027.6
2025-11-20,417.5,424.0,415.2,419.0,-0.19,27939,11706259.0
2025-11-19,420.0,426.0,416.1,419.8,0.19,15034,6309071.7
2025-11-18,426.2,426.2,418.0,419.0,0.26,16370,6906872.8
2025-11-17,414.0,421.0,410.0,417.9,0.46,14519,6054526.0
2025-11-16,413.0,420.0,411.3,416.0,0.0,12186,5063478.2
2025-11-13,423.8,423.8,414.1,416.0,0.12,10899,4557948.0
2025-11-12,420.0,421.9,410.0,415.5,-0.41,18285,7644492.1
2025-11-11,425.0,429.0,415.0,417.2,-1.11,26734,11151331.5
2025-11-10,420.3,424.0,417.3,421.9,-0.73,13905,5837022.0
2025-11-09,433.0,433.0,423.1,425.0,-1.16,18226,7740585.0
2025-11-06,426.0,438.0,426.0,430.0,1.18,53525,23180366.5
2025-11-05,425.0,427.9,415.2,425.0,0.9,20896,8796042.0
2025-11-04,437.9,441.9,421.0,421.2,-2.95,25691,10976328.8
2025-11-03,440.0,448.7,431.2,434.0,-1.36,45488,20024678.6
2025-11-02,429.9,445.0,418.2,440.0,3.82,58030,25443466.2
2025-10-30,405.0,425.0,405.0,423.8,2.62,29518,12395368.0
2025-10-29,420.0,426.0,407.0,413.0,-1.67,33086,13796706.8
2025-10-28,404.5,423.0,401.0,420.0,3.83,28721,11887403.2
2025-10-26,395.0,405.0,390.1,404.5,1.89,16985,6700985.1
2025-10-19,395.0,404.0,395.0,397.0,0.51,18763,7484722.9
2025-10-16,413.0,413.0,395.0,395.0,-2.47,22070,8808617.8
2025-10-15,414.0,414.8,402.0,405.0,-2.29,36166,14742047.0
2025-10-14,424.0,427.0,410.0,414.5,-2.24,19806,8240742.0
2025-10-13,407.0,426.6,407.0,424.0,3.39,23032,9671392.4
2025-10-12,425.0,425.0,410.1,410.1,-4.16,57397,23941047.5
2025-10-09,420.0,452.8,420.0,427.9,1.93,47255,20481003.4
2025-10-08,423.0,427.0,412.6,419.8,-1.92,43945,18423284.2
2025-10-07,440.1,440.1,425.0,428.0,-3.82,44513,19170684.5
2025-09-28,440.1,446.8,436.1,445.0,1.37,33037,14614334.3
2025-09-25,430.2,444.8,430.2,439.0,0.11,27469,12059490.9
2025-09-24,446.0,452.0,434.0,438.5,-2.56,49324,21814891.1
2025-09-23,430.0,455.0,430.0,450.0,3.07,76480,34071897.3
2025-09-21,416.5,441.0,408.0,436.61,2.73,94945,40826679.9
2025-09-18,438.0,438.0,424.0,425.0,-4.79,1505,647989.0
2025-09-08,463.0,464.8,445.0,446.36,-3.22,81899,36920598.9
2025-09-07,451.0,474.0,451.0,461.19,0.55,70906,33077610.0
2025-09-04,454.0,469.9,454.0,458.68,-0.56,72789,33482351.7
2025-09-03,484.0,484.0,460.0,461.27,-3.88,108809,50942283.4
2025-09-02,490.0,498.0,479.3,479.89,-0.27,66820,32502944.4
2025-09-01,495.0,499.0,478.0,481.18,-2.96,111719,54291097.1
2025-08-31,530.0,530.0,490.0,495.84,-7.45,414411,210216152.3
2025-08-28,535.0,549.0,526.8,535.73,0.17,137302,73426119.1
2025-08-27,548.0,580.0,527.0,534.8,-4.29,378761,211215889.6
2025-08-26,510.0,565.0,510.0,558.78,8.61,193512,104820642.8
2025-08-25,516.1,545.7,510.0,514.49,-2.16,215831,113428154.4
2025-08-24,523.0,540.0,523.0,525.84,-1.37,114860,60746670.6
2025-08-21,548.5,548.5,525.1,533.15,-0.87,70655,37815622.1
2025-08-20,545.4,550.0,523.4,537.84,0.58,174353,93594970.5
2025-08-19,533.2,559.0,532.0,534.75,-1.71,161647,88047602.8
2025-08-18,574.2,590.0,539.0,544.06,-3.36,286275,159460683.9
2025-08-17,530.5,584.0,530.5,562.98,4.01,444133,249618553.6
2025-08-14,492.2,541.3,490.1,541.3,9.99,375942,198196405.9
2025-08-13,473.0,507.0,465.3,492.15,3.66,163742,81100886.6
2025-08-12,483.0,489.1,472.0,474.79,-1.0,42749,20569299.5
2025-08-11,466.1,483.0,466.1,479.58,1.51,55461,26438277.7
2025-08-07,465.3,479.8,465.3,472.46,0.43,15087,7120931.3
2025-08-06,467.0,475.0,460.1,470.46,0.95,22146,10392575.3
2025-08-05,484.0,484.0,465.0,466.01,-2.13,32490,15253477.6
2025-08-04,480.0,493.0,466.0,476.16,0.43,34132,16183684.0
2025-08-03,473.2,483.0,470.5,474.13,-1.59,52218,24871419.2
2025-07-31,485.0,492.9,480.0,481.78,-1.72,46124,22400941.3
2025-07-30,512.0,516.0,489.2,490.23,-3.84,81663,41020474.8
2025-07-29,490.0,513.0,490.0,509.83,4.06,144657,73270182.5
2025-07-28,476.7,491.5,472.4,489.96,1.43,67388,32415198.4
2025-07-27,500.0,505.0,476.0,483.05,-2.54,126323,61962887.1
2025-07-24,499.8,503.3,490.4,495.62,0.02,65175,32213563.5
2025-07-23,503.5,507.9,489.0,495.5,-1.54,97783,48690827.7
2025-07-22,481.0,515.0,478.0,503.25,5.02,151789,75029500.3
2025-07-21,467.9,481.4,462.0,479.19,4.43,76941,36422735.5
2025-07-20,475.0,485.0,455.0,458.86,-2.13,109646,52008395.5
2025-07-17,463.4,474.0,460.0,468.86,3.16,46951,22013961.9
2025-07-16,448.0,460.0,448.0,454.49,0.6,22554,10297019.4
2025-07-15,445.1,454.9,445.1,451.77,0.57,17882,8060346.9
2025-07-14,450.1,454.0,449.0,449.21,-1.81,21187,9547444.8
2025-07-13,460.0,478.0,456.1,457.5,0.29,14589,6728826.6
2025-07-10,453.1,462.0,453.0,456.17,-0.4,27827,12693443.2
2025-07-09,448.1,460.5,448.1,458.01,0.86,10749,4898807.4
2025-07-08,460.0,460.0,450.1,454.09,-0.96,20821,9478007.0
2025-07-07,474.9,474.9,457.7,458.47,-1.53,44193,20503576.8
2025-07-06,462.0,475.0,456.5,465.59,0.93,59091,27654620.7
2025-07-03,451.0,464.0,442.0,461.28,2.9,40289,18306316.6
2025-07-02,434.2,449.4,434.2,448.3,2.69,27562,12292276.4
2025-07-01,437.0,439.3,433.0,436.56,0.01,12054,5259557.8
2025-06-30,432.0,443.5,432.0,436.53,1.34,15455,6759097.0
2025-06-29,440.0,440.0,425.1,430.76,-0.19,27889,11996528.2
2025-06-26,430.0,440.0,430.0,431.6,-0.53,23630,10252917.4
2025-06-25,439.9,439.9,429.2,433.89,0.02,20617,8911402.7
2025-06-24,436.0,450.0,433.1,433.79,-0.56,18960,8307785.0
2025-06-23,439.0,445.0,436.0,436.24,-1.08,20394,8943973.5
2025-06-22,458.5,458.5,439.0,441.02,-1.95,20986,9314607.9
2025-06-19,464.0,464.0,448.3,449.77,-1.19,31174,14070408.6
2025-06-18,455.0,458.0,453.2,455.19,-0.51,22384,10184158.7
2025-06-17,455.5,464.5,455.0,457.51,-0.68,16718,7664504.1
2025-06-16,451.0,465.0,451.0,460.66,1.78,38447,17621654.5
2025-06-15,450.0,459.0,448.0,452.62,0.2,28672,13000470.7
2025-06-12,450.1,454.0,448.0,451.73,-0.43,38651,17441067.0
2025-06-11,460.0,462.0,452.1,453.69,-1.87,14098,6422004.8
