date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1570.0,1606.0,1565.0,1590.0,0.38,89688,141832448.7
2026-02-11,1620.0,1625.0,1574.3,1584.0,-1.0,76935,121962957.2
2026-02-10,1640.0,1657.0,1595.0,1600.0,-2.44,71305,115425027.8
2026-02-09,1691.0,1691.0,1598.0,1640.0,-3.19,130356,213470969.0
2026-02-08,1668.0,1694.9,1637.0,1694.0,2.85,209635,349587257.8
2026-02-05,1580.0,1649.8,1576.0,1647.0,5.24,237475,386881535.4
2026-02-04,1509.2,1565.0,1509.2,1565.0,1.62,73456,113971024.4
2026-02-03,1557.0,1558.0,1520.0,1540.0,0.06,37989,58371945.0
2026-02-02,1510.0,1560.0,1510.0,1539.0,-0.06,54382,84134692.0
2026-02-01,1551.0,1570.0,1525.0,1539.9,-0.33,51066,78661698.6
2026-01-29,1600.0,1630.0,1545.0,1545.0,-1.9,61468,96778573.7
2026-01-28,1577.0,1600.0,1560.0,1575.0,-0.13,93435,147739656.3
2026-01-27,1635.0,1649.0,1575.0,1577.0,-2.95,92872,148748296.7
2026-01-26,1637.1,1657.0,1611.0,1625.0,1.25,213131,347410445.0
2026-01-25,1560.0,1626.0,1550.0,1605.0,3.55,161484,256897016.3
2026-01-22,1531.0,1550.0,1524.0,1550.0,0.13,113847,174407652.6
2026-01-21,1530.1,1590.0,1511.0,1548.0,-0.13,226783,350591731.5
2026-01-20,1430.0,1573.9,1430.0,1550.0,7.04,269679,407925632.0
2026-01-18,1383.0,1463.7,1381.0,1448.0,4.74,111404,159469846.4
2026-01-14,1390.0,1395.0,1368.0,1382.5,0.88,34816,48030016.5
2026-01-13,1366.0,1394.0,1366.0,1370.5,-0.11,37888,52162408.2
2026-01-12,1395.0,1395.0,1345.0,1372.0,0.07,39992,54750624.2
2026-01-08,1390.0,1390.0,1363.0,1371.0,-1.08,30746,42246294.1
2026-01-07,1395.0,1395.0,1372.1,1386.0,-0.5,20564,28416608.4
2026-01-06,1418.0,1426.0,1391.0,1393.0,-1.35,47029,66075854.2
2026-01-05,1360.0,1417.0,1360.0,1412.0,3.44,81530,113434525.5
2026-01-04,1350.0,1373.0,1350.0,1365.0,0.18,23430,31980198.1
2026-01-01,1351.1,1377.0,1351.1,1362.6,-0.25,49788,68386016.5
2025-12-31,1361.0,1386.0,1361.0,1366.0,0.37,21675,29800300.1
2025-12-29,1391.0,1405.0,1361.0,1361.0,-2.09,23012,31778305.2
2025-12-28,1372.1,1391.0,1345.0,1390.0,3.33,52277,71943109.3
2025-12-24,1350.0,1365.0,1342.0,1345.2,-0.36,17232,23326222.9
2025-12-23,1336.7,1350.1,1330.0,1350.0,0.66,27662,37144836.7
2025-12-22,1360.1,1364.0,1340.0,1341.1,-2.18,18778,25313029.0
2025-12-21,1390.0,1390.0,1361.1,1371.0,-1.37,20179,27614832.6
2025-12-18,1400.0,1400.0,1367.0,1390.0,1.23,31406,43432670.0
2025-12-17,1375.0,1388.9,1371.0,1373.1,-0.14,15146,20859463.0
2025-12-16,1350.0,1381.0,1327.0,1375.0,1.85,26179,35359979.5
2025-12-15,1345.0,1359.0,1328.0,1350.0,0.3,25549,34115124.5
