date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,697.0,705.0,696.0,699.0,0.43,9813,6873328.8
2026-02-11,710.0,710.0,696.0,696.0,-0.85,10469,7346489.1
2026-02-10,705.0,705.0,701.1,702.0,-0.71,1842,1294848.3
2026-02-09,721.0,724.9,697.0,707.0,-0.52,21555,15260695.5
2026-02-08,712.0,716.0,710.7,710.7,0.24,7590,5414805.7
2026-02-05,703.0,710.0,703.0,709.0,0.57,5680,4020430.6
2026-02-04,712.1,715.0,705.0,705.0,-1.0,3026,2145975.9
2026-02-03,708.0,721.0,708.0,712.1,-0.54,5509,3950170.3
2026-02-02,729.0,729.0,710.1,716.0,0.14,4225,3020429.5
2026-02-01,716.0,720.0,714.1,715.0,-1.11,4560,3267984.1
2026-01-29,730.0,735.0,720.0,723.0,0.14,15050,10914289.8
2026-01-28,729.0,729.0,716.1,722.0,-0.69,8896,6408358.8
2026-01-27,739.9,740.9,725.2,727.0,-0.14,18753,13746021.6
2026-01-26,735.0,740.6,726.0,728.0,-1.62,16871,12318717.0
2026-01-25,731.1,744.6,731.0,740.0,1.37,13542,10023532.5
2026-01-22,725.0,730.0,716.0,730.0,0.14,7166,5159858.7
2026-01-21,738.9,738.9,728.0,729.0,-0.41,13352,9741599.5
2026-01-20,720.0,732.0,720.0,732.0,2.52,8896,6457104.7
2026-01-18,710.0,715.0,710.0,714.0,0.85,3935,2807339.7
2026-01-14,706.0,714.0,700.0,708.0,0.07,7529,5304228.3
2026-01-13,720.0,720.0,706.0,707.5,-0.21,7597,5371972.9
2026-01-12,702.0,714.5,702.0,709.0,-0.14,12123,8594012.0
2026-01-08,701.1,712.0,701.0,710.0,0.71,4857,3436786.9
2026-01-07,700.0,713.0,700.0,705.0,-0.28,1152,814116.6
2026-01-06,700.0,710.6,696.0,707.0,0.99,3897,2745866.7
2026-01-05,687.2,712.1,687.0,700.1,0.27,6387,4455680.5
2026-01-04,706.0,710.0,698.2,698.2,-1.02,5413,3798174.7
2026-01-01,720.0,720.0,705.2,705.4,-0.72,5229,3715597.7
2025-12-31,745.0,753.8,740.0,746.0,1.33,19136,14348077.9
2025-12-29,755.0,755.0,736.2,736.2,-1.05,4407,3266911.3
2025-12-28,731.0,744.0,729.0,744.0,1.69,12941,9501809.0
2025-12-24,741.0,744.0,730.0,731.6,-0.45,2848,2090082.9
2025-12-23,722.2,734.9,722.0,734.9,0.53,3737,2706145.9
2025-12-22,730.0,735.0,725.0,731.0,0.14,8203,5980533.9
2025-12-21,735.5,744.0,730.0,730.0,-1.99,10919,8002608.1
2025-12-18,759.9,760.0,743.0,744.8,-1.62,13340,9982340.8
2025-12-17,780.0,780.0,757.0,757.1,-1.03,6415,4889234.2
2025-12-16,749.0,765.0,749.0,765.0,2.1,6604,5014213.3
2025-12-15,745.1,752.0,745.1,749.3,0.58,6734,5044745.8
