date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,695.0,723.0,695.0,708.0,-0.14,16246,11435112.8
2026-02-11,710.1,712.0,695.1,709.0,-0.84,11692,8183600.0
2026-02-10,710.1,715.0,707.0,715.0,-1.24,4732,3358483.5
2026-02-09,731.0,731.0,705.6,724.0,0.98,8312,5936334.6
2026-02-08,735.9,735.9,717.0,717.0,-1.24,3417,2467256.8
2026-02-05,747.1,747.1,720.0,726.0,-0.89,2303,1686043.7
2026-02-04,740.0,744.0,712.0,732.5,0.34,7773,5655360.5
2026-02-03,707.0,745.0,705.2,730.0,3.11,22724,16548161.0
2026-02-02,707.0,710.9,706.0,708.0,0.24,1836,1300011.9
2026-02-01,719.0,719.0,705.0,706.3,-1.63,3605,2545920.7
2026-01-29,715.0,725.0,710.0,718.0,0.94,6983,4982505.4
2026-01-28,719.7,719.7,706.0,711.3,-1.17,3400,2418694.3
2026-01-27,725.0,739.0,710.0,719.7,-1.81,10809,7784527.6
2026-01-26,745.0,745.0,716.0,733.0,-0.92,13657,9917785.8
2026-01-25,720.0,744.0,720.0,739.8,1.09,7093,5233166.9
2026-01-22,715.5,732.0,710.5,731.8,1.78,5912,4282288.0
2026-01-21,717.0,738.0,716.0,719.0,-1.51,4833,3495215.0
2026-01-20,722.0,740.0,710.1,730.0,2.67,27369,20049176.3
2026-01-18,704.0,714.0,704.0,711.0,0.99,5824,4124322.6
2026-01-14,695.1,704.0,693.6,704.0,1.28,5131,3572845.2
2026-01-13,704.0,704.0,693.1,695.1,-0.42,951,661189.4
2026-01-12,692.1,702.0,692.1,698.0,0.29,1256,874275.6
2026-01-08,691.5,702.0,690.2,696.0,-0.98,2032,1413522.1
2026-01-07,702.0,713.0,691.1,702.9,-1.28,3078,2158308.8
2026-01-06,709.0,712.0,702.0,712.0,0.47,3350,2360100.0
2026-01-05,693.0,709.0,691.0,708.7,0.67,2474,1733727.8
2026-01-04,696.0,706.0,693.0,704.0,-0.34,4016,2812699.9
2026-01-01,709.0,709.0,696.0,706.4,-0.23,4825,3400372.0
2025-12-31,708.9,715.0,700.0,708.0,-0.13,8712,6153927.5
2025-12-29,688.1,711.0,688.1,708.9,1.11,8210,5776000.2
2025-12-28,699.0,704.9,690.0,701.1,1.45,3773,2628518.1
2025-12-24,699.0,699.0,687.0,691.1,-0.42,3066,2127088.3
2025-12-23,686.1,698.0,675.0,694.0,-0.7,5522,3815092.0
2025-12-22,684.0,699.9,683.0,698.9,1.29,4950,3403567.0
2025-12-21,695.0,695.0,686.3,690.0,-0.71,2191,1510761.6
2025-12-18,699.0,700.0,692.0,694.9,-0.73,3987,2771111.0
2025-12-17,707.0,707.0,695.1,700.0,0.94,3742,2616247.5
2025-12-16,705.0,705.0,690.5,693.5,-0.46,5778,4019784.0
2025-12-15,685.1,696.7,685.1,696.7,0.97,2391,1642414.2
