date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1210.0,1210.0,1210.0,1210.0,1.42,50,60500.0
2026-02-10,1185.0,1193.1,1181.0,1193.1,0.17,136,161318.5
2026-02-09,1190.0,1191.1,1190.0,1191.1,1.03,50,59527.5
2026-02-08,1201.0,1201.0,1179.0,1179.0,-1.35,100,119540.0
2026-02-05,1195.1,1195.1,1195.1,1195.1,0.5,25,29877.5
2026-02-04,1188.0,1189.1,1188.0,1189.1,-0.29,50,59427.5
2026-02-03,1200.0,1200.0,1192.6,1192.6,-1.36,75,89630.0
2026-02-02,1209.0,1209.0,1209.0,1209.0,0.18,470,568230.0
2026-02-01,1183.2,1183.2,1183.2,1206.8,1.99,5,6034.0
2026-01-29,1160.0,1160.0,1160.0,1183.2,2.0,5,5916.0
2026-01-28,1160.0,1160.0,1160.0,1160.0,0.78,25,29000.0
2026-01-26,1150.0,1151.0,1150.0,1151.0,0.09,45,51815.0
2026-01-25,1151.0,1151.0,1145.1,1150.0,-0.09,210,240833.5
2026-01-22,1151.0,1151.0,1151.0,1151.0,-0.6,25,28775.0
2026-01-21,1151.0,1158.0,1151.0,1158.0,0.26,70,80827.0
2026-01-20,1178.0,1178.0,1155.0,1155.0,-3.79,135,157075.0
2026-01-18,1225.0,1225.0,1200.5,1200.5,-3.96,35,42262.5
2026-01-14,1250.0,1250.0,1250.0,1250.0,0.0,50,62500.0
2026-01-13,1245.0,1255.0,1245.0,1250.0,0.0,340,424900.0
2026-01-12,1232.0,1274.0,1232.0,1250.0,2.88,210,263890.0
2026-01-08,1215.0,1215.0,1215.0,1215.0,-1.7,25,30375.0
2026-01-07,1227.0,1245.0,1227.0,1236.0,0.08,150,185402.5
2026-01-06,1235.0,1235.0,1235.0,1235.0,-0.56,25,30875.0
2026-01-05,1240.0,1242.0,1240.0,1242.0,-0.64,75,93100.0
2026-01-04,1250.0,1250.0,1250.0,1250.0,0.4,35,43750.0
2026-01-01,1245.0,1245.0,1245.0,1245.0,-0.56,25,31125.0
2025-12-31,1245.0,1252.0,1245.0,1252.0,0.72,325,406550.0
2025-12-29,1245.0,1245.0,1243.0,1243.0,-0.16,55,68415.0
2025-12-23,1241.1,1245.0,1241.1,1245.0,0.4,100,124402.5
2025-12-22,1240.0,1240.0,1240.0,1240.0,-0.88,25,31000.0
2025-12-21,1225.0,1251.0,1202.0,1251.0,2.12,1130,1408312.5
2025-12-18,1200.0,1225.0,1200.0,1225.0,1.05,155,187850.0
2025-12-17,1212.3,1212.3,1212.3,1212.3,-2.0,25,30307.5
2025-12-16,1237.0,1237.0,1237.0,1237.0,-1.98,85,105145.0
2025-12-10,1262.0,1262.0,1262.0,1262.0,1.69,220,277640.0
2025-12-09,1236.1,1241.0,1236.1,1241.0,0.48,100,123952.5
2025-12-08,1240.0,1240.0,1231.0,1235.1,0.74,110,136126.0
2025-12-07,1226.0,1226.0,1226.0,1226.0,-1.13,50,61300.0
2025-12-03,1240.0,1240.0,1240.0,1240.0,-0.56,30,37200.0
2025-12-01,1247.0,1247.0,1247.0,1247.0,0.96,250,311750.0
2025-11-30,1247.0,1247.0,1235.2,1235.2,0.18,519,647075.0
2025-11-27,1173.1,1233.0,1173.1,1233.0,5.29,277,338189.1
2025-11-26,1171.0,1171.0,1171.0,1171.0,-0.68,80,93680.0
2025-11-25,1179.0,1179.0,1179.0,1179.0,-1.83,25,29475.0
2025-11-24,1225.0,1225.0,1201.0,1201.0,-1.48,225,273225.0
2025-11-23,1219.0,1219.0,1219.0,1219.0,0.0,25,30475.0
2025-11-19,1219.0,1219.0,1219.0,1219.0,-1.93,25,30475.0
2025-11-17,1243.0,1243.0,1243.0,1243.0,1.97,345,428835.0
2025-11-13,1218.9,1219.0,1218.9,1219.0,0.01,125,152372.5
2025-11-12,1218.9,1218.9,1218.9,1218.9,0.0,25,30472.5
2025-11-11,1218.9,1218.9,1218.9,1218.9,0.0,40,48756.0
2025-11-10,1195.0,1195.0,1195.0,1218.9,2.0,1,1218.9
2025-11-05,1195.0,1195.0,1195.0,1195.0,-1.81,50,59750.0
2025-11-03,1203.0,1240.0,1203.0,1217.0,3.14,430,529890.0
2025-11-02,1180.0,1180.0,1180.0,1180.0,0.08,65,76700.0
2025-10-30,1179.0,1179.0,1179.0,1179.0,0.77,25,29475.0
2025-10-19,1180.0,1180.0,1170.0,1170.0,-0.85,50,58750.0
2025-10-16,1206.0,1206.0,1180.0,1180.0,-4.07,100,119675.0
2025-10-14,1245.0,1255.0,1230.0,1230.0,-0.09,75,93375.0
2025-10-13,1161.0,1236.0,1161.0,1231.1,6.13,1232,1519881.7
2025-10-12,1160.0,1160.0,1160.0,1160.0,-0.6,15,17400.0
2025-10-08,1187.0,1187.0,1167.0,1167.0,-3.58,50,58850.0
2025-10-07,1146.0,1235.0,1146.0,1210.3,5.24,2230,2725588.9
2025-09-28,1150.0,1150.0,1150.0,1150.0,0.0,50,57500.0
2025-09-25,1150.0,1150.0,1150.0,1150.0,-1.96,25,28750.0
2025-09-24,1150.0,1173.0,1150.0,1173.0,0.0,130,151800.0
2025-09-23,1170.0,1173.0,1170.0,1173.0,2.0,240,280975.0
2025-09-21,1133.0,1150.0,1133.0,1150.0,1.68,240,275490.0
2025-09-08,1127.0,1131.0,1127.0,1131.0,0.44,75,84625.0
2025-09-07,1126.0,1126.0,1126.0,1126.0,0.0,50,56300.0
