date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,1112.0,1112.0,1112.0,1112.0,1.92,50,55600.0
2026-02-10,1091.0,1091.0,1091.0,1091.0,0.74,25,27275.0
2026-02-08,1083.0,1083.0,1083.0,1083.0,-1.77,12,12996.0
2026-02-03,1102.5,1102.5,1102.5,1102.5,-2.0,10,11025.0
2026-01-26,1125.0,1125.0,1125.0,1125.0,1.86,345,388125.0
2026-01-25,1104.6,1104.6,1104.5,1104.5,-2.0,25,27613.5
2026-01-20,1127.0,1127.0,1127.0,1127.0,-2.0,25,28175.0
2026-01-07,1140.0,1150.0,1140.0,1150.0,1.57,243,277450.0
2026-01-06,1132.2,1132.2,1132.2,1132.2,0.9,25,28305.0
2025-12-22,1122.1,1122.1,1122.1,1122.1,0.37,25,28052.5
2025-12-21,1118.0,1118.0,1118.0,1118.0,0.18,25,27950.0
2025-12-15,1116.0,1116.0,1116.0,1116.0,-1.93,30,33480.0
2025-12-14,1138.0,1138.0,1138.0,1138.0,1.07,225,256050.0
2025-12-03,1127.1,1127.1,1126.0,1126.0,-0.79,355,399850.0
2025-12-01,1135.0,1135.0,1135.0,1135.0,0.89,231,262185.0
2025-11-27,1130.5,1130.5,1125.0,1125.0,-0.62,166,186870.0
2025-11-17,1107.0,1132.0,1107.0,1132.0,2.26,545,616808.5
2025-11-16,1107.0,1107.0,1107.0,1107.0,0.54,85,94095.0
2025-11-11,1101.0,1101.0,1101.0,1101.0,-0.18,210,231210.0
2025-11-05,1103.0,1103.0,1103.0,1103.0,0.27,15,16545.0
2025-11-04,1100.0,1100.0,1100.0,1100.0,-1.96,25,27500.0
2025-11-03,1122.0,1130.0,1122.0,1122.0,2.0,1208,1360383.0
2025-11-02,1100.0,1100.0,1100.0,1100.0,-1.79,75,82500.0
2025-10-30,1108.0,1120.0,1108.0,1120.0,-0.88,205,229190.0
2025-10-29,1119.0,1130.0,1119.0,1130.0,1.35,75,84200.0
2025-10-28,1110.0,1115.0,1110.0,1115.0,0.45,75,83375.0
2025-10-26,1110.0,1110.0,1110.0,1110.0,-0.45,200,222000.0
2025-10-19,1115.0,1115.0,1115.0,1115.0,-0.27,100,111500.0
2025-10-15,1112.9,1118.0,1111.0,1118.0,0.26,125,139171.9
2025-10-14,1115.1,1115.1,1115.1,1115.1,-0.44,25,27877.5
