date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,299.0,320.0,297.1,314.0,5.02,926327,289911101.0
2026-02-11,291.2,300.0,284.5,299.0,4.73,181126,52837504.5
2026-02-10,284.0,291.0,281.0,285.5,0.53,133734,38207720.9
2026-02-09,288.2,291.5,282.0,284.0,-1.46,136480,38756847.2
2026-02-08,290.0,295.0,285.0,288.2,-0.52,167655,48772619.2
2026-02-05,285.0,292.7,281.0,289.7,3.32,227346,65660492.5
2026-02-04,291.0,291.0,280.0,280.4,-1.96,112721,32007807.1
2026-02-03,284.1,292.0,283.0,286.0,-1.31,136777,39111881.5
2026-02-02,299.0,299.0,286.5,289.8,-1.43,221504,64029097.6
2026-02-01,304.0,304.0,291.2,294.0,-1.67,152683,45088476.2
2026-01-29,295.0,310.0,290.0,299.0,3.1,524557,157689282.4
2026-01-28,288.0,294.7,279.0,290.0,2.47,267885,76602698.8
2026-01-27,294.0,296.5,280.0,283.0,-2.08,309288,89616870.6
2026-01-26,295.0,297.0,284.0,289.0,-0.21,345166,99880048.5
2026-01-25,271.0,293.1,266.5,289.6,8.67,532218,150481041.9
2026-01-22,271.0,271.0,264.1,266.5,0.23,137598,36697454.1
2026-01-21,265.1,270.0,263.0,265.9,0.72,151267,40291637.9
2026-01-20,266.0,270.0,263.0,264.0,-0.34,144302,38485015.2
2026-01-18,266.0,271.0,262.9,264.9,-0.41,128615,34234215.7
2026-01-14,262.0,272.0,260.0,266.0,3.3,209519,55973590.4
2026-01-13,251.5,260.5,249.7,257.5,1.18,226200,58024570.8
2026-01-12,259.79,262.0,251.0,254.5,-2.83,189527,48427968.0
2026-01-08,259.0,264.0,259.0,261.9,-0.72,83992,21912101.1
2026-01-07,260.0,269.0,260.0,263.8,0.69,60333,15889877.6
2026-01-06,260.0,271.0,260.0,262.0,-0.61,93916,25010035.4
2026-01-05,259.0,267.0,258.8,263.6,1.0,95663,25148481.4
2026-01-04,269.0,269.0,259.0,261.0,-1.51,107995,28232736.1
2026-01-01,270.0,272.0,265.0,265.0,-1.85,75170,20078486.1
2025-12-31,270.0,273.0,266.0,270.0,0.75,115221,30938564.1
2025-12-29,271.5,274.4,267.5,268.0,-1.11,34402,9262229.72
2025-12-28,272.0,275.0,267.0,271.0,0.48,78242,21201133.4
2025-12-24,274.0,274.0,268.0,269.7,-0.37,87395,23566902.3
2025-12-23,269.0,273.0,268.6,270.7,-1.17,53156,14381218.2
2025-12-22,275.0,277.9,271.5,273.9,-1.12,85598,23431292.4
2025-12-21,267.0,278.4,266.1,277.0,3.67,161103,44045539.3
2025-12-18,277.0,277.0,265.0,267.2,-1.73,99104,26616579.6
2025-12-17,265.0,274.3,265.0,271.9,0.78,84618,22962373.3
2025-12-16,272.0,272.0,267.2,269.8,0.56,58026,15604298.3
2025-12-15,266.6,277.0,265.5,268.3,-1.36,79273,21226947.4
2025-12-14,275.0,278.2,270.4,272.0,-1.34,74215,20278923.1
