date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,490.1,499.9,490.1,493.0,-0.4,6376,3145037.1
2026-02-11,505.0,505.0,494.0,495.0,-0.02,8887,4401738.7
2026-02-10,498.0,501.0,495.1,495.1,-0.78,9664,4802174.6
2026-02-09,505.0,515.0,495.1,499.0,-1.62,9399,4700475.7
2026-02-08,510.0,518.5,507.0,507.2,-0.55,8334,4255984.9
2026-02-05,501.0,512.0,497.2,510.0,1.59,20641,10438775.2
2026-02-04,501.0,513.0,499.1,502.0,-1.18,15122,7606730.7
2026-02-03,515.0,524.8,506.0,508.0,-1.36,12419,6306945.9
2026-02-02,522.0,522.9,509.1,515.0,0.39,21394,10966630.3
2026-02-01,515.0,529.7,510.2,513.0,-1.25,27932,14463747.3
2026-01-29,530.0,540.6,519.0,519.5,-1.25,44818,23605341.2
2026-01-28,517.0,534.9,511.5,526.1,1.23,56360,29615130.2
2026-01-27,543.6,543.6,510.0,519.7,-2.5,38408,20080051.0
2026-01-26,533.0,536.0,519.0,533.0,0.0,52514,27876709.5
2026-01-25,511.0,535.0,511.0,533.0,3.5,65867,34675165.1
2026-01-22,510.1,519.8,510.1,515.0,-0.29,14572,7509954.2
2026-01-21,511.5,528.0,511.5,516.5,-1.03,32749,16932448.6
2026-01-20,510.0,527.9,510.0,521.9,4.17,92309,48058084.3
2026-01-18,488.0,501.0,485.3,501.0,2.24,14358,7119179.3
2026-01-14,481.6,498.7,480.0,490.0,1.77,9176,4507067.2
2026-01-13,488.0,495.0,481.5,481.5,-0.93,4974,2407236.4
2026-01-12,481.0,489.8,478.2,486.0,0.16,3242,1569156.5
2026-01-08,483.0,496.5,483.0,485.2,-1.38,4715,2295181.0
2026-01-07,492.0,492.0,483.0,492.0,0.0,1920,938232.8
2026-01-06,495.0,499.0,487.0,492.0,-0.61,8617,4235269.5
2026-01-05,481.0,495.0,480.0,495.0,2.96,13360,6501953.8
2026-01-04,505.9,505.9,494.1,500.0,0.6,15109,7507447.2
2026-01-01,495.3,504.0,494.1,497.0,-1.39,10121,5032931.3
2025-12-31,495.0,505.0,495.0,504.0,1.82,8566,4285254.0
2025-12-29,490.1,500.0,490.1,495.0,-0.04,6861,3405596.3
2025-12-28,482.2,512.8,482.2,495.2,2.74,17560,8684638.9
2025-12-24,482.0,489.8,481.6,482.0,0.0,5692,2751938.0
2025-12-23,477.1,482.0,475.2,482.0,0.21,7724,3691391.2
2025-12-22,482.0,485.0,480.0,481.0,-1.09,8303,3993002.7
2025-12-21,485.5,494.0,485.5,486.3,-1.38,6979,3405370.4
2025-12-18,496.2,499.0,493.0,493.1,-1.77,12085,5982445.3
2025-12-17,498.0,504.9,494.4,502.0,0.8,9435,4715292.9
2025-12-16,498.0,502.9,496.0,498.0,0.0,8752,4362900.4
2025-12-15,494.0,499.0,491.1,498.0,0.81,6267,3100898.1
2025-12-14,499.0,504.5,494.0,494.0,-1.0,7912,3935232.2
2025-12-11,489.0,502.8,489.0,499.0,0.42,5388,2675518.8
2025-12-10,490.1,500.0,490.1,496.9,0.73,4371,2154713.9
2025-12-09,496.0,499.8,490.1,493.3,0.04,11599,5738173.1
