date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,386.0,400.5,381.0,392.5,3.02,273957,107542823.4
2026-02-11,388.5,393.0,373.0,381.0,0.03,133989,51143930.3
2026-02-10,385.2,390.0,375.0,380.9,-1.17,208729,79707673.9
2026-02-09,394.7,394.8,383.3,385.4,-0.41,193492,74958797.8
2026-02-08,395.0,403.7,385.0,387.0,-2.03,324896,128285356.8
2026-02-05,410.0,410.8,394.2,395.0,-3.38,368332,147183632.1
2026-02-04,410.0,418.0,402.8,408.8,1.69,487654,200307592.8
2026-02-03,406.9,412.0,394.0,402.0,0.75,621408,250775917.5
2026-02-02,377.4,403.9,376.0,399.0,6.4,634437,249666256.7
2026-02-01,385.0,385.0,373.3,375.0,-2.34,281446,105759697.5
2026-01-29,385.5,394.6,381.5,384.0,1.59,584538,226232973.7
2026-01-28,353.0,379.3,350.9,378.0,9.22,747162,274301840.0
2026-01-27,355.0,368.0,344.5,346.1,-0.83,462803,166034751.2
2026-01-26,341.1,354.9,341.1,349.0,0.29,328319,114117283.6
2026-01-25,337.0,350.0,337.0,348.0,2.05,201939,69764767.4
2026-01-22,345.7,345.7,334.1,341.0,0.59,201143,68526017.1
2026-01-21,325.0,350.0,323.4,339.0,3.67,293339,99127985.9
2026-01-20,330.4,334.0,324.0,327.0,0.93,164033,54056033.1
2026-01-18,322.5,328.0,321.2,324.0,0.47,100365,32469908.3
2026-01-14,318.4,330.0,318.4,322.5,-0.71,92422,29910249.7
2026-01-13,319.2,326.0,319.2,324.8,0.65,124610,40207914.7
2026-01-12,330.0,331.9,318.9,322.7,-1.22,105268,34104549.6
2026-01-08,325.5,328.7,323.0,326.7,1.15,65788,21368852.4
2026-01-07,338.0,338.0,323.0,323.0,-2.71,187952,62021915.3
2026-01-06,319.0,335.0,317.0,332.0,4.44,283062,92588914.2
2026-01-05,311.5,320.0,311.5,317.9,1.57,71883,22672319.9
2026-01-04,311.9,319.5,311.5,313.0,-1.26,91595,28692209.7
2026-01-01,317.1,323.0,313.0,317.0,-0.94,93484,29592562.4
2025-12-31,328.4,328.5,318.8,320.0,-0.68,50112,16179890.4
2025-12-29,330.0,331.0,318.3,322.2,-1.77,56797,18449364.8
2025-12-28,323.5,331.5,317.3,328.0,2.79,196556,63787382.1
2025-12-24,320.0,323.8,317.2,319.1,0.03,62363,19953137.4
2025-12-23,310.0,323.0,305.0,319.0,2.9,52805,16668465.0
2025-12-22,309.1,319.9,306.0,310.0,-1.21,67739,21080332.7
2025-12-21,324.0,324.0,309.0,313.8,-1.88,55719,17504668.3
2025-12-18,324.0,325.0,318.1,319.8,-1.27,63677,20433016.6
2025-12-17,331.5,331.5,321.0,323.9,-1.13,35307,11494140.3
2025-12-16,315.0,332.9,315.0,327.6,2.06,55615,18192729.2
2025-12-15,318.0,327.0,317.0,321.0,-1.05,72995,23376800.2
2025-12-14,335.0,335.0,320.0,324.4,-1.4,57123,18589552.01
2025-12-11,334.0,336.0,325.7,329.0,0.3,86174,28464833.9
2025-12-10,333.0,336.0,327.0,328.0,-0.91,88408,29223573.3
2025-12-09,339.5,339.5,328.5,331.0,-0.57,47405,15690316.5
2025-12-08,330.0,337.0,329.0,332.9,0.54,90529,30050452.5
2025-12-07,336.0,339.9,331.1,331.1,-1.55,89558,29954907.0
2025-12-03,347.8,347.8,336.1,336.3,-1.38,129531,43910563.0
2025-12-02,339.0,350.0,339.0,341.0,-1.33,79391,27330008.7
2025-12-01,333.2,347.9,333.2,345.6,1.65,72596,24809118.7
2025-11-30,355.0,357.0,339.0,340.0,-3.13,149384,51858073.4
2025-11-27,357.0,364.9,348.0,351.0,-1.93,250731,89518692.3
2025-11-26,343.0,359.0,336.0,357.9,5.58,325129,114657429.4
2025-11-25,334.4,344.7,334.4,339.0,0.21,92332,31329086.1
2025-11-24,335.9,348.9,335.9,338.3,-1.28,177610,60533457.6
2025-11-23,348.7,348.7,339.0,342.7,0.23,129208,44219954.5
2025-11-20,327.1,343.0,327.0,341.9,2.98,150145,50560498.6
2025-11-19,347.0,347.0,330.0,332.0,-3.18,117563,39462264.4
2025-11-18,335.0,347.7,335.0,342.9,0.7,152899,52167904.5
2025-11-17,337.0,354.0,332.3,340.5,0.44,184408,63449743.2
2025-11-16,342.2,348.9,337.2,339.0,-2.87,72064,24581177.2
2025-11-13,351.0,363.9,340.0,349.0,-2.43,230149,79824264.2
2025-11-12,360.1,365.7,344.9,357.7,-2.53,156712,55301096.9
2025-11-11,362.6,381.0,359.0,367.0,-0.81,138859,50713716.8
2025-11-10,349.0,370.0,349.0,370.0,5.11,287805,104840625.6
2025-11-09,340.1,357.0,335.2,352.0,2.53,327594,112961924.1
2025-11-06,365.0,365.0,343.1,343.3,-4.37,71111,24814043.2
2025-11-05,342.1,370.4,334.5,359.0,3.1,242580,86233444.8
2025-11-04,327.4,362.0,327.4,348.2,4.25,229176,78784356.3
2025-11-03,336.0,342.0,328.8,334.0,-2.37,152760,51132488.6
2025-11-02,304.8,342.1,295.0,342.1,10.0,392160,126835034.8
2025-10-30,293.0,313.0,291.2,311.0,5.07,40216,12236619.5
2025-10-29,300.0,304.0,292.0,296.0,-0.94,20394,6077833.7
2025-10-28,290.0,300.9,290.0,298.8,3.75,10541,3143982.9
2025-10-26,289.1,289.1,263.2,288.0,1.59,2210,618344.0
2025-10-19,284.5,289.0,278.0,283.5,1.61,4472,1262762.0
2025-10-16,290.0,296.5,279.0,279.0,-2.79,4352,1229757.3
2025-10-15,288.0,291.7,284.1,287.0,-1.03,13525,3871659.2
2025-10-14,291.0,296.0,288.0,290.0,-0.38,8049,2342021.2
2025-10-13,284.0,298.0,283.3,291.1,0.73,15815,4588526.0
2025-10-12,292.0,292.0,285.0,289.0,-2.99,15481,4459152.4
2025-10-09,290.0,313.8,290.0,297.9,1.33,14375,4357483.4
2025-10-08,297.0,302.0,288.1,294.0,-2.07,16441,4831549.5
2025-10-07,309.0,309.0,299.9,300.2,-3.1,30235,9218567.4
2025-09-28,310.0,314.9,308.5,309.8,-0.1,22668,7032784.1
2025-09-25,305.0,315.0,303.0,310.1,1.01,18892,5867117.7
2025-09-24,322.0,322.0,306.2,307.0,-3.79,25269,7890286.3
2025-09-23,295.0,323.9,295.0,319.1,7.37,55219,16967085.1
2025-09-21,287.5,305.0,282.0,297.21,1.33,46421,13711888.5
2025-09-18,293.3,293.3,293.3,293.3,-1.97,100,29330.0
2025-09-08,303.0,303.0,297.1,299.2,-0.94,31407,9426181.0
2025-09-07,296.0,311.1,295.0,302.03,2.02,64195,19348490.4
2025-09-04,306.7,306.7,295.0,296.04,-3.45,79350,23643034.3
2025-09-03,318.0,318.0,305.0,306.62,-3.39,42761,13183632.7
2025-09-02,324.0,325.0,316.0,317.38,-3.3,36153,11582265.4
2025-09-01,340.0,353.0,327.1,328.2,-3.65,80701,27023314.1
2025-08-31,353.0,360.0,326.7,340.62,-5.41,544612,183910002.0
2025-08-28,350.0,363.0,350.0,360.12,3.17,17334,6202199.2
2025-08-27,348.1,355.0,346.0,349.06,-0.92,19844,6928919.7
2025-08-26,351.0,362.0,351.0,352.29,-1.54,6029,2126852.3
2025-08-25,360.0,364.9,350.1,357.81,-0.01,5100,1804086.9
2025-08-24,362.0,369.9,357.0,357.83,-2.82,8146,2941519.5
2025-08-21,371.0,374.4,368.0,368.2,-1.09,10217,3773842.0
2025-08-20,383.0,383.0,370.4,372.25,-1.07,1755,654786.3
2025-08-19,370.1,380.0,370.1,376.27,0.04,6493,2443089.8
2025-08-18,375.0,383.0,370.1,376.13,-0.04,5879,2221694.0
2025-08-17,386.0,390.9,376.0,376.28,-0.73,5490,2077399.7
2025-08-14,377.5,384.7,377.0,379.05,-0.79,5429,2058759.0
2025-08-13,380.0,384.5,380.0,382.08,-0.15,5414,2069552.6
2025-08-12,378.5,389.7,378.5,382.64,-0.69,6819,2617883.7
2025-08-11,385.0,397.5,380.0,385.3,0.46,7756,2990408.8
2025-08-07,382.0,384.0,376.0,383.55,0.41,6635,2528942.1
2025-08-06,378.2,392.0,378.2,382.0,-0.91,5512,2116128.0
2025-08-05,397.0,397.0,385.0,385.51,-1.08,4896,1890380.5
2025-08-04,390.0,396.0,383.3,389.73,1.71,11254,4368802.3
2025-08-03,398.4,398.4,382.0,383.18,-1.9,13117,5087595.6
2025-07-31,410.0,410.0,388.1,390.6,-3.05,20990,8300466.7
2025-07-30,406.9,407.0,400.0,402.89,-0.99,16482,6662123.1
2025-07-29,412.0,419.0,406.0,406.9,-1.19,24459,10054874.4
2025-07-28,418.0,422.0,401.8,411.79,-1.57,16064,6579307.9
2025-07-27,415.8,428.4,412.0,418.35,0.63,59651,25191745.7
2025-07-24,407.0,424.0,400.1,415.73,3.93,45353,18661219.0
2025-07-23,403.0,405.0,395.0,400.01,-0.02,20801,8310761.3
2025-07-22,397.0,402.0,393.8,400.11,0.93,19307,7677206.9
2025-07-21,390.7,402.0,390.5,396.42,-0.32,18549,7371796.1
2025-07-20,395.0,409.0,393.0,397.69,1.41,27563,11100491.5
2025-07-17,389.0,399.0,384.0,392.15,1.73,24775,9743705.0
2025-07-16,390.0,396.0,381.0,385.49,-0.73,15097,5821031.7
2025-07-15,380.0,394.7,380.0,388.34,0.61,5972,2313429.3
2025-07-14,390.0,392.0,382.0,385.97,0.19,5686,2198232.4
2025-07-13,392.3,393.0,380.0,385.23,0.15,15982,6141919.9
