date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,11.13,11.47,11.13,11.27,0.09,13100,148632.0
2026-02-11,11.26,11.26,11.26,11.26,0.72,600,6756.0
2026-02-10,11.05,11.25,11.05,11.18,-0.62,500,5589.0
2026-02-09,11.2,11.25,11.2,11.25,0.0,700,7858.0
2026-02-08,11.08,11.35,11.08,11.25,-0.27,23998,271094.4
2026-02-05,11.21,11.28,11.21,11.28,0.27,7140,80249.0
2026-02-04,11.2,11.25,11.2,11.25,0.45,11375,127952.0
2026-02-03,11.2,11.23,11.13,11.2,0.27,60400,677176.0
2026-02-02,11.3,11.3,11.13,11.17,-0.98,4000,44612.0
2026-02-01,11.14,11.28,11.14,11.28,-0.7,2200,24725.0
2026-01-29,11.27,11.36,11.27,11.36,-1.22,1344,15245.4
2026-01-28,11.3,11.56,11.3,11.5,0.0,22360,256918.6
2026-01-27,11.4,11.57,11.4,11.5,0.88,327860,3772313.2
2026-01-26,11.1,11.4,11.1,11.4,0.71,70740,790497.4
2026-01-25,10.96,11.32,10.96,11.32,1.98,81200,914032.0
2026-01-22,11.1,11.2,11.1,11.1,-1.77,21300,237483.0
2026-01-21,10.98,11.3,10.98,11.3,0.89,27544,310238.0
2026-01-20,10.79,11.2,10.79,11.2,2.75,86950,969824.0
2026-01-18,10.78,11.0,10.78,10.9,-0.82,7200,77974.0
2026-01-14,10.92,11.0,10.92,10.99,-0.99,42700,469220.0
2026-01-13,10.93,11.16,10.93,11.1,0.91,2300,25380.0
2026-01-12,10.98,11.2,10.98,11.0,0.09,47800,526216.0
2026-01-08,10.92,11.0,10.92,10.99,-0.09,1400,15326.0
2026-01-07,10.99,11.11,10.95,11.0,0.92,39400,433355.0
2026-01-06,11.0,11.11,10.9,10.9,0.0,49300,545210.0
2026-01-05,10.79,11.0,10.79,10.9,0.93,17900,196171.0
2026-01-04,10.9,10.95,10.79,10.8,0.56,23500,256216.0
2026-01-01,10.8,10.9,10.74,10.74,0.47,165900,1801967.0
2025-12-31,10.67,10.7,10.67,10.69,0.19,18700,200078.0
2025-12-29,10.8,10.8,10.67,10.67,0.19,15200,164134.0
2025-12-28,10.6,10.7,10.6,10.65,0.57,10800,114992.0
