date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,10.96,11.39,10.96,11.3,1.8,2901,32234.17
2026-02-11,10.96,11.18,10.96,11.1,-0.72,12449,137221.91
2026-02-10,11.0,11.18,11.0,11.18,0.99,5100,56226.0
2026-02-09,11.18,11.18,11.07,11.07,-2.89,2000,22164.0
2026-02-08,11.04,11.42,11.04,11.4,1.42,22850,256876.0
2026-02-05,11.1,11.24,11.08,11.24,1.54,8121,90503.41
2026-02-04,10.92,11.15,10.92,11.07,1.37,16064,178075.08
2026-02-03,11.12,11.12,10.9,10.92,-3.7,1940,21415.8
2026-02-02,11.12,11.34,11.03,11.34,1.98,5507,61054.84
2026-02-01,11.11,11.34,11.11,11.12,-1.85,39950,449175.0
2026-01-29,11.11,11.33,11.11,11.33,0.62,12180,137171.0
2026-01-28,11.04,11.26,11.04,11.26,0.27,4000,44629.0
2026-01-27,11.14,11.4,11.14,11.23,0.99,69380,786229.0
2026-01-26,10.93,11.12,10.8,11.12,-0.27,15250,167294.0
2026-01-25,10.9,11.19,10.9,11.15,0.27,32200,359536.0
2026-01-22,11.02,11.2,10.86,11.12,2.39,95930,1063088.7
2026-01-21,10.94,11.01,10.77,10.86,-0.73,14400,157130.0
2026-01-20,11.09,11.31,10.9,10.94,0.55,36850,411769.5
2026-01-18,10.79,11.18,10.79,10.88,-0.82,16870,185622.0
2026-01-14,10.78,10.97,10.78,10.97,1.48,4000,43430.0
2026-01-13,11.2,11.3,10.72,10.81,-2.61,9700,106195.0
2026-01-12,10.7,11.12,10.62,11.1,3.74,2560,27604.2
2026-01-08,10.79,11.0,10.62,10.7,-0.83,57795,632447.0
2026-01-07,10.66,11.0,10.66,10.79,0.37,21970,240603.0
2026-01-06,10.66,10.8,10.66,10.75,0.19,14900,159921.0
2026-01-05,10.59,10.8,10.59,10.73,0.75,39539,426325.2
2026-01-04,10.54,10.79,10.54,10.65,0.66,42250,451604.5
2026-01-01,10.65,10.65,10.58,10.58,-2.4,10700,113914.0
2025-12-31,10.49,10.84,10.44,10.84,3.34,34739,368001.56
2025-12-29,10.49,10.5,10.42,10.49,0.0,8910,93326.0
2025-12-28,10.51,10.61,10.33,10.49,-0.38,49047,514497.43
2025-12-24,10.48,10.76,10.48,10.53,0.48,18600,198383.0
2025-12-23,10.48,10.5,10.48,10.48,0.29,12458,130643.0
2025-12-22,10.55,10.55,10.44,10.45,-1.42,18800,198147.0
2025-12-21,10.54,10.6,10.54,10.6,0.0,11250,119172.0
2025-12-18,10.45,10.6,10.45,10.6,0.0,17500,183392.0
