date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,831.1,855.0,831.1,845.0,-0.35,269454,227364092.3
2026-02-11,862.0,863.0,838.0,848.0,-0.56,228817,193667417.7
2026-02-10,865.0,870.0,850.0,852.8,-1.07,333691,286374827.8
2026-02-09,880.1,885.0,855.8,862.0,-2.71,311170,270297984.3
2026-02-08,885.0,894.0,877.1,886.0,1.26,497610,439834005.3
2026-02-05,833.0,895.4,833.0,875.0,2.94,654099,575099438.2
2026-02-04,852.7,864.9,840.0,850.0,1.67,308443,262536604.5
2026-02-03,827.2,854.0,827.2,836.0,-0.95,246150,207079893.1
2026-02-02,828.1,859.9,828.1,844.0,-0.12,333893,282850533.4
2026-02-01,869.9,870.0,838.0,845.0,-1.74,458748,389828440.8
2026-01-29,880.0,889.0,848.0,860.0,-0.35,497203,433033436.3
2026-01-28,836.0,869.0,834.9,863.0,4.35,639015,543607945.9
2026-01-27,819.0,854.9,815.0,827.0,2.1,687523,578516077.1
2026-01-26,811.0,824.3,805.1,810.0,-0.12,361837,294696283.0
2026-01-25,811.0,820.0,804.1,811.0,0.75,317426,257699788.0
2026-01-22,822.0,823.0,801.1,805.0,-1.23,211263,170427052.0
2026-01-21,836.0,836.0,810.0,815.0,-0.67,344026,282509974.0
2026-01-20,808.5,825.0,802.0,820.5,3.51,477973,390346319.1
2026-01-18,813.0,814.0,792.6,792.7,-1.16,310404,249480894.9
2026-01-14,833.0,833.0,796.0,802.0,-2.08,324761,262404184.4
2026-01-13,794.7,820.0,790.1,819.0,3.93,674600,546566813.5
2026-01-12,778.2,789.9,769.0,788.0,3.28,405871,315796832.3
2026-01-08,753.5,770.0,750.3,763.0,1.26,151349,115377549.7
2026-01-07,779.9,779.9,753.5,753.5,-1.46,132986,101316974.3
2026-01-06,751.0,771.0,750.5,764.7,1.96,231496,176737594.1
2026-01-05,737.0,754.9,731.2,750.0,2.32,124857,92854321.6
2026-01-04,737.0,750.8,730.4,733.0,-1.61,57683,42585278.7
2026-01-01,747.1,760.0,743.0,745.0,-1.19,97829,73332803.5
2025-12-31,744.4,759.1,744.4,754.0,0.57,115779,87335366.9
2025-12-29,759.9,761.0,743.0,749.7,-0.44,98006,73814364.7
2025-12-28,734.0,757.0,730.1,753.0,3.15,136618,102023608.9
2025-12-24,739.0,739.0,726.0,730.0,0.69,64165,46828830.1
2025-12-23,730.0,730.0,721.2,725.0,0.0,55091,39987090.9
2025-12-22,740.0,740.0,721.0,725.0,-1.36,77381,56204313.2
2025-12-21,738.0,750.0,733.3,735.0,-1.74,105447,77954751.3
2025-12-18,747.0,753.0,730.0,748.0,2.06,246124,183532358.3
2025-12-17,719.1,734.0,719.1,732.9,1.65,127945,93182089.3
2025-12-16,720.0,725.0,710.0,721.0,0.0,102396,73631963.1
2025-12-15,713.5,724.0,713.5,721.0,0.14,53450,38423634.9
2025-12-14,718.1,730.0,714.0,720.0,-0.3,88741,63628829.8
2025-12-11,721.0,732.8,719.5,722.2,-0.43,50101,36278791.3
2025-12-10,739.0,741.2,725.0,725.3,-0.78,69244,50645002.1
2025-12-09,711.1,735.0,711.1,731.0,1.94,137040,99124149.4
2025-12-08,738.4,738.4,716.3,717.1,-0.95,125803,90982067.0
2025-12-07,731.0,734.0,722.0,724.0,-1.5,83963,60945894.6
2025-12-03,753.0,753.0,730.0,735.0,-0.49,102123,75133800.7
2025-12-02,745.0,745.0,736.0,738.6,0.76,49368,36490430.1
2025-12-01,751.8,751.8,731.3,733.0,-0.56,77961,57466097.3
2025-11-30,759.7,759.7,735.0,737.1,-1.05,128864,95789393.9
2025-11-27,763.9,763.9,743.0,744.9,-0.55,111779,83700548.9
2025-11-26,784.0,784.0,747.0,749.0,-2.6,184861,139449410.1
2025-11-25,784.3,784.3,754.0,769.0,0.0,129174,99140336.7
2025-11-24,784.3,784.3,764.0,769.0,0.0,188899,145318658.6
2025-11-23,748.0,776.5,748.0,769.0,2.95,284912,219288048.2
2025-11-20,757.0,758.0,730.0,747.0,0.54,153662,114555392.4
2025-11-19,763.9,763.9,740.0,743.0,-0.8,213662,159488245.4
2025-11-18,765.1,771.0,749.0,749.0,-0.15,127990,97243786.6
2025-11-17,736.4,759.8,712.0,750.1,3.89,206685,154132760.0
2025-11-16,754.8,754.8,720.4,722.0,-2.43,112346,81625587.5
2025-11-13,759.9,759.9,733.1,740.0,-0.67,126253,93474950.1
2025-11-12,765.0,774.0,740.0,745.0,-3.12,294796,221415773.3
2025-11-11,794.0,794.5,762.4,769.0,-1.28,418689,323236596.5
2025-11-10,792.5,792.5,766.0,779.0,0.26,228008,177257837.1
2025-11-09,807.8,807.8,775.1,777.0,-1.89,277297,216941339.7
2025-11-06,811.9,813.0,790.0,792.0,-0.5,384633,307691121.3
2025-11-05,785.4,802.0,766.0,796.0,3.38,402698,315729832.0
2025-11-04,790.5,800.0,766.1,770.0,-0.65,287357,224665962.2
2025-11-03,769.0,780.0,751.1,775.0,2.64,321965,246199384.0
2025-11-02,782.0,787.0,755.1,755.1,-1.55,317605,245049738.9
