date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,726.0,738.9,720.0,725.1,-1.99,2636,1919409.4
2026-02-11,758.8,758.8,732.0,739.8,-0.56,1555,1149201.2
2026-02-10,732.1,760.0,732.1,744.0,-0.4,3818,2830528.5
2026-02-09,748.5,778.0,734.0,747.0,-2.19,3941,2919499.5
2026-02-08,757.6,780.0,750.0,763.7,-1.2,6215,4707701.1
2026-02-05,750.7,780.0,735.7,773.0,0.91,7089,5373654.4
2026-02-04,783.1,783.1,737.2,766.0,-4.13,19082,14197202.1
2026-02-03,746.7,799.0,732.1,799.0,4.87,7873,5929209.9
2026-02-02,741.9,765.0,730.1,761.9,0.65,5187,3884612.0
2026-02-01,851.7,851.7,751.5,757.0,-9.34,33610,25599306.7
2026-01-29,761.5,837.0,750.1,835.0,7.46,6626,5148308.2
2026-01-28,754.6,777.0,744.8,777.0,0.92,3897,2969110.6
2026-01-27,807.8,807.8,760.0,769.9,-2.79,5642,4328393.8
2026-01-26,786.0,833.0,770.0,792.0,-1.23,11839,9288888.7
2026-01-25,784.0,830.0,753.1,801.9,0.36,7435,5895123.3
2026-01-22,718.4,806.0,718.4,799.0,9.0,13718,10425076.4
2026-01-21,718.0,735.0,718.0,733.0,0.41,3191,2311689.8
2026-01-20,718.0,739.0,717.2,730.0,0.0,2229,1623876.8
2026-01-18,710.0,730.0,710.0,730.0,1.12,1943,1399089.1
2026-01-14,718.0,725.0,713.0,721.9,0.42,2400,1726760.0
2026-01-13,697.3,720.0,697.3,718.9,1.27,2021,1427982.9
2026-01-12,693.0,720.0,693.0,709.9,0.55,1062,743872.0
2026-01-08,700.0,707.0,695.2,706.0,-0.42,719,503618.3
2026-01-07,705.1,722.9,702.4,709.0,-0.84,1484,1053095.4
2026-01-06,689.0,729.0,689.0,715.0,1.71,2829,2013929.8
2026-01-05,686.3,709.8,686.3,703.0,0.43,3268,2304236.5
2026-01-04,695.0,700.0,686.0,700.0,-1.27,2393,1659715.2
2026-01-01,705.2,716.0,690.0,709.0,-1.25,3648,2546013.5
2025-12-31,716.0,728.9,706.0,718.0,0.28,453,323764.0
2025-12-29,705.3,717.9,705.3,716.0,-0.42,90,63749.0
2025-12-28,712.0,719.0,703.0,719.0,0.84,2948,2081028.6
2025-12-24,703.0,713.0,695.0,713.0,0.14,2311,1617233.9
2025-12-23,696.0,712.0,696.0,712.0,0.42,2291,1621659.0
2025-12-22,709.1,721.9,699.7,709.0,-0.69,919,654305.9
2025-12-21,710.0,713.9,709.0,713.9,-0.01,1511,1072725.9
2025-12-18,711.0,720.0,709.0,714.0,-0.42,1935,1376593.0
2025-12-17,713.0,729.0,710.0,717.0,0.14,3524,2517782.5
2025-12-16,710.1,722.0,710.0,716.0,-0.56,1091,784306.0
2025-12-15,717.0,720.0,705.0,720.0,0.29,581,413442.2
2025-12-14,715.4,732.0,709.0,717.9,-1.64,4925,3525346.2
2025-12-11,747.0,747.0,723.5,729.9,-0.55,704,511329.0
2025-12-10,701.2,742.5,701.2,733.9,2.63,5226,3816551.9
2025-12-09,738.6,738.6,710.0,715.1,-1.26,2430,1737243.3
