date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,286.1,299.0,283.0,289.0,2.45,175238,51451799.2
2026-02-11,287.9,293.4,280.0,282.1,-0.35,70432,19912850.5
2026-02-10,280.3,294.0,280.3,283.1,-1.01,71730,20679836.2
2026-02-09,297.0,299.0,285.0,286.0,-3.05,119507,34687614.3
2026-02-08,283.0,303.0,283.0,295.0,2.43,251514,75063826.9
2026-02-05,275.3,296.3,275.3,288.0,2.86,159070,46094245.2
2026-02-04,280.0,285.5,276.0,280.0,-1.03,59277,16509758.7
2026-02-03,281.2,291.3,274.5,282.9,-1.39,171914,48174148.2
2026-02-02,297.0,304.9,286.0,286.9,-4.05,151517,44125919.4
2026-02-01,300.0,306.0,295.0,299.0,-1.32,120622,36018093.4
2026-01-29,300.0,317.9,300.0,303.0,1.68,384423,118416040.2
2026-01-28,291.1,306.9,291.1,298.0,0.34,266864,79828684.9
2026-01-27,294.0,311.0,290.5,297.0,1.4,293931,88849526.9
2026-01-26,295.0,299.5,287.1,292.9,0.97,301107,88073469.5
2026-01-25,289.0,299.0,287.5,290.1,2.04,311327,91397300.8
2026-01-22,281.2,288.6,278.5,284.3,0.11,154794,43814079.2
2026-01-21,290.0,292.0,281.1,284.0,-1.39,174260,49848862.7
2026-01-20,272.0,293.7,268.0,288.0,7.87,432319,122975393.8
2026-01-18,255.9,272.3,255.9,267.0,3.49,142897,37985370.6
2026-01-14,261.9,266.0,255.0,258.0,0.08,75397,19675794.7
2026-01-13,244.0,263.0,241.3,257.8,5.66,175304,44699867.3
2026-01-12,245.3,246.5,242.6,244.0,-1.17,26552,6485337.8
2026-01-08,243.7,247.0,243.7,246.9,-0.04,23894,5871698.5
2026-01-07,245.8,250.0,244.0,247.0,-1.2,27603,6808599.4
2026-01-06,246.2,253.0,246.2,250.0,0.4,47631,11882145.3
2026-01-05,239.0,249.2,238.1,249.0,2.98,41488,10189060.2
2026-01-04,240.3,247.8,239.0,241.8,-0.49,40400,9732641.9
2026-01-01,247.0,249.0,242.8,243.0,-1.66,36846,9044313.4
2025-12-31,243.1,254.0,243.1,247.1,0.45,32180,8028073.4
2025-12-29,250.0,252.1,245.5,246.0,-1.6,19327,4794427.8
2025-12-28,247.7,251.9,244.0,250.0,2.92,38734,9607575.5
2025-12-24,247.7,247.7,240.1,242.9,-0.04,30350,7333949.5
2025-12-23,240.0,244.0,240.0,243.0,0.08,25027,6036167.2
2025-12-22,241.0,244.0,241.0,242.8,-0.49,29863,7247338.3
2025-12-21,250.0,250.0,242.0,244.0,-2.4,32279,7895664.0
2025-12-18,250.0,255.5,249.0,250.0,-1.15,33299,8359053.2
2025-12-17,249.1,257.0,249.1,252.9,0.6,40534,10273579.6
2025-12-16,245.5,252.7,245.5,251.4,1.74,29376,7368208.8
2025-12-15,250.0,250.8,245.3,247.1,-0.36,29000,7185348.5
2025-12-14,250.1,255.0,246.1,248.0,-1.98,32526,8092106.5
2025-12-11,255.0,255.0,250.0,253.0,1.2,33823,8503100.2
2025-12-10,260.1,260.1,250.0,250.0,-1.96,31831,8058715.0
2025-12-09,251.0,261.1,251.0,255.0,-0.39,38024,9767946.8
2025-12-08,250.9,259.0,250.9,256.0,0.0,36132,9242171.6
2025-12-07,267.0,267.8,255.1,256.0,-2.55,41264,10655677.3
2025-12-03,275.0,275.0,262.7,262.7,-2.67,48328,12839371.3
2025-12-02,261.0,270.0,261.0,269.9,2.43,44723,11912046.9
2025-12-01,259.5,268.0,258.2,263.5,-0.45,57764,15289510.4
2025-11-30,279.0,279.0,260.0,264.7,-3.32,105286,28115648.2
2025-11-27,278.0,281.1,271.6,273.8,-0.8,95573,26395183.8
2025-11-26,277.0,280.0,271.0,276.0,1.1,91932,25288807.9
2025-11-25,273.0,275.1,267.9,273.0,1.22,110648,30076756.3
2025-11-24,275.0,276.0,267.1,269.7,-2.07,117226,31775978.1
2025-11-23,274.1,278.0,265.1,275.4,2.46,145953,39875319.7
2025-11-20,251.0,271.0,250.0,268.8,5.62,215427,57124779.0
2025-11-19,260.0,261.2,250.9,254.5,-1.17,52879,13421305.0
2025-11-18,246.4,260.1,243.0,257.5,4.5,164286,41902528.2
2025-11-17,247.7,248.0,241.1,246.4,1.4,37412,9182782.7
2025-11-16,243.1,250.0,243.0,243.0,-2.02,35249,8658867.5
2025-11-13,240.1,250.0,240.1,248.0,1.22,59737,14645546.6
2025-11-12,245.0,251.0,242.1,245.0,-1.61,42319,10411981.7
2025-11-11,244.2,252.0,244.0,249.0,0.04,28066,6951007.2
2025-11-10,252.4,252.4,241.0,248.9,0.36,32013,7831992.0
2025-11-09,250.0,254.4,244.1,248.0,-2.63,31452,7764156.6
2025-11-06,255.0,273.0,250.1,254.7,0.28,88803,22780587.6
2025-11-05,248.1,256.9,242.0,254.0,2.42,48037,11888733.3
2025-11-04,253.2,261.0,247.0,248.0,-3.69,44340,11134492.8
2025-11-03,264.0,269.0,253.1,257.5,-2.46,53881,13874624.5
2025-11-02,255.0,267.9,246.1,264.0,5.6,115414,30012067.4
2025-10-30,241.0,252.7,236.3,250.0,3.73,63533,15693188.0
2025-10-29,241.0,250.0,238.0,241.0,-1.23,33483,8105838.4
2025-10-28,226.0,248.8,225.2,244.0,5.86,32295,7733240.7
2025-10-26,221.5,234.0,217.2,230.5,1.99,18295,4069602.4
2025-10-19,231.5,232.0,222.5,226.0,-0.44,8689,1973910.7
2025-10-16,227.5,232.1,227.0,227.0,-2.16,17172,3922640.8
2025-10-15,237.9,237.9,226.1,232.0,-0.56,13811,3164859.8
2025-10-14,232.0,241.4,230.3,233.3,-1.44,12381,2900229.3
2025-10-13,231.0,236.7,228.0,236.7,1.59,39755,9213918.2
2025-10-12,241.0,242.8,233.0,233.0,-4.9,34970,8260627.6
2025-10-09,243.0,261.0,241.0,245.0,2.51,44729,11063630.9
2025-10-08,254.5,254.5,237.6,239.0,-4.25,61133,14702174.4
2025-10-07,257.0,258.0,245.8,249.6,-4.7,65139,16334929.1
2025-09-28,270.0,270.7,258.2,261.9,-1.32,70954,18503980.8
2025-09-25,273.3,273.3,263.0,265.4,-0.97,37436,9962909.0
2025-09-24,275.4,279.9,260.9,268.0,-4.63,72345,19371623.2
2025-09-23,272.0,286.0,262.2,281.0,5.25,37131,10007920.2
2025-09-21,250.0,270.0,241.0,266.99,6.8,45354,11719512.1
2025-09-18,254.0,256.0,250.0,250.0,-2.13,3638,917915.2
2025-09-08,267.7,267.7,253.2,255.45,-2.8,22434,5790249.2
2025-09-07,268.0,268.0,261.7,262.82,-0.02,9138,2409261.4
2025-09-04,273.8,273.8,262.0,262.86,-2.47,36152,9585222.9
2025-09-03,270.5,278.0,268.7,269.51,-2.34,33910,9216493.5
2025-09-02,291.0,291.0,274.7,275.98,-3.41,42390,11803302.3
2025-09-01,297.0,297.9,285.0,285.73,-2.51,24319,6978023.7
2025-08-31,295.1,298.9,292.0,293.08,-1.74,25080,7389989.8
2025-08-28,300.4,306.0,297.9,298.26,-1.86,33645,10141671.7
2025-08-27,300.0,304.9,297.3,303.9,1.57,27448,8273907.5
2025-08-26,300.0,301.0,297.0,299.2,-0.55,14981,4480630.7
2025-08-25,295.0,302.9,295.0,300.86,0.4,28827,8621957.4
2025-08-24,300.0,306.0,298.1,299.66,-1.16,30123,9049855.1
2025-08-21,312.0,312.0,302.1,303.17,-1.47,38268,11652087.0
2025-08-20,305.2,314.5,305.2,307.69,-0.4,20104,6207832.3
2025-08-19,317.0,317.0,308.2,308.93,-0.75,20679,6431430.5
2025-08-18,304.0,313.0,304.0,311.27,2.14,25816,8005307.4
2025-08-17,310.0,311.0,303.4,304.74,-0.36,37455,11443561.8
2025-08-14,310.0,314.0,305.0,305.85,-0.9,23752,7284950.9
2025-08-13,316.0,316.0,308.0,308.62,-0.89,48324,15030093.5
2025-08-12,311.0,316.0,310.4,311.4,-1.32,20031,6256657.8
2025-08-11,325.0,325.0,314.9,315.57,-1.01,32673,10379947.9
2025-08-07,316.0,328.0,305.1,318.78,2.29,73694,23215129.8
2025-08-06,320.0,320.0,310.4,311.63,-1.45,50953,16022687.6
2025-08-05,328.5,328.5,315.6,316.23,-1.82,51548,16481136.6
2025-08-04,332.0,338.0,315.0,322.1,-1.26,101630,32531727.9
2025-08-03,329.1,334.8,322.8,326.21,-0.96,76704,25072863.8
2025-07-31,344.5,347.7,327.4,329.38,-3.4,134862,44911001.0
2025-07-30,365.5,365.5,340.1,340.96,-4.89,178156,61343849.0
2025-07-29,364.0,365.0,352.1,358.5,0.41,71340,25574352.9
2025-07-28,346.7,362.0,341.4,357.05,5.03,296715,103872614.4
2025-07-27,351.0,383.5,336.0,339.94,-4.99,1283460,444990961.5
2025-07-24,355.0,365.0,348.0,357.8,2.5,80072,28644854.6
2025-07-23,350.0,350.4,345.0,349.09,0.18,53252,18528159.3
2025-07-22,342.0,364.0,338.9,348.48,1.84,43333,15068860.6
2025-07-21,333.1,346.0,333.1,342.2,0.7,58395,20050972.1
2025-07-20,347.0,349.0,334.2,339.82,-2.0,79136,27022726.2
2025-07-17,350.9,350.9,340.0,346.74,0.63,55699,19301842.2
2025-07-16,349.0,355.0,337.0,344.58,-1.44,43894,15160501.9
2025-07-15,331.0,361.0,326.4,349.62,5.86,44293,15246371.9
2025-07-14,338.0,344.7,320.5,330.26,-0.35,46907,15402580.1
2025-07-13,364.8,365.5,322.0,331.41,-7.34,127777,43235595.6
2025-07-10,375.0,380.0,350.6,357.68,-6.47,133897,48389627.0
2025-07-09,393.0,397.8,376.0,382.41,-2.44,49399,18929277.4
2025-07-08,395.6,416.0,365.0,391.97,1.05,58354,22456408.5
2025-07-07,439.6,448.3,387.9,387.9,-10.0,137468,55980810.6
2025-07-06,400.0,433.5,399.8,431.0,5.7,151538,64108946.0
2025-07-03,411.1,415.1,385.1,407.77,-0.8,94871,37745630.5
2025-07-02,395.6,415.0,395.6,411.06,5.98,108439,44223965.5
2025-07-01,365.2,393.9,353.0,387.86,8.31,111691,42300263.5
2025-06-30,330.0,358.1,330.0,358.1,9.97,135359,47335970.8
2025-06-29,320.0,332.0,320.0,325.62,0.8,25020,8179448.5
2025-06-26,324.0,329.0,320.1,323.05,1.55,25473,8259015.6
2025-06-25,315.0,333.0,310.0,318.11,1.96,14908,4711991.7
2025-06-24,322.0,322.7,310.0,312.01,-1.38,14827,4641776.5
2025-06-23,318.0,318.0,308.0,316.39,1.25,5820,1826333.7
2025-06-22,321.3,334.2,309.0,312.47,-4.67,30483,9685215.4
2025-06-19,338.0,340.0,325.4,327.77,-3.22,24902,8273657.4
2025-06-18,339.0,347.0,333.0,338.67,-2.06,12668,4286181.6
2025-06-17,351.0,351.0,335.0,345.8,0.11,23240,7949817.7
2025-06-16,348.0,367.0,344.1,345.42,-0.82,62244,22103273.2
2025-06-15,331.0,356.0,319.0,348.28,7.27,33428,11253093.3
2025-06-12,333.0,333.9,322.7,324.69,-0.92,24797,8119536.3
2025-06-11,336.0,336.0,325.3,327.7,-2.28,13595,4485613.7
2025-06-10,342.0,342.0,335.0,335.36,-0.09,16931,5728284.3
2025-06-09,331.0,340.0,331.0,335.67,1.34,31024,10444830.6
2025-06-08,330.1,334.0,326.0,331.24,-0.53,17935,5940775.7
2025-06-05,318.0,343.3,318.0,333.0,2.81,38541,12807427.3
2025-06-04,317.2,333.4,317.2,323.9,0.88,9422,3064730.5
2025-06-03,325.0,331.0,318.1,321.06,-1.36,11497,3714580.3
2025-06-02,335.0,336.0,325.0,325.49,-1.34,19538,6390937.9
2025-05-28,335.0,335.5,325.0,329.91,-0.07,16604,5494778.9
2025-05-27,328.0,339.0,323.0,330.13,-0.14,16426,5430962.5
2025-05-26,336.9,341.0,329.1,330.58,0.08,61911,20680957.8
2025-05-25,336.5,340.0,328.0,330.3,-2.57,17005,5654368.5
2025-05-22,351.0,351.0,338.0,339.0,-2.03,42624,14549630.6
2025-05-21,363.9,392.0,345.2,346.04,-3.02,90518,32238195.7
2025-05-20,330.9,356.8,330.9,356.8,9.97,15154,5406304.0
2025-05-19,545.0,565.0,545.0,548.87,2.57,157093,86558808.1
2025-05-18,546.7,556.0,532.0,535.11,-2.13,28634,15506200.6
2025-05-15,536.0,552.0,535.0,546.74,-0.02,33220,18152285.2
2025-05-14,550.0,569.0,545.3,546.84,-2.21,28533,15823516.9
2025-05-13,574.0,586.0,552.0,559.2,-3.99,60776,34395963.1
2025-05-11,571.7,601.0,571.7,582.45,3.91,133246,78444520.9
2025-05-08,530.0,575.0,530.0,560.55,3.66,78160,44204710.8
2025-05-07,508.0,544.9,507.0,540.76,6.75,30668,16348202.2
2025-05-06,500.0,510.0,500.0,506.58,1.01,9019,4577393.6
2025-05-05,503.0,512.9,500.0,501.5,-0.42,25821,12999857.8
2025-05-04,520.0,520.0,503.0,503.64,-3.47,9568,4859611.5
2025-04-30,512.0,524.0,510.1,521.75,1.75,27524,14297969.9
2025-04-29,521.0,521.0,511.5,512.8,-1.58,8574,4403597.5
2025-04-28,521.0,532.0,520.1,521.03,0.13,13057,6887278.9
2025-04-27,517.5,525.0,510.0,520.34,2.55,25116,12890982.4
2025-04-24,529.6,529.6,505.0,507.39,-2.32,17461,8978354.7
2025-04-23,520.0,530.4,513.0,519.44,-0.34,3380,1748442.0
2025-04-22,530.0,535.0,520.1,521.23,-1.53,10323,5412295.3
2025-04-21,521.2,535.0,521.2,529.34,1.45,15883,8364749.3
2025-04-20,538.0,538.0,520.0,521.76,-1.31,8093,4224756.5
2025-04-17,536.0,545.0,526.0,528.7,-0.31,14923,7975415.3
2025-04-16,530.0,537.0,520.0,530.34,0.66,15449,8124076.7
2025-04-15,513.0,540.6,513.0,526.86,2.11,11288,5965415.0
2025-04-13,518.0,530.0,515.0,515.99,-1.89,11614,6007972.5
2025-04-10,519.0,539.1,519.0,525.91,-0.51,19793,10398139.1
2025-04-09,512.1,548.5,512.1,528.62,1.41,15594,8262811.0
2025-04-08,528.0,530.0,511.2,521.26,-1.22,4976,2568866.4
2025-04-07,531.1,536.0,521.0,527.7,-1.58,9028,4725913.4
2025-04-03,536.0,557.6,532.0,536.16,-1.86,11487,6214863.8
2025-04-02,533.0,559.9,533.0,546.31,0.63,12337,6780319.5
2025-04-01,540.0,581.0,540.0,542.91,-1.36,8891,4843724.5
2025-03-30,527.0,570.0,527.0,550.41,2.49,31174,17231071.6
2025-03-27,515.0,555.0,515.0,537.05,2.27,28645,15304213.8
2025-03-26,500.0,535.0,500.0,525.14,4.97,9191,4790156.4
2025-03-25,520.0,530.0,499.1,500.27,-5.71,25483,12842157.1
2025-03-24,525.0,540.0,515.1,530.56,0.12,13508,7166921.1
2025-03-23,547.2,558.9,523.1,529.91,-5.08,14429,7751478.6
2025-03-20,562.0,568.8,550.0,558.25,-2.57,15419,8608997.5
2025-03-19,575.0,586.0,563.0,573.0,-2.22,6743,3833250.1
2025-03-18,640.0,640.0,571.5,586.0,-7.72,35286,20412569.5
2025-03-17,589.0,635.0,561.6,635.0,9.86,42005,24256049.6
2025-03-16,586.0,609.0,570.0,578.0,-1.37,12087,6984661.5
2025-03-12,595.0,595.0,576.0,586.0,-0.51,12498,7336158.0
2025-03-11,628.0,628.0,588.0,589.0,-4.68,33614,20021142.4
2025-03-10,620.0,682.0,613.5,617.9,-1.92,30921,19337653.2
2025-03-09,685.1,685.1,629.1,630.0,-9.87,56581,35871589.8
2025-03-06,643.0,699.0,623.3,699.0,9.91,39393,25557048.8
2025-03-05,635.0,645.0,635.0,636.0,-0.63,31994,20375674.0
2025-03-04,640.0,665.0,640.0,640.0,-1.54,40341,25890220.4
2025-03-03,640.0,700.0,640.0,650.0,0.15,41672,27143466.6
2025-03-02,645.0,659.0,645.0,649.0,-0.46,41536,27034984.7
2025-02-27,650.0,660.0,650.0,652.0,-0.9,21232,13879813.0
2025-02-25,691.0,691.0,639.0,657.9,-6.68,37923,24939161.5
2025-02-24,635.0,708.0,632.0,705.0,9.47,115542,74635355.8
2025-02-23,642.0,662.0,642.0,644.0,-1.68,25758,16710882.2
2025-02-20,661.0,663.5,650.0,655.0,-0.91,40015,26266729.6
2025-02-18,660.0,673.0,660.0,661.0,-1.27,40844,27029913.6
2025-02-17,674.3,681.0,665.0,669.5,-0.8,40241,27010692.4
2025-02-16,670.0,690.0,670.0,674.9,-0.9,47572,32122591.9
2025-02-13,693.0,699.0,681.0,681.0,-1.73,33899,23259173.3
2025-02-12,670.0,700.7,670.0,693.0,2.06,40830,28265820.1
2025-02-11,665.0,691.0,665.0,679.0,0.52,57938,39386079.3
2025-02-10,681.0,688.0,666.0,675.5,1.12,56661,38467369.4
2025-02-09,663.0,680.0,663.0,668.0,-0.67,105886,70569321.0
2025-02-06,671.0,683.0,659.0,672.5,0.22,37013,24941121.1
2025-02-05,633.5,685.0,633.5,671.0,4.03,91534,60594874.5
2025-02-04,662.0,669.0,637.1,645.0,-3.73,34688,22561710.1
2025-02-03,663.0,695.0,659.0,670.0,-0.45,31086,20857267.7
2025-02-02,641.0,674.9,641.0,673.0,3.09,66318,43808670.0
2025-01-28,623.0,657.0,620.4,652.8,3.13,63681,40470062.8
2025-01-27,624.0,637.9,613.0,633.0,0.0,36452,22937804.0
2025-01-26,604.0,640.0,604.0,633.0,2.98,58402,36294726.8
2025-01-23,634.4,634.4,600.0,614.7,-1.17,37284,22721550.3
2025-01-22,613.0,628.0,610.0,622.0,0.0,43143,26695374.6
2025-01-21,621.0,645.0,612.6,622.0,-1.27,34098,21226755.4
2025-01-20,620.0,638.0,620.0,630.0,0.0,28894,18260158.2
2025-01-19,626.0,632.0,622.0,630.0,0.64,48831,30591380.6
2025-01-16,620.0,648.5,620.0,626.0,-0.63,37380,23527716.5
2025-01-15,606.0,639.4,601.1,630.0,3.96,42905,26876278.7
2025-01-13,601.0,627.0,601.0,606.0,-0.64,48337,29283797.3
2025-01-12,599.5,623.0,599.5,609.9,1.65,30139,18290145.5
2025-01-09,600.0,609.0,595.0,600.0,-1.93,37537,22578674.2
2025-01-08,602.0,614.0,594.0,611.8,-0.03,42081,25353635.9
2025-01-07,587.0,621.0,586.0,612.0,2.51,58759,35103592.3
2025-01-06,595.0,609.9,588.0,597.0,0.34,48555,28846786.9
2025-01-05,555.0,595.0,554.0,595.0,7.23,86003,49821153.0
2025-01-02,539.9,561.8,533.3,554.9,4.3,56183,30930245.2
2025-01-01,517.0,542.2,517.0,532.0,2.39,28505,15159166.2
2024-12-31,521.1,524.0,507.0,519.6,-0.29,83964,43260892.5
2024-12-29,557.0,557.0,520.0,521.1,-4.72,70007,37158815.0
2024-12-26,522.0,559.9,522.0,546.9,2.8,86371,47086116.9
2024-12-24,495.0,549.9,495.0,532.0,5.39,106943,56508239.7
2024-12-23,478.1,504.9,478.1,504.8,3.66,20665,10287489.7
2024-12-22,475.0,492.0,471.2,487.0,2.1,44427,21427919.9
2024-12-19,493.1,499.5,473.4,477.0,-4.6,33341,16185420.8
2024-12-18,491.3,507.0,491.3,500.0,0.0,19212,9599431.1
2024-12-17,493.0,502.9,490.0,500.0,0.2,12525,6200486.0
2024-12-16,511.1,512.0,492.1,499.0,-4.02,29778,14887230.0
2024-12-12,531.0,534.4,515.0,519.9,-0.78,51632,27040127.9
2024-12-11,497.0,527.0,486.7,524.0,7.16,42888,21856799.0
2024-12-10,490.0,495.0,485.1,489.0,0.0,20402,9955261.8
2024-12-09,497.0,506.0,489.0,489.0,-2.2,32714,16193476.9
2024-12-08,501.2,508.0,496.0,500.0,-2.15,38822,19530492.4
2024-12-05,500.0,522.0,488.1,511.0,1.79,54007,27238415.6
2024-12-04,510.0,520.2,502.0,502.0,-0.79,55830,28671675.5
2024-12-03,493.0,512.0,490.0,506.0,4.33,68043,34330706.7
2024-12-02,465.0,492.0,462.8,485.0,4.8,107746,51918169.7
2024-12-01,458.0,469.0,450.0,462.8,-0.86,22685,10464105.0
2024-11-28,470.0,482.0,463.4,466.8,-1.5,17018,7942954.7
2024-11-27,481.4,484.5,465.4,473.9,0.4,33976,16144025.5
2024-11-26,455.0,474.0,451.1,472.0,5.15,28001,12979780.1
2024-11-25,450.0,453.0,442.0,448.9,0.22,11815,5284410.5
2024-11-24,450.0,468.1,440.0,447.9,-0.24,8017,3575207.2
2024-11-21,462.0,470.0,444.1,449.0,-0.88,18480,8375753.4
2024-11-20,449.0,461.0,448.1,453.0,-0.88,22704,10305485.0
2024-11-19,471.1,471.1,453.3,457.0,-4.79,36922,17038242.0
2024-11-17,479.0,491.0,471.0,480.0,0.21,55136,26570220.5
2024-11-14,462.3,489.0,458.3,479.0,3.61,89121,42218770.2
2024-11-13,450.0,464.2,445.0,462.3,3.03,63503,28997798.5
2024-11-12,447.1,455.0,438.6,448.7,-1.58,18014,8035230.8
2024-11-11,467.9,471.7,440.0,455.9,-1.32,78578,35822566.2
2024-11-10,445.0,467.0,440.1,462.0,4.52,54284,24795563.1
2024-11-06,415.0,443.0,411.0,442.0,7.8,78600,33734095.0
2024-11-05,412.9,413.9,406.4,410.0,0.76,40251,16483418.0
2024-10-30,403.2,413.0,400.0,406.9,-0.97,10635,4299195.0
2024-10-29,397.0,413.0,397.0,410.9,1.46,8322,3397505.3
2024-10-28,391.0,414.0,391.0,405.0,1.76,9274,3731782.7
2024-10-27,396.0,405.0,376.0,398.0,1.69,7020,2768393.6
2024-10-24,381.1,391.5,378.0,391.4,0.88,7665,2975956.3
2024-10-23,395.7,403.6,380.3,388.0,0.0,3086,1198454.1
2024-10-22,384.2,392.0,383.0,388.0,-1.02,6530,2524630.3
2024-10-21,385.2,399.4,378.0,392.0,-0.25,7723,2987054.5
2024-10-20,403.0,411.0,387.0,393.0,-4.38,15260,6071243.4
