date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,340.0,342.0,320.0,322.9,-3.47,1271708,419792598.6
2026-02-11,310.0,335.5,301.0,334.5,9.67,2030944,654766572.7
2026-02-10,320.0,332.0,304.0,305.0,-3.57,1229636,388623785.2
2026-02-09,295.6,318.8,284.29,316.3,9.11,2517995,771918685.8
2026-02-08,268.8,289.9,268.8,289.9,9.98,1658725,477492501.2
2026-02-05,237.0,263.6,237.0,263.6,9.97,894684,231470572.9
2026-02-04,236.0,245.0,236.0,239.7,0.29,85266,20320886.2
2026-02-03,240.1,246.9,236.1,239.0,-2.05,128138,30630400.0
2026-02-02,245.0,249.0,241.2,244.0,-1.01,91794,22446481.8
2026-02-01,246.5,254.9,243.1,246.5,0.0,171897,42524642.1
2026-01-29,241.0,255.0,240.0,246.5,3.14,416129,103827720.8
2026-01-28,234.0,240.1,232.0,239.0,0.84,117415,27817143.7
2026-01-27,245.9,246.9,234.1,237.0,-2.87,215388,51931026.6
2026-01-26,245.0,246.0,239.0,244.0,-0.41,200443,48588126.2
2026-01-25,237.0,248.0,237.0,245.0,3.16,242110,59207435.5
2026-01-22,232.0,239.7,232.0,237.5,0.85,102852,24316472.2
2026-01-21,236.0,240.0,230.3,235.5,0.73,146437,34478805.5
2026-01-20,227.0,241.7,226.1,233.8,4.19,227803,53094677.5
2026-01-18,220.8,224.5,219.2,224.4,1.63,111924,24892396.6
2026-01-14,221.0,221.4,219.0,220.8,0.32,69129,15203872.8
2026-01-13,221.0,222.0,219.0,220.1,-0.41,36972,8146667.5
2026-01-12,220.5,222.0,219.0,221.0,0.23,31135,6863508.1
2026-01-08,220.0,223.0,219.0,220.5,0.18,39774,8794738.7
2026-01-07,220.0,223.0,220.0,220.1,-1.3,23896,5264563.3
2026-01-06,219.2,224.9,219.2,223.0,1.78,48148,10697489.9
2026-01-05,218.5,221.7,218.0,219.1,0.27,82683,18135454.3
2026-01-04,221.0,221.0,218.5,218.5,-1.53,49856,10951389.7
2026-01-01,222.0,225.0,221.0,221.9,-0.94,40422,8980144.5
2025-12-31,224.0,227.0,222.2,224.0,0.0,37964,8549659.7
2025-12-29,225.0,226.3,220.7,224.0,0.27,34072,7641470.4
2025-12-28,221.0,224.1,219.6,223.4,1.78,51428,11461478.3
2025-12-24,216.4,221.0,216.2,219.5,0.05,42320,9263778.2
2025-12-23,217.5,219.8,216.0,219.4,0.23,41815,9091278.5
2025-12-22,221.0,221.0,218.3,218.9,-0.95,23811,5212782.9
2025-12-21,220.0,222.9,220.0,221.0,-0.18,44139,9719976.5
2025-12-18,224.0,224.0,220.3,221.4,-0.76,57506,12733282.7
2025-12-17,223.0,225.5,221.5,223.1,-0.76,30023,6719936.0
2025-12-16,220.5,224.8,220.5,224.8,1.26,22759,5087940.5
2025-12-15,222.9,223.0,220.0,222.0,0.5,33444,7408634.4
2025-12-14,222.0,224.0,219.1,220.9,-0.36,51429,11325811.8
2025-12-11,223.0,224.8,221.6,221.7,-0.58,36778,8180210.4
2025-12-10,222.2,224.0,221.5,223.0,0.0,51533,11461177.4
2025-12-09,222.1,226.0,221.2,223.0,-0.22,33233,7444003.7
2025-12-08,223.5,225.0,222.0,223.5,0.0,45661,10197510.1
2025-12-07,229.3,229.3,223.0,223.5,-0.62,51935,11644170.5
2025-12-03,226.1,227.0,223.0,224.9,-0.04,45899,10313454.5
2025-12-02,226.0,228.4,225.0,225.0,0.45,49102,11113881.9
2025-12-01,229.0,229.0,222.5,224.0,-1.1,75808,17123168.4
2025-11-30,234.0,234.9,226.0,226.5,-2.24,100304,23036097.7
2025-11-27,235.0,236.0,230.1,231.7,-0.13,114618,26578077.1
2025-11-26,235.0,237.0,231.4,232.0,-1.28,57659,13435581.9
2025-11-25,236.0,236.0,231.0,235.0,-1.26,86019,20054334.7
2025-11-24,237.0,238.0,235.0,238.0,1.54,78285,18540312.1
2025-11-23,232.0,237.1,232.0,234.4,1.3,118961,27947256.7
2025-11-20,222.2,233.0,222.2,231.4,2.39,145082,33203861.1
2025-11-19,230.0,231.0,224.1,226.0,-1.05,53336,12036795.0
2025-11-18,230.0,230.0,226.0,228.4,0.71,48210,10991943.4
2025-11-17,225.0,228.0,224.8,226.8,0.8,45831,10336590.7
2025-11-16,231.0,232.0,224.1,225.0,-1.27,43201,9756456.1
2025-11-13,221.9,227.9,220.0,227.9,3.12,60366,13492282.5
2025-11-12,222.2,224.9,221.0,221.0,-0.9,34406,7659274.6
2025-11-11,221.5,226.0,221.3,223.0,0.13,39547,8860226.8
2025-11-10,225.9,225.9,221.2,222.7,-0.58,30995,6900414.0
2025-11-09,224.0,228.9,223.3,224.0,-0.44,25493,5730514.5
2025-11-06,232.0,232.0,225.0,225.0,-1.4,49617,11292871.1
2025-11-05,227.0,232.0,225.0,228.2,0.31,37247,8464874.8
2025-11-04,238.0,238.0,227.0,227.5,-3.6,92213,21186147.4
2025-11-03,240.0,240.6,233.2,236.0,-0.21,68950,16251491.1
2025-11-02,228.1,239.1,228.0,236.5,2.03,99424,23384884.8
2025-10-30,226.5,232.0,223.0,231.8,2.34,56320,12957899.5
2025-10-29,233.0,235.4,221.0,226.5,-2.37,93097,21298694.3
2025-10-28,223.0,232.0,222.0,232.0,5.12,62799,14343100.8
2025-10-26,214.3,221.0,214.0,220.7,1.24,16877,3692563.7
2025-10-19,217.1,224.2,216.0,218.0,0.41,37763,8232005.0
