date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,445.0,472.0,445.0,461.1,3.15,57324,26268189.0
2026-02-11,459.2,465.0,441.0,447.0,-0.71,22443,9998518.0
2026-02-10,468.0,468.0,447.0,450.2,-1.92,20768,9381260.0
2026-02-09,473.0,473.0,452.0,459.0,-1.08,23252,10690844.8
2026-02-08,467.0,478.3,459.6,464.0,1.31,64074,30143816.9
2026-02-05,459.0,465.0,450.0,458.0,-0.07,26614,12170410.5
2026-02-04,459.0,465.0,450.2,458.3,1.35,30319,13848103.1
2026-02-03,468.0,468.0,451.0,452.2,-1.7,25924,11851406.5
2026-02-02,473.0,474.0,456.0,460.0,-1.08,18188,8414847.7
2026-02-01,464.9,490.0,460.2,465.0,0.02,30206,14182501.8
2026-01-29,471.0,484.5,460.0,464.9,-2.56,48980,23010319.7
2026-01-28,465.0,485.5,462.0,477.1,2.16,64337,30315568.4
2026-01-27,490.0,496.0,463.8,467.0,-4.17,66053,31450835.0
2026-01-26,507.0,507.0,478.0,487.3,-2.03,110082,53403299.3
2026-01-25,461.2,497.4,461.2,497.4,10.0,161415,79409937.8
2026-01-22,454.0,461.0,442.0,452.2,0.98,47651,21522846.8
2026-01-21,450.0,461.0,440.0,447.8,-0.99,61242,27608221.1
2026-01-20,453.0,464.0,449.0,452.3,1.32,68203,31077406.0
2026-01-18,425.7,452.0,425.7,446.4,3.93,60268,26771005.5
2026-01-14,418.2,438.0,418.2,429.5,1.06,32770,14095098.0
2026-01-13,425.0,425.0,418.0,425.0,0.4,11414,4786112.6
2026-01-12,430.0,430.0,420.1,423.3,-0.87,9491,4023727.8
2026-01-08,426.0,428.0,420.5,427.0,-0.47,12190,5164531.5
2026-01-07,438.6,438.6,426.0,429.0,-0.23,24130,10424467.0
2026-01-06,422.0,433.0,422.0,430.0,3.29,42235,18117646.7
2026-01-05,417.4,417.4,410.5,416.3,0.73,10689,4431873.2
2026-01-04,417.9,418.0,411.0,413.3,-0.89,7013,2893056.8
2026-01-01,428.0,428.0,415.0,417.0,-1.63,7316,3046663.4
2025-12-31,425.0,430.4,419.0,423.9,0.45,17935,7630755.3
2025-12-29,428.0,428.0,417.1,422.0,0.48,7295,3082699.2
2025-12-28,413.0,420.0,408.1,420.0,3.12,20112,8344373.5
2025-12-24,417.9,417.9,406.0,407.3,-1.31,12069,4928899.3
2025-12-23,412.0,415.0,408.0,412.7,0.41,8420,3449990.0
2025-12-22,414.0,414.0,409.1,411.0,-0.94,7942,3265410.4
2025-12-21,419.0,419.0,411.6,414.9,-0.5,12293,5083829.6
2025-12-18,428.0,428.0,416.0,417.0,-1.42,24729,10370936.7
2025-12-17,418.3,431.0,418.0,423.0,1.2,30426,12907094.0
2025-12-16,424.0,424.0,416.0,418.0,0.0,20940,8772527.9
2025-12-15,410.5,425.0,410.5,418.0,0.22,20898,8728598.0
2025-12-14,425.0,432.0,416.6,417.1,-2.43,17950,7563078.9
2025-12-11,432.0,432.0,421.4,427.5,-0.12,9789,4159897.3
2025-12-10,443.0,443.0,428.0,428.0,-2.28,6854,2958577.9
2025-12-09,440.0,444.8,430.0,438.0,0.0,12733,5527793.4
2025-12-08,430.3,447.0,430.3,438.0,-0.23,12221,5358196.9
2025-12-07,448.9,450.0,435.0,439.0,-0.45,18877,8365794.7
2025-12-03,435.0,450.0,435.0,441.0,2.08,52854,23553316.5
2025-12-02,435.0,438.0,427.5,432.0,1.17,7226,3123565.0
2025-12-01,428.0,434.9,424.0,427.0,0.71,9314,4012564.0
2025-11-30,438.0,439.0,423.5,424.0,-2.3,17162,7375024.5
2025-11-27,439.0,439.0,427.0,434.0,-1.36,11386,4916955.7
2025-11-26,451.0,451.0,437.0,440.0,-1.12,8117,3567505.2
2025-11-25,447.0,450.0,441.0,445.0,0.68,17048,7589659.9
2025-11-24,436.9,442.0,433.0,442.0,2.55,7329,3200955.2
2025-11-23,427.9,435.0,423.2,431.0,2.13,5608,2408680.4
2025-11-20,430.0,433.2,419.0,422.0,-0.66,13255,5624673.7
2025-11-19,433.0,433.0,420.0,424.8,-0.59,7159,3030194.6
2025-11-18,431.0,438.9,425.2,427.3,0.07,9825,4249733.4
2025-11-17,420.0,430.0,416.6,427.0,0.45,7112,3027359.8
2025-11-16,434.9,434.9,421.0,425.1,-0.79,4979,2119575.8
2025-11-13,426.0,429.9,424.0,428.5,0.35,7418,3165218.7
2025-11-12,435.0,435.0,425.0,427.0,-1.13,11883,5069467.2
2025-11-11,439.0,439.0,427.3,431.9,-0.71,7850,3378086.5
2025-11-10,435.0,438.7,428.0,435.0,-0.68,13885,5989241.0
2025-11-09,446.0,446.2,436.0,438.0,-3.65,27575,12094842.3
2025-11-06,457.0,470.0,454.0,454.6,0.8,48435,22409777.1
2025-11-05,443.7,452.0,425.1,451.0,3.68,24197,10593853.2
2025-11-04,433.0,452.0,430.1,435.0,-1.43,22586,9983171.6
2025-11-03,451.0,461.0,439.0,441.3,-2.32,19759,8867298.0
2025-11-02,427.0,451.9,425.0,451.8,6.83,34877,15383556.9
2025-10-30,424.0,426.0,408.0,422.9,0.69,19693,8197751.2
2025-10-29,426.0,434.9,415.1,420.0,-0.24,9730,4115516.5
2025-10-28,408.0,425.3,406.0,421.0,3.95,9413,3930829.0
2025-10-26,398.6,405.0,398.0,405.0,-0.42,11404,4554389.9
2025-10-19,418.3,418.3,406.7,406.7,-0.83,5188,2124333.7
2025-10-16,423.9,423.9,400.0,410.1,-1.37,6066,2455183.8
2025-10-15,408.0,424.2,408.0,415.8,-0.05,6625,2761500.7
2025-10-14,428.0,428.0,413.6,416.0,-1.42,7127,2970823.8
2025-10-13,418.0,429.9,402.0,422.0,0.96,10878,4540929.9
2025-10-12,438.0,442.9,414.1,418.0,-4.57,20667,8699713.4
2025-10-09,437.0,450.0,430.0,438.0,2.22,9497,4161676.2
2025-10-08,450.0,450.0,417.5,428.5,-3.49,21747,9262105.1
2025-10-07,445.0,447.9,437.0,444.0,-0.89,9240,4078513.2
2025-09-28,453.0,453.0,447.0,448.0,0.0,3814,1711502.0
2025-09-25,445.2,452.0,445.2,448.0,-0.44,7695,3465437.1
2025-09-24,450.0,455.0,449.0,450.0,-1.53,9385,4245633.0
2025-09-23,453.0,465.0,450.3,457.0,1.01,18081,8287574.8
2025-09-21,425.4,455.0,420.0,452.41,4.24,25564,11302322.9
2025-09-18,445.0,445.0,434.0,434.0,-2.6,295,128781.0
2025-09-08,456.9,456.9,439.1,445.6,-1.05,18095,8032654.7
2025-09-07,452.5,467.0,449.8,450.32,-0.42,12746,5765627.1
2025-09-04,463.9,464.0,438.9,452.23,-1.74,14794,6700085.7
2025-09-03,467.9,467.9,460.1,460.23,-0.2,10713,4943966.5
2025-09-02,474.0,474.0,461.0,461.14,-1.18,13650,6308889.9
2025-09-01,468.0,469.0,459.7,466.64,0.39,7055,3284843.1
2025-08-31,479.0,479.0,463.0,464.85,-1.63,21556,10032450.6
2025-08-28,491.8,491.8,472.0,472.56,-2.61,20367,9751488.4
2025-08-27,480.8,489.0,472.0,485.2,2.91,17222,8294429.9
2025-08-26,475.0,475.0,468.0,471.47,0.29,3748,1764006.6
2025-08-25,465.0,471.3,465.0,470.11,0.01,12779,5990999.5
2025-08-24,476.24,485.7,468.0,470.04,-1.3,12403,5886107.9
2025-08-21,479.75,481.1,475.0,476.24,-0.73,9522,4548173.5
2025-08-20,480.0,485.0,479.0,479.75,-0.47,13824,6649992.1
2025-08-19,492.1,492.1,481.0,482.0,-0.18,15404,7466476.4
2025-08-18,491.0,491.0,481.0,482.86,0.31,17337,8385274.7
2025-08-17,490.0,493.0,480.0,481.38,-0.45,11861,5736283.2
2025-08-14,494.0,498.0,481.0,483.56,-0.18,14626,7074910.1
2025-08-13,495.0,495.0,482.0,484.42,-0.2,18815,9170897.9
2025-08-12,494.0,500.0,484.1,485.38,-1.69,15580,7618333.8
2025-08-11,513.0,513.0,493.0,493.72,-1.98,23862,11882508.1
2025-08-07,506.4,516.5,492.0,503.71,1.46,15141,7651495.3
2025-08-06,511.2,511.2,495.0,496.48,-0.94,33685,16888487.6
2025-08-05,515.0,522.0,497.0,501.19,-2.48,34349,17406934.2
2025-08-04,525.0,525.0,504.0,513.92,-0.23,34070,17392549.8
2025-08-03,525.0,535.0,513.5,515.11,-1.85,37980,19760704.3
2025-07-31,515.0,548.0,515.0,524.83,0.03,53086,28139826.5
2025-07-30,552.0,552.0,522.1,524.65,-3.36,45505,24187356.8
2025-07-29,549.0,558.0,538.0,542.9,0.61,73009,39959417.5
2025-07-28,520.0,540.6,511.0,539.61,4.02,78793,41491661.0
2025-07-27,540.0,541.0,515.0,518.75,-2.3,81429,43049808.7
2025-07-24,548.0,548.0,529.0,530.98,-1.29,49371,26380990.8
2025-07-23,525.0,549.0,517.0,537.92,4.07,119873,63575717.0
2025-07-22,497.0,519.0,497.0,516.88,2.9,47391,24276498.2
2025-07-21,509.9,510.0,500.0,502.29,-0.5,45187,22715406.9
2025-07-20,514.0,520.0,503.0,504.83,-1.59,66692,34218846.2
2025-07-17,510.0,522.0,504.0,513.01,1.73,54812,28214092.4
2025-07-16,512.0,514.8,504.0,504.27,-0.31,26423,13483985.4
2025-07-15,495.0,510.0,493.0,505.86,2.58,41117,20728646.8
2025-07-14,492.0,498.0,488.0,493.12,-0.97,24259,11933641.3
2025-07-13,504.1,524.3,495.1,497.97,0.75,27831,14022511.7
2025-07-10,499.0,507.0,492.2,494.25,0.53,40530,20200341.1
2025-07-09,500.0,500.0,490.0,491.66,-1.42,19060,9415741.7
2025-07-08,492.9,507.0,483.1,498.76,2.4,25584,12671316.0
2025-07-07,500.0,505.1,485.1,487.07,-3.59,32512,16000879.1
2025-07-06,500.0,525.0,489.0,505.23,2.27,86572,44068630.8
2025-07-03,478.0,499.0,474.0,494.02,4.93,62761,30774453.4
2025-07-02,466.0,477.9,464.2,470.8,2.49,28862,13582195.8
2025-07-01,465.0,465.0,458.0,459.36,0.01,14280,6563629.1
2025-06-30,469.9,469.9,456.3,459.31,-0.66,3546,1633238.3
2025-06-29,457.4,465.0,453.0,462.36,0.91,11272,5143015.0
2025-06-26,461.1,465.0,457.0,458.17,-0.55,13662,6288905.9
2025-06-25,461.1,467.8,460.0,460.69,-0.57,5817,2695951.8
2025-06-24,476.0,476.0,461.3,463.32,-1.14,8091,3783047.1
2025-06-23,470.1,472.5,460.0,468.66,1.17,18468,8599008.9
2025-06-22,460.1,469.3,460.1,463.25,-0.87,14999,6993012.4
2025-06-19,481.0,481.0,466.7,467.32,-1.01,23730,11109703.5
2025-06-18,480.0,480.0,471.3,472.1,-0.91,11305,5356641.7
2025-06-17,485.0,485.0,474.5,476.42,-0.3,9675,4620280.2
2025-06-16,486.0,486.0,475.0,477.83,-0.08,10578,5057112.1
2025-06-15,491.0,493.0,476.0,478.19,-1.48,23045,11114896.7
2025-06-12,487.9,500.0,475.0,485.38,0.4,31048,15144140.1
2025-06-11,505.0,505.0,482.0,483.47,-3.01,24332,11939079.3
2025-06-10,473.0,501.5,468.0,498.45,6.67,39259,19092169.8
2025-06-09,472.0,472.0,463.0,467.28,0.82,14961,6989805.3
2025-06-08,472.0,475.3,462.0,463.47,-0.88,13046,6074205.2
2025-06-05,479.9,479.9,465.5,467.59,-0.89,14500,6808418.7
2025-06-04,475.0,484.5,468.5,471.8,-1.31,20461,9688051.1
2025-06-03,489.6,489.6,478.0,478.05,-0.9,7997,3837480.1
2025-06-02,488.9,497.9,481.5,482.4,0.62,14025,6794879.9
2025-05-28,483.0,483.0,473.5,479.41,0.64,10981,5262442.0
2025-05-27,480.0,488.0,475.0,476.35,-1.45,16018,7671070.7
2025-05-26,496.0,514.0,482.0,483.34,-0.82,17319,8513109.2
2025-05-25,496.5,496.5,482.0,487.32,-0.36,7850,3827649.9
2025-05-22,497.0,500.0,485.0,489.09,-0.59,22515,11043827.4
2025-05-21,501.3,530.0,490.0,491.99,0.1,35747,17936006.8
2025-05-20,484.9,495.0,476.1,491.52,2.65,25013,12102431.7
2025-05-19,485.0,493.0,477.0,478.85,0.69,15053,7274830.7
2025-05-18,480.2,489.0,475.0,475.57,-0.98,17667,8452188.9
2025-05-15,495.0,495.0,478.0,480.27,-1.46,18009,8651344.1
2025-05-14,490.0,505.0,486.0,487.39,-0.21,12892,6370119.4
2025-05-13,498.1,505.0,483.0,488.43,-2.04,16535,8103487.8
2025-05-11,516.0,517.0,497.0,498.58,-3.64,19349,9721809.3
2025-05-08,503.0,533.5,487.1,517.39,3.75,48076,24667214.8
2025-05-07,469.0,500.0,469.0,498.7,6.15,30416,14721655.7
2025-05-06,481.0,488.0,469.0,469.8,-2.48,29141,13750017.2
2025-05-05,481.0,490.0,477.2,481.74,-0.08,13568,6541755.2
2025-05-04,500.0,500.0,480.2,482.12,-2.21,33703,16343072.2
2025-04-30,489.8,506.0,489.8,493.0,-1.35,23805,11732323.8
2025-04-29,494.3,521.0,494.3,499.77,-0.91,17470,8748423.0
2025-04-28,500.0,525.0,500.0,504.34,1.32,16878,8547917.8
2025-04-27,513.0,513.0,497.0,497.75,-1.62,36684,18421945.6
2025-04-24,510.0,515.0,501.0,505.94,-0.31,35453,17945436.5
2025-04-23,506.2,517.0,505.3,507.53,0.11,26669,13594308.2
2025-04-22,517.0,521.9,503.8,506.99,-1.46,26682,13596155.8
2025-04-21,525.0,525.0,514.0,514.49,-0.64,16226,8374183.3
2025-04-20,523.0,526.0,516.7,517.78,-1.48,16556,8607066.8
2025-04-17,515.0,538.0,510.5,525.56,0.92,28806,15237686.3
2025-04-16,534.9,538.0,520.1,520.76,-1.54,25769,13514771.6
2025-04-15,510.0,535.0,505.3,528.92,2.8,30454,16089734.4
2025-04-13,521.0,524.9,513.0,514.51,-2.29,33664,17411953.4
2025-04-10,530.0,536.0,525.1,526.58,-0.81,17491,9223230.2
2025-04-09,539.0,540.0,525.0,530.9,-0.45,17492,9314289.7
2025-04-08,535.0,536.0,514.1,533.32,1.41,32784,17122843.1
2025-04-07,543.0,547.9,525.0,525.89,-3.85,25891,13777141.6
2025-04-03,564.9,570.0,543.0,546.97,-1.93,33086,18331215.0
2025-04-02,542.0,576.0,532.1,557.71,4.58,58554,32431751.5
2025-04-01,545.9,546.8,527.5,533.28,-2.49,27044,14443142.8
2025-03-30,528.1,555.0,525.0,546.89,2.02,50076,27344768.9
2025-03-27,533.0,540.0,515.0,536.08,2.02,39791,21090706.3
2025-03-26,499.3,530.0,499.3,525.46,3.14,20880,10907635.9
2025-03-25,541.1,541.1,505.0,509.47,-3.97,40515,20852955.7
2025-03-24,505.0,538.0,503.0,530.54,4.73,48561,25585404.5
2025-03-23,513.4,520.0,505.2,506.56,-3.07,26569,13601861.6
2025-03-20,530.0,532.0,521.0,522.61,-1.39,25240,13240165.6
2025-03-19,544.9,544.9,527.5,530.0,-1.67,21883,11695231.2
2025-03-18,543.0,545.0,535.0,539.0,0.75,14116,7601563.8
2025-03-17,532.0,550.0,530.0,535.0,0.19,42939,23069783.2
2025-03-16,560.0,563.0,528.1,534.0,-3.26,51533,27792158.5
2025-03-12,560.0,566.0,552.0,552.0,-0.76,32308,18039271.4
2025-03-11,577.0,581.0,555.0,556.2,-2.42,45687,25854708.6
2025-03-10,575.9,585.0,565.2,570.0,0.88,44039,25233151.1
2025-03-09,594.3,594.3,564.0,565.0,-3.09,61982,35570143.4
2025-03-06,577.0,590.0,577.0,583.0,-0.34,46667,27160844.7
2025-03-05,610.0,610.0,580.0,585.0,-2.34,59522,34912653.9
2025-03-04,625.7,625.7,595.0,599.0,-2.36,73745,44400084.5
2025-03-03,641.1,641.1,605.8,613.5,-2.46,101603,62926798.8
2025-03-02,603.0,629.0,603.0,629.0,5.89,146340,89791009.0
2025-02-27,600.0,620.0,590.2,594.0,-1.0,164609,99689314.9
2025-02-25,641.5,641.5,595.0,600.0,-4.61,138894,86293850.1
2025-02-24,659.9,670.0,625.3,629.0,-4.68,175550,113038394.4
2025-02-23,642.0,683.0,607.6,659.9,0.75,229429,150247179.0
2025-02-20,688.0,688.0,653.0,655.0,-2.95,115949,76918417.3
2025-02-18,679.3,703.8,654.0,674.9,1.34,253041,170926112.4
2025-02-17,634.3,682.9,634.3,666.0,7.09,368206,242663282.9
2025-02-16,586.0,639.9,582.9,621.9,6.67,254488,155419804.6
2025-02-13,539.0,596.0,539.0,583.0,6.0,145582,84009334.7
2025-02-12,522.0,555.0,521.0,550.0,5.59,132347,71173374.7
2025-02-11,517.5,539.0,517.5,520.9,-1.34,37301,19529264.8
2025-02-10,526.2,541.0,524.0,528.0,-0.56,31877,16918061.7
2025-02-09,535.9,543.9,515.0,531.0,0.28,46411,24470895.1
2025-02-06,528.0,555.0,526.3,529.5,0.28,76887,41602817.3
2025-02-05,505.0,533.0,495.1,528.0,5.81,61866,32252860.3
2025-02-04,509.0,520.0,498.0,499.0,-2.16,31722,16021735.6
2025-02-03,526.0,527.0,501.0,510.0,-1.35,48009,24677922.5
2025-02-02,504.0,529.3,500.0,517.0,2.38,31586,16232025.7
2025-01-28,500.0,516.0,488.0,505.0,2.02,42100,21099486.5
2025-01-27,483.9,520.0,465.0,495.0,2.89,52877,26095219.1
2025-01-26,510.0,510.0,474.4,481.1,-6.56,112462,54535911.4
