date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.84,9.99,9.45,9.6,-0.52,22700,217349.0
2026-02-11,9.53,10.28,9.3,9.65,3.21,227200,2156722.24
2026-02-10,9.66,9.66,9.25,9.35,-1.37,15300,143054.0
2026-02-09,9.73,9.73,9.27,9.48,-0.63,11118,104796.52
2026-02-08,9.63,9.63,9.27,9.54,0.95,18200,171579.0
2026-02-05,9.59,9.59,9.22,9.45,0.43,96929,895949.9
2026-02-04,9.42,9.78,9.13,9.41,-1.98,178849,1662145.58
2026-02-03,9.61,9.75,9.4,9.6,1.8,23300,221023.0
2026-02-02,9.66,9.66,9.29,9.43,-0.53,8675,82400.0
2026-02-01,10.1,10.14,9.3,9.48,-5.2,6000,58715.0
2026-01-29,10.16,10.16,9.96,10.0,0.3,1600,16021.0
2026-01-28,10.03,10.03,9.78,9.97,1.22,3500,34300.0
2026-01-27,9.9,9.9,9.5,9.85,1.44,133300,1303728.0
2026-01-26,9.69,9.74,9.31,9.71,2.21,137500,1311691.45
2026-01-25,9.56,9.56,9.25,9.5,1.28,43326,409802.96
2026-01-22,9.22,9.39,9.2,9.38,-0.11,72078,664752.6
2026-01-21,9.43,9.43,9.25,9.39,1.51,24600,230648.2
2026-01-20,9.61,9.61,9.25,9.25,-1.91,22460,208898.0
2026-01-18,9.62,9.62,9.13,9.43,-0.11,5600,51946.0
2026-01-14,9.58,9.58,9.3,9.44,0.43,1804,16872.56
2026-01-13,9.45,9.45,9.15,9.4,0.86,3900,36041.0
2026-01-12,9.48,9.48,9.17,9.32,0.22,24416,225853.72
2026-01-08,9.45,9.45,9.09,9.3,0.11,3000,27498.0
2026-01-07,9.34,9.34,9.16,9.29,1.42,5800,53728.55
2026-01-06,9.33,9.33,9.15,9.16,0.11,123500,1140592.0
2026-01-05,9.28,9.28,9.1,9.15,0.44,5600,51042.0
2026-01-04,9.25,9.25,9.07,9.11,-1.3,6430,58547.0
2026-01-01,9.25,9.25,9.08,9.23,0.33,13530,124465.2
2025-12-31,9.25,9.25,9.07,9.2,0.0,23639,217002.8
2025-12-29,9.17,9.23,9.05,9.2,1.43,6812,62021.76
2025-12-28,9.23,9.23,8.9,9.07,0.22,15220,137687.0
2025-12-24,9.17,9.17,8.86,9.05,0.56,14170,127512.7
2025-12-23,8.95,9.0,8.91,9.0,-1.32,5700,51008.0
2025-12-22,9.16,9.16,8.84,9.12,1.45,8750,78250.5
2025-12-21,9.15,9.15,8.85,8.99,-1.21,34874,313718.0
2025-12-18,9.12,9.12,8.93,9.1,0.0,12590,114323.0
2025-12-17,9.1,9.1,8.9,9.1,1.79,2200,19870.6
2025-12-16,8.91,9.12,8.91,8.94,-1.43,10845,98229.0
2025-12-15,8.84,9.07,8.84,9.07,0.67,1400,12607.0
2025-12-14,8.8,9.01,8.8,9.01,0.67,12900,115266.0
2025-12-11,8.78,9.12,8.78,8.95,0.0,900,8123.0
2025-12-10,8.9,9.24,8.9,8.95,0.56,26200,238196.0
2025-12-09,8.85,9.02,8.85,8.9,0.56,1300,11685.0
2025-12-08,8.96,9.24,8.85,8.85,0.68,52510,470804.4
2025-12-07,9.28,9.28,8.79,8.79,-3.41,43577,391136.93
2025-12-03,9.35,9.35,9.1,9.1,-0.76,1400,12882.0
2025-12-02,9.15,9.18,8.92,9.17,2.12,18500,166091.0
2025-12-01,9.28,9.28,8.98,8.98,-2.5,4400,39776.0
2025-11-30,9.39,9.39,9.03,9.21,0.0,2500,22870.11
2025-11-27,9.03,9.21,8.85,9.21,2.11,1800,16129.0
2025-11-26,9.42,9.42,9.02,9.02,-2.38,12600,114573.0
2025-11-25,9.43,9.43,9.07,9.24,-0.11,790,7263.3
