date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,453.0,455.9,450.2,455.0,0.44,27426,12432290.6
2026-02-11,458.0,458.0,452.2,453.0,-0.37,28692,13025654.5
2026-02-10,456.5,460.1,454.7,454.7,-0.92,29031,13254400.6
2026-02-09,462.0,462.0,457.0,458.9,-0.91,26654,12212864.4
2026-02-08,467.0,470.4,462.3,463.1,-0.86,37168,17300179.5
2026-02-05,462.0,467.1,458.0,467.1,1.1,47561,21924592.9
2026-02-04,461.9,464.5,457.3,462.0,0.35,20753,9550702.2
2026-02-03,460.1,464.0,460.1,460.4,-0.3,13891,6401214.6
2026-02-02,462.0,465.0,460.2,461.8,0.11,32505,15020600.3
2026-02-01,473.0,473.0,460.8,461.3,-1.01,44230,20427836.9
2026-01-29,469.5,470.0,464.2,466.0,-0.75,47967,22366344.8
2026-01-28,463.1,471.0,463.1,469.5,-0.11,23002,10759690.3
2026-01-27,481.0,481.0,469.0,470.0,-2.29,68256,32324501.8
2026-01-26,485.0,485.0,475.1,481.0,-0.41,52313,25051788.2
2026-01-25,475.0,485.1,465.6,483.0,1.68,42615,20450022.6
2026-01-22,474.0,477.0,472.0,475.0,-0.21,33963,16128769.1
2026-01-21,482.8,482.8,474.5,476.0,-0.17,40538,19291179.8
2026-01-20,466.0,477.8,466.0,476.8,2.32,85579,40716721.1
2026-01-18,463.0,469.0,462.3,466.0,0.52,57801,26901369.9
2026-01-14,463.7,466.0,462.0,463.6,-0.02,28405,13175634.5
2026-01-13,464.0,470.0,462.5,463.7,-0.06,46595,21648161.7
2026-01-12,460.2,467.5,460.2,464.0,-0.64,28756,13344694.8
2026-01-08,451.9,467.8,451.9,467.0,1.28,50532,23395827.8
2026-01-07,475.3,475.3,460.0,461.1,-1.05,41260,19080787.4
2026-01-06,465.0,470.0,462.4,466.0,0.13,28158,13130017.5
2026-01-05,466.5,466.5,457.2,465.4,-2.23,66915,30938073.9
2026-01-04,476.1,477.0,473.0,476.0,0.02,60619,28738665.1
2026-01-01,480.0,480.0,474.1,475.9,-0.02,42147,20030816.5
2025-12-31,481.7,481.7,472.2,476.0,0.78,37483,17841459.1
2025-12-29,484.9,484.9,472.1,472.3,-0.69,27673,13169702.4
2025-12-28,470.0,479.9,469.0,475.6,1.84,42943,20350406.7
2025-12-24,475.6,475.6,466.1,467.0,0.15,22752,10625811.6
2025-12-23,465.0,472.0,462.0,466.3,-0.26,31752,14818312.8
2025-12-22,471.0,475.0,467.0,467.5,-2.2,86615,40723466.6
2025-12-21,490.0,490.2,475.0,478.0,-2.85,92451,44413895.8
2025-12-18,498.9,500.0,490.0,492.0,-0.43,168885,83642329.9
2025-12-17,490.0,500.0,488.0,494.1,1.25,57322,28351815.3
2025-12-16,490.0,492.0,486.5,488.0,0.0,50292,24573210.1
2025-12-15,482.0,491.0,482.0,488.0,0.21,25401,12406270.4
2025-12-14,494.8,494.8,485.3,487.0,-0.81,46778,22824588.4
2025-12-11,486.3,495.9,486.3,491.0,0.22,45736,22507601.9
2025-12-10,490.0,495.3,488.0,489.9,0.31,60328,29608353.4
2025-12-09,488.0,493.7,482.0,488.4,0.31,62719,30709962.4
2025-12-08,483.4,491.0,480.2,486.9,0.83,71745,34874861.0
2025-12-07,485.0,493.0,480.0,482.9,-0.43,89255,43132493.9
2025-12-03,495.0,497.8,485.0,485.0,-1.92,96476,47403306.4
2025-12-02,486.1,504.0,486.1,494.5,-0.3,91492,45322653.8
2025-12-01,500.0,505.0,493.0,496.0,-0.84,132777,66133953.4
2025-11-30,513.8,516.0,500.2,500.2,-0.71,257339,130939266.1
2025-11-27,489.3,509.0,489.3,503.8,1.29,263563,132026673.6
2025-11-26,504.0,504.0,492.0,497.4,0.08,211667,104942178.3
2025-11-25,512.0,512.0,492.0,497.0,-1.0,113054,56460056.5
2025-11-24,484.9,506.0,476.2,502.0,5.46,413500,203210040.9
2025-11-23,473.0,480.0,473.0,476.0,1.06,113163,53912209.0
2025-11-20,467.0,472.0,467.0,471.0,-0.84,30932,14566963.9
2025-11-19,484.0,484.0,470.5,475.0,0.0,55885,26561411.5
2025-11-18,474.0,479.0,472.5,475.0,0.25,76235,36241314.5
2025-11-17,473.0,480.0,468.1,473.8,0.23,62068,29365231.6
2025-11-16,460.6,475.0,460.6,472.7,1.22,103159,48613110.0
2025-11-13,460.0,471.0,457.0,467.0,1.52,41629,19399772.5
2025-11-12,462.0,471.2,459.8,460.0,-1.9,38547,17838308.4
2025-11-11,478.0,478.0,465.0,468.9,-0.28,34621,16189305.2
2025-11-10,472.1,474.0,467.0,470.2,-2.04,100836,47626126.8
2025-11-09,480.0,480.0,465.1,480.0,1.27,73333,34640640.9
2025-11-06,485.0,485.0,474.0,474.0,-0.84,32326,15467807.7
2025-11-05,482.0,482.0,470.6,478.0,-1.04,45091,21533842.8
2025-11-04,481.1,505.0,478.3,483.0,-1.0,79703,38648677.0
2025-11-03,488.0,493.0,481.2,487.9,-0.63,126777,61968732.3
2025-11-02,482.0,494.0,476.0,491.0,2.51,195150,94962868.8
2025-10-30,464.0,482.0,463.1,479.0,1.59,129704,61193746.8
2025-10-29,468.0,477.0,463.6,471.5,0.53,125750,59217392.1
2025-10-28,441.1,469.0,441.1,469.0,6.83,82353,37803044.6
2025-10-26,432.0,439.8,432.0,439.0,1.08,11807,5131268.0
2025-10-19,440.0,440.0,431.2,434.3,-0.39,8029,3497631.9
2025-10-16,434.1,441.0,434.1,436.0,-1.13,13100,5721013.6
2025-10-15,436.0,445.0,436.0,441.0,-0.68,13728,6037786.0
2025-10-14,442.0,449.8,442.0,444.0,-0.8,17573,7812171.1
2025-10-13,430.0,447.6,430.0,447.6,2.43,22100,9656953.4
2025-10-12,450.0,450.0,436.2,437.0,-3.53,31142,13759932.5
2025-10-09,450.0,474.0,448.8,453.0,0.94,27174,12384870.2
2025-10-08,451.0,452.0,440.1,448.8,-0.55,29176,12966252.6
2025-10-07,466.1,467.0,450.0,451.3,-4.39,36241,16506381.7
2025-09-28,471.0,477.9,463.2,472.0,2.19,61784,29116136.4
2025-09-25,460.0,464.9,456.0,461.9,-1.41,18500,8508226.5
2025-09-24,470.0,474.9,462.0,468.5,0.32,56386,26453923.0
2025-09-23,447.0,480.0,440.0,467.0,4.27,96077,45015093.2
2025-09-21,416.0,453.9,416.0,447.89,5.63,53038,23169007.6
2025-09-18,439.5,439.5,423.0,424.0,-5.45,2739,1179713.6
2025-09-08,451.0,459.0,447.0,448.43,-1.45,34612,15604694.9
2025-09-07,455.5,465.9,453.3,455.04,-1.31,26746,12230279.5
2025-09-04,460.2,469.4,458.7,461.1,-0.54,26402,12171094.5
2025-09-03,465.1,470.0,463.0,463.6,-0.63,17682,8224095.4
2025-09-02,472.66,474.0,466.0,466.56,-1.29,25274,11865289.1
2025-09-01,479.1,479.1,467.0,472.66,0.62,70711,33446127.9
2025-08-31,478.0,480.0,469.3,469.76,-2.12,41368,19521917.9
2025-08-28,491.0,495.0,478.5,479.95,-1.9,85710,41969158.9
2025-08-27,476.0,498.0,473.0,489.23,2.61,177939,86087162.4
2025-08-26,475.65,482.9,472.1,476.78,0.24,27492,13187817.1
2025-08-25,466.0,476.0,466.0,475.65,0.22,21228,10028343.1
2025-08-24,469.0,494.0,469.0,474.59,-0.56,104290,50620456.6
2025-08-21,475.0,484.5,475.0,477.27,0.26,37313,17891601.5
2025-08-20,485.0,488.0,475.5,476.02,-1.51,57854,27903183.9
2025-08-19,479.68,485.0,476.1,483.3,0.75,90215,43572401.1
2025-08-18,464.9,482.4,464.9,479.68,1.13,70925,33846938.3
2025-08-17,470.0,480.0,466.1,474.34,0.16,121451,57141896.6
2025-08-14,475.0,484.1,473.0,473.57,-0.46,16108,7652603.9
2025-08-13,475.0,490.0,475.0,475.75,-0.79,39713,19136555.3
2025-08-12,480.0,482.0,478.3,479.54,-1.11,13537,6492078.1
2025-08-11,485.1,504.3,481.1,484.94,0.02,117489,57678806.3
2025-08-07,472.0,498.0,472.0,484.84,1.59,56464,27466344.2
2025-08-06,485.0,485.0,476.0,477.25,-1.03,21983,10512253.9
2025-08-05,489.0,490.0,480.5,482.2,-1.47,24667,11951173.3
2025-08-04,485.0,490.0,481.2,489.39,0.81,31899,15479232.0
2025-08-03,492.3,497.5,484.0,485.45,-2.29,77607,37835375.6
2025-07-31,509.0,510.0,495.3,496.84,-1.64,99581,50043190.2
2025-07-30,522.0,522.0,504.0,505.14,-2.43,53155,27070910.2
2025-07-29,504.0,521.9,504.0,517.72,1.0,148900,77099117.9
2025-07-28,510.1,514.9,502.4,512.59,0.02,67664,34386766.7
2025-07-27,525.7,526.0,507.0,512.47,-0.59,186861,96927075.2
2025-07-24,510.0,520.9,509.0,515.49,1.09,189096,97412332.4
2025-07-23,520.0,520.0,493.0,509.94,-0.09,138802,69929038.7
2025-07-22,492.0,513.0,492.0,510.42,3.56,172965,87433302.2
2025-07-21,490.0,496.0,482.0,492.86,-0.19,56981,27986471.5
2025-07-20,501.9,510.0,488.0,493.82,0.35,149947,74931160.2
2025-07-17,475.0,494.0,475.0,492.08,3.23,133635,65476964.5
2025-07-16,472.0,480.0,471.1,476.68,1.02,83840,40065325.1
2025-07-15,468.0,474.0,461.3,471.85,0.84,19662,9223748.7
2025-07-14,473.0,473.0,466.0,467.92,-1.37,20220,9479935.7
2025-07-13,485.0,485.0,472.3,474.4,-0.43,58025,27624543.3
2025-07-10,465.2,480.0,465.2,476.45,0.75,27983,13289608.5
2025-07-09,478.0,478.0,470.5,472.92,0.05,30840,14595442.0
2025-07-08,465.0,476.3,465.0,472.7,0.29,25563,11992488.4
2025-07-07,480.0,480.0,468.0,471.33,-0.69,163996,77825234.4
2025-07-06,480.7,485.0,473.7,474.62,-1.06,97161,46556898.4
2025-07-03,464.9,480.0,455.7,479.7,4.4,203534,95893545.9
2025-07-02,455.0,462.7,446.0,459.5,2.38,41545,18973789.2
2025-07-01,447.9,450.0,440.0,448.83,2.06,16532,7365164.0
2025-06-30,436.0,444.5,436.0,439.76,0.55,15057,6632589.2
2025-06-29,431.0,439.0,430.0,437.35,1.61,20776,9025085.6
2025-06-26,431.1,435.9,430.0,430.42,-0.56,21505,9290372.4
2025-06-25,434.1,436.0,431.2,432.83,-0.28,10860,4702309.1
2025-06-24,433.1,440.0,433.0,434.06,-0.33,11544,5028946.1
2025-06-23,440.0,441.0,432.0,435.5,0.38,15422,6718002.1
2025-06-22,440.0,441.0,433.2,433.84,-1.95,30116,13113085.7
2025-06-19,443.0,450.0,441.0,442.48,-0.32,22663,10025891.5
2025-06-18,443.7,448.5,442.4,443.9,-0.1,12894,5721995.4
2025-06-17,447.0,448.0,441.2,444.36,0.04,17202,7640992.5
2025-06-16,444.45,447.0,440.5,444.18,-0.06,19820,8819456.7
2025-06-15,443.0,447.0,443.0,444.45,0.11,14184,6308587.7
2025-06-12,445.0,447.0,442.0,443.95,-0.88,20647,9176376.5
2025-06-11,454.9,454.9,446.1,447.88,-1.03,18780,8426103.3
2025-06-10,446.0,457.9,446.0,452.56,1.74,26927,12186117.5
2025-06-09,455.0,455.0,440.0,444.8,-1.74,50168,22316118.7
2025-06-08,514.5,514.5,505.5,506.99,-0.39,88911,45243686.4
2025-06-05,511.0,513.9,505.0,508.98,-0.37,37635,19142527.4
2025-06-04,520.0,520.0,501.4,510.89,-0.13,26180,13306489.2
2025-06-03,511.0,517.9,510.0,511.54,-0.36,38169,19548138.9
2025-06-02,519.3,519.8,512.1,513.37,0.67,55405,28597890.7
2025-05-28,508.0,513.9,506.1,509.95,0.25,24481,12455962.6
2025-05-27,522.6,522.6,507.1,508.7,-0.74,42156,21533111.9
2025-05-26,523.8,534.2,511.6,512.51,-0.21,52388,27062218.3
2025-05-25,527.1,527.1,512.0,513.61,-0.62,32153,16585626.9
2025-05-22,527.7,527.7,515.0,516.83,-0.1,49440,25649289.1
2025-05-21,525.0,545.0,515.9,517.36,0.51,102289,53636051.2
2025-05-20,506.0,518.0,497.0,514.74,3.52,46394,23585372.3
2025-05-19,500.0,503.0,496.1,497.23,0.22,21048,10506257.1
2025-05-18,496.1,505.9,493.4,496.13,-0.01,48662,24212012.3
2025-05-15,498.0,506.8,494.3,496.2,-0.52,68476,34087036.6
2025-05-14,505.0,509.9,498.0,498.81,-1.11,56922,28598143.8
2025-05-13,514.0,518.0,503.3,504.43,-0.93,75396,38218946.9
2025-05-11,510.9,516.9,506.6,509.14,-0.36,83109,42343171.1
2025-05-08,525.0,530.0,510.0,510.96,-2.19,174426,90050829.7
2025-05-07,524.2,527.5,515.1,522.38,1.63,190103,99125605.4
2025-05-06,509.9,524.7,505.3,514.01,1.89,101001,52130103.1
2025-05-05,523.5,534.3,496.0,504.46,-1.93,224490,113241160.4
2025-05-04,517.0,519.0,510.5,514.37,-0.13,64447,33212831.6
2025-04-30,514.0,520.0,513.2,515.02,0.02,52613,27123798.9
2025-04-29,518.0,523.9,514.0,514.93,-0.92,29381,15208886.0
2025-04-28,533.0,534.8,518.0,519.73,-0.76,90906,47860905.0
2025-04-27,520.0,535.0,516.0,523.69,1.0,112455,59580047.8
2025-04-24,516.0,523.0,514.0,518.52,-0.35,53032,27459961.8
2025-04-23,527.0,534.8,520.0,520.33,-1.34,43023,22466936.8
2025-04-22,530.0,540.0,526.0,527.41,-1.99,49396,26189719.7
2025-04-21,528.1,544.0,528.1,538.12,0.45,32847,17559580.5
2025-04-20,544.8,544.8,535.1,535.72,-2.03,32171,17411849.4
2025-04-17,547.5,561.0,540.1,546.8,1.38,81681,44581889.5
2025-04-16,523.0,548.0,523.0,539.35,1.82,58647,31487889.2
2025-04-15,525.1,538.0,525.1,529.72,-0.76,22102,11782540.5
2025-04-13,538.0,540.0,532.0,533.75,-0.86,11672,6229760.5
2025-04-10,540.0,545.0,534.1,538.4,0.76,38220,20543406.6
2025-04-09,528.0,539.0,528.0,534.33,1.1,78993,42251981.9
2025-04-08,538.0,538.0,524.0,528.53,-1.6,45108,23845555.4
2025-04-07,537.0,547.0,533.3,537.12,-1.23,45587,24639841.8
2025-04-03,550.0,554.5,543.0,543.79,-0.95,114506,62762469.7
2025-04-02,550.0,555.0,541.0,549.0,-0.17,51578,28415891.6
2025-04-01,553.0,554.9,540.0,549.91,-0.42,79154,43266872.4
2025-03-30,544.0,555.0,536.0,552.22,1.47,174878,95773793.8
2025-03-27,527.0,549.0,520.0,544.22,1.56,100760,54216930.5
2025-03-26,528.0,545.0,519.2,535.87,2.81,70480,37371007.1
2025-03-25,535.0,537.0,515.0,521.23,-2.91,74570,39297633.9
2025-03-24,521.2,545.0,521.0,536.84,0.95,85320,45276737.1
2025-03-23,541.1,548.7,531.5,531.77,-2.84,110510,59716845.1
2025-03-20,545.0,555.0,542.1,547.34,-0.48,69391,37817742.9
2025-03-19,565.0,566.0,549.0,550.0,-2.65,63467,35150543.9
2025-03-18,586.5,586.5,562.1,565.0,-1.74,87850,49776887.8
2025-03-17,583.0,583.0,566.5,575.0,0.0,129451,73943650.3
2025-03-16,577.0,577.0,566.3,575.0,0.88,141638,80563281.4
2025-03-12,552.0,570.0,552.0,570.0,3.26,101273,56727748.66
2025-03-11,572.0,572.0,550.0,552.0,-1.95,87554,49046337.1
2025-03-10,561.0,570.9,558.1,563.0,-0.02,107896,60599324.6
2025-03-09,574.9,581.0,560.2,563.1,-1.9,104344,59040868.1
2025-03-06,565.0,574.0,560.2,574.0,0.74,61586,34936522.0
2025-03-05,562.4,571.9,560.1,569.8,-0.04,118893,67246434.2
2025-03-04,585.0,590.0,568.0,570.0,-1.89,135852,78934100.9
2025-03-03,575.0,593.0,575.0,581.0,-0.33,194373,113799557.1
2025-03-02,567.0,590.0,567.0,582.9,2.8,186981,108524780.4
2025-02-27,554.0,576.0,554.0,567.0,2.35,124023,70307203.5
2025-02-25,566.0,566.0,553.1,554.0,-1.07,45631,25437621.85
2025-02-24,577.0,578.0,560.0,560.0,-2.61,94899,54042190.7
2025-02-23,561.6,576.0,556.0,575.0,0.35,174237,99530851.5
2025-02-20,556.2,575.0,556.0,573.0,1.06,159295,90399563.5
2025-02-18,575.0,577.0,562.0,567.0,-0.18,164742,93769778.4
2025-02-17,563.0,570.0,562.0,568.0,1.07,99661,56515145.4
2025-02-16,553.0,564.0,550.1,562.0,1.63,67471,37801712.6
2025-02-13,560.0,569.0,553.0,553.0,-1.6,65148,36425313.8
2025-02-12,562.0,573.2,552.0,562.0,1.65,105966,59579781.9
2025-02-11,556.9,556.9,550.1,552.9,0.71,90570,50045751.0
2025-02-10,545.0,554.0,544.0,549.0,-0.9,96850,52985140.1
2025-02-09,557.0,565.0,550.1,554.0,-0.54,108711,60498980.4
2025-02-06,574.9,574.9,555.0,557.0,-1.22,140028,78378075.7
2025-02-05,565.0,565.0,556.0,563.9,0.71,113932,63814648.9
2025-02-04,548.0,562.0,545.2,559.9,2.17,124843,69411044.2
2025-02-03,528.3,555.8,527.0,548.0,1.67,208551,114217115.74
2025-02-02,528.9,540.0,522.5,539.0,3.1,97068,51889679.5
2025-01-28,517.0,527.0,517.0,522.8,0.0,54502,28394229.5
