date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.74,9.99,9.74,9.78,-0.2,14250,141341.0
2026-02-11,9.8,10.0,9.76,9.8,0.0,23700,236365.27
2026-02-10,9.72,10.01,9.72,9.8,-1.11,83200,832349.0
2026-02-09,9.76,10.02,9.76,9.91,0.1,357150,3577074.5
2026-02-08,9.72,10.07,9.72,9.9,1.23,84190,836320.5
2026-02-05,9.7,10.17,9.7,9.78,-0.2,12300,120081.0
2026-02-04,9.75,9.99,9.75,9.8,0.51,10145,99699.5
2026-02-03,9.57,9.88,9.57,9.75,0.0,3009,29382.22
2026-02-02,9.59,9.97,9.59,9.75,-0.31,4300,41974.0
2026-02-01,9.7,9.94,9.68,9.78,-0.61,4500,43988.0
2026-01-29,9.79,10.01,9.79,9.84,-1.01,56050,552496.5
2026-01-28,9.65,9.94,9.65,9.94,1.02,5710,55670.4
2026-01-27,9.8,10.06,9.8,9.84,-1.6,98290,970096.2
2026-01-26,9.77,10.09,9.77,10.0,2.25,19550,195034.0
2026-01-25,9.61,9.8,9.61,9.78,-0.2,5750,56235.5
2026-01-22,9.56,10.0,9.37,9.8,0.51,17180,168221.0
2026-01-21,9.66,9.8,9.66,9.75,0.0,7450,72254.0
2026-01-20,9.66,9.79,9.66,9.75,0.83,13100,127280.0
2026-01-18,9.6,9.79,9.6,9.67,-1.23,15900,154022.4
2026-01-14,9.61,9.8,9.48,9.79,-0.1,8851,85229.06
2026-01-13,9.55,9.8,9.47,9.8,3.7,14400,139401.0
2026-01-12,9.4,9.55,9.4,9.45,0.75,9050,85922.0
2026-01-08,9.31,9.5,9.31,9.38,-1.26,3230,30420.0
2026-01-07,9.46,9.62,9.46,9.5,0.21,4950,47110.0
2026-01-06,9.35,9.55,9.35,9.48,0.0,5200,49381.0
2026-01-05,9.5,9.55,9.36,9.48,-0.42,34820,330896.4
2026-01-04,9.36,9.54,9.35,9.52,0.0,15600,147456.0
2026-01-01,9.5,9.53,9.32,9.52,-1.75,9750,92065.5
2025-12-31,9.31,9.69,9.25,9.69,2.0,195100,1846854.0
2025-12-29,9.3,9.5,9.17,9.5,3.71,11050,103812.5
2025-12-28,9.09,9.3,9.09,9.16,-1.08,6200,56895.5
2025-12-24,9.01,9.26,9.01,9.26,1.31,2150,19555.0
2025-12-23,9.07,9.18,9.07,9.14,-0.87,4500,41086.0
2025-12-22,9.23,9.25,9.22,9.22,-0.11,5860,54084.2
2025-12-21,9.05,9.32,9.05,9.23,0.22,7800,71930.0
2025-12-18,9.18,9.39,9.11,9.21,0.22,7700,71059.0
2025-12-17,9.1,9.36,9.1,9.19,0.11,5250,48286.0
2025-12-16,9.18,9.38,9.17,9.18,0.0,11230,103623.4
2025-12-15,9.11,9.31,9.11,9.18,-1.08,3550,32598.5
2025-12-14,9.0,9.28,8.9,9.28,1.75,5850,53358.5
2025-12-11,9.05,9.3,9.05,9.12,0.77,117260,1069495.3
2025-12-10,9.04,9.4,9.04,9.05,0.11,16450,151915.0
2025-12-09,9.1,9.1,9.03,9.04,-1.09,3500,31683.0
2025-12-08,8.8,9.18,8.8,9.14,2.24,16830,153800.4
2025-12-07,9.0,9.07,8.9,8.94,-2.51,3500,31439.0
2025-12-03,9.0,9.17,9.0,9.17,-0.11,12150,110890.0
2025-12-02,8.96,9.18,8.96,9.18,1.77,15900,144525.0
2025-12-01,8.94,9.02,8.94,9.02,-0.99,3900,35095.0
2025-11-30,8.83,9.18,8.83,9.11,1.22,15650,141077.5
2025-11-27,9.0,9.01,8.83,9.0,1.47,2100,18857.0
2025-11-26,8.75,9.1,8.75,8.87,-0.34,5300,47415.0
2025-11-25,8.81,9.04,8.81,8.9,-0.22,5700,51015.0
2025-11-24,8.92,9.1,8.76,8.92,-1.98,19700,176473.0
2025-11-23,9.0,9.1,8.93,9.1,1.11,6800,61413.4
2025-11-20,8.84,9.02,8.84,9.0,-0.22,4580,40763.6
2025-11-19,8.85,9.15,8.85,9.02,0.22,5041,45498.0
2025-11-18,8.8,9.02,8.8,9.0,1.35,23550,212103.5
2025-11-17,8.81,9.12,8.81,8.88,-1.0,4900,44120.0
2025-11-16,9.0,9.15,8.83,8.97,-0.33,4750,42332.0
2025-11-13,8.9,9.0,8.82,9.0,0.9,2850,25312.0
2025-11-12,9.01,9.03,8.83,8.92,-2.83,14300,127529.0
2025-11-11,8.9,9.18,8.73,9.18,3.15,36150,322518.5
2025-11-10,8.9,9.2,8.85,8.9,-0.45,2009,18060.6
2025-11-09,8.93,9.11,8.9,8.94,-1.87,12250,109391.5
2025-11-06,8.92,9.11,8.92,9.11,0.11,13700,124314.0
2025-11-05,8.85,9.1,8.85,9.1,1.11,500,4482.0
2025-11-04,9.0,9.0,8.85,9.0,-1.96,3100,27870.0
2025-11-03,8.87,9.22,8.87,9.18,1.55,28800,257062.0
2025-11-02,8.75,9.07,8.75,9.04,1.69,26300,237975.0
2025-10-30,8.79,9.03,8.79,8.89,-0.67,1200,10653.0
2025-10-29,8.82,9.0,8.8,8.95,-0.56,5820,51673.7
2025-10-28,9.0,9.1,8.86,9.0,1.69,2220,19857.0
2025-10-26,8.82,8.99,8.82,8.85,-1.67,1550,13771.5
2025-10-19,8.85,9.18,8.85,9.0,1.81,400,3603.0
2025-10-16,8.83,9.0,8.83,8.84,-1.78,1000,8902.0
2025-10-15,8.83,9.0,8.83,9.0,0.0,3320,29799.0
2025-10-14,8.85,9.0,8.85,9.0,-0.11,7200,64498.0
2025-10-13,8.84,9.18,8.84,9.01,0.11,13800,125570.0
2025-10-12,8.85,9.0,8.72,9.0,-0.33,4430,39221.8
2025-10-09,8.88,9.18,8.88,9.03,1.69,2800,25523.0
2025-10-08,9.1,9.1,8.8,8.88,-3.37,17100,152643.0
2025-10-07,9.16,9.19,9.0,9.19,-1.61,18300,164982.0
2025-09-28,8.99,9.34,8.94,9.34,3.2,10400,94879.0
2025-09-25,9.15,9.15,9.01,9.05,-2.58,1500,13590.0
2025-09-24,8.82,9.29,8.82,9.29,3.57,16330,148577.9
2025-09-23,8.77,9.02,8.77,8.97,0.34,4900,43693.0
2025-09-21,8.79,8.97,8.71,8.94,-0.22,1900,16734.0
2025-09-08,9.1,9.1,8.92,8.96,0.11,1100,9915.0
2025-09-07,8.8,9.0,8.63,8.95,-0.22,11900,106708.0
2025-09-04,9.02,9.2,8.97,8.97,-2.5,5900,53082.0
2025-09-03,9.08,9.3,9.08,9.2,-0.65,1400,12874.0
2025-09-02,8.86,9.48,8.86,9.26,2.77,6690,61436.9
2025-09-01,8.9,9.08,8.9,9.01,-0.66,4300,38845.0
2025-08-31,9.02,9.23,8.8,9.07,-1.41,8740,79983.0
2025-08-28,9.02,9.2,8.9,9.2,0.0,2800,25232.5
2025-08-27,9.12,9.44,8.95,9.2,-0.65,23020,213270.9
2025-08-26,9.36,9.36,9.18,9.26,0.87,1600,14776.0
2025-08-25,9.0,9.36,9.0,9.18,0.33,2900,26730.0
2025-08-24,9.11,9.29,9.0,9.15,0.44,5650,52152.5
2025-08-21,9.33,9.33,9.0,9.11,-4.21,17320,158054.3
2025-08-20,9.08,9.52,9.08,9.51,2.7,4550,42483.0
2025-08-19,9.22,9.44,9.22,9.26,-1.49,9890,92715.4
2025-08-18,9.25,9.43,9.12,9.4,-0.32,14600,136244.0
2025-08-17,9.15,9.57,9.15,9.43,1.07,7000,65388.2
2025-08-14,9.15,9.33,9.0,9.33,0.32,2730,24886.0
2025-08-13,9.35,9.4,9.22,9.3,-1.06,4110,38213.0
2025-08-12,9.2,9.53,9.2,9.4,0.75,7050,65691.0
2025-08-11,9.7,9.7,9.32,9.33,-5.18,9400,89514.0
2025-08-07,9.1,9.85,9.1,9.84,6.49,5200,48716.0
2025-08-06,9.31,9.53,9.15,9.24,-2.74,19600,182049.0
2025-08-05,9.56,9.6,9.4,9.5,-2.56,3500,33208.0
2025-08-04,9.5,9.75,9.25,9.75,1.77,17720,170440.0
2025-08-03,9.6,9.79,9.41,9.58,-2.15,13300,126744.0
2025-07-31,9.6,9.85,9.6,9.79,0.41,8900,86846.0
2025-07-30,9.99,9.99,9.41,9.75,-0.51,16693,161086.93
2025-07-29,9.76,9.81,9.57,9.8,-1.51,121100,1186607.8
2025-07-28,9.41,9.97,9.26,9.95,3.65,142107,1414049.38
2025-07-27,9.7,9.95,9.35,9.6,-2.93,920861,9060901.6
2025-07-24,9.4,9.89,9.23,9.89,4.32,13765,133425.71
2025-07-23,9.56,9.8,9.3,9.48,-2.77,27500,262160.5
2025-07-22,9.23,9.79,9.23,9.75,3.61,22100,212536.0
2025-07-21,9.5,9.58,9.4,9.41,-0.84,16280,153513.0
2025-07-20,9.3,9.69,9.3,9.49,1.39,317951,3018402.48
2025-07-17,9.74,9.74,9.2,9.36,-5.74,84199,797247.04
