date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,2054.0,2054.0,1950.0,1965.0,-2.43,16658,33000611.7
2026-02-11,2025.0,2100.0,1995.0,2014.0,-2.52,21960,44255230.2
2026-02-10,2093.0,2093.0,2010.1,2066.0,0.68,14697,29996394.8
2026-02-09,2119.0,2119.0,2011.0,2052.0,-1.35,34884,72014848.0
2026-02-08,2200.0,2200.0,2080.0,2080.0,-3.7,24335,51674344.6
2026-02-05,2120.0,2178.0,2083.0,2160.0,1.89,22769,48760041.4
2026-02-04,2150.0,2187.9,2090.1,2120.0,-1.4,22917,48574572.2
2026-02-03,2200.0,2230.0,2100.0,2150.0,-2.41,33154,71554141.8
2026-02-02,2085.0,2293.0,2077.0,2203.0,5.66,49340,107809518.9
2026-02-01,2172.6,2172.6,2070.0,2085.0,-2.11,37451,78369333.1
2026-01-29,2299.0,2299.0,2103.0,2130.0,-5.96,37182,82062707.2
2026-01-28,2300.0,2376.0,2230.0,2265.0,-1.52,64783,147495968.7
2026-01-27,2360.0,2400.0,2240.0,2300.0,-2.29,77794,181330696.9
2026-01-26,2349.9,2395.0,2286.0,2354.0,-0.25,77305,180652816.9
2026-01-25,2343.9,2439.0,2280.0,2360.0,2.7,76416,182604351.5
2026-01-22,2180.0,2299.9,2168.2,2298.0,4.93,62021,138897515.3
2026-01-21,2245.0,2268.9,2171.0,2190.0,-2.01,45786,101113463.0
2026-01-20,2249.6,2320.0,2191.5,2235.0,1.34,56353,127408151.6
2026-01-18,2039.0,2205.5,2020.0,2205.5,10.0,115153,246989458.4
2026-01-14,1960.0,2019.6,1960.0,2005.0,1.98,54968,109379702.2
2026-01-13,2010.0,2020.0,1960.0,1966.0,-1.75,75443,150017921.5
2026-01-12,1980.0,2047.0,1980.0,2001.0,1.06,92460,186314527.6
2026-01-08,1955.0,2038.8,1955.0,1980.0,0.56,75232,150347504.9
2026-01-07,1932.0,2009.0,1915.0,1969.0,1.92,79760,156867977.3
2026-01-06,2020.0,2060.0,1931.7,1932.0,-4.18,93360,184563766.2
2026-01-05,1833.0,2016.3,1833.0,2016.3,10.0,81032,156892528.1
2026-01-04,1666.0,1849.0,1666.0,1833.0,7.83,105590,189252275.8
2026-01-01,1650.5,1725.0,1650.5,1699.9,1.31,61283,104468595.2
2025-12-31,1680.0,1725.0,1676.6,1678.0,-0.05,31924,54196375.4
2025-12-29,1697.0,1700.0,1672.0,1678.9,-0.48,29857,50348098.2
2025-12-28,1690.0,1710.0,1670.0,1687.0,-0.18,28702,48606775.1
2025-12-24,1690.0,1744.2,1685.0,1690.1,-1.74,17378,29555653.7
2025-12-23,1654.0,1754.8,1653.4,1720.0,2.62,49483,85345522.0
2025-12-22,1666.0,1679.9,1652.1,1676.1,-0.24,33929,56490001.1
