date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.81,9.87,9.81,9.87,0.0,1150,11321.5
2026-02-11,9.75,10.04,9.75,9.87,1.23,43000,431251.0
2026-02-10,9.71,9.9,9.71,9.75,0.41,2800,27592.0
2026-02-09,9.7,9.8,9.7,9.71,-1.42,5500,53422.0
2026-02-08,9.85,9.85,9.75,9.85,0.0,1610,15807.5
2026-02-05,10.01,10.05,9.85,9.85,0.31,17100,170467.0
2026-02-04,9.65,9.84,9.65,9.82,0.0,39102,384497.68
2026-02-03,9.81,10.0,9.81,9.82,-1.8,1200,11812.0
2026-02-02,9.82,10.0,9.82,10.0,0.0,8600,85903.0
2026-02-01,10.29,10.29,9.76,10.0,-4.76,9400,93853.0
2026-01-29,10.49,11.31,10.49,10.5,2.04,63300,703847.0
2026-01-28,9.9,10.29,9.71,10.29,1.88,10600,107722.01
2026-01-27,9.53,10.1,9.53,10.1,3.91,3950,38880.0
2026-01-26,9.81,10.19,9.07,9.72,-2.8,37720,349928.4
2026-01-25,9.72,10.19,9.72,10.0,2.88,99709,1005319.18
2026-01-22,9.81,9.81,9.63,9.72,-2.8,4640,45336.4
2026-01-21,9.7,10.0,9.7,10.0,1.42,1650,16221.5
2026-01-20,9.82,10.01,9.63,9.86,-1.6,2050,20082.0
2026-01-18,9.65,10.02,9.63,10.02,1.93,5650,55737.5
2026-01-14,9.46,9.83,9.46,9.83,1.97,3600,35088.0
2026-01-13,9.65,9.65,9.64,9.64,-1.73,8900,85856.0
2026-01-12,9.57,9.93,9.57,9.81,0.51,1300,12786.0
2026-01-08,9.7,9.89,9.7,9.76,-0.71,4393,43057.41
2026-01-07,10.01,10.01,9.82,9.83,-0.2,8300,82986.0
2026-01-06,9.8,10.0,9.8,9.85,0.31,15000,148696.0
2026-01-05,9.71,10.02,9.71,9.82,-0.81,19722,196121.44
2026-01-04,9.97,10.02,9.8,9.9,-0.7,30899,308461.01
2026-01-01,9.98,9.98,9.82,9.97,1.63,12501,124592.98
2025-12-31,9.8,10.0,9.8,9.81,1.66,28600,285188.0
2025-12-29,9.65,9.7,9.65,9.65,-0.52,15100,146025.0
2025-12-28,9.5,9.73,9.5,9.7,1.68,8500,82542.0
2025-12-24,9.31,9.69,9.31,9.54,0.42,22900,221737.0
2025-12-23,9.48,9.7,9.48,9.5,-0.11,1400,13311.0
2025-12-22,9.52,9.52,9.51,9.51,-1.04,1400,13324.0
2025-12-21,9.55,9.8,9.55,9.61,0.0,67550,661466.5
2025-12-18,9.55,9.68,9.55,9.61,1.16,13000,125442.0
2025-12-17,9.33,9.68,9.33,9.5,-0.11,1800,17011.0
2025-12-16,9.41,9.59,9.41,9.51,1.06,12100,115899.0
2025-12-15,9.35,9.41,9.35,9.41,-0.42,1000,9396.0
2025-12-14,9.4,9.45,9.4,9.45,-0.63,1400,13217.0
2025-12-11,9.41,9.7,9.41,9.51,-0.94,1910,18236.0
2025-12-10,9.45,9.6,9.45,9.6,-0.31,13100,124595.0
2025-12-09,9.3,9.63,9.3,9.63,1.9,3000,28675.0
2025-12-08,9.58,9.58,9.43,9.45,0.53,28900,274387.0
2025-12-07,9.3,9.48,9.3,9.4,1.08,1100,10330.0
2025-12-03,9.3,9.3,9.3,9.3,-1.9,2600,24180.0
2025-12-02,9.48,9.48,9.3,9.48,1.94,3100,29118.0
2025-12-01,9.22,9.3,9.22,9.3,-1.06,600,5550.0
2025-11-30,9.52,9.52,9.4,9.4,-1.26,900,8478.0
2025-11-27,9.16,9.52,9.16,9.52,3.93,6700,62397.7
2025-11-26,9.16,9.34,9.16,9.16,-1.93,4858,44689.28
2025-11-25,9.2,9.34,9.18,9.34,2.08,1900,17628.0
2025-11-24,9.1,9.38,9.1,9.15,-0.54,117700,1092754.5
2025-11-23,9.5,9.5,9.16,9.2,-1.29,8250,76271.0
2025-11-20,9.7,9.7,9.32,9.32,-5.76,2981,28306.4
2025-11-19,9.89,9.89,9.89,9.89,1.96,100,989.0
2025-11-18,9.72,9.72,9.53,9.7,1.78,1700,16446.0
2025-11-17,9.63,9.63,9.17,9.53,0.85,17850,168665.5
2025-11-16,8.95,9.45,8.94,9.45,3.85,38540,350974.6
2025-11-13,9.0,9.2,9.0,9.1,1.11,7700,69683.0
2025-11-12,9.14,9.15,8.79,9.0,-2.7,85810,770084.9
2025-11-11,9.36,9.65,9.18,9.25,-3.14,26245,245455.75
2025-11-10,9.26,9.61,9.26,9.55,3.47,3200,30217.0
2025-11-09,9.2,9.23,9.2,9.23,-0.75,600,5535.0
2025-11-06,9.43,9.43,9.3,9.3,0.54,10200,94958.0
2025-11-05,9.25,9.25,9.25,9.25,-0.22,100,925.0
2025-11-04,9.26,9.27,9.26,9.27,-1.17,4600,42597.0
2025-11-03,9.33,9.38,9.15,9.38,2.51,6900,64463.0
2025-11-02,9.23,9.23,9.05,9.15,1.1,2650,24271.0
2025-10-30,9.36,9.56,9.02,9.05,-5.24,24900,231634.4
2025-10-29,9.65,9.84,9.55,9.55,-2.95,2800,27011.0
2025-10-28,9.65,9.84,9.5,9.84,3.8,29300,283106.0
2025-10-26,9.27,9.48,9.27,9.48,0.32,26650,252603.0
2025-10-19,9.45,9.5,9.45,9.45,0.21,12373,116992.1
2025-10-16,9.4,9.43,9.4,9.43,1.07,5100,48081.0
2025-10-14,9.11,9.33,9.11,9.33,2.53,5800,53953.0
2025-10-13,9.28,9.28,9.1,9.1,0.0,1850,17132.0
2025-10-12,9.38,9.38,9.02,9.1,-4.91,23400,214068.0
2025-10-09,9.39,9.58,9.36,9.57,1.7,29700,279308.35
2025-10-08,9.4,9.41,9.4,9.41,-0.95,200,1881.0
2025-10-07,9.6,9.81,9.46,9.5,-1.25,800,7676.0
2025-09-28,9.63,9.63,9.44,9.62,1.8,24115,231634.3
2025-09-25,9.33,9.64,9.33,9.45,-0.11,10855,104316.2
2025-09-24,9.3,9.46,9.3,9.46,1.94,553,5167.38
2025-09-23,9.26,9.28,9.26,9.28,-0.22,44908,416698.24
2025-09-21,9.45,9.45,9.28,9.3,0.0,59989,560460.55
2025-09-08,9.63,9.63,9.28,9.3,-1.69,6370,60037.6
2025-09-07,9.56,9.56,9.2,9.46,0.85,74351,703750.06
2025-09-04,9.08,9.38,9.08,9.38,1.3,2500,23072.0
2025-09-03,9.2,9.43,9.2,9.26,0.11,49233,457895.9
2025-09-02,9.14,9.32,9.14,9.25,-0.54,56800,524658.0
2025-09-01,9.37,9.54,9.13,9.3,-0.75,72314,671542.14
2025-08-31,9.3,9.48,9.3,9.37,-0.11,53425,501257.0
2025-08-28,9.27,9.45,9.27,9.38,-0.42,40304,379087.34
2025-08-27,9.26,9.42,9.26,9.42,0.75,1554,14559.68
2025-08-26,9.4,9.4,9.25,9.35,-0.43,19017,176486.95
