date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,819.0,839.8,800.1,828.0,1.78,50841,41682633.9
2026-02-11,805.0,833.9,805.0,813.5,-0.55,43003,34958455.4
2026-02-10,815.5,847.0,799.2,818.0,-1.69,129281,105446325.9
2026-02-09,846.8,880.0,808.5,832.1,-3.69,92201,77881997.6
2026-02-08,861.1,887.0,855.0,864.0,-0.69,71754,61944609.3
2026-02-05,869.3,900.0,863.0,870.0,-1.92,51021,45002272.4
2026-02-04,876.0,903.9,870.0,887.0,-0.11,52918,46622562.7
2026-02-03,900.0,917.0,884.0,888.0,-1.33,60137,53902374.3
2026-02-02,867.3,940.0,867.3,900.0,1.71,69646,63492608.9
2026-02-01,860.0,887.0,846.0,884.9,1.36,118386,102714847.6
2026-01-29,951.0,973.0,873.0,873.0,-10.0,309166,284189872.8
2026-01-28,1009.0,1025.0,941.0,970.0,-2.02,117246,115815010.0
2026-01-27,930.1,1003.0,930.1,990.0,8.56,234507,233344212.1
2026-01-26,830.1,911.9,830.0,911.9,10.0,288835,256297382.4
2026-01-25,825.1,841.7,825.0,829.0,0.73,55063,45843741.0
2026-01-22,811.9,831.0,811.9,823.0,-0.65,36296,29913558.2
2026-01-21,832.0,840.0,821.9,828.4,-1.22,28870,23895778.0
2026-01-20,840.0,847.0,820.0,838.6,-1.77,96700,81010075.0
2026-01-18,860.0,894.7,827.0,853.7,0.67,148640,124927374.9
2026-01-14,840.0,848.0,816.1,848.0,2.23,48714,40693463.8
2026-01-13,814.0,829.5,813.0,829.5,-0.04,35643,29115473.7
2026-01-12,816.1,833.0,814.1,829.8,0.0,29581,24263850.2
2026-01-08,823.0,839.3,817.5,829.8,-0.5,23449,19415613.7
2026-01-07,829.1,850.0,829.1,834.0,-1.42,20483,17151443.1
2026-01-06,834.0,852.0,833.0,846.0,0.67,29672,24927089.7
2026-01-05,844.7,859.7,840.4,840.4,-2.49,30786,26068243.1
2026-01-04,872.2,872.2,850.0,861.9,-3.16,57603,49405382.7
2026-01-01,837.9,891.4,830.0,890.0,4.09,65564,55762576.2
2025-12-31,845.0,875.0,840.0,855.0,0.13,79629,68458390.8
2025-12-29,817.5,855.0,817.5,853.9,6.54,121253,101986680.2
2025-12-28,807.0,807.8,795.1,801.5,1.06,18900,15113569.4
2025-12-24,804.5,804.5,793.0,793.1,-1.84,23627,18812478.5
2025-12-23,809.0,810.0,797.0,808.0,0.37,17051,13639864.8
2025-12-22,799.0,808.5,795.2,805.0,-0.73,26531,21268447.7
2025-12-21,837.1,837.1,791.0,810.9,-4.6,66756,53984713.0
