date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,863.0,870.0,862.0,868.0,0.74,24076,20806130.0
2026-02-11,879.0,879.0,861.6,861.6,-0.74,29651,25626810.0
2026-02-10,861.5,872.0,859.0,868.0,0.13,17607,15227772.9
2026-02-09,885.9,885.9,861.6,866.9,-0.58,6653,5757275.1
2026-02-08,879.0,890.0,872.0,872.0,-0.8,18393,16218501.5
2026-02-05,865.0,879.0,863.1,879.0,0.92,11588,10085016.0
2026-02-04,866.9,877.9,862.0,871.0,0.47,21563,18719050.9
2026-02-03,870.0,874.0,854.0,866.9,0.41,45042,38921882.4
2026-02-02,863.1,890.0,863.1,863.4,-1.27,37022,32077377.8
2026-02-01,888.0,888.0,863.0,874.5,-0.61,35687,31033983.0
2026-01-29,880.0,885.0,873.0,879.9,-0.01,16284,14272535.4
2026-01-28,894.0,894.5,871.0,880.0,0.31,33397,29298441.4
2026-01-27,895.0,900.0,877.0,877.3,-1.43,28165,24894294.2
2026-01-26,900.0,905.9,887.5,890.0,-1.55,26267,23525313.4
2026-01-25,885.0,904.0,884.0,904.0,2.89,64106,57710390.2
2026-01-22,881.0,890.0,878.2,878.6,-0.45,40636,35905249.1
2026-01-21,911.8,911.8,881.0,882.6,-1.28,30795,27327041.7
2026-01-20,896.6,900.0,880.0,894.0,1.59,66106,58381299.3
2026-01-18,876.1,885.0,875.0,880.0,0.69,32902,28873421.3
2026-01-14,875.0,884.4,867.1,874.0,-0.13,33701,29477275.7
2026-01-13,880.0,888.0,873.0,875.1,-0.56,20838,18255012.2
2026-01-12,892.9,893.1,875.3,880.0,0.33,15154,13378378.7
2026-01-08,881.0,890.0,875.0,877.1,-0.67,21397,18794518.2
2026-01-07,906.7,906.7,881.0,883.0,-0.67,12484,11062027.1
2026-01-06,905.0,905.0,885.1,889.0,-1.11,26235,23534549.9
2026-01-05,897.6,904.0,880.0,899.0,2.16,66720,59816893.2
2026-01-04,880.0,892.0,872.1,880.0,0.54,11510,10096345.7
2026-01-01,900.0,906.0,875.2,875.3,-2.53,27665,24690940.3
2025-12-31,907.8,907.8,893.0,898.0,0.17,26238,23586398.1
2025-12-29,900.0,905.0,890.0,896.5,-0.29,23593,21082998.7
2025-12-28,878.0,899.1,871.1,899.1,3.94,33723,30005612.7
2025-12-24,854.2,870.0,854.2,865.0,-0.46,6176,5335142.6
2025-12-23,855.0,870.0,853.0,869.0,0.0,9700,8413834.4
2025-12-22,871.3,880.0,861.0,869.0,-1.7,22506,19629855.6
2025-12-21,886.9,886.9,871.0,884.0,-0.38,8968,7874074.2
2025-12-18,866.1,888.0,862.4,887.4,0.5,85816,74526138.3
2025-12-17,870.9,884.0,865.0,883.0,1.85,26647,23312930.5
2025-12-16,864.0,870.0,859.0,867.0,0.58,12243,10637832.5
2025-12-15,857.5,866.8,853.0,862.0,0.52,20007,17277243.6
2025-12-14,869.0,869.0,851.7,857.5,0.29,12885,11024559.4
2025-12-11,861.0,863.0,854.0,855.0,-0.81,10664,9163151.9
2025-12-10,859.9,865.0,847.0,862.0,0.24,36250,31175258.8
2025-12-09,851.2,867.5,850.0,859.9,-0.54,10436,8913198.1
2025-12-08,855.1,865.0,851.5,864.6,0.53,7276,6223967.1
2025-12-07,864.0,870.0,855.5,860.0,-2.27,25792,22196542.4
2025-12-03,887.0,888.0,850.0,880.0,-0.32,57454,49754439.5
2025-12-02,891.5,900.0,865.0,882.8,-0.59,45438,39913684.4
2025-12-01,871.0,889.0,866.3,888.0,0.92,33634,29484255.6
2025-11-30,883.0,890.0,872.0,879.9,1.09,20134,17694243.1
2025-11-27,925.0,925.0,906.0,913.9,-1.04,39974,36446527.3
2025-11-26,915.0,924.8,911.4,923.5,0.17,63784,58401110.0
2025-11-25,915.1,930.0,915.0,921.9,-0.01,18927,17404098.5
2025-11-24,904.0,931.0,895.0,922.0,2.44,138410,126187255.2
2025-11-23,890.1,907.0,890.0,900.0,1.57,23122,20859292.2
2025-11-20,906.0,906.0,886.0,886.1,-1.54,5143,4590486.8
2025-11-19,911.0,911.0,890.0,900.0,0.45,51474,46443511.2
2025-11-18,900.0,916.0,895.0,896.0,-0.33,19884,17941298.8
2025-11-17,894.0,900.0,880.0,899.0,1.7,92513,82920454.0
2025-11-16,923.1,941.0,880.0,884.0,-2.32,51640,46058036.7
2025-11-13,918.0,918.0,890.0,905.0,0.56,19648,17712756.0
2025-11-12,870.2,903.0,865.0,900.0,3.45,55958,49414135.7
2025-11-11,870.0,881.0,870.0,870.0,0.0,9156,8012478.0
