date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.4,9.5,9.4,9.4,-1.05,1300,12230.0
2026-02-11,9.5,9.69,9.39,9.5,0.0,8975,86587.75
2026-02-10,9.4,9.53,9.4,9.5,-0.31,9000,85557.0
2026-02-09,9.36,9.55,9.36,9.53,0.85,8850,84012.0
2026-02-08,9.31,9.6,9.31,9.45,0.32,3400,32407.0
2026-02-05,9.4,9.42,9.4,9.42,-1.67,3290,30964.9
2026-02-04,9.4,9.58,9.4,9.58,0.21,29860,281323.0
2026-02-03,9.74,9.75,9.55,9.56,0.1,23338,223648.96
2026-02-02,9.45,9.63,9.45,9.55,-0.52,101634,961957.51
2026-02-01,9.42,9.6,9.42,9.6,0.0,1235,11670.0
2026-01-29,9.5,9.79,9.5,9.6,0.95,128737,1248400.6
2026-01-28,9.55,9.6,9.36,9.51,-2.36,6515,61885.1
2026-01-27,9.41,9.79,9.41,9.74,1.46,112883,1101098.42
2026-01-26,9.25,9.7,9.25,9.6,3.78,47958,460938.08
2026-01-25,9.23,9.4,9.05,9.25,-1.6,8295,76152.85
2026-01-22,9.21,9.4,9.21,9.4,0.11,3915,36169.0
2026-01-21,9.38,9.57,9.38,9.39,1.95,154450,1452715.33
2026-01-20,9.05,9.3,9.05,9.21,0.99,18900,174789.0
2026-01-18,9.01,9.29,9.01,9.12,0.11,13850,127951.5
2026-01-14,9.01,9.2,9.01,9.11,-0.33,8844,80524.84
2026-01-13,9.02,9.25,9.02,9.14,-0.54,3300,30476.0
2026-01-12,9.1,9.19,9.01,9.19,0.99,1900,17317.0
2026-01-08,9.1,9.28,9.1,9.1,0.0,1930,17718.1
2026-01-07,8.94,9.15,8.94,9.1,-0.11,5600,50891.0
2026-01-06,9.28,9.28,9.1,9.11,0.11,6155,56792.4
2026-01-05,8.98,9.33,8.98,9.1,-0.55,25615,236519.5
2026-01-04,9.14,9.15,9.0,9.15,0.0,16472,149432.72
2026-01-01,9.25,9.25,9.0,9.15,0.88,36561,330182.9
2025-12-31,9.1,9.28,9.07,9.07,-0.33,45408,417386.0
2025-12-29,9.05,9.25,9.0,9.1,0.0,21550,197782.5
2025-12-28,9.0,9.18,9.0,9.1,1.11,14700,133022.0
2025-12-24,9.1,9.15,9.0,9.0,-2.07,35800,325430.0
2025-12-23,9.04,9.19,9.04,9.19,1.21,14200,129843.0
2025-12-22,9.06,9.23,9.06,9.08,0.22,21244,194151.4
2025-12-21,8.86,9.21,8.86,9.06,0.33,12828,117094.12
2025-12-18,9.03,9.11,9.02,9.03,-1.74,27155,245717.05
2025-12-17,8.91,9.19,8.91,9.19,1.88,6050,54844.5
2025-12-16,8.88,9.09,8.88,9.02,-0.44,3600,32315.0
2025-12-15,9.02,9.1,9.02,9.06,-1.52,2200,19926.0
2025-12-14,9.0,9.2,8.85,9.2,2.22,15254,137928.8
2025-12-11,8.89,9.17,8.89,9.0,0.0,19500,176503.0
2025-12-10,9.0,9.08,8.91,9.0,1.01,7250,65251.5
2025-12-09,8.89,9.06,8.88,8.91,0.22,16260,146335.6
2025-12-08,9.0,9.0,8.86,8.89,-1.22,3550,31870.5
2025-12-07,9.0,9.0,8.88,9.0,0.0,5877,52532.0
2025-12-03,9.16,9.16,8.98,9.0,-1.64,3500,31890.0
2025-12-02,9.0,9.15,9.0,9.15,1.67,10100,92275.0
2025-12-01,8.87,9.01,8.84,9.0,-0.22,22947,203654.47
2025-11-30,8.85,9.02,8.85,9.02,0.22,9500,85323.0
2025-11-27,9.18,9.18,8.92,9.0,0.0,22400,202264.0
2025-11-26,8.82,9.06,8.82,9.0,1.12,44520,398983.0
2025-11-25,8.87,9.0,8.87,8.9,0.11,19809,177747.1
2025-11-24,8.87,9.03,8.87,8.89,-1.22,3127,27893.81
2025-11-23,9.01,9.14,9.0,9.0,-0.88,27390,246925.6
2025-11-20,9.0,9.08,8.95,9.08,1.34,2915,26291.2
2025-11-19,8.97,9.0,8.96,8.96,-0.99,5000,44844.0
2025-11-18,9.01,9.1,9.01,9.05,0.44,12675,114747.5
2025-11-17,9.01,9.04,9.01,9.01,-0.99,7050,63615.5
2025-11-16,9.07,9.1,9.0,9.1,0.22,17600,158608.0
2025-11-13,8.85,9.13,8.85,9.08,1.34,4000,36314.0
2025-11-12,8.86,9.04,8.86,8.96,-0.44,7210,64696.4
2025-11-11,9.01,9.19,8.85,9.0,-0.11,27660,247329.2
2025-11-10,9.0,9.01,9.0,9.01,-0.44,600,5404.0
2025-11-09,9.04,9.05,9.04,9.05,-1.63,2010,18171.4
2025-11-06,9.1,9.25,9.07,9.2,1.1,11456,105539.7
2025-11-05,9.23,9.3,9.01,9.1,0.55,24490,224049.12
2025-11-04,9.19,9.19,9.05,9.05,-3.42,3665,33203.25
2025-11-03,9.02,9.38,9.02,9.37,1.85,21560,201937.0
2025-11-02,8.98,9.2,8.98,9.2,1.66,5050,45906.0
2025-10-30,9.1,9.1,9.05,9.05,0.22,33500,304226.0
2025-10-29,9.0,9.14,9.0,9.03,-0.33,8450,77051.5
2025-10-28,8.89,9.06,8.89,9.06,0.0,9880,88857.8
2025-10-26,9.1,9.1,9.02,9.06,-0.44,16000,145564.0
2025-10-19,9.1,9.1,9.06,9.1,0.0,5920,53846.92
2025-10-16,8.95,9.1,8.93,9.1,1.68,31550,285820.5
2025-10-15,9.0,9.01,8.92,8.95,0.0,7850,70464.5
2025-10-14,9.28,9.28,8.95,8.95,-1.65,75223,677859.3
2025-10-13,8.87,9.1,8.87,9.1,1.11,16650,150124.0
2025-10-12,8.89,9.0,8.87,9.0,-0.55,14700,132094.0
2025-10-09,9.09,9.2,9.0,9.05,1.46,36393,329554.65
2025-10-08,9.1,9.18,8.92,8.92,-1.22,52500,472727.5
2025-10-07,9.01,9.16,9.0,9.03,-0.66,13700,124552.5
2025-09-28,9.36,9.65,9.09,9.09,-0.98,19727,188588.08
2025-09-25,9.3,9.37,9.02,9.18,-0.22,56310,513159.45
2025-09-24,9.19,9.2,9.19,9.2,1.66,2160,19852.0
2025-09-23,9.01,9.1,9.01,9.05,-1.42,11400,103486.0
2025-09-21,9.0,9.36,9.0,9.18,2.0,55840,509142.2
2025-09-18,9.0,9.0,9.0,9.0,-1.32,200,1800.0
2025-09-08,9.12,9.15,9.12,9.12,-0.33,6800,62141.0
2025-09-07,9.29,9.3,9.11,9.15,-1.51,34100,314880.0
2025-09-04,8.99,9.29,8.99,9.29,2.65,28550,262273.5
2025-09-03,9.01,9.18,9.01,9.05,0.11,12050,110111.0
2025-09-02,9.15,9.15,9.01,9.04,-1.2,13250,119553.5
2025-09-01,9.1,9.15,9.0,9.15,-0.33,11500,103595.0
2025-08-31,9.14,9.18,9.1,9.18,0.33,2130,19479.5
2025-08-28,9.12,9.29,9.1,9.15,-1.29,134420,1228604.8
2025-08-27,9.11,9.27,8.95,9.27,1.76,10900,99828.0
2025-08-26,9.3,9.3,8.97,9.11,-0.33,10884,98797.5
2025-08-25,9.15,9.32,9.14,9.14,-1.51,1950,17998.0
2025-08-24,9.12,9.28,9.07,9.28,-0.22,14500,132663.0
2025-08-21,9.1,9.3,9.1,9.3,0.76,40593,374356.72
2025-08-20,9.38,9.7,9.2,9.23,0.33,43153,410397.31
2025-08-19,9.19,9.36,9.12,9.2,2.11,71033,655642.3
2025-08-18,9.0,9.17,9.0,9.01,-0.66,61200,553959.0
2025-08-17,9.0,9.17,9.0,9.07,0.78,22800,207253.0
2025-08-14,9.3,9.45,9.0,9.0,-4.26,252250,2317407.4
2025-08-13,9.27,9.48,9.27,9.4,1.18,39458,371276.92
2025-08-12,9.5,9.54,9.29,9.29,-2.31,84627,794499.48
2025-08-11,9.75,9.93,9.32,9.51,-0.52,392550,3766407.0
2025-08-07,11.3,11.5,11.3,11.46,1.15,493413,5628551.43
2025-08-06,11.35,11.4,11.26,11.33,0.0,349226,3958964.82
2025-08-05,11.37,11.57,11.27,11.33,1.61,248105,2830579.63
2025-08-04,11.04,11.34,10.92,11.15,1.0,112555,1263263.55
2025-08-03,11.25,11.47,10.94,11.04,0.0,1249416,13766922.85
2025-07-31,11.49,11.49,10.62,11.04,-3.92,981300,11027775.03
2025-07-30,11.46,12.03,11.46,11.49,0.35,277150,3237405.55
2025-07-29,11.46,12.0,11.4,11.45,1.87,1519883,17559691.51
2025-07-28,10.59,11.44,10.59,11.24,4.07,856439,9171766.49
2025-07-27,10.4,10.9,10.4,10.8,2.66,1086815,11474687.1
2025-07-24,10.51,10.92,10.51,10.52,-1.77,32100,343679.0
2025-07-23,10.4,10.79,10.4,10.71,1.13,69592,740225.1
2025-07-22,10.51,10.65,10.48,10.59,-1.21,59340,624687.3
2025-07-21,10.45,10.74,10.45,10.72,1.61,261430,2759457.99
2025-07-20,10.32,10.68,10.21,10.55,0.19,107454,1127252.54
2025-07-17,10.18,10.6,10.0,10.53,5.3,238830,2490373.14
2025-07-16,9.82,10.21,9.82,10.0,1.94,2804750,28225745.5
