date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,639.0,641.0,636.2,637.6,-0.38,18299,11693024.9
2026-02-11,642.0,645.0,632.1,640.0,0.31,15782,10080917.8
2026-02-10,635.0,638.0,632.1,638.0,0.46,16846,10698403.7
2026-02-09,641.0,641.0,633.0,635.1,-0.45,12711,8073231.6
2026-02-08,639.9,640.8,633.3,638.0,-0.3,27351,17478281.6
2026-02-05,628.1,640.0,628.1,639.9,1.41,27507,17455414.0
2026-02-04,621.0,635.0,621.0,631.0,-0.32,11041,6979093.7
2026-02-03,631.5,634.5,631.1,633.0,0.24,28318,17904607.7
2026-02-02,635.0,635.0,629.5,631.5,0.0,35979,22764290.8
2026-02-01,630.0,633.9,628.1,631.5,0.24,22323,14097654.6
2026-01-29,628.1,633.0,628.1,630.0,-0.74,39369,24802606.4
2026-01-28,633.0,639.0,630.1,634.7,0.24,15258,9645667.3
2026-01-27,635.0,640.0,630.2,633.2,-0.28,18551,11760664.7
2026-01-26,635.0,640.0,632.1,635.0,-0.35,24899,15861576.6
2026-01-25,631.5,642.0,631.5,637.2,0.98,17448,11106823.2
2026-01-22,634.6,642.5,628.0,631.0,-1.1,54460,34356032.7
2026-01-21,638.0,642.0,636.0,638.0,-0.41,20013,12744320.4
2026-01-20,630.0,642.0,630.0,640.6,1.18,20233,12937771.7
2026-01-18,632.5,636.0,631.4,633.1,0.27,11893,7529962.5
2026-01-14,633.1,639.9,630.1,631.4,-0.27,14973,9467543.0
2026-01-13,642.7,699.0,625.0,633.1,-0.46,15863,10075954.4
2026-01-12,641.8,641.9,636.0,636.0,-0.63,12219,7810962.0
2026-01-08,638.9,642.4,638.0,640.0,0.31,25322,16213254.7
2026-01-07,635.0,641.9,630.2,638.0,0.47,45060,28801862.2
2026-01-06,639.9,639.9,628.4,635.0,0.49,54373,34492099.3
2026-01-05,636.0,636.0,628.2,631.9,-0.02,19360,12202998.4
2026-01-04,627.0,633.0,627.0,632.0,0.0,15776,9951809.5
2026-01-01,638.0,638.0,627.1,632.0,0.16,24484,15414181.2
2025-12-31,630.0,634.0,624.1,631.0,0.72,12802,8063574.5
2025-12-29,631.0,634.9,626.2,626.5,-0.4,8987,5637459.9
2025-12-28,622.0,630.0,622.0,629.0,0.67,15592,9792883.8
2025-12-24,625.0,630.0,623.0,624.8,-0.19,17735,11137196.5
2025-12-23,623.0,634.0,622.0,626.0,0.45,7226,4531504.2
2025-12-22,622.2,631.0,614.5,623.2,-0.61,31480,19743507.9
2025-12-21,625.0,629.8,624.0,627.0,0.26,14748,9241718.7
2025-12-18,625.0,628.0,621.0,625.4,-0.41,8156,5102959.2
2025-12-17,629.0,629.8,625.0,628.0,0.48,14270,8940849.8
2025-12-16,622.1,630.0,622.1,625.0,-0.02,18432,11519374.9
2025-12-15,623.9,628.0,623.0,625.1,0.19,22027,13757741.1
2025-12-14,629.9,630.0,622.1,623.9,0.31,14221,8886891.2
2025-12-11,624.7,625.0,621.1,622.0,-0.16,27364,17065933.0
2025-12-10,623.0,625.0,620.1,623.0,0.16,22235,13856814.0
2025-12-09,625.0,625.1,620.0,622.0,0.16,11221,6978425.3
2025-12-08,625.0,626.0,619.0,621.0,-0.32,17924,11173736.6
2025-12-07,630.0,630.0,621.4,623.0,-1.27,33143,20675323.8
2025-12-03,640.0,641.0,627.4,631.0,-1.41,24352,15391482.2
2025-12-02,652.5,652.5,635.0,640.0,-3.88,48374,30895415.6
2025-12-01,663.0,666.9,657.0,665.8,0.12,110362,73223558.2
2025-11-30,664.9,669.0,660.4,665.0,0.76,47892,31830883.5
2025-11-27,657.0,661.8,656.0,660.0,0.76,59896,39520541.1
2025-11-26,650.0,656.0,648.1,655.0,0.92,55079,35867558.3
2025-11-25,648.5,650.0,643.0,649.0,0.46,33381,21530657.6
2025-11-24,645.0,648.8,643.0,646.0,0.78,42052,27176992.8
2025-11-23,637.1,643.0,637.1,641.0,0.63,25737,16507733.2
2025-11-20,643.0,643.0,633.0,637.0,0.02,9825,6240242.8
2025-11-19,637.0,639.9,633.5,636.9,0.11,11815,7520648.7
2025-11-18,633.0,639.5,633.0,636.2,0.03,10579,6738699.0
2025-11-17,632.0,640.0,631.1,636.0,0.62,13316,8471061.3
2025-11-16,635.1,640.0,630.1,632.1,-0.77,10837,6852635.1
2025-11-13,635.0,639.1,635.0,637.0,-0.31,10261,6528189.2
2025-11-12,642.0,642.0,635.0,639.0,-0.31,16743,10681556.5
2025-11-11,645.0,645.0,637.0,641.0,0.19,18611,11893994.4
2025-11-10,641.0,641.0,635.1,639.8,0.6,27302,17400317.8
2025-11-09,644.0,644.0,634.5,636.0,-0.31,29856,18997594.1
2025-11-06,634.1,645.0,634.1,638.0,-0.59,35160,22472957.5
2025-11-05,635.0,643.0,635.0,641.8,0.75,17725,11318643.9
2025-11-04,637.5,644.0,635.2,637.0,-0.93,15878,10125077.8
2025-11-03,639.0,647.0,632.2,643.0,0.78,23579,15028797.9
2025-11-02,648.7,648.7,630.3,638.0,0.31,15940,10130724.3
2025-10-30,630.0,638.9,627.1,636.0,0.55,26451,16758459.7
2025-10-29,630.0,637.0,630.0,632.5,0.0,19531,12349050.6
