date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.89,9.89,9.79,9.79,0.0,20800,203802.6
2026-02-11,9.6,9.86,9.6,9.79,0.93,5300,51492.27
2026-02-10,9.7,9.7,9.7,9.7,-0.92,15000,145500.0
2026-02-09,9.52,9.85,9.51,9.79,1.14,8000,76471.0
2026-02-08,9.5,9.68,9.5,9.68,1.47,4070,38847.2
2026-02-05,9.7,9.75,9.54,9.54,-1.34,4100,39554.6
2026-02-04,9.67,9.67,9.66,9.67,0.52,1900,18368.0
2026-02-03,9.81,9.81,9.62,9.62,0.0,8425,81478.5
2026-02-02,9.79,9.79,9.61,9.62,0.21,6450,62921.0
2026-02-01,9.8,9.85,9.6,9.6,-1.74,571638,5615160.85
2026-01-29,9.77,9.8,9.7,9.77,1.98,108982,1059135.9
2026-01-28,9.58,9.75,9.58,9.58,-1.34,9050,86856.5
2026-01-27,9.75,9.83,9.71,9.71,-2.31,112350,1100855.0
2026-01-26,9.57,9.96,9.57,9.94,3.43,67230,656089.4
2026-01-25,9.59,9.7,9.56,9.61,0.21,17700,170390.0
2026-01-22,9.74,9.76,9.58,9.59,0.21,30570,295518.5
2026-01-21,9.55,9.57,9.55,9.57,-0.83,710,6784.7
2026-01-20,9.71,9.9,9.55,9.65,-2.53,23700,229083.0
2026-01-18,9.55,9.9,9.53,9.9,1.64,39000,376855.0
2026-01-14,9.48,9.74,9.48,9.74,0.93,13000,126300.0
2026-01-13,9.54,9.65,9.54,9.65,-0.72,1500,14365.0
2026-01-12,9.6,9.72,9.5,9.72,1.99,52100,504107.5
2026-01-08,9.6,9.6,9.53,9.53,-1.45,4400,42060.5
2026-01-07,9.66,9.68,9.66,9.67,-1.83,17106,165399.77
2026-01-06,9.8,9.85,9.7,9.85,0.72,60380,592466.0
2026-01-05,9.65,9.78,9.47,9.78,-0.61,66049,637386.72
2026-01-04,9.65,9.84,9.65,9.84,2.71,254602,2473304.95
