date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,9.8,9.8,9.8,9.8,-1.41,1300,12740.0
2026-02-11,9.78,9.94,9.6,9.94,3.65,58704,570449.52
2026-02-10,9.58,9.59,9.58,9.59,-1.64,200,1917.0
2026-02-09,9.83,9.83,9.75,9.75,-2.79,4900,47844.0
2026-02-08,9.84,10.03,9.84,10.03,1.52,60850,610149.0
2026-02-05,9.86,10.02,9.83,9.88,-1.2,1600,15836.0
2026-02-04,9.71,10.0,9.71,10.0,2.56,65605,654361.95
2026-02-03,9.56,9.75,9.56,9.75,0.0,1000,9686.0
2026-02-02,9.7,9.89,9.7,9.75,-1.02,2299,22605.11
2026-02-01,9.83,9.85,9.75,9.85,0.2,37500,369347.0
2026-01-29,9.78,9.89,9.78,9.83,0.51,11307,111775.23
2026-01-28,9.74,9.88,9.73,9.78,0.2,5100,49882.0
2026-01-27,9.6,9.79,9.6,9.76,0.41,1615,15663.6
2026-01-26,9.8,9.97,9.72,9.72,-0.72,80750,787395.0
2026-01-25,9.55,9.8,9.55,9.79,1.66,34676,338743.8
2026-01-22,9.51,9.7,9.51,9.63,-0.72,1600,15444.0
2026-01-21,9.58,9.7,9.53,9.7,1.04,80150,767844.0
2026-01-20,9.58,9.76,9.58,9.6,0.1,3400,32986.0
2026-01-18,9.59,9.6,9.59,9.59,0.0,5620,53905.8
2026-01-14,9.58,9.6,9.58,9.59,0.42,13301,127539.62
2026-01-13,9.54,9.7,9.54,9.55,0.1,1200,11609.0
2026-01-12,9.78,9.78,9.54,9.54,-1.55,1100,10710.0
2026-01-08,9.52,9.7,9.52,9.69,1.79,7400,71658.0
2026-01-07,9.43,9.61,9.43,9.52,-0.21,3500,33571.5
2026-01-06,9.45,9.54,9.45,9.54,0.0,32600,310187.0
2026-01-05,9.5,9.55,9.5,9.54,0.42,12680,120959.2
2026-01-04,9.48,9.55,9.48,9.5,-1.25,1800,17105.0
2026-01-01,9.44,9.62,9.44,9.62,2.01,17870,171254.0
2025-12-31,9.4,9.43,9.4,9.43,0.32,5600,52800.0
2025-12-29,9.41,9.41,9.35,9.4,-2.08,300,2816.0
2025-12-28,9.42,9.6,9.24,9.6,3.9,9500,90536.0
2025-12-24,9.31,9.31,9.24,9.24,-0.75,1310,12133.0
2025-12-23,9.38,9.5,9.31,9.31,-0.75,800,7550.0
2025-12-22,9.38,9.38,9.38,9.38,0.0,600,5628.0
2025-12-21,9.37,9.4,9.37,9.38,0.0,2351,22053.38
2025-12-18,9.37,9.4,9.37,9.38,0.0,12010,112839.0
2025-12-17,9.35,9.45,9.35,9.38,0.32,6700,63190.0
2025-12-16,9.35,9.35,9.35,9.35,0.0,1100,10285.0
2025-12-15,9.35,9.53,9.35,9.35,-1.79,5400,51390.0
2025-12-14,9.35,9.52,9.35,9.52,1.82,2900,27481.0
2025-12-11,9.5,9.5,9.35,9.35,0.0,7942,74579.0
2025-12-10,9.32,9.35,9.32,9.35,-0.43,500,4667.0
2025-12-09,9.3,9.39,9.3,9.39,1.4,19320,180585.8
2025-12-08,9.25,9.4,9.25,9.26,-0.43,20400,191703.0
2025-12-07,9.19,9.43,9.19,9.3,0.76,37100,345690.0
2025-12-03,9.05,9.23,9.05,9.23,0.33,3600,33092.0
2025-12-02,9.1,9.2,9.06,9.2,0.0,1700,15612.0
2025-12-01,9.03,9.2,9.03,9.2,1.55,12200,110641.0
2025-11-30,9.01,9.2,9.01,9.06,0.33,3200,29279.0
2025-11-27,9.01,9.03,9.01,9.03,-0.77,900,8115.0
2025-11-26,9.01,9.1,9.01,9.1,0.66,1000,9037.0
2025-11-25,9.01,9.04,9.01,9.04,0.33,900,8114.0
2025-11-24,9.0,9.19,9.0,9.01,-0.22,89556,822247.64
2025-11-23,9.01,9.03,9.01,9.03,-1.31,1500,13535.0
2025-11-20,9.0,9.15,9.0,9.15,0.55,1060,9674.0
2025-11-19,9.1,9.1,9.1,9.1,-0.44,9040,82264.0
2025-11-18,9.03,9.14,9.0,9.14,1.33,1500,13657.0
2025-11-17,9.0,9.18,9.0,9.02,0.22,1300,11797.0
2025-11-16,9.02,9.02,9.0,9.0,-0.66,5000,45060.0
2025-11-13,9.05,9.06,9.05,9.06,0.0,1400,12682.0
2025-11-12,9.2,9.2,9.05,9.06,0.44,23165,210571.52
2025-11-11,9.36,9.36,9.02,9.02,-1.74,500,4612.0
2025-11-10,9.01,9.18,9.01,9.18,0.55,5100,46801.0
2025-11-09,9.13,9.31,9.13,9.13,0.0,11328,103509.59
2025-11-06,9.13,9.13,9.13,9.13,-0.98,100,913.0
2025-11-05,9.06,9.22,9.06,9.22,0.77,15500,142811.0
2025-11-04,9.0,9.15,9.0,9.15,0.22,10200,91828.0
2025-11-03,8.93,9.18,8.93,9.13,1.44,1700,15536.0
2025-11-02,9.0,9.18,9.0,9.0,0.0,1600,14598.0
2025-10-30,9.0,9.0,9.0,9.0,-1.1,345,3105.0
2025-10-29,9.22,9.22,9.1,9.1,0.66,4950,45579.0
2025-10-28,9.18,9.18,9.04,9.04,0.33,1100,10084.0
2025-10-26,9.01,9.01,9.01,9.01,-0.88,300,2703.0
2025-10-19,9.25,9.25,9.08,9.09,0.22,12645,114979.8
2025-10-16,9.05,9.17,9.05,9.07,-0.44,61000,555066.0
2025-10-15,9.38,9.56,9.07,9.11,-0.98,360800,3321411.0
2025-10-14,9.36,9.36,9.12,9.2,0.0,224130,2068430.6
2025-10-13,9.25,9.25,9.03,9.2,1.43,27744,255132.8
2025-10-12,9.28,9.28,9.05,9.07,-0.33,69999,635634.92
2025-10-09,9.21,9.23,9.03,9.1,0.78,123190,1117079.4
2025-10-08,9.2,9.35,9.03,9.03,-3.32,35560,323933.6
2025-10-07,9.43,9.43,9.17,9.34,0.97,21958,202250.22
2025-09-28,9.25,9.3,9.08,9.25,0.0,20960,191550.6
2025-09-25,9.2,9.35,9.02,9.25,-1.18,21410,197183.5
2025-09-24,9.36,9.36,9.36,9.36,1.19,945,8845.2
2025-09-23,9.18,9.34,9.02,9.25,2.78,55016,508689.0
2025-09-21,9.05,9.05,8.89,9.0,-2.49,56100,507679.0
2025-09-08,9.1,9.23,9.05,9.23,-0.54,3400,31168.0
2025-09-07,9.42,9.42,9.24,9.28,0.43,500,4655.0
2025-09-04,9.06,9.41,8.9,9.24,0.11,14800,137868.0
2025-09-03,9.06,9.24,9.06,9.23,0.54,10600,96223.0
2025-09-02,8.93,9.2,8.93,9.18,0.88,1900,17393.0
2025-09-01,9.25,9.25,9.07,9.1,0.33,1200,10999.0
2025-08-31,9.07,9.35,9.07,9.07,-1.63,32700,299774.5
2025-08-28,9.03,9.22,9.03,9.22,0.77,1200,10911.0
2025-08-27,9.01,9.21,9.01,9.15,1.33,16300,148958.0
2025-08-26,9.01,9.2,9.01,9.03,-0.11,14000,127638.0
2025-08-25,9.0,9.05,9.0,9.04,-1.09,300,2709.0
2025-08-24,9.04,9.21,9.04,9.14,0.44,24100,220781.5
2025-08-21,9.1,9.1,9.04,9.1,0.66,21700,196815.94
2025-08-20,8.82,9.04,8.82,9.04,0.44,21400,193403.0
2025-08-19,8.95,9.06,8.89,9.0,-0.11,24800,222349.0
2025-08-18,10.35,10.47,10.35,10.36,-0.29,46700,486616.5
2025-08-17,10.52,10.52,10.31,10.39,0.68,72675,755576.04
2025-08-14,10.25,10.64,10.25,10.32,-1.15,98300,1028136.33
2025-08-13,10.23,10.47,10.23,10.44,2.05,272205,2823964.5
2025-08-12,10.4,10.4,10.23,10.23,0.0,341700,3510113.8
2025-08-11,10.3,10.49,10.21,10.23,-0.68,336690,3466351.9
2025-08-07,10.6,10.6,10.27,10.3,-1.44,2890900,30196475.0
2025-08-06,10.7,10.7,10.37,10.45,-2.34,1827680,19453144.3
2025-08-05,10.3,11.12,10.24,10.7,2.49,1162450,12000908.0
2025-08-04,10.15,10.59,10.15,10.44,2.96,1677350,17405867.5
2025-08-03,10.28,10.3,10.08,10.14,-2.97,974725,9888138.05
2025-07-31,10.4,10.59,10.26,10.45,-1.42,655000,6842586.0
2025-07-30,10.81,10.81,10.59,10.6,0.0,933800,10027627.0
2025-07-29,10.36,10.82,10.36,10.6,0.95,640100,6783676.0
2025-07-28,10.3,10.51,10.3,10.5,1.74,1387450,14529003.5
2025-07-27,10.45,10.46,10.32,10.32,-1.24,290200,3015104.0
2025-07-24,10.3,10.46,10.3,10.45,1.75,22600,235638.0
2025-07-23,10.14,10.27,10.14,10.27,-0.39,5310,54419.1
2025-07-22,10.11,10.4,10.11,10.31,0.59,2237395,22935871.9
2025-07-21,10.25,10.25,10.06,10.25,0.79,103000,1050584.0
2025-07-20,9.95,10.27,9.95,10.17,0.69,118550,1209790.5
2025-07-17,9.91,10.13,9.91,10.1,0.6,500535,5062367.9
2025-07-16,9.82,10.08,9.82,10.04,2.45,71300,717873.0
2025-07-15,9.98,10.12,9.73,9.8,-2.2,513956,5082075.8
2025-07-14,9.95,10.11,9.95,10.02,-0.5,133830,1351905.1
2025-07-13,9.82,10.14,9.82,10.07,0.6,12150,122633.5
2025-07-10,9.9,10.01,9.9,10.01,1.01,800,7972.0
2025-07-09,9.91,9.91,9.91,9.91,0.0,14400,142704.0
2025-07-08,9.91,9.92,9.91,9.91,0.0,1900,18834.0
2025-07-07,9.91,9.91,9.91,9.91,-0.3,5200,51532.0
2025-07-06,9.88,9.94,9.88,9.94,-0.4,2200,21824.0
2025-07-03,9.58,9.99,9.58,9.98,2.25,26600,265318.0
2025-07-02,9.71,9.76,9.71,9.76,-1.41,1400,13628.0
2025-07-01,9.76,9.93,9.76,9.9,-0.1,25080,248296.0
2025-06-30,9.67,9.94,9.67,9.91,1.12,3700,36542.0
2025-06-29,9.79,9.98,9.7,9.8,-1.8,390331,3815575.78
2025-06-26,9.69,9.98,9.69,9.98,5.05,593169,5801379.2
2025-06-25,9.5,9.7,9.31,9.5,-1.04,405500,3804415.0
2025-06-24,9.44,9.65,9.43,9.6,0.52,341710,3270941.2
2025-06-23,9.61,9.62,9.42,9.55,-0.62,568500,5362872.7
2025-06-22,9.72,9.72,9.61,9.61,-1.03,2100,20401.0
2025-06-19,9.71,9.71,9.71,9.71,0.1,1100,10681.0
2025-06-18,9.56,9.7,9.56,9.7,0.73,11000,106560.0
2025-06-17,9.64,9.64,9.63,9.63,-1.73,3100,29883.0
2025-06-16,9.61,9.8,9.61,9.8,1.98,2500,24443.0
2025-06-15,9.6,9.61,9.6,9.61,-0.93,1100,10565.0
2025-06-12,9.51,9.79,9.51,9.7,0.52,1000,9633.0
2025-06-11,9.61,9.84,9.61,9.65,-1.53,1000,9742.0
2025-06-10,9.66,9.8,9.66,9.8,1.55,1200,11662.0
2025-06-09,9.65,9.65,9.65,9.65,0.0,200,1930.0
2025-06-08,9.65,9.65,9.65,9.65,-1.63,300,2895.0
2025-06-05,9.81,9.81,9.81,9.81,-1.31,2000,19620.0
2025-06-04,9.7,9.95,9.62,9.94,4.52,265100,2581126.4
2025-06-03,9.55,9.71,9.51,9.51,-0.21,184450,1763149.0
2025-06-02,9.41,9.53,9.41,9.53,0.63,5700,54183.0
2025-05-28,9.61,9.65,9.44,9.47,-2.97,645549,6129424.89
2025-05-27,9.6,9.8,9.6,9.76,0.62,2500,24136.0
2025-05-26,9.6,9.7,9.6,9.7,0.0,1350,12980.0
2025-05-25,9.6,9.7,9.6,9.7,0.41,6900,66853.0
2025-05-22,9.6,9.66,9.6,9.66,0.63,1900,18343.0
2025-05-21,9.5,9.6,9.5,9.6,0.0,1300,12460.0
2025-05-20,9.57,9.67,9.57,9.6,0.0,8500,81600.0
2025-05-19,9.4,9.6,9.4,9.6,2.13,4500,43123.0
2025-05-18,9.77,9.77,9.39,9.4,-1.88,800,7584.0
2025-05-15,9.39,9.59,9.39,9.58,1.7,800,7586.0
2025-05-14,9.39,9.42,9.39,9.42,0.21,700,6582.0
2025-05-13,9.4,9.4,9.39,9.4,-0.42,6800,63914.0
2025-05-11,9.4,9.44,9.4,9.44,-0.11,6100,57540.0
2025-05-08,9.4,9.46,9.4,9.45,1.07,1730,16333.3
2025-05-07,9.31,9.35,9.31,9.35,-1.58,400,3732.0
2025-05-06,9.31,9.5,9.31,9.5,0.21,1100,10404.0
2025-05-05,9.31,9.48,9.31,9.48,0.0,800,7513.0
2025-05-04,9.33,9.48,9.33,9.48,0.0,400,3755.0
2025-04-30,9.37,9.48,9.3,9.48,-0.84,4200,39776.0
2025-04-29,9.4,9.56,9.4,9.56,0.0,700,6631.0
2025-04-28,9.36,9.56,9.36,9.56,0.31,500,4729.0
2025-04-27,9.42,9.53,9.42,9.53,-0.31,1300,12275.0
2025-04-24,9.38,9.56,9.38,9.56,1.92,3320,31636.8
2025-04-23,9.53,9.53,9.36,9.38,0.32,5400,50983.0
2025-04-22,9.3,9.35,9.23,9.35,0.32,600,5588.0
2025-04-21,9.3,9.32,9.3,9.32,-1.48,1700,15826.0
2025-04-20,9.38,9.46,9.38,9.46,-0.53,1200,11290.0
2025-04-17,9.27,9.52,9.27,9.51,2.48,17100,162337.0
2025-04-16,9.13,9.28,9.13,9.28,1.64,1050,9701.5
2025-04-15,9.07,9.13,9.07,9.13,-0.76,600,5460.0
2025-04-13,9.13,9.2,9.13,9.2,-0.86,600,5492.0
2025-04-10,9.11,9.28,9.11,9.28,1.31,700,6420.0
2025-04-09,9.04,9.16,9.04,9.16,0.55,5300,48128.0
2025-04-08,9.08,9.11,9.08,9.11,0.33,200,1819.0
2025-04-07,8.96,9.08,8.96,9.08,0.44,1000,8996.0
2025-04-03,9.04,9.04,9.04,9.04,-1.74,200,1808.0
2025-04-02,9.0,9.2,9.0,9.2,0.99,500,4562.0
2025-04-01,8.95,9.24,8.95,9.11,0.0,1300,11784.0
2025-03-30,9.02,9.11,9.02,9.11,-0.98,1100,9969.0
2025-03-27,9.07,9.2,9.07,9.2,-0.33,500,4560.0
2025-03-26,9.05,9.23,9.05,9.23,0.54,700,6374.0
2025-03-25,9.0,9.18,9.0,9.18,0.66,300,2718.0
2025-03-24,9.02,9.12,9.02,9.12,-0.87,800,7274.0
2025-03-23,9.0,9.2,9.0,9.2,0.99,500,4551.0
2025-03-20,9.1,9.3,9.1,9.11,-0.98,500,4571.0
2025-03-19,9.2,9.2,9.2,9.2,0.0,3420,31464.0
2025-03-18,9.12,9.31,9.12,9.2,-1.08,1100,10134.0
2025-03-17,9.24,9.3,9.1,9.3,0.65,1700,15696.0
2025-03-16,9.21,9.3,9.21,9.24,-0.65,1900,17543.0
2025-03-12,9.21,9.3,9.21,9.3,0.0,520,4800.2
2025-03-11,9.08,9.3,9.08,9.3,0.43,2000,18534.0
2025-03-10,9.19,9.26,9.19,9.26,-0.43,1000,9244.0
2025-03-09,9.27,9.3,9.27,9.3,-1.38,2400,22269.0
2025-03-06,9.25,9.43,9.21,9.43,1.84,3160,29422.8
2025-03-05,9.2,9.26,9.2,9.26,0.43,1000,9246.0
2025-03-04,9.2,9.3,9.2,9.22,-0.22,1800,16572.0
2025-03-03,9.31,9.32,9.2,9.24,-2.74,1500,13872.0
2025-03-02,8.99,9.5,8.99,9.5,3.71,2790,25946.0
2025-02-27,9.02,9.16,9.02,9.16,0.99,1400,12747.0
2025-02-25,9.11,9.16,9.0,9.07,-0.98,3700,33675.0
2025-02-24,9.1,9.33,9.1,9.16,0.55,2600,24125.0
2025-02-23,8.93,9.28,8.93,9.11,0.11,1800,16385.0
2025-02-20,9.02,9.2,9.02,9.1,0.22,10500,95552.0
2025-02-18,9.09,9.1,9.04,9.08,-0.11,3170,28782.6
2025-02-17,9.23,9.23,9.07,9.09,-3.3,1300,11853.0
2025-02-16,9.5,9.5,9.4,9.4,0.0,387500,3681240.0
2025-02-13,9.12,9.4,9.12,9.4,3.07,12400,115498.0
2025-02-12,9.63,9.63,9.09,9.12,-7.03,514100,4939137.0
2025-02-11,9.81,9.81,9.81,9.81,-1.9,400,3924.0
2025-02-10,10.0,10.1,10.0,10.0,0.0,500100,5038490.0
2025-02-06,10.26,10.66,10.0,10.0,-0.6,387649,4089392.34
2025-02-05,10.1,10.26,10.06,10.06,1.11,809190,8181158.6
2025-02-04,9.95,9.95,9.95,9.95,-1.97,100,995.0
2025-02-03,9.13,10.15,9.1,10.15,9.02,398149,3748816.16
2025-02-02,9.83,10.0,9.31,9.31,-3.42,109010,1087700.0
2025-01-28,9.11,9.64,9.11,9.64,6.87,46320,438320.8
2025-01-27,9.07,9.4,9.02,9.02,-2.28,101600,954874.0
2025-01-26,9.05,9.23,9.05,9.23,1.76,600,5466.0
2025-01-23,9.07,9.07,9.05,9.07,-1.63,400,3626.0
2025-01-22,9.03,9.22,9.03,9.22,2.1,1900,17423.0
2025-01-21,8.96,9.03,8.96,9.03,0.22,400,3596.0
2025-01-20,8.98,9.01,8.98,9.01,-0.99,1100,9891.0
2025-01-19,9.1,9.11,9.1,9.1,0.0,800,7281.0
2025-01-16,9.1,9.11,9.1,9.1,-0.11,3200,29121.0
2025-01-15,9.11,9.29,9.11,9.11,0.11,2400,21988.0
2025-01-13,9.1,9.11,9.1,9.1,-0.22,4000,36401.0
2025-01-12,9.11,9.12,9.11,9.12,-1.41,600,5470.0
2025-01-09,9.14,9.25,9.1,9.25,1.2,1000,9164.0
2025-01-08,9.23,9.23,9.09,9.14,-2.87,10700,97561.0
2025-01-07,9.56,9.56,9.4,9.41,-3.49,700,6598.0
2025-01-06,9.6,9.75,9.6,9.75,1.99,12781,123076.75
2025-01-05,9.2,9.56,9.2,9.56,1.92,7137,67990.72
2025-01-02,9.19,9.38,9.19,9.38,2.07,3600,33653.0
2025-01-01,9.01,9.19,9.01,9.19,1.43,200,1820.0
2024-12-31,9.02,9.06,9.02,9.06,-1.2,200,1808.0
2024-12-29,9.1,9.17,9.1,9.17,0.66,1610,14668.1
2024-12-26,9.06,9.11,9.06,9.11,0.0,300,2726.0
2024-12-24,9.06,9.2,9.03,9.11,0.55,2675,24306.25
2024-12-23,8.95,9.06,8.95,9.06,-0.44,800,7196.0
2024-12-22,9.09,9.28,9.09,9.1,-0.76,1183,10864.25
2024-12-19,9.17,9.17,9.17,9.17,-0.43,100,917.0
2024-12-18,9.2,9.21,9.2,9.21,0.66,2300,21161.0
2024-12-17,9.25,9.33,9.15,9.15,-1.61,1700,15745.0
2024-12-16,9.25,9.3,9.25,9.3,-1.17,300,2781.0
2024-12-12,9.41,9.41,9.41,9.41,0.0,600,5646.0
2024-12-11,9.41,9.41,9.41,9.41,-1.98,100,941.0
2024-12-10,9.6,9.6,9.6,9.6,1.69,500,4800.0
2024-12-08,9.25,9.44,9.25,9.44,0.43,2400,22342.0
2024-12-05,9.37,9.4,9.37,9.4,-1.26,400,3756.0
2024-12-04,9.45,9.63,9.45,9.52,-0.83,1900,18071.0
2024-12-03,9.49,9.6,9.49,9.6,1.05,800,7636.0
2024-12-02,9.5,9.5,9.5,9.5,0.21,100,950.0
2024-12-01,9.47,9.48,9.47,9.48,-0.42,300,2842.0
2024-11-28,9.34,9.52,9.34,9.52,0.53,400,3788.0
2024-11-27,9.41,9.47,9.41,9.47,-0.63,300,2831.0
2024-11-26,9.46,9.53,9.35,9.53,0.74,700,6614.0
2024-11-25,9.36,9.5,9.35,9.46,-0.84,1700,16052.0
2024-11-24,9.54,9.54,9.54,9.54,-1.65,100,954.0
2024-11-21,9.94,10.24,9.7,9.7,-1.52,283510,2853305.4
2024-11-20,9.42,9.85,9.42,9.85,4.56,212678,2089894.9
2024-11-19,9.37,9.6,9.37,9.42,-1.36,139700,1340975.0
